药名,min,max,单位
一枝黄花,9,15,g
丁公藤,3,6,g
丁香,1,3,g
九节菖蒲,1.5,6,g
九里香,6,12,g
九香虫,3,9,g
了哥王,,,根15～30g；根皮9～12g，久煎后服用；外用鲜根捣烂敷或干根浸酒敷患处。
人工牛黄,,,一次0．15～0．35g，多作配方用。外用适量敷患处。
人参,3,9,g
人参叶,3,9,g
儿茶,1,3,g
八角茴香,3,6,g
八角莲,6,12,g
刀豆,6,9,g
三  七,3,9,g
三叉苦,9,15,g
三分三,0.6,0.9,g
三白草,15,30,g
三棱,4.5,9,g
三颗针,9,15,g
千年健,4.5,9,g
千里光,15,30,g
千金子,1,2,g
千金子霜,0.5,1,g
土大黄,9,15,g
土木香,3,9,g
土贝母,4.5,9,g
土茯苓,15,60,g
土荆皮,,,外用适量，醋或酒浸涂擦，或研末调涂患处。
土鳖虫,3,9,g
大  蓟,9,15,g
大血藤,9,15,g
大豆黄卷,9,15,g
大枣,6,15,g
大青叶,9,15,g
大青盐,1.2,2.5,g
大黄,3,30,g
大腹皮,4.5,9,g
大蒜,,,"9～l5g。
"
大蓟炭,5,10,g
女贞子,6,12,g
小  蓟,4.5,9,g
小叶莲,1.5,6,g
小茴香,3,6,g
小通草,2.5,4.5,g
山羊角,10,15,g
山豆根,3,6,g
山麦冬,9,15,g
山柰,6,9,g
山茱萸,6,12,g
山药,15,30,g
山香圆叶,15,30,g
山银花,6,15,g
山慈菇,3,9,g
山楂,9,12,g
山楂叶,3,10,g
川乌,,,一般炮制后用。
川木香,3,9,g
川木通,3,6,g
川牛膝,4.5,9,g
川贝母,3,9,g
川芎,3,9,g
川射干,6,10,g
川楝子,4.5,9,g
干姜,3,9,g
干漆,2.4,4.5,g
广枣,1.5,2.5,g
广金钱草,15,30,g
广藿香,３,９,g
马齿苋,9,15,g
马勃,1.5,6,g
马钱子,0.3,0.6,g
马钱子粉,0.3,0.6,g
马兜铃,3,9,g
马鞭草,4.5,9,g
丹参,9,15,g
乌药,3,9,g
乌梢蛇,9,12,g
乌梅,6,12,g
云芝,9,27,g
五加皮,4.5,9,g
五味子,1.5,6,g
五倍子,3,6,g
六神曲,4.5,12,g
凤仙透骨草,6,9,g
凤尾草,9,30,g
化橘红,3,6,g
升麻,3,9,g
天山雪莲,3,6,g
天仙子,0.06,0.6,g
天仙藤,4.5,9,g
天冬,6,12,g
天名精,10,15,g
天花粉,10,15,g
天竺黄,3,9,g
天南星,,,内服一般炮制后使用，3～9g。外用生品适量，研末以醋或酒调敷患处。
天麻,3,9,g
天然冰片,0.3,0.9,g
天葵子,9,15,g
太子参,9,30,g
巴豆,,,外用适量，研末涂患处，或捣烂以纱布包擦患处。
巴豆霜,0.1,0.3,g
巴戟天,3,9,g
文冠果,9,15,g
月季花,1.5,4.5,g
木瓜,6,9,g
木香,1.5,6,g
木贼,3,9,g
木通,3,6,g
木棉花,6,9,g
木蝴蝶,,,1. 5～3g。
木鳖子,0.9,1.2,g
毛诃子【藏药】,,,nan
水飞蓟,,,供配制成药用。
水牛角,15,30,g
水红花子,15,30,g
水蛭,1.5,3,g
火炭母,15,30,g
火麻仁,9,15,g
片姜黄,3,9,g
牛黄,0.15,0.35,g
牛蒡子,6,12,g
牛膝,4.5,9,g
王不留行,4.5,9,g
瓦  松,3,9,g
瓦楞子,9,15,g
车前子,9,15,g
车前草,9,30,g
丝瓜络,4.5,9,g
仙茅,3,9,g
仙桃草,6,15,g
仙鹤草,6,12,g
冬瓜子,9,30,g
冬瓜皮,9,30,g
冬虫夏草,3,9,g
冬凌草,30,60,g
功劳木,9,15,g
功劳叶,15,30,g
北刘寄奴,6,9,g
北沙参,4.5,9,g
北豆根,3,9,g
北寒水石,9,15,g
半边莲,9,15,g
半枝莲,15,30,g
半夏,,,内服一般炮制后使用，3～9g。外用适量，磨汁涂或研末以酒调敷患处。
四季青,15,60,g
布渣叶,15,30,g
平贝母,3,9,g
母丁香,1,3,g
汉桃叶,15,30,g
玄参,9,15,g
玄明粉,3,9,g
玉竹,6,12,g
玉米须,15,30,g
瓜子金,15,30,g
瓜蒌,9,15,g
瓜蒌子,9,15,g
瓜蒌皮,6,9,g
甘松,3,6,g
甘草,1.5,9,g
甘遂,0.5,1.5,g
生姜,3,9,g
生铁落,30,60,g
白  及,6,15,g
白头翁,9,15,g
白术,6,12,g
白石英,10,15,g
白芍,6,15,g
白花蛇舌草,6,30,g
白芷,3,9,g
白附子,,,内服一般炮制后用，3～6g。外用生品适量捣烂，熬膏或研末以酒调敷患处。
白屈菜,9,18,g
白果,4.5,9,g
白矾,0.6,1.5,g
白茅根,9,30,g
白前,3,9,g
白扁豆,9,15,g
白蔹,4.5,9,g
白鲜皮,4.5,9,g
白薇,4.5,9,g
石 菖 蒲,3,9,g
石韦,6,12,g
石决明,3,15,g
石吊兰,9,15,g
石斛,6,12,g
石楠叶,4.5,9,g
石榴皮,3,9,g
石膏,15,60,g
艾叶,3,9,g
龙胆,3,6,g
龙眼肉,9,15,g
亚乎奴,,,"外伤肿痛，干粉适量加酒或蛋清调敷患处；创伤出血,干粉适量外敷，一日1次。"
亚麻子,9,15,g
伊贝母,3,9,g
全蝎,3,6,g
关黄柏,,,3 ～ 12g 。外用适量。 
冰  片,0.15,0.3,g
决明子,9,15,g
刘寄奴,6,10,g
华山参,0.1,0.2,g
合欢皮,6,12,g
合欢花,4.5,9,g
地  榆,9,15,g
地龙,4.5,9,g
地耳草,9,15,g
地枫皮,6,9,g
地肤子,9,15,g
地骨皮,9,15,g
地黄,,,鲜地黄  12～30g 。生地黄  9～15g。
地锦草,9,20,g
安息香,0.6,1.5,g
延胡索,3,9,g
当归,6,12,g
当药,6,12,g
朱砂,0.1,0.5,g
朱砂根,3,9,g
灯心草,1,3,g
灯盏细辛（灯盏花）,9,15,g
百合,6,12,g
百部,3,9,g
竹节参,6,9,g
竹茹,4.5,9,g
红大戟,1.5,3,g
红曲,6,12,g
红芪,9,30,g
红花,3,9,g
红花龙胆,9,15,g
红豆蔻,3,6,g
红参,3,9,g
红粉,,,外用适量，研极细粉单用或与其他药味配成散剂或制成药捻。
红景天,3,6,g
羊耳菊,30,60,g
老鹳草,9,15,g
肉苁蓉,6,9,g
肉豆蔻,3,9,g
肉桂,1,4.5,g
自然铜,3,9,g
芒硝,6,12,g
血余炭,4.5,9,g
血竭,,,研末，1～2g，或入丸剂。外用研末撒或入膏药用。
西瓜霜,0.5,1.5,g
西红花,3,9,g
西河柳,3,6,g
西青果,1.5,3,g
西洋参,3,6,g
防  己,4.5,9,g
防风,4.5,9,g
阳起石,4.5,9,g
两头尖,1.5,3,g
两面针,5,10,g
伸筋草,3,12,g
体外培育牛黄,0.15,0.35,g
何首乌,6,12,g
余甘子,3,9,g
佛手,3,9,g
吴茱萸,1.5,4.5,g
忍冬藤,9,30,g
扶芳藤,10,15,g
杜仲,6,9,g
杜仲叶,10,15,g
杠板归,15,30,g
杧果叶,15,30,g
沉香,1.5,4.5,g
沙苑子,9,15,g
沙棘,3,9,g
没药,3,5,g
灵芝,6,12,g
牡丹皮,6,12,g
牡荆叶,,,鲜用，供提取牡荆油用。
牡蛎,9,30,g
皂角刺,3,9,g
皂矾,0.8,1.6,g
羌活,3,9,g
芜荑,4.5,6,g
芡实,9,15,g
芥子,3,9,g
芦荟,2,5,g
芦根,15,30,g
芫花,1.5,3,g
花椒,3,6,g
花蕊石,4.5,9,g
苍术,3,9,g
苍耳子,3,9,g
苎麻根,9,30,g
苏 合 香,0.3,1,g
苏木,3,9,g
苣荬菜,9,15,g
补骨脂,6,9,g
诃子,3,9,g
谷芽,9,15,g
谷精草,4.5,9,g
豆蔻,3,6,g
豆蔻壳,3,5,g
赤小豆,9,30,g
赤石脂,9,12,g
赤芍,6,12,g
辛夷,3,9,g
远志,3,9,g
连钱草,15,30,g
连翘,6,15,g
阿胶,,,烊化兑服，3～9g。
阿魏,1,1.5,g
附子,3,15,g
陈皮,3,9,g
鸡内金,3,9,g
鸡矢藤,10,30,g
鸡血藤,9,15,g
鸡冠花,6,12,g
鸡骨草,15,30,g
麦冬,6,12,g
麦芽,9,15,g
龟甲,9,24,g
龟甲胶,3,9,g
乳香,,,内服：3～5g，煎汤或入丸、散；外用：研末调敷。
京大戟,1.5,3,g
佩兰,3,9,g
使君子,,,使君子9～12g，捣碎入煎剂；使君子仁6～9g，多入丸散或单用，作1～2次分服。小儿每岁1～1.5粒，炒香嚼服，1日总量不超过20粒。
侧柏叶,6,12,g
制川乌,1.5,3,g
制何首乌,6,12,g
制草乌,1.5,3,g
刺五加,9,27,g
刺猬皮,6,12,g
卷柏,4.5,9,g
垂盆草,15,30,g
委陵菜,9,15,g
昆布,6,12,g
明党参,6,12,g
松花粉,,,外用适量，撒敷患处。
板蓝根,9,15,g
枇杷叶,6,9,g
枫香脂,1.5,3,g
油松节,9,15,g
法半夏,3,9,g
泽兰,6,12,g
泽泻,6,9,g
泽漆,3,9,g
炉甘石,,,外用适量。
炒瓜蒌子,9,15,g
炙甘草,1.5,9,g
炙红芪,9,30,g
炙黄芪,9,30,g
狗  脊,6,12,g
玫瑰花,1.5,6,g
知母,6,12,g
