雄黄,"钱,两,None,克,分,g,两2钱,铢,千克,钱半"
山楂肉,"两,克,钱,钱半,钱5分,None,两5钱,g"
杜仲炭,两
以盐泥固济,None
参三七米,g
山茶,g
四吴茱萸,克
江鳔,两
附子&lt;炮裂,克
两头尖,克
头发,"两,握"
大枣,"枚,克,个,两,升,None,斤,g,只"
猪肺,"克,具"
盐水浸,"份,None"
鸡炙内金,g
炒大黄,g
乌芋粉,克
桂府滑石,两
用纸包扎,None
白凤仙根,根
全蝎粉,g
炭羌活,g
大黄,"两,g,克,None,份,分,钱,千克,两半,斤,钱半,石,两1分,钱7分"
风栗,两
少顷即趁热扯拔,None
乌梅肉炭,g
去核,"两,克"
生贯众,g
青,g
盐泥固济,None
醋玄胡,g
作饼子,None
刘寄奴,"g,克,钱,两"
百头翁,g
山楂炭,g
铁粉,"两,分,克"
生地榆,g
细辛,"两,克,钱,g,None,分,钱半,钱5分,铢"
铜末,钱
醋栗壳,g
生牵牛末,两
维生素D<[,None
扁豆花,g
醋炒柴胡,g
牛膝,"两,钱,克,分,None,g,两1分,斤,铢,斤6两"
为衣,None
日中拌晒,None
瓜蒌霜,克
小盏,None
榧子肉,"两,g"
白莲,g
佩兰草,钱
炒川楝子,g
如硬白糖为度,None
藕节,g
不用毒死,None
将盖子盖定,None
木zh0草,g
蓬莪茂,克
枸橘李,g
乌海,g
维生素AD,滴
石菖蒲,"两,钱,g,克,钱5分,分,None,斤,节,合"
虎睛仁,对
任从自食,None
涂酥,"两,None"
路口通,g
控干,None
漂白术,"两,克,g,None"
汤匙,None
橘红,"钱5分,两,两5钱,分,克,钱,None,g,斤,石"
生黄耆,"两,g,克,钱"
升麻,"None,克,g,分,两,钱半,钱,两半"
去皂角,None
直僵蚕,分
滑石,"克,两,分,钱,g,石,None,头,两半"
枳实,"克,两,钱半,None,钱,两半,g,枚,千克,分"
米,None
风化石灰,两
亲贝,g
鸡苏叶,两
肉豆蔻二十,两
干蟾,"克,g,分"
香油半盏,None
梗米,g
鸡蛋清,None
过,None
蕨叶,None
饭锅上蒸,克
苦甜杏仁,g
茯苓粉,克
胡萝卜,g
云里跪沙,g
入猪胆汁,None
瞿麦穗,"两,克,两半"
川菖蒲,g
白醋,g
黑芝麻,斤
青黛粉,g
红糖炙麻黄,g
怀生地黄,两
切薄片,None
猪腰,具
芎劳,克
青州枣,"斤,个"
同半夏煮,None
炒白芍陈皮,g
西枸杞子,两
乌贼,g
实黄芩,克
羊髓,两
炮姜炭,"克,g"
六味地黄丸加远志,两
小帚,None
甘皮,两
猪腰子,个
片时去童便,None
用盐水浸炒,两
精羊肉,克
荆芥叶,两
熟枣肉,克
羊脊髓,两
盐炒大茴,g
每料约用净墨粉,钱
花蕊,斤
生葛根,斤
外皮,None
大蒜两头,None
研末,钱
胃炎,g
方,None
蜀天雄,分
败龟版,"两,个,克"
同捣,None
炒盐,g
秋梨,斤
再入生姜汁拌匀,两
黄盐,钱
青竹茹,两
百部根,"钱,两"
枸杞子,"两,两半,克,g,None,斤,钱,两5钱,C0克,分,合"
见穿,g
儿茶散,份
炉甘石,"克,None,g,钱,两"
紫苋叶,握
上茴香,g
翔羊粉,g
石龙芮,"None,两半,两"
小米,克
西红花,"g,钱"
建莲,"斤,两6钱,两"
生龙牡,g
银朱,"克,钱"
年至,None
折澄有滓再水飞,None
川断肉,g
雷公藤,g
捣如泥,None
使君子肉,"两,g,钱,分,两5钱,两半,个"
南苍术,"分,两"
广藿香,"钱,两,g"
白扁豆末,两
姜汁炒地黄滓,None
青皮《去瓤》,None
乳汁浸晒,None
须黄连,钱
煨豆蔻,g
秦皮,"克,g,钱,两"
白姜蚕,条
小青皮,"克,g,钱半"
北辛,g
白合,g
肉豆蔻仁,两
熟军,"g,None"
川浙,g
上以瓦盆盖密,None
炒小茴香,g
加水安息更妙,None
北黄芪,g
生甘草黄,钱
元桂,钱
玄精石,"钱半,钱"
苏薄荷,"钱,克,分"
人尿,毫升
珍珠米,g
蓖麻,粒
真香梗芋艿,斤
炙升麻,"g,钱"
川升麻,"两,克,None,两半,分"
苍白术,"None,g"
酱油,None
辛夷仁,None
豨莶草,"g,None,克"
花蛇肉,钱
钟乳石,"克,g,None,两"
玄参,"g,克,两,钱,None,-3钱,分,斤,两1分,两半,两5钱"
山慈菇,"g,两,克"
石燕,"对,枚,None"
白蒺藜仁,两
紫巴戟,两
鹿衔草,"克,g"
一炮研,None
炒荔枝核,g
川朴消,"两,两半,千克"
制苍术,"g,两"
肥生姜,斤
青蛙,两
干草,两
槐米末,钱
本鳖子,None
芥穗,"g,钱,两,None,分,克,两半,钱半,钱5分"
老生姜,"两,克"
收放湿纸上,None
尸木香,g
软乌梅,None
小川连,克
蚕沙,g
雄黑豆,粒
草,g
辣椒,克
知柏,g
大梅片,分
川楝子肉,两
椒子,粒
加藁本,None
麻炭,g
榼藤子,"两,None"
水银沙子,钱
钩藤,"None,g,克,石,钱,两,分"
瓦楞子,"g,钱"
去四味,克
凡士林,g
没食子,"两,个"
陈冬米,两
对酒,None
入在乌鸦腹内,None
黑山栀子,None
西归身,None
加人乳再蒸,两半
生内金,g
鸡内金,"克,g,钱,两,None,石,个,两3钱,张,分,具"
曾青,分
川白姜,"两半,两"
生神曲,两2钱
硫黄粉,两
蚕茧,g
搅匀,None
生藕汁,两
胆子矾,钱
白砂蜜,两
独蒜,斤
硫磺,g
川附子,"两,g,None"
咱甫兰,钱
红珊瑚,钱
以米醋,碗
白芷,"None,两,克,分,钱,g,钱半,钱5分,个,两半,钱2分"
%乙醇,ml
炒川芎,g
鸽子蛋,个
天仙子,"两,钱,枚"
黄蓍,"None,两"
朱寸冬,两
去滓不用,None
泡桐叶,g
翻过再蒸少顷,None
陈皮末,g
闹羊花,两
款冬花,"两,g,None,分,钱,克"
商陆,"g,两,斤,分,None"
千金子,两
丹皮,"两,None,克,钱,g,分,份,两半,两5钱,钱5分"
生川柏,克
广珠,克
面裹炮熟去肉,None
生地炭,"g,None"
胡椒,"两,None,钱,克,／2份,g,岁1粒,粒,分"
生姜自然汁慢火同煮令透软,None
陈壁土,两
煅瓦愣,g
大黄如枣大,块
白蔻壳,None
大蝉退,个
苡仁根,g
便再添入后细药,None
煅甘石,g
乌桕叶,g
芝硝冲服,g
炒曲,钱
炒广皮,克
甘李根皮,分
墨,两
生姜汁制饼,两
煎膏,两
炒藕节,g
松叶,"g,克"
蒲公英,"g,升,两,～60克,None,克,斤"
细辛红花,None
桐子炭,钱
干薄荷,两
轻粉,"钱,两,克,字,分,g,钱匕,两半,None"
橘核,"g,两,钱"
晒露,None
广三七,"钱,g"
羊蹄菜,None
煅龙骨粉,g
杵碎,None
蜜涂,克
黑牵牛子,两
云白术,钱
大倍子,个
侧柏叶,"g,两,分,钱,None,克"
乌鸦,"两,只"
锅内旋添汤,None
紫稍花,两
同煮焙干,None
涂生姜汁炙,None
无花果,g
再以米粉蒸之,None
羚羊粉,"None,钱,两半,两,克,-5钱,分,g"
苍耳子,"克,g,钱,升,分,两"
入后药,None
倍,None
渍豉,升
大黄先煎,g
煅针砂,g
益元散,钱
烧令黑色,None
炒知母,"g,克"
或人乳,None
生草乌,g
鹿角胶,"两,钱,g,克,分,两半"
煎候沸,None
三蛇胆,g
银柴,钱
生犀角,两
净花,None
烊阿胶,g
慢火煮干,None
大黄荆芥,克
去芯莲子,克
雄黄末,钱
木猪苓亦作片,None
炙党参,g
置阴地令干,None
金果榄,"两,分"
墨旱莲,"g,两,分"
蜜曲律,两
不用甘草,None
真上好芦荟,两
黄牛骨髓,两
青膏,g
切短,None
天仙藤,克
黑衣,两
铁笕菜,g
壁虱,None
白芍,"两,分,钱5分,克,None,钱,斤,g,两7钱,两5钱,份,石,钱半,两半,钱2分,两1分,两3钱"
鲮鲤鱼,两
桑螵蛸,"g,枚,None,分,个,两"
姜汁拌,分
女莓,两
焦蜜,g
菘菜子,升
言五倍子与沉香,钱
仍将鸡骨酥油和原汁或酒炙酥为末,None
炙枳实,g
栀子,"克,两,g,None,钱,分,枚,钱半,升"
放新瓦上焙干,None
谷草,g
乱发,"两,分"
干姜,"None,两,克,分,两半,g,铢,片,斤,钱,钱半,～100克,～9克,钱5分,石,两2钱,两5钱,块,两6钱"
二芽,g
泡参,"钱,g,None"
细研上药令极细,None
生商陆,升
小白菜,克
硼酸,g
生黄柏,g
用黑豆煮干,None
野狐肠连心肺,None
去水,None
盆复之,None
茅柏根,g
换泔,None
鸡骨草,g
生地,"两,克,两5钱,分,钱,None,千克,g,石,两半,钱5分,斤,升,斤12两"
路通,克
象鳖,个
青粱米,合
郁金,"两,克,g,合,None,分,石,钱,两5钱"
蛋白干,两3钱
血竭末,g
扁豆子,g
牛,None
山药粉,克
焦山楂,"None,钱7分,钱,克,g"
补中益气汤加地榆,两
地栗粉,"克,钱5分"
硫酸镁,g
炒面,斤
锁阳,"两,g,钱半,克"
同煮何首乌干,None
鹭鸶藤,两
使君子,"两,钱,钱半,克,None,g,个,两半"
去毛净,两
生姜自然汁炒熟,None
酒生地黄,g
菟线子,克
嫩鹿茸,两
内,两
上绵耆,两
红花地桃花,g
熟附,g
川贝,"克,钱,两5钱,分,两,None,g"
北五味子,"克,g,两,None,钱"
