雄黄,"两,g,钱,分,克,None,钱5分,钱半"
山楂肉,"钱,g,克,None"
海藻,"克,g,两半,两"
以盐泥固济,None
水牛角粉,g
紫天葵,g
干蝎,"两,分,两半,枚"
三月生艾,束
蒸馏水,ml
鸡子大,None
醋炒柴胡,g
有桂,钱半
两头尖,克
用浆水,None
紫苏梗叶,分
白粱米,合
银杏叶,g
白姜,"钱,None"
大枣,"g,枚,克,个,None,斤,钱"
制元胡,g
黄松节,两
炒大黄,"g,钱"
生乳香,两2钱
蜀漆,None
大海片,分
橡胶,两
焦荷蒂,g
白狗粪,分
款花,两
银柴胡,"克,g,钱半"
凤眼草,两
又放酒酱在内,None
伏龙肝,"钱,g,None,两,克"
并烧,None
好墨,两
大黄,"None,克,斤半,两,分,千克,钱,-20克,g,份,石,两半,钱5分,钱2分,铢,斤"
白丹皮,钱
参,None
山慈姑,"两,g,None"
蒸晒九次为度,None
强的松,g
去核,None
生贯众,g
川蜈蚣,条
玄参,"克,g,升,钱,分,两,钱5分,None,两半,钱半"
晒九次,克
川朴消,"两,分"
小蓟根,g
刘寄奴,"钱,克,两"
白鸡冠花,两
山楂炭,g
铁粉,"两,None,克"
蔻米,分
生地榆,g
无孔者,None
甘遂,"钱,两,克,g,分"
麝香末,None
酸木瓜,克
细辛,"克,g,钱半,两,None,分,钱,两半,铢"
同于瓷器内煮二十馀沸,None
磁石,"g,两,None,斤,分"
一方块,None
乌蛇皮,两
商陆,"克,g"
扁豆花,g
生地炭,"钱,g"
良姜,"两,克,钱半,分,钱,None"
牛膝,"None,克,g,钱,石,两,分,两半,斤,份"
黄葵花,两
日中拌晒,None
生少柏,None
厚半寸,None
童木通,g
白莲,g
腊梅,g
桑寄生,"g,None,两,克"
莪木,g
炒川楝子,g
或用鸡血藤,两
小块,None
零陵香,"钱,两,分"
蜂王浆,g
诃梨勒,两
冬虫夏草,g
下山虎,两
米粉,分
柿饼,None
石菖蒲,"克,None,g,两,分,钱,钱5分"
岗梅根,g
头发,"钱,握,两"
追地风,g
路口通,g
杜赤小豆,克
郁金粉,g
乱发如鸡子大,None
芡实,"斤,两,至5钱,～15克,克,g,None"
橘红,"克,g,石,分,钱,两半,两,None"
生黄耆,"g,两,克,斤"
升麻,"分,克,None,g,钱,两,两半"
枳壳灰,g
直僵蚕,钱
滑石,"克,None,斤,千克,两,g,钱,石,份,两半,分,钱半"
陈葫芦,g
枳实,"g,克,两,两半,None,枚,钱,分,斤"
米,"None,升"
1000,None
醇酒,升
生姜汁浸,None
干蟾,克
黑,None
真茅山苍术,两
桑叶,"克,钱,g,None"
青风藤,"克,g,钱,两"
饭锅上蒸,克
蛤蚧,"对,g,None"
菝,两
研烂,None
蝮蛇半条,None
茯苓粉,克
金佗僧,钱
胡萝卜,g
宿透,None
节菖蒲,钱7分
女贞子,"g,克"
猪胰子,个
净黄连,两
米泔浸,None
瞿麦穗,"克,g,两,分"
黑芝麻,"钱,两"
生鹿角,斤
好酒,斤
焦艾叶,g
赤豆卷,克
大石蟹,个
驴护干,None
炮姜炭,克
檀香,"两,g,两5钱,分,None,克"
制草,"钱,分"
瓜制枪消,两2钱
薏苡仁,"克,两,None,钱,g,石,两半,升"
好米醋,碗
榆白皮,"两,克"
毛科青,g
鸡心,两
大风子白肉,粒
