白圣,克
雄黄,"钱,g,分,克,两,None,石"
山楂肉,分
独活,"两,钱,None,g,克,分,两5钱"
活鲤鱼,条
三月生艾,束
香橡皮,g
马蔺花,两
巴夏嘎,g
北沙参,"g,钱,两,克"
减肥茶,None
白葡萄干,g
乌海,g
头发,"分,两,钱"
白姜,两
大枣,"枚,None,g,两,个,斤,克,升"
味同于釜水,石
鸡炙内金,g
蜀漆,两
盐水炒,两
冰片面,g
款花,克
银柴胡,g
凤眼草,两
兜铃,克
大黄,"两,克,None,g,两半,钱,分,铢,钱半,两1钱"
炙藕节,g
山慈姑,"g,分"
木,g
香蛇,两
炙半夏,None
玄参,"克,两,g,None,钱,两1分,两1钱"
地灯心,None
川朴消,两
刘寄奴,"两,g"
用童便熬沸,None
研如膏,None
生地榆,g
皂角刺,"g,根"
不令研细,None
拣人参,两
细辛,"克,两,g,钱半,钱,分,None,钱5分,铢"
磁石,"钱,斤,分,两,g,None"
化橘红,g
扁豆花,g
山羊角,g
良姜,"两,g,钱,None"
牛膝,"克,g,钱,两,分,斤,None,两半"
摈榔,g
去头,克
大小蓟,两
米醋涂遍,None
桑寄生,"g,钱,钱半,None,钱5分,分,两"
煎水,碗
藕节,个
陈黄米,两
穿山龙,g
玳瑁屑,g
真琥珀,"钱,分"
茉莉花茶,g
炒皂刺,钱
蓬莪茂,"克,两"
白粱米,合
石菖蒲,"两,克,g,None,斗,两半,分,钱,铢,节"
本有半夏,两
用五味子,两
生茅术,钱
本荆草,g
淡干姜,"克,g"
芡实,"克,钱,g,两"
橘红,"钱,g,克,钱2分,None,两,分,千克"
生黄耆,g
升麻,"None,克,g,两,分,两5钱,钱"
滑石,"钱,克,g,石,两,None,钱半,分"
月上已日取,None
枳实,"None,钱,两,克,g,分,两半"
米,None
鸡苏叶,两
黑山栀,"两,g"
枸杞茯苓,g
桑叶,"g,片,克,None,钱"
滤滓净用,None
小磨麻油,斤
糖粉,两4钱
青风藤,g
禹余粮石,None
蛤蚧,g
陈皮粉,g
淡香豉,g
龙泉粉,克
川通草,克
炭火炮,克
排帛,分
生扁豆花,g
姜汁拌,None
女贞子,"g,钱"
炒麦草,g
净陈皮,两
拌和罨,None
川菖蒲,g
以布拭去土净,None
柏白皮,两
外洗,None
茉莉花根,钱
粉萆?,g
浮萍草,"g,两5钱"
羊髓,克
生栀仁,g
杭菊花,克
檀香,"克,g,None,两"
塞水石,g
南参,克
薏苡仁,"两,None,克,钱,至5钱,g,升,合,石,分"
穗,None
榆白皮,两
甘油,ml
水耗即添热汤,None
九肋鳖甲,两
竹茹,"None,g,克,两,握"
磺石,克
味同捣取汁,None
大黑豆,钱
以布绞取汁熬成膏,None
霍香,g
好人参,None
胃炎,g
陈仓米,"None,合"
干柏枝,None
鲜生地,"g,钱"
败龟版,两
鱼醒草,g
麝香,"None,g,分,钱,克,字,厘,两,铢"
加白芍,None
炉甘石,"None,两,g,钱,克"
为末,克
大砂仁,g
石龙芮,两
西红花,g
巴豆肉,钱
珍珠,"g,克,钱,分"
紫苑,"两,g"
醋牡蛎,两
雷公藤,g
肥皂,两
香橼,"克,g"
荆三棱,"None,两"
南苍术,None
伏龙肝,两
藿香,"None,g,克,两,石,钱,分"
藿香根,克
白茅根,"g,钱,None,两,克"
玉竹,"克,g,钱,两"
冬青根,None
秦皮,"克,g,分"
夏枯草,"g,None,斤,克,钱"
玄明扮,None
小青皮,两
蜜,"合,两"
朱砂,"None,g,分,两,钱,克"
葵百部,g
肉豆蔻仁,"个,两,分"
熟军,"两,克,g"
牛脂,钱
禹余粮,"克,None,分,g"
青荷梗,厘
半夏,"None,两半,两,克,g,升,个,钱,枚,两5钱,钱半,斤,千克,钱5分"
北黄芪,g
台乌药,g
淬,None
文火炒燥,None
鲜竹茹,钱
鲜羊肝,千克
郁李仁,"分,两,克"
鸡子黄大,None
玄精石,None
芩,g
黑丑,"两,克,g,钱,None,分"
麝香当门子,个
菠萝香精油,钱7分
家韭子,两
雪上一枝蒿,g
炙升麻,"钱,g"
川升麻,"两,克,分"
马鞭草,g
青天葵,g
黑矾,"g,钱,克"
去子,None
安息香,"两,克"
豨莶草,"克,g"
九制熟地,两
全者,None
通白,g
瓜蒂霜,None
火煅令红,None
潞党,钱5分
山慈菇,"g,None"
石燕,对
续断,"两,克,g,None,钱5分,分"
鹿衔草,g
萑香,g
炙鳖甲,g
僵蚕,"克,两,g,钱,两5钱,分,枚,条,None"
炒楂肉,克
芥穗,"克,两,g,分,None"
炙附片,g
波棱瓜子,g
生栀子,g
尸木香,g
炙草.,g
越大越好,None
姜汁浸一宿,克
茯苓皮,"克,g,钱"
败棕,分
秋冬用子,握
每遇合药时入,克
臭樗根皮,两
铁粉,"两,钱半"
皂角,"两,g,分,个,钱,克,铢"
五灵脂,"g,两,钱,钱半,None"
僵蛹,g
川楝子肉,两
杜藿香,克
威灵仙,"两,g,None"
焦茅术,"钱,两,g"
人参败毒散除人参,None
炙绵耆,钱
干荷叶蒂,None
钩藤,"g,None,克,两,两5钱,分"
瓦楞子,g
黄柏皮,两
淮木通,"克,None"
研去油,克
没食子,"g,None,两"
熬令黑,None
酥半合,None
铜器中煎如漆,None
地骨皮,"g,None,两,两半,克,钱"
鱼脑石,g
花椒,"克,两,g,分,合,钱,钱半,None,两1分"
郁京,g
鸡内金,"克,g,石,钱,两"
陈绍酒,碗
金银箔,片
栀子仁,"两,分,克,两半,枚,钱"
17,两
五日一换,None
皂角仁,克
榆皮,两
天南星,"g,两,钱,克,None,分,个,斤"
将药水以生绢净滤过,None
用黄酒,两
新针,个
复将滓榨汁干用,None
泡洗,None
活乌背鲫鱼,个
蜈蚣,"条,对,g,枚"
川厚朴,g
鲜扁豆花,"None,克"
毛藤,斤
粉甘草,g
别炒,None
白芷,"两,None,g,克,钱,两1分,两5钱,分,两半,两1钱"
天仙子,g
黄蓍,两
乱发拳许大,None
红娘子,个
天南星末,钱
令稀稠得所,None
绵茵藤,g
蛇床仁,分
闹羊花,"g,两"
款冬花,"g,两,铢,分,克"
和蜜,None
东洋参,钱半
佩兰梗,g
丹皮,"克,钱,g,None,两,两半,分,方"
丹参,"钱,克,g,石,两,片,分,None"
胡椒,"g,个,None,钱,两,枚"
旱莲草,"g,钱,克"
槟榔汁,匙
陈壁土,两
萆麻仁,粒
粟子大,None
炒广皮,钱半
龙骨,"g,钱,两,两1分,分,克,None"
即将瓷器封好,None
明沙参,g
金银花,"g,克,两,None,钱,钱5分,两1钱"
野葛皮,分
蒲黄,"两,g,None,克,两半,合"
知母,"克,g,None,两,分,石,钱,两半"
蒲公英,"克,g,两,钱"
半夏曲,"两,克"
陈香橼皮,克
干薄荷,两
轻粉,"两,钱,g,分,None,克,贴"
橘核,"g,钱"
绿茶,g
蚺蛇胆,分
款冬花蕊,钱
神曲,"钱,两,克,g,None,块,钱5分,两5钱"
侧柏叶,"g,两"
杉木节,两
黄皮根,g
红灵丹,克
盐半合,None
炙全蝎,枚
红信石,克
羚羊粉,"None,两半,两,g"
苍耳子,"克,g,None"
又用米醋浸令纸湿,None
蒺藜,"g,None,两,钱,克,两半"
诃黎勒皮,"两,分,克"
锉细,None
川乌,"两,克,g,个,两5钱,两1钱,None"
哈士蟆,头
炒知母,g
丝擘,None
蓖麻子,"两,克"
猫爪草,g
鹿角胶,"g,两,克"
甜石莲子,g
生犀角,克
用新绵子用两重滤去汁,None
沉香,"钱,None,g,两,分,克,钱半"
新鲜芹菜,克
榴叶,g
肥松脂,两
铁落花,"None,克"
血竭,"g,两,钱,分"
杨香根,None
黄精,g
鼠曲草,钱半
黄酒,g
墨旱莲,g
慢火炮熟,None
卷柏,"g,两"
紫苏茎子,两
一,两
白蔻末,"克,g"
天仙藤,"g,钱"
姜滓,None
千里及,None
白芍,"None,克,两半,钱,两,g,分,两5钱,钱半,钱5分,斤"
桑螵蛸,"g,两,-7枚"
大青盐,"钱,两,None,枚"
炒砂仁,g
地肤子,"克,g,两"
煨甘遂,g
铁锈,克
韭菜子,"钱,两,g"
石膏,"g,钱,两,分,克,两半,None,钱半,铢"
栀子,"钱,两,g,None,克,粒,钱5分,分"
木防己,"克,g"
乱发,"克,握"
止泻木子,g
干姜,"钱,None,两,克,斤,g,片,块,分,铢,两半,钱半,两5钱,斤4两"
用川椒,份
白紫英花,两5钱
泡参,g
九香虫,g
亭苈,铢
白菊花,"g,None"
生黄柏,"g,钱"
桑白皮,"g,None,克,两"
遍后,None
再用稻草包紧,None
鲤鱼脑髓,克
乌梅,"g,个,分,None,两,克,钱"
鸡骨草,g
酒蒸,None
鸡血藤,"克,g"
干木瓜,"钱,两"
车米,钱
郁金,"两,克,g,石,分,钱"
芫花,"两,g,方,None,钱,分"
银消,钱
以上党参,两
牛,None
大蜈蚣,条
吴术,分
焦山楂,"克,g"
香藿,g
豆卷,g
姜黄片子,None
甲香,两
使君子,"两,g"
明参,"g,None"
大麦,粒
姜屑,克
制锦纹,钱
代赭石,"g,两,钱,克"
焦桅皮,g
鹿茸,"两,两半,个,分,None"
细曲,斤
乳香钱半,None
滓再煎,None
苍术陈土炒,g
川贝,"g,克,None,两,钱,两5钱,分,钱半"
猫人参,g
虎骨,"两5钱,None,两"
烟胶,克
牛黄,"g,克,钱,两,分"
藜芦,"铢,两,钱,分"
郁金粉,g
乱发如鸡子大,None
橘梗,钱
真沉香,钱5分
白英,g
羊脂,两
儿茶,"两,钱,g"
以面裹煨熟,None
金樱子,"g,None,-15g"
牛髓,两
山楂,"克,两,g,升,None,钱"
生灵脂,两
以生姜自然汁搜饼子,None
酒红花,None
金铃子肉,枚
淮膝,g
拣出全骨,None
淡豆豉,"克,g,升,合,None,千克"
茨实,g
建莲心,克
油朴,"钱,两"
贡白术,g
麦糵,两
葱白l握,None
金蝎,g
炒山楂,g
白滑石,"钱,None"
曲葶苈,两
乌豆衣,克
桁楜根,None
切开,None
红藤,"两,g"
荜茇,"g,None,钱,两"
藿梗,"None,钱,g"
槲寄生,g
猪后腿精肉,克
芎?,"两,分,None"
用酒拌湿透,None
槐枝,"斤,寸,条,-3寸"
