雄黄,"钱,钱3分,克,分,g,千克,None,两,石"
山楂肉,"克,钱,两,分,两8钱,两5钱"
以滚汤泡净,None
海藻,"克,kg,g,None,匙,钱,两,分"
水牛角粉,g
赖氏红,钱
生绿矾,g
两头尖,"g,钱"
用浆水,None
头发,"两,把,None"
木耳灰,两
大枣,"枚,None,两,个,g,分,斤"
猪肺,"具,克"
炒大黄,g
朱麦名,g
生乳香,g
生枳壳,克
桂府滑石,两
大黄,"克,两,钱,None,g,分,两半,斤,合"
拣出巴豆,None
南星末,两
炙令黄焦,None
米双酒,g
没药末,"克,钱"
小鸡,只
紫巴戟,两
川朴消,"克,两,分,斤"
鸡头肉,两
刘寄奴,"克,g,两"
碾为细末,None
铁粉,"克,两,None"
关夏,g
细辛,"钱5分,克,两,分,g,钱,None,两半,份,钱半,两1分,-6克,石,铢"
包煨,None
扁豆花,g
香圆皮钱半,None
牛膝,"None,克,钱,g,两,钱5分,分,份,两5钱,两半"
糯米糊调成饼,None
瓜蒌霜,克
小盏,None
真神金,张
白莲,g
炒川楝子,g
黄牛角,两
生艾叶,g
土地,钱
搅匀封口,None
真琥珀,克
炒皂刺,钱
白丑头,两
石菖蒲,"两,None,钱,分,克,g,节,两半,寸"
任从自食,None
柳条,"None,茎"
控干,None
漂白术,None
橘红,"g,钱,克,千克,两5钱,两,None,～15克,钱5分,分,钱半,斤"
生黄耆,"克,两,钱"
升麻,"克,None,钱,两,g,两1分,分"
直僵蚕,"两,克"
滑石,"克,两,None,g,分,钱,两半"
枳实,"克,两,个,钱,分,g,None,枚,石,两半,钱半"
米,"None,合"
亲贝,g
.芍药,克
干蟾,枚
梗米,g
淅贝,g
再入麸炒,None
炙紫苑,g
生艾,把
酽醋,升
再炖干药水,None
大黄后下,g
飞腰黄,钱
怀生地黄,"None,斤,两"
研细末,None
青州枣,"None,升"
煨白果,粒
蜀漆,两
老母鸡,只
净金灯,斤
炮姜炭,"克,g"
苏梗子,两
小甘草,克
片时去童便,None
牛李仁,两
大马宝,g
二十,两
白及末,克
肥玉竹l,g
生葛根,None
款花,"g,克"
胡麻子仁,两
姜厚朴,两半
秋梨,斤
里面白腻,None
青竹茹,"钱,克,两"
百部根,"克,g"
枸杞子,"分,g,钱,斤,克,两,两1分,None"
见穿,g
炉甘石,"None,g,两"
翔羊粉,g
秤,分
西红花,g
虎睛半只,None
生蜂蜜,g
粳米半杯,None
口耆,钱
油发灰,克
白凤仙,斤
南苍术,分
麦门冬末,两
广藿香,g
细卒,g
钱半,None
真厚朴,两
玉竹,"钱,克,g,两,None,分"
打穿,g
秦皮,"g,克"
上桂心,分
小青皮,克
血竭粉,g
苦药子,分
肉豆蔻仁,"分,两"
熟军,两
