雄黄,"两,g,None,钱半,克,钱,分,块"
山楂肉,"两,钱,分,None,克"
木鳖仁,"克,钱,两,粒"
水牛角粉,g
赖氏红,钱
冢间贴背干石灰,钱
化学发热剂,g
两头尖,"钱,克,g,两"
紫苏梗叶,分
头发,"钱,None"
大枣,"克,枚,只,g,None,个,斤,钱,两"
余个,None
炒大黄,g
生乳香,g
蜀漆,分
凤眼草,两
大黄,"克,分,两,g,钱,斤,-15克,None,钱半,钱5分,两4钱,石,份,两半,两1分,铢,升"
苣胜,斤
乌鱼骨,克
去核,None
生贯众,g
炒熟去盐留茴香入药,None
豨签,钱
盐泥固济,None
川朴消,"两,分"
刘寄奴,"克,钱,两,g,None,斤"
山楂炭,g
铁粉,"两,分"
松香脂,两
生地榆,g
去红娘子,个
拣人参,两
榉树皮,两
细辛,"钱,-6克,None,克,钱5分,g,两,分,钱半,两半,两5钱,-2钱"
商陆,"g,None"
扁豆花,g
牛膝,"None,克,两,钱,g,石,斤,两半,分,两5钱,钱2分"
为衣,分
消石末,钱
小盏,None
？骨草,g
制天虫,g
佩兰草,钱
百芍,g
少时挖干,两
藕节,g
真琥珀,钱
羖羊肺,具
蓬莪茂,克
桑鸡,两
取汁浸,None
石菖蒲,"克,None,两,g,节,钱,钱5分,分,升,斤,两1分"
紫檀香,两
酒杯,None
追地风,g
黑牛角,g
柴丹参,g
栝蒌根,两
橘红,"钱,g,两,克,None"
生黄耆,"克,钱,两"
五灵脂香附,None
直僵蚕,None
滑石,"钱,克,None,g,石,两,分,盏"
枳实,"g,钱,两,克,钱半,石,None,斤,分,两半,枚"
米,"None,石"
酒栀子,None
干蟾,"克,枚,分"
梗米,g
滤滓净用,None
生姜 大枣 老葱白,片
生五灵脂,g
蒜秸,g
炙甘草L,克
人乳粉,两
炙紫苑,g
炙苦杏仁,g
净陈皮,克
大黄后下,g
炒黑色,两6钱
瞿麦穗,分
野驼脂,两
余甘子,g
怀生地黄,"克,两5钱"
青州枣,"None,个"
炒白芍陈皮,g
赤豆卷,克
乌贼,克
羊髓,"升,两"
西大黄,两
炮姜炭,"g,分"
塞水石,g
蕲艾叶,两
臭小粉,两
投入,毫升
介子,g
生葛根,"升,斤,g"
炒续断,g
大蜻蜓,克
海马子,枚
炒干,两半
松花粉,None
入犍猪肚内,None
方,None
败龟版,"None,两"
四物加蒲黄,None
水葓,两
炙五味子,g
枸杞子,"克,g,None,两,钱,分,石,钱5分,斗,斤,两4钱,两5钱"
银柴胡,g
炉甘石,"g,克,None,斤"
石龙芮,"分,两"
西红花,g
建莲,克
生龙牡,g
银朱,"None,g,分,钱"
次下苍术,碗
雷公藤,g
油发灰,克
漏篮子,两
广藿香,g
钱半,None
煅乌贼骨,克
玉竹,"克,g,石,钱,两,分,None"
打穿,g
秦皮,"g,两"
上桂心,分
小青皮,g
马鬐膏,两
信石,两
白合,g
熟军,"钱,克,g,斤8两,None"
知母肉,钱
蔷薇根皮,两
苦丁茶,"g,克"
淬,None
干芦根,g
时萝,None
川百部,g
南瓜子,g
光明砂,"两,None"
玄精石,"两,钱"
用无灰酒浸一宿,克
川椒皮,克
炒熟地,钱
再加醋熬,None
蓖麻,颗
羌独活,两
炙升麻,g
益草,g
明烂石膏,两
乌附片,g
苍白术,g
少欹,None
辛夷仁,"None,分"
面粉,钱
钟乳石,"两半,分,None,两"
大黄锅粑亦铲下,None
陈棕榈炭,g
山慈菇,"g,克,两,钱"
石燕,"对,克"
产妇油发,克
鹿衔草,"克,g"
防己末,钱
制苍术,"None,两"
麻油,"斤,ml,毫升,两,克,升"
犀角汁,毫升
干草,g
娄芍,g
芥穗,"两,克,g,钱,千克,分,None,斤"
铅霜,"分,钱"
收放湿纸上,None
白背叶根,g
生石灰,g
鸭?草,g
煎汁,"碗,None"
红香椿根皮,None
鲜鸭蛋,个
蚕沙,g
氯化钠,g
取入瓦盆盛之,None
蔻米,克
大梅片,克
威灵仙,"g,克,两,钱,None,两半"
加藁本,None
钩藤,"克,g,石,分,钱,None,两"
瓦楞子,"None,钱,g"
黄柏皮,"None,两"
凡士林,"g,两,克"
没食子,"枚,个,克"
芙蓉叶,"克,两,个"
片姜黄,"克,None"
花椒,"g,两,克,None,粒,钱半,合,钱,分,升"
水牛角片,g
鸡内金,"克,g,石,个,具,None,两,钱"
绛真香,None
搅匀,None
谷躯,g
用黄酒,两
西赤芍,g
