雄黄,"钱,g,两,None,分,石,克,钱5分"
山楂肉,"钱,两,g,克,两5钱"
令折药力,None
独活,"钱,g,两,克,None,两半,斤"
人发灰,g
香橡皮,g
蝙蝠肝,个
醋炒柴胡,g
瓜子仁,两
以水,升
白粱米,合
头发,把
白姜,"钱,斤"
大枣,"g,枚,None,升,个,斤,两"
煎浓汁,碗
南木香黄耆,None
好京墨,两
鬼针草苗,None
猕猴骨,两
焦荷蒂,g
生槐花,"g,None"
银柴胡,"克,两,g"
焙蜈蚣,g
伏龙肝,g
大黄,"两,钱,g,克,分,两半,份,None,钱半,两5钱"
光明砂,两
去核,两
香蛇,两
川蜈蚣,条
玄参,"两,分,g,None,克,钱"
盐泥固济,None
头,None
刘寄奴,"None,分"
白鸡冠花,两
生地榆,g
蔓荆,g
细辛,"克,两,g,None,钱,分,斤,钱半"
磁石,"None,两,g,斤,两半,石"
维生素D<[,None
扁豆花,g
良姜,"两,两7钱,g,None,钱,钱半,克"
牛膝,"克,两,None,g,钱,钱5分,斤,分"
去苦,None
去头,"克,None"
制甘草,g
榧子肉,g
白莲,g
制天虫,g
桑寄生,"g,两"
胡黄莲,g
苡仁米,g
黄牛角,只
粉珍珠粉,g
亦如是法,None
川当,钱
冬虫夏草,g
蓬莪茂,千克
玉支,None
米粉,克
石菖蒲,"两,None,克,g,钱,分,斗"
鹿角胶,"g,两"
次日蒸透晒干,None
白花蛇肉,分
姜夏,"钱,g"
芡实,"斤,克,两,g,钱"
橘红,"None,两,克,钱,g,分,钱5分"
生黄耆,"两,g,钱"
升麻,"None,克,两,分,g,钱"
枳壳灰,g
直僵蚕,"分,两"
滑石,"两,克,钱,g,石,两半"
陈葫芦,g
枳实,"两,None,克,个,两半,分,g,枚,铢,两2钱"
米,"None,合"
猪椒叶,升
淡附子,钱
干蟾,两
黑山栀,"g,两,None"
桑叶,"钱,g,石,片,None"
青风藤,None
至伏尽日收起不晒,None
滤干,None
蛇蜕皮,"寸,克"
四逆散,None
沉香粉,g
酽醋,升
女贞子,"g,克,None"
入猪胆汁,None
瞿麦穗,克
川菖蒲,g
川胡麻,两
日平旦在方圆,None
怀生地黄,"斤,None"
猪腰,克
取起冷定,None
乌蔹莓,g
西枸杞子,斤
浮萍草,克
羊髓,"两,升"
和粗皮捣令细,None
炮姜炭,钱
檀香,"克,两,钱,g,None"
制草,钱
薏苡仁,"None,钱,斤,两,克,g,分"
甘油,g
薄片切,None
二十,两
陈香蒿,克
生知母,g
陈仓米,"None,g"
鲜生地,g
姜厚朴,克
菟丝子,"两,g,克,钱,None"
石绿,-3钱
石灰华,g
炙草扁豆,None
红木香,g
青竹茹,"克,石"
百部根,钱
枸杞子,"两,钱,g,克,两半,None,分"
炉甘石,"g,钱,两,克"
草解,g
大砂仁,g
建莲,斤
珍珠,"g,钱,分,克"
银朱,钱
紫苑,g
木防己,两
雷公藤,g
?必应,g
香橼,"克,g"
鸡血藤,"g,克"
细茶,"两,None"
广藿香,"g,两"
白屈菜,g
钱半,None
藿香根,克
白茅根,"克,g,分,两,石"
玉竹,"g,克,石,两"
煅硼砂,钱
秦皮,"克,g,两"
白姜蚕,条
水飞,两
小青皮,克
蜜,"两,毫升"
炒赤色,None
朱砂,"钱,分,克,g,None,两8钱,两,粒"
度换出,None
肉豆蔻仁,两
生耆,钱
每天一次坐浴,None
禹余粮,"两,None"
桔梗尾钱半,None
马兜铃,None
半夏,"钱,None,钱半,克,g,两,个,升,石,分,两半,两4钱,铢,枚,份,～9克"
煨令赤色,None
光贯众,钱
台乌药,"两,g"
浸蒸晒干,None
生首乌,"g,克"
锅内慢火煎令消,None
李根白皮,g
郁李仁,"两,分,粒"
二面针,g
用梨汁浸拌,None
北粳米,克
刮去粗皮,None
苏薄荷,g
大猪肚,个
黑丑,"两,克,千克,钱,g"
楠,钱
纸糊瓜口,None
青鱼胆,只
炙马钱子,克
炙升麻,钱
川升麻,"两,分,克,两半"
候硫黄化,None
黑矾,"两,克,分"
苍白术,g
安息香,"分,None,两"
大香附,两半
沉香五,两
钟乳石,"克,两,钱半"
利马锥,钱
喉闭草,g
山慈菇,"g,两"
冰香,克
以无灰酒,升
续断,"两,钱,g,None,分,克"
每只作,片
不教漏气,None
鹿衔草,g
去毛,None
潞州人参,克
肥生姜,两
小柴胡汤加甘草,钱
炙鳖甲,g
赤石脂炭,钱半
僵蚕,"g,两,克,钱,None,分,个"
芥穗,"两,克,g,None,钱"
入生姜,斤
真青黛,两
以酒,升
生栀子,g
艾炭,两5钱
姜汁浸一宿,克
茯苓皮,"克,g"
荷叶梗,厘
小川连,克
蚕沙,None
氯化钠,石
鲜鱼腥草,克
五灵脂,"分,两,g,None"
知柏,g
生神曲,两2钱
犀角末,分
杜藿香,"克,两2钱"
威灵仙,"g,两,分,两半,片,None"
生明矾,钱
以赤石脂固缝,None
炒三仙,g
制白附子,g
钩藤,"g,石,分,两,钱"
瓦楞子,g
黄柏皮,钱半
熟甘草,克
鸭趾草,g
凡士林,两
没食子,"两,钱"
陈冬米,两
地骨皮,"两,分,克,None,斤,g,两半,钱"
片姜黄,"两,g"
加人乳再蒸,两半
中桂,克
赤苓皮,克
鸡内金,"两,克,None,钱,g"
曾青,None
卜子,两
或入虎脂,None
木猪苓,两
