雄黄,"钱,两,克,None,分,g,钱半,斤"
山楂肉,钱
独活,"两,分,克,g,None,钱"
生黄芪,g
墨旱莲,"g,秤"
牡丹,"两,克"
飞来鹤,g
白姜,两半
大枣,"克,枚,g,个,None,升"
朱麦名,g
生乳香,钱
桂府滑石,两
见穿,g
伏龙肝,两
大黄,"两,克,两半,钱,g,分,None"
定风草,两
光明砂,"克,两"
漂净朱砂,钱
为粉,None
煅青礞石,克
玄参,"两,克,None,钱,g,寸,石,钱5分,分"
风仙花全草,株
川朴消,"千克,斤"
刘寄奴,钱
山楂炭,g
铁粉,"两,克,分,None"
拣人参,两半
细辛,"两,克,None,分,两半,g,根,钱半,钱"
磁石,"两,None,钱,g,克,千克,石"
化橘红,None
扁豆花,g
良姜,"克,两,None,钱"
牛膝,"None,两,分,g,克,钱"
色紫味辛,None
桑寄生,"g,None,分"
投半夏洗数次,None
浆水煮,None
零陵香,两
真琥珀,"克,None"
冬虫夏草,g
山棱,钱
石菖蒲,"g,两,钱,None,钱半,分,克,节,合"
搓去黑皮,None
降香片,g
控干,None
柴丹参,g
芡实,"钱,克,斤"
橘红,"钱,两5钱,分,两,钱半,克,g,钱5分"
升麻,"克,None,分,钱,两,钱半"
滑石,"两,克,None,千克,g,钱"
枳实,"两,g,克,石,None,分"
米,None
又熔化,None
草决明,"两,None,g,合"
桑叶,"两2钱,g"
同煮厚朴,None
姜汁淹,两
蛤蚧,"对,钱5分"
酒茺蔚子,g
冰片香油,g
黄连备,None
蛇蜕皮,None
复以葱,None
生麝,钱
先将猪肚净洗,None
节菖蒲,钱7分
酽醋,合
女贞子,"两,g"
作,None
榜嘎,g
柏白皮,两
怀生地黄,克
四物汤,两
青州枣,两
宽,None
杭菊花,g
檀香,"g,两,克,None"
薏苡仁,"克,g,两,分"
候渗酒尽,None
大马宝,g
韭菜子,"克,钱"
磺石,克
冰片,"分,钱,g,None,两,克,厘"
生葛根,None
方,None
鲜生地,克
三茯苓,g
败鼓皮,分
石灰华,g
陈莱菔,克
.仙茅,g
百部根,两
麝香,"钱,分,字,克,钱5分,None,两,g,厘,钱半"
饭熟为度,None
炉甘石,"两,克,钱"
同生姜捣如泥堆,两
故纸,"两,钱"
珍珠,"钱,分,g,克"
紫苑,g
木防己,两
雷公藤,g
荆三棱,"钱,None"
紫花地丁,g
再以水漂晒干,None
玉竹,g
秦皮,"铢,g"
豆簆,克
酒生地,g
蜜,"两,None,分"
柳枝长,尺7条
白合,g
朱砂,"g,None,两,钱半,克,分,钱,钱3分,合,钱2分"
肉豆蔻仁,克
禹余粮,"两,None,钱"
半夏,"None,克,两,个,g,-1两,钱,石,合,分,钱半"
煅炉甘石,克
台乌药,克
晒干摘断,None
郁李仁,"分,两,两半,克"
南瓜子,g
大猪肚,个
黑丑,"两,钱,None,克,g"
初出卷荷,克
川升麻,"克,两,分"
马鞭草,两
好茶,克
蛴螬,枚
安息香,"None,克,g"
辛夷仁,两
炙半夏,g
烟灰,克
生炙,分
左旋延胡索乙素,g
上宫粉,钱
山慈菇,两
续断,"None,g,克,两,钱"
鹿衔草,克
健猪肺,个
生珍珠母,克
炒黄芩,克
僵蚕,"钱半,两5钱,两,钱,克,分,-2两,条,g,None"
净青黛,钱
芥穗,"克,g,两,None"
白芨,"g,两,钱"
以酒,升
生栀子,"钱,g"
炙草.,g
用无灰酒蒸,None
连纸锉细,None
佛手参,g
再用酒,毫升
五灵脂,"g,钱,分,None,两"
只用净末,两
威灵仙,"两,g,钱"
乌梅,"两,个,g,分,克,枚,斤"
水银沙子,克
傲霜经风雨者,None
钩藤,"两5钱,两,None,钱,克,g,-30克,分"
淮木通,钱
凡士林,"None,g"
没食子,"g,枚"
倾坑内,None
地骨皮,"None,g,分,两,克,钱,两2钱"
花椒,"g,钱5分,钱,两,克,粒,分"
郁京,g
鸡内金,"g,两,克,None"
金银箔,片
栀子仁,"两,钱半"
用纯钢锉生锉末,None
皂角仁,克
天南星,"两,钱,克,None,-1两,石,g,分"
煮水干为度,None
乌犀角,钱
杨梅皮,None
大热地,克
古文钱,"None,钱"
熟地黄炭,g
提白蜡,钱5分
川厚朴,"两半,克,分"
川郁金末,None
用姜汁,None
次制过,None
闾茹,克
黄蓍,两
用生姜汁并酒合和,克
红娘子,钱半
犀角粉,g
绿梅花,g
款冬花,"None,g,两"
黄雄鸡,只
紫草茸,克
丹皮,"克,None,两,g,钱,钱5分,两半,两5钱"
丹参,"g,两,克,None,两半,钱"
姜远志,None
旱莲草,"两,g"
壳,None
湿杵作饼,两
入银石器内水熬烂,None
紫梢花,两
嚼之细细如椒者始真,None
用牡蛎粉,两
墨,分
明沙参,g
金银花,"g,None,钱,分,两,克"
蒲黄,"g,两,克"
知母,"钱,克,两,分,None,g,尾,斤"
松叶,两
蒲公英,g
半夏曲,"两,g,克,None,钱半"
轻粉,"钱半,两,钱,分,None,克,字"
橘核,钱
茯苓,"None,两,g,克,分,两5钱,钱半,钱,两半"
炒稻芽,两
神曲,"两5钱,两,克,None,g,钱"
侧柏叶,"g,两,分"
羌活身,钱半
蜗牛,个
炙全蝎,g
羚羊粉,"钱,两,None,克,g,分"
苍耳子,g
滑石块,"g,克"
蒺藜,"两,石,g,分,两半,克,钱"
诃黎勒皮,"克,两"
益元散,克
蕤仁,"铢,None"
蓖麻子,两
鹿角胶,"两,钱,升"
土地黄,两
猪胆汁,g
沉香,"g,钱,钱7分,两,克,None,分"
分作,份
杜牛膝,两
铁落花,g
血竭,"钱,g,两,克"
菝葜,None
上白茯苓,克
黄精,"克,g"
金果榄,"g,两"
生芪,g
卷柏,"g,两"
好墨,两
肥葱,升
盐炒黄柏,g
制益智,钱
桔梗尾,"克,钱半"
放石铁器内熬汁尽,None
白芍,"g,两,None,克,钱,分,两半"
以纸卷定,None
桑螵蛸,"g,克,None"
大青盐,"钱,两"
熟酸枣仁,石
地肤子,"g,钱"
面,None
竹茹,"两,克,g,None"
石膏,"两,克,千克,g,分,钱,None,斤,两半"
栀子,"克,两,g,分,None,枚,钱"
建菖蒲,g
乱发,两
干姜,"克,两,两半,～9克,片,g,斤,钱,None,分,铢"
欢花,g
蚂蚁,g
金牛草,None
泡参,钱
桑白皮,"克,None,两半,g,分,钱"
广木香,"钱,g,克"
川附片,两
去水,None
米粉,None
干木瓜,两
生铁塔,g
郁金,"克,钱,两,g"
芫花,"克,分"
颗块大朱砂,两
酒生地黄,克
煅紫贝齿,g
真香油,斤
台白术,克
大瓦盆盖覆周围,克
锁阳,"钱,g,两"
甘草,"两,None,分,克,钱,g,寸,钱半,斤"
牵牛头末,钱
使君子,"个,钱,枚"
明参,g
代赭石,"两,钱,None,g"
鹿茸,"两,None,钱"
白梅肉,None
北沙参,g
川贝,"两2钱,两5钱,克,分,钱,g,None,两"
北五味子,"克,两,分,g"
好夜明砂,钱
虎骨,两
煅寒水石,克
牛黄,"钱,克,分,g,两,None"
藜芦,克
真藿香梗,两
金礞石,g
玄武板,两
赤鲤鱼鳞,两
炙绵耆,钱
儿茶,"钱,克,钱2分"
金樱子,"两,None,克,钱"
山楂,"两,g,None"
栀仁,钱
酒红花,钱
炒酸枣仁,"克,g"
大斤,None
建莲心,克
贡白术,两半
麦糵,"两,钱"
安神膏,g
白芜荑,None
羊胫炭,None
使君子仁,None
水洗,None
黑铅,None
将松香研末,None
