雄黄,"克,分,g,None,钱,两,钱半"
山楂肉,"两,None"
生玳瑁屑,钱
树皮,g
生黄芪,"g,钱"
马蔺根,两
生芪,g
两头尖,"钱,克"
减肥茶,None
生使,枚
乌海,g
银杏叶,g
木耳灰,两
大枣,"枚,个,g,None,斤,千克"
鸡炙内金,g
黄松节,两
蔓京,g
酒芍,None
银柴胡,两
焙蜈蚣,g
桔梗蒡,g
干美,两
兜铃,两
飞净辰砂,钱
切片子,None
大黄,"g,None,两,克,分,钱,两半,石"
山慈姑,g
去核,枚
杜苍术,克
没药末,分
玄参,"g,克,None,两,钱,分"
盐泥固济,克
川朴消,两
刘寄奴,"g,分,None,两"
如是者,None
铁粉,"两,两1分,分"
生晒白术,g
生地榆,g
川芎炭,g
小匙,None
细辛,"None,g,克,钱,两,分,铢,钱半,两半"
磁石,"克,g,两半"
化橘红,"None,g"
生地炭,"斤,g"
良姜,"克,None,g,两,钱"
牛膝,"g,None,两,钱,克,分"
去头,None
瓜蒌霜,克
肉苁蓉,"两,g,None,克"
白莲,g
天仙藤,分
桑寄生,"g,钱,克,None"
浆水煮,个
搅匀封口,None
不用枣,None
木zh0草,g
大风子,"None,钱,个,粒"
芫花,"两,钱,None"
酒杯,None
姜粉,g
芡实,"钱,两,克,～15克,g"
橘红,"钱,克,None,g,石,两3钱,两,两2钱"
生黄耆,钱
升麻,"克,两,g,钱,None,分"
滑石,"None,g,钱2分,克,两,分,钱半,钱"
枳实,"克,g,None,钱,两,两4钱,分,钱半"
以黑豆,千克
草决明,g
干蟾,"具,两"
黑山栀,"g,None"
梗米,g
桑叶,"钱,克,None,g"
蛮虫,g
玉屑,分
蛇蜕皮,寸
炙紫苑,g
蔗鸡,None
女贞子,"克,g"
瞿麦穗,"克,两,分"
白羊肝,None
青黛粉,克
柏白皮,两
浮萍草,"石,g"
炙苏子,g
杭菊花,克
檀香,"g,两,钱,None,斤"
渴忒,两2钱
薏苡仁,"钱,g,None,克,两"
更煎,None
用酒浸,"两,None"
竹茹,"g,分,None,两4钱,克,钱,石"
炒橘核,g
霍香,钱半
刮令净,两
鲜生地,g
败龟版,两
枫叶,片
薄荷素油,g
青竹茹,钱
麝香,"钱,g,分,克,None,钱半,字"
饭熟为度,None
炉甘石,"两,None"
为末,None
填入腹内,None
上茴香,g
石龙芮,两
松石蕊,g
蝙蝠,个
珍珠,"钱,克,分"
紫苑,g
复再铺何首乌一重,None
元寸香,分
鸡血藤,g
飞矾,分
伏龙肝,"钱2分,两"
藿香,"g,钱,两,None"
白茅根,"克,g,分,None,两"
玉竹,"克,g,分,两半,两"
煅硼砂,g
秦皮,"g,两半"
夏枯草,"克,g,None,斤"
胭脂胚,钱
蒌仁泥,g
鲜白茅根,g
田三七末,克
蜜,合
以姜汁半合涂炙,两
朱砂,"克,钱5分,g,两,分,None,钱,钱半,两1分"
葵百部,g
夜明沙,None
熟军,g
绢筛过,None
禹余粮,"克,钱,两"
真附子,两
马兜铃,"g,None,两,分"
半夏,"克,钱,g,两,None,石,分,升,钱3分,斤"
净鱼鳔,斤
茅山苍术,斤
台乌药,g
焙白前,g
郁李仁,"g,两,None,分"
玄精石,"克,两,钱"
木通草,铢
黑丑,"g,两,克"
棱,None
炙升麻,g
川升麻,"克,两"
马鞭草,g
黑矾,"两,克"
蛴螬,枚
炙蜈蚣,g
硼酸粉,g
新会红,g
钟乳石,分
山慈菇,"g,两"
上铺何首乌一重,None
续断,"None,克,g,钱,分,两"
龙芽草,None
鹿衔草,"克,g"
筋,None
炒焦甘草,克
酥炙黄色,两
炙鳖甲,g
僵蚕,"钱半,条,None,g,克,钱,两半,两"
板蓝根针剂,ml
芥穗,"克,g,钱,斤"
以酒,升
生栀子,g
粮白酒,g
当归钱半,None
炙麻茸,g
金瓜荽,g
蝉翼蝉蜕,枚
五灵脂,"克,g,两,None,分"
火上煨焙,None
知柏,g
土色硫黄,两
去白留黄,None
威灵仙,"g,两,钱,克,分,None"
焦茅术,钱
钩藤,"None,g,两"
瓦楞子,g
炒葶苈子,g
没食子,钱
猪脱氧胆酸,None
螺儿青,分
地骨皮,"g,None,分,克,两,铢,钱"
花椒,"g,两,合,None,分,钱,粒"
正川芎,None
鸡内金,"g,两"
大当归,None
陈绍酒,None
栀子仁,"两,分"
澄清,None
天南星,"g,克,两,None,两半,钱半,钱"
荠苨,两
杨梅皮,两
旱莲萆,g
虎耳草,None
皂角膏,None
蜈蚣,"g,条,钱"
川厚朴,g
苍术l,g
毛藤,斤
白芷,"None,g,两,克,钱,分,两半,钱2分,钱5分,斤"
大肠内者亦可用,None
天仙子,升
斑蛰,个
红娘子,钱半
甘草节,"钱半,克"
入坩锅内,克
夏估草,g
闹羊花,"两,分"
鹰爪黄连,茎
款冬花,"钱,两,克,None,g"
商陆,g
%茜草软膏,g
丹皮,"g,克,None,斤,钱5分,两,钱"
大蒜头,g
郁金,"g,枚,两,钱,None"
锡恡脂,两
胡椒,"粒,钱,个,分,两,g"
旱莲草,"g,克"
把,None
青州白丸子,None
炒曲,钱
龙骨,"克,g,分,钱,两,None,两半"
明沙参,g
金银花,"g,克,钱,钱半,两,石,None"
蒲黄,"None,g"
知母,"None,两,克,g,钱,分"
松叶,g
同酥炙,None
蒲公英,"g,None"
半夏曲,两
轻粉,"g,钱半,分,钱,两,钱匕,克"
