忍冬藤,g
雄黄,"钱,两,克,分,g"
山楂肉,克
鸣蝉,枚
参三七粉,g
尖槟榔,钱
甘遂,"g,两,钱"
白葡萄干,g
加破开槟榔,None
大枣,"None,枚,个,g"
菵草,两
大连翘,g
黄豆,两
当归?克,None
青蒿汁,升
兜铃,两
枯矾,"g,None,钱"
大黄,"两,克,g,None,钱,份,两半"
/,None
生地黄汁,"合,升"
山慈姑,g
虎头骨,两
海狗鞭,对
炒菜菔子,g
玄参,"kg,g,克,钱,两"
生杏仁,两
刘寄奴,"g,钱"
制大黄,g
铁粉,分
鳗鲡鱼头,枚
食糖,None
细辛,"分,公斤,None,克,g,份,两,铢,钱"
生蜜数匙,None
磁石,"g,两"
化橘红,"g,两,None,克"
良姜,两
牛膝,"g,None,两,斤,分"
竹沥,合
地龙干,g
茯苓,"两,克,钱,钱半,g,None,两半,两5钱,分"
茜草,两
炙紫菀,g
桑寄生,"g,两,克"
氧化锌,g
小块,None
黄牛角,两
藕节,g
当归身,"两,g"
牙消,字
兔耳风,g
冬虫夏草,g
虎杖,g
芫花,分
白头翁,g
骟鸡肝,None
芡实,"g,枚"
橘红,"钱,两5钱,克,钱7分,None,g,两"
升麻,"克,两,None,钱,分"
滑石,"两,g,None,钱"
麦冬汁,合
枳实,"克,None,g,两"
米,撮
鲜地龙,条
芒消,"两,None"
麻黄浸膏,g
浮萍草,"g,分"
干蟾,枚
桑叶,"钱,g,克"
青风藤,g
拌炒三次,None
白术,"两,钱,克,None,g,钱半,分,钱5分,斤"
蛇蜕皮,尺
生白矾,None
沉香粉,g
川芎,"钱7分,克,g,两,None,分,两半,钱"
女贞子,g
火硝,两
净黄连,两
黑脂麻,克
黑芝麻,None
明硼砂,分
怀生地黄,"None,斤"
五味子炭,两
麻黄酌量,None
木瓜,"个,g"
藕汁,合
漏芦,g
红娘子,None
净金灯,斤
苦葶苈子,None
珊瑚,克
桑根白皮,"克,两"
薏苡仁,"两,g,None,钱半"
沙棘膏,g
白豆寇,None
桑枝,"克,尺,None,g"
拣取白仁,两
不得真者则不如不用,None
细辛酌量,None
竹茹,"None,g,两"
方海,g
生葛根,g
生五味子,"两,斤8两"
龟板,两
蟾蜍,枚
蚕砂,钱
天雄,None
始蚧,对
生犀屑,两
当归,"两,克,None,g,钱,分,钱5分,两半,钱2分"
枸杞子,g
胡桃肉,"个,g"
白附子,两
石龙芮,分
蝉蜕,"g,两,克"
紫河车,g
密蒙花,g
珍珠,"克,钱"
土瓜根,两
净蝉衣,g
紫苑,g
自然铜,None
鸡苏,两
地黄,"g,两"
苏子,"两,钱,克,g,None,升"
制附片,g
乱发,两
广枣,g
百部,"克,两,None,g,石"
伏龙肝,两
真厚朴,两
白茅根,"g,分"
玉竹,"None,g,两"
秦皮,g
绿豆末,两
生芡实,克
蜜,两
炒赤色,两
朱砂,"两,None,g,两1分,克,钱,钱半"
紫菀茸,两
熟军,g
榧子仁,克
次以曾青,None
当归炭,g
佰子仁,钱
