雄黄,"g,None,钱,两"
山楂肉,两
桃花,克
木鳖仁,两
甘遂,"两,None,g,钱"
马蔺花,两
瓜子仁,合
两头尖,克
生巴仁,两
姜夏,g
大枣,"枚,两,克,g,None"
炒灵脂,两
炒大黄,g
稆豆皮,钱
桂府滑石,两
旱莲,"克,g"
益母膏,斤
白蜡末,钱
银柴胡,"g,分"
蚕虫壳,g
羊毛脂,g
紫花地丁,"g,None"
枯矾,分
不灰木,两
大黄,"两,克,g,钱,None,两半,分"
生耆,"g,钱"
虎头骨,两
盆消,克
沙苑子,"克,g,斤"
玄参,"g,克,钱,None,两1分,分"
洋金条,g
豨签草,"g,钱"
球,None
白鸡冠花,两6钱
霜桑叶,"克,g"
九一丹,两
细辛,"两,g,克,None,石,分,钱"
磁石,"克,g,两,None"
化橘红,g
荟芦,分
良姜,"两,斤,None"
牛膝,"钱,克,g,千克,两,None,分,斤"
竹沥,g
茯苓,"g,克,两5钱,两,钱,分,千克,斤,None"
干菖蒲,g
茜草,"g,两,钱"
桑寄生,"克,g,双"
缬草,g
雪白矾石,钱
零陵香,钱
百合,"g,分"
牙消,克
黑蛇,条
墨,两
冬虫夏草,g
白丑头,两
艾叶炭,g
虎杖,g
石菖蒲,"节,克,两,g,None,钱"
白头翁,"两,g,分"
琥珀末,"None,两,g"
鲜猪胰,条
芡实,克
桃奴,枚
橘红,"g,克,两"
升麻,"分,克,None,两,两半,钱"
滑石,"两,钱,g"
西珀,钱
枳实,"克,两,g,分"
米,None
虻虫,"枚,两"
土贝母,g
漏芦,两
黑山栀,"两,g"
桑叶,"克,g"
人中白,钱
白术,"克,g,两,钱,None,分,钱半"
南枣,钱
细茶叶,两
川芎,"克,-30克,两,g,钱,None,千克,升,石,分"
女贞子,"钱,克,两,g"
火硝,g
水貂鞭胶,g
半边莲,g
作,分
大鲫鱼,尾
黑脂麻,两
黑芝麻,"g,两"
粳米,"升,克"
红景天,g
天麻,"克,g,两,None,双,钱"
刺力,g
红凤仙,斤
木瓜,"克,g,两,None,分"
宽,None
浮萍草,钱
王瓜,两
炒黄色,克
杭菊花,"克,石"
檀香,"g,两5钱"
大腹皮,"两,克,g,钱"
薏苡仁,"克,None,钱,g,两"
白信石,"克,分"
穗,None
干山药,"两5钱,克"
桑枝,"斤,克,g"
不得真者则不如不用,None
竹茹,"克,g,两,分"
鲜石菖蒲,g
上好羊脑炉甘石,两
霍香,克
用竹刀子刮令碎,None
龟板,"克,g,石"
菊花炭,None
明砒,钱
鲜生地,"克,g"
天雄,两
制马钱子,g
上白术,两
水葓,两
当归,"钱,两,g,克,分,None,钱半,斤"
使君子肉,分
麝香,"g,钱,分,字,None,克"
炉甘石,"钱,两4钱"
东门上雄鸡头,枚
蝉蜕,"两,克,g,None,个,分,枚"
紫河车,"g,具"
赤白芍,None
全蜈蚣,g
银朱,钱
自然铜,两
天花粉,"g,钱,两,克"
地黄,"g,两"
粳米半杯,None
苏子,"两,g"
白凤仙,斤
百部,g
广藿香,g
白茅根,"克,分,两"
玉竹,"g,两,两半"
秦皮,g
败酱草,"克,g"
栝蒌实,None
羚羊角粉,"克,g,石"
蜜,克
侧柏枝,斤
朱砂,"钱,None,克,g,两,分,钱半,钱5分"
肥大枣,枚
葱汁半钟,None
姜汁,None
禹余粮,两
谷精子,钱
黑丑头,两
鸡血藤,g
蜜半匙,None
辛夷花,None
槐花,"两,钱,g"
半夏,"克,g,None,分,个,两,石,两半,钱,枚"
陈香橼,两
淬,None
鱼鳔,两
红牛膝,克
生龟板,g
干枣肉,两
轻,克
黑丑,两
枯黄芩,两
孩茶,钱
醋灵脂,两
益草,g
艾叶,"两,None"
煨天麻,克
生薏米仁,g
芒消,分
苍白术,g
安息香,两
面粉,钱
钟乳石,两
陈皮,"两,分,克,g,None,钱"
连翘,"两,g,钱半,None,克"
京赤芍,克
山慈菇,g
芜活,g
续断,"两6钱,两,克,None,g,分,钱"
莪术,"两,g,钱,分"
白茅根末,克
海马,g
蛤壳,g
炒黄芩,g
当是,g
僵蚕,"克,钱,g,两,条,None"
白介子,g
水和作饼,None
芥穗,"克,两,None,g"
莲须,"钱,克,两5钱"
白蘘荷,两
制大黄,"克,g"
生栀子,g
块,None
炙草.,g
茯苓皮,g
手爪甲,两
鳖甲,"分,克,g,两"
余滓更入酒,升
五灵脂,"两,g,None,分"
山药肉,g
知柏,g
用火煮,None
威灵仙,"两,分"
熟地,"g,两,克,None,千克,钱"
绿升麻,分
瓜壳,g
磁石末,None
大豆卷,克
钩藤,"克,两,g,None,石"
酸枣仁,"None,克,g,石,两,分,钱"
天,None
芦荟,"克,钱半,钱"
凡士林,"两,g"
建曲,g
猪胆汁,g
芒果,g
地骨皮,"钱,克,g,分,None,两"
声黄柏,g
盐,"分,None"
片姜黄,克
花椒,"两,g,枚,粒"
大濂珠,钱
鸡内金,"克,g,具,个"
日装入竹筒内阴干,None
公丁香,"两,g,个,钱5分,分"
干地龙,g
苦地丁,"g,克"
兑黄酒,斤
炙山甲,g
天麻苗,两
天南星,"克,g,石,两"
赤石脂,"两,钱"
菊花瓣,克
栀壳,g
蜈蚣,"条,g,钱,两"
可以芫青,枚
肉浓汁,None
逐个入巴豆,粒
黑矾,分
白芷,"两,g,克,分,None,两半,钱"
陈佛手干,两
白藜芦,g
吴蓝,两
鹿茸,"g,对,两,两半,钱"
竹叶柴胡,g
黄蓍,钱
用硬炭火煅,None
山萸肉,"g,两,克,钱"
罐内,None
白扁豆,"钱,两"
泡桐叶,g
滤去宿童便,None
款冬花,g
绿豆衣,克
红药子,g
丹皮,"g,两5钱,钱,两,克,None"
大蒜头,斤
丹参,"克,None,g,分"
红鸡冠花,两6钱
旱莲草,"克,g,None"
壳,克
裹前药,None
陈壁土,两
铁华粉,两
佩兰,g
净杭萸肉,两
甘石渐渐转如松花色,None
仙鹤草,g
玄明粉,"g,钱"
溴化钠,g
紫梢花,钱
今虫粉,g
紫草,"g,钱,克"
降香,两
石决明,"两,克,g,钱"
生乌犀,克
白花蛇舌草,"克,g"
金银花,"克,g,两"
穿山甲,"两,g,片,钱,None"
同研,None
蒲黄,"两,g"
蒲公英,"克,g,None"
人参,"两,克,两5钱,钱,g,千克,None,分,钱半"
半夏曲,"分,克"
轻粉,"两,钱,克"
广三七,g
绿茶,g
稀莶草,g
大梅片,"钱,g"
生木瓜,两
神曲,"分,两,克,两半,g,None"
抱木神,g
炮姜柴胡,g
侧柏叶,"g,两"
防已,g
川木香,g
玉米须,"克,g"
荆芥,"克,g,None,两,钱"
收秋露数晚,None
生川乌,g
炙全蝎,g
人参败毒散,贴
羚羊粉,"两,None,克,g,钱,两半"
黑荆芥,分
苍耳子,"克,两,None"
生姜自然汁,克
旋覆花,"克,g,钱,两,两半"
羊鞭胶,g
蒺藜,"克,g,钱,两,None,千克"
诃黎勒皮,"两,两半"
川乌,"两,克,g,两半,个"
生水蛭,g
麻油,斤4两
低骨皮,g
蓖麻子,两
鹿角胶,"g,两"
羚羊角片,g
炙黄芪,g
海狗鞭,两
海浮石,"g,克"
人参浓汁,None
沉香,"g,克,两,钱,分"
杜胆星,钱
当归身,"g,克"
苦参,"g,斤"
浸之,None
血竭,"None,克,分,钱"
菝葜,g
姜制厚朴,两
黄精,g
铅白霜,钱
细川连,g
墨旱莲,"g,两"
菜油半钟,None
淮木通,钱
东丹钱半,None
椴龙齿,石
香白薇,g
真冰片,分
白芍,"克,两,g,钱,石,双,分,钱半,None"
硫黄,"两半,钱"
时,None
麦芽,"分,两,g,None"
大青盐,"两,钱"
生酸枣仁,g
真琥珀,钱
地肤子,两
小甘草,分
忍冬藤,"克,g,两"
谷精草,钱
韭菜子,两
石膏,"克,钱,g,千克,两,两4钱,两半,None"
栀子,"钱,分,g,克,None,两"
黑豆馏油,g
炙令黄,None
生熟川军,钱
姜,片
干姜,"片,斤,g,None,两,分,克,钱,钱半"
青葙子,"钱,千克,克,两"
赤芍,"克,g,钱,两,分,None"
豨莶草,克
白菊花,"克,g"
没药,"两,g,钱,None,克"
桑白皮,"g,分,克,钱,None"
羊胆汁,g
桅子,g
皂角,"两,分"
以水丸作,None
乌梅,"克,g,两,None,分"
枳壳,"两,分,克,g,None"
阿胶,"两,g,克,None"
吴茱萸,"两,g,克,None,钱"
炒甘草,两
甘草节,两
郁金,"两,克,g,钱,None"
芫花,"两,g"
不通,g
血竭末,克
铜绿,两
大蜈蚣,条
焦山楂,克
先熬六七滚,None
糯米,"两,g,撮"
清油,斤
欢皮,g
使君子,钱
另研,两
夜明砂,两
明参,g
明雄黄,"两,钱"
何首乌,"克,g,None,斤,两"
用新铜罐盛入童便,None
盛于日下晒之,None
蜂蜡,"两,克"
代赭石,"克,g,石"
毛冬青,g
白砂糖,克
胆南星,"两,g,克,None"
北沙参,"克,g,钱"
炒香附,两
川贝,"克,g,分,两,钱"
生山甲,两
茶叶,"g,钱"
虎骨,钱
牛黄,"g,分,字,钱"
藜芦,两
真鹿角胶,钱
大茴香,g
栀子仁,两
大青叶,"克,g"
川雅连,g
儿茶,"克,钱"
金樱子,g
山楂,"分,克,g,两,None"
生灵脂,两
煮至豆腐起蜂窝时取出,克
川升麻,克
淫羊藿,"克,g,两"
土茯苓,"克,g"
洋地黄,g
枸,g
生滴乳香,钱
榆枝,两
荔枝核,g
桑葚子,g
青皮,"分,两,g,合,钱,克,None"
红藤,"g,克"
柳絮,克
生龙牡,g
荜茇,None
羚羊骨,"g,石"
藿梗,两
桔梗,"g,两,分,None,克,钱"
蔓菁菜,两
乙醇提取物,None
大附子,"个,钱"
王不留行,g
芎?,"钱,两,分"
槐枝,斤
白糖,"g,克"
生莱菔子,g
水蛭,"g,枚,两"
锻龙齿,g
以慢火煮附子,None
尖双仁,None
紫菀,"两,g"
樟丹,"两,None,g"
象牙屑,钱
麻黄,"克,分,两,g,钱,None"
厚朴,"分,两,克,g,None"
酒浸,None
凤凰衣,钱
浮小麦,g
荠菜花,g
熊胆,钱半
葫芦巴,两
制附子,g
薤白,斤
羚羊角屑,"克,两,分"
紫苏茎叶,两
芦根,"g,两"
白矾,"两,g,None"
石韦,g
硇砂,两
双钩藤,"克,g"
云茯苓,g
不必再煮,None
实,g
飞雄黄,g
木香,"两6钱,分,None,两,g,克,钱"
小蓟,g
石斛,"克,钱,两,千克"
用好酒,盏
阳起石,"g,两,钱"
甘枸杞果,两
西瓜霜,g
珍珠母,"g,克"
炒枸杞子,克
防风,"克,钱,两,g,千克,分,None"
发团,两
草决明子,克
以酒尽力度,None
趁热切作片子,None
鸡蛋,个
土元,g
新砖末,None
制半夏,"g,石"
蕤仁,None
合欢皮,g
栝楼实,克
柴胡,"两1钱,分,钱,两,克,g,石,钱半,None"
川牛膝,"克,两,g,石"
炙僵蚕,g
?豆衣,g
狗脊,"两,g"
另捣为末,两
细心谨慎取起,None
蜜蒙花,分
油,两
夜交藤,"克,None,g,石"
沥青,两
即下铜锅内煎熬成膏,None
海桐皮,两
醋延胡,两
晚蚕沙,两
紫苏茎,克
炒苍术,g
板蓝根,"克,g"
净轻粉,两4钱
藿香,"两,g,分,字,钱"
-蒲公英,g
生甘草,"克,双,g,石,两,钱"
功劳叶,None
川柏末,g
骨碎补,"克,钱"
用缸片,None
猪胆,个
生山栀,"克,钱"
煮浓汁大半钟,None
白芥子,"钱,两,克,g"
百药煎,"钱,两"
佛手,g
臼内以木棒春去刺,None
元胡,"两,g,钱,钱5分"
新鲜猪胆汁,g
生石决明,"克,g"
砂仁,"两,分,g,克,个,两5钱,钱"
羚角粉,g
醋柳果,石
党参,"克,g"
蒜白,斤
榆白皮,升
熟干地黄,"克,两"
苁蓉,钱
枇杷叶,"g,分,两,片"
南玄参,两
真川椒,None
梨汁,None
拣,None
白鲜皮,g
夏月逐日换水,None
锡磷脂,两
苏梗,"g,两,钱5分"
