雄黄,"g,克,None,两,钱,分"
山楂肉,两
海藻,"g,斤,两"
水牛角粉,"克,g"
甘遂,"None,g,两"
两头尖,克
大枣,"None,g,枚,个,克"
涂脊骨上,None
蓝,分
生麦门冬,斤
水安息,None
益母膏,克
蔓莉子,g
银柴胡,两
紫花地丁,g
枯矾,"钱5分,g"
先将水烧滚,克
大黄,"None,克,g,石,两,分,钱,两半"
生耆,g
铁蚊龙,None
煅青礞石,克
玄参,"g,克,两,None"
金橘饼,个
铁粉,克
铅粉,"钱,两"
净蜜,斤
小匙,None
细辛,"克,钱,两,g,None,石,分"
岗稔果干,g
磁石,"两,None,克,g"
化橘红,g
良姜,"两,克,g"
牛膝,"克,g,两,钱,None,两半"
竹沥,"瓢,None,滴"
茯苓,"g,克,两,None,石,钱半,钱,两半,分"
茜草,"None,g"
京牛黄,克
桑寄生,g
零陵香,"克,g,两8钱"
百合,"克,合,g,钱,分"
玳瑁屑,g
真琥珀,克
草蒲,g
蛇泡勒,g
炒艾,两
虎杖,g
芫花,"None,钱,两"
皂子大,None
琥珀末,"g,石"
芡实,"g,None,钱"
紫金片,分
橘红,"g,None,钱半,钱"
升麻,"None,克,g,钱,两,分"
黄芪,"克,g,钱,两,None,分"
滑石,"两,None,克,g,石,分"
陈葫芦,g
枳实,"g,None,石,克,钱,两"
金刚莲,g
鲜地龙,条
芒消,"克,钱,分"
狼毒,两
樟脑,克
黑山栀,"两,g"
桑叶,g
酒炒白芍,两
蛭,None
炙甘草L,克
白术,"克,g,两,钱,分,None,～6克,两半"
蛇蜕皮,寸
苣胜子,两
川芎,"克,两,None,g,石,钱,分"
酽醋,碗
女贞子,"克,g"
千里光,g
乌头,枚
半边莲,g
瞿麦穗,两
鹿角片,g
炙地龙,g
槟榔,"克,g,两,None,两半,个,分"
木瓜,"两,g,钱"
浮萍草,石
檀香,"千克,g,斤9两,None,克,两"
桑根白皮,"两,两半"
薏苡仁,"克,g,两,钱"
白信石,分
百芷,g
磺石,克
葡萄糖粉,克
以硇砂末,两
仙茅,g
辛痍,g
龟板,两
兰花竹叶,g
子羊肉,两
鲜生地,"克,g"
天雄,"None,个"
当归,"克,g,None,钱,两,分,钱5分,钱半"
以完为度,None
麝香,"g,克,两,分,None,钱半,钱5分,钱,字"
泽兰,"None,g,克"
胡桃肉,g
鸡蛋壳,g
中心取,块
石龙芮,None
蝉蜕,"克,g,钱5分,两,分,None"
紫河车,"石,个,两,具"
赤白芍,g
珍珠,"g,克,分"
土瓜根,两
鹿角霜,"g,两"
海桐皮,两
地黄,"钱,两"
雷公藤,g
苏子,"g,钱5分,钱"
水牛角,"g,克"
百部,g
广藿香,"钱,g"
白茅根,"石,g,None"
玉竹,"克,两,石"
宣黄连,钱
秦皮,g
败酱草,"g,None"
胭脂胚,克
羚羊角粉,g
芜花,两
北辛,g
朱砂,"g,克,两,钱,None,钱半,分"
京玄参,克
熟军,None
禹余粮,None
醋浸炒,两
淡豆,个
栝萎,g
辛夷花,"克,None,g"
马兜铃,克
半夏,"g,克,钱,None,升,石,两,～9克,分"
煅赤石脂,两
尸地龙,石
生甘草黄,钱
生箭耆,克
郁李仁,两
安南桂,克
玄精石,None
干薄荷叶,两
黑丑,"g,None,两"
柳桂,钱
再加醋熬,None
瓜蒌仁,钱
炙升麻,g
川升麻,克
艾叶,"两,克"
黑矾,g
安息香,"克,g,分"
钟乳石,两
昆布,"g,两"
白鲜皮,两
连翘,"克,g,两,None,分"
青连翘,"钱,g"
加黄芩,None
前胡,"克,g,None,两,分"
续断,"两半,g,两,None,分"
桔梗l,g
莪术,"None,g,两,钱半"
苏合香,"克,g"
蛤壳,None
莲子,"g,None"
了哥王,g
僵蚕,"None,克,g,钱5分,两,钱,分"
香薷,g
芥穗,"克,g,两,None"
大黑枣,个
鳖甲,"两,两半,g"
广郁金,"钱,g"
煅瓦楞子,g
怀牛膝,"克,石,g"
骨碎补,"两,克,两半"
蚕沙,g
氯化钠,None
黑面神,g
降香,"None,克,g"
樟脑块,g
%五倍子末,g
川楝子肉,钱
威灵仙,"g,克,两"
熟地,"克,g,None,钱,两"
鱼脑石粉,克
水银沙子,None
虻虫,"None,克"
草蔻,"钱,分,两,None"
钩藤,"钱,克,g,石,两,分"
酸枣仁,"克,g,石,两"
芦荟,"None,钱"
看矾枯,None
炙令黄,None
地骨皮,"g,克,两,两5钱"
白糖参,g
花椒,"克,None"
鸡内金,g
公丁香,"克,g,两2钱,钱,None,分,两5钱"
金银箔,None
茯芩,None
栀子仁,两
川丹皮,克
石龙子,None
赤石脂,两
荠苨,分
蜈蚣,"None,条,g"
蓖麻子仁,g
粉甘草,克
白芷,"两,克,g,钱,两2钱,None,分"
鹿茸,"None,g,两半,两"
黄蓍,"钱,两"
制苍术,g
石榴根,握
山萸肉,"None,克,g,石,两"
白扁豆,"g,None"
闹羊花,两
鹰爪黄连,None
款冬花,钱
蜀升麻,两
商陆,g
入大蒜装满,升
丹皮,"克,g,钱,两,分,钱半,None"
甘松,"克,g,两8钱,两"
