以锤子砧上细硗,分
雄黄,钱
用酒拌和,两
百蒺藜,g
鸡子,枚
先登,钱
炭火煅过,None
鸡头肉,两
甘遂,两
生芪,克
巴夏嘎,g
两头尖,两
麋茸,两
藕,两
黑而实,None
大枣,"枚,两,g,个"
蜀漆,两
榠樝,None
生麦门冬,两
酸枣仁,"克,两,None,g,钱"
上多盖黑豆蒸之,None
干葛花,None
银耳,克
银柴胡,钱
更研堪用者,分
伏龙肝,克
靳蛇,g
大黄,"钱4分,两,两5钱,None,克,钱,g,分,两半"
飞仙,钱
人乳浸,None
使熟白绢袋子盛,分
沙苑子,"两,钱,克,g"
玄参,"分,钱4分,两,None,克,两5钱,g,石,两半"
紫巴戟,两
川朴消,两
刘寄奴,None
制大黄,g
霜桑叶,"钱,克"
砂锅煮裂,None
些儿,None
牛膝酒洗同入砂锅木甑,None
童子狗,只
拣人参,"两半,克"
瓷器中研令极细熟,分
细辛,"合,钱,两,分,钱半,两半,None,克,g,两5钱"
以瓷碗盖之,分
磁石,"None,g"
入砂锅内煮干为度,克
生蛤壳,斤
炙枇杷叶,g
良姜,"克,None,两"
萤火虫,"合,分"
茯苓,"两,None,钱,两5钱,克,分,g,千克,石,铢,钱半"
羊肝,具
桑寄生,g
味用醋,None
藕节,g
百合,"两,None,克"
竹刀切开,None
冬虫夏草,g
米粉,两
捶碎如枣核大,None
蒌皮仁,g
石菖蒲,"两,None,节,钱,g"
乾坤髓,None
吐蕃丝,None
刺蓟,两
控干,None
芡实,"两,钱"
橘红,"钱5分,钱2分,两5钱"
升麻,"两,克,g"
滑石,"钱,两,g,分,None"
生蟹足,两
枳实,"两,钱5分,两半,g,两5钱,钱"
米,合
酒煮烂,两
干称,斤
取净肉,两
樟脑,"两,g"
元冬,g
干蟾,两
大升,None
桑叶,"None,两,斤,g"
饭熟讫出,分
红三七,g
风流带,钱
桑螵蛸,"两1分,克,两,分,g"
汤浸,None
白术,"两,None,钱,g,两半,克"
蛇蜕皮,两
苣胜子,"钱,斤,None,两"
川芎,"两,钱4分,g,None,钱,两5钱,克,两3钱,千克,石,分"
女贞子,"克,两,g"
千里光,g
乌头,"两,钱"
以芽带绿色为度,None
惟取白净者为佳,分
牧童,g
黑脂麻,两
黑芝麻,"石,g"
搅匀摊纸上,None
火煅红,None
炒白盐,钱
四物汤,两
炒茺蔚子,克
槟榔,"g,两,钱"
上桂心,g
酒醋,升
木瓜,"两,g,个"
多年燕子窝,None
羊髓,两
车前草叶,片
檀香,"钱,g"
防风根,钱
桑根白皮,两
紫苏,"None,g"
薏苡仁,"g,两,None"
水尽至石英,分
干山药,"两,钱,两5钱,克"
酒浸经宿,两
用童便浸,克
韭菜子,"钱,两"
冰片,"克,钱半,None,钱,钱5分,g,分"
炙黄耆,钱
片切倍,None
仙茅,"斤,两"
甘菊花甘草,克
龟板,"两,钱,g"
麸炒枳实,分
日中晒干,克
蚕砂,None
败龟版,两
天雄,"对,两"
冬青,两
研细如粉,None
当归,"两,钱,g,None,两半,克,斤,两5钱,分,钱2分,钱半"
百部根,两
枸杞子,"两,钱,None,克,斤,g,～20克,两5钱,两半,千克"
白莲须,钱
炉甘石,"克,斤2两,None,钱"
蜜酒浸,None
秤,斤
蝉蜕,"钱,钱4分,g,两,克,None,枚"
紫河车,g
故纸,两
珍珠,"克,None,分"
银朱,两
鹿角霜,钱
醇酒,斗
海桐皮,"两,g"
以好酒煮令熟,None
地黄,"钱,克,g"
苏子,"钱,两"
制谷芽,两
水牛角,g
鸡血藤,g
用人乳拌,None
百部,分
童便浸,None
白茯,None
谷牙,g
为本,None
以生绢袋于铜器中水飞之,分
玉竹,"克,g,钱,两"
振山威,两5钱
败酱草,"g,分"
水飞,两
如作粉法,分
用铜刀锉碎,None
信石,"钱5分,钱"
朱砂,"None,两,钱,克,钱半,字"
生三七粉,g
微日晒略干,None
川楝肉,两
禹余粮,克
生姜自然汁和为饼,None
有烟尘出者,None
飞制甘石,两
半夏,"两,g,两半,钱,None,克"
茅山苍术,钱
陈香橼,只
酒浸半日,钱
鱼鳔,None
鲜羊肝,"千克,g"
郁李仁,两
玄精石,克
取中央好者,分
青箱子,g
炙干草,g
黑丑,"两,分"
乙醇,ml
白何首乌,两
川升麻,两
艾叶,"升,两"
煨天麻,钱
节裂角茴香,g
芒消,"两,克,None"
双仁,None
安息香,"两,分"
马蔺子,分
用糯谷,-4升
蔻壳,g
蛤,石
白鲜皮,g
连翘,"钱4分,None,克,g,两,钱5分"
天麻,"两,克,g,钱,分"
石燕,两
续断,"None,分,两,钱,g"
每只作,片
莪术,"两,克,g"
水和作饼,None
槐花,g
蛤壳,两
水豆粉,None
点,None
僵蚕,"两,None,g,克"
劈两片,两
芥穗,"g,斤,克,None"
同巴豆,粒
鳖甲,"g,None,两,克"
生栀子,g
再加好醋,升
用铜刀子,None
獐牙菜,g
波棱瓜子,g
韭叶捣汁浸数日,None
粳米,"合,克,g,两"
酒尽为度,None
路路通,g
真青黛,None
五灵脂,两
去赤水,None
瓦器内慢火熬成膏,两
威灵仙,"两半,两,g"
熟地,"两,None,钱,两5钱,斤,克,钱5分,g,千克"
瓜壳,g
钩藤,"克,g,两,None"
瓦楞子,两
铅白霜,钱
酒制黄柏,g
没食子,钱
建曲,g
板蓝根,g
炙令黄,None
干菊花,"None,斤"
又方加白蒺藜,两
木臼杵去刺,None
花椒,"两,g,斤,None,分,克"
鸡内金,g
曾青,克
卜子,两
公丁香,"钱,两,None,分,克"
苦地丁,克
栀子仁,分
真甘枸杞,两
酒拌,None
乌犀角,钱
煎取,升
龙胆草,"钱4分,None,两,两4钱,克,g"
川厚朴,g
黑矾,钱
白芷,"两,None,克,钱,铢,g"
鸽子蛋,个
鹿茸,"克,两,两半"
雌鸡,具
山萸肉,"两,钱,分,斤,克,g,石"
