将黄泥包封,克
雄黄,"分,千克,钱,None,克,g,两"
山楂肉,"两,g,两5钱"
独活,"钱,两,g,两半,分,None"
水牛角粉,克
赖氏红,钱
墨旱莲,"斤,g"
白葡萄干,g
次日蒸透晒干,None
大枣,"None,两,枚,g,个,升"
猪肺,具
生乳香,g
蜀漆,分
款花,钱
生百部草,g
银柴胡,钱
焙蜈蚣,g
兜铃,"两半,钱,两"
细辛紫菀,克
大黄,"两,None,钱,g,克,分,斤,两半,份"
山慈姑,g
入酒,None
为粉,None
玄参,"两半,g,两,kg,克,None,分,钱"
紫巴戟,两
川朴消,"克,分,两"
刘寄奴,"g,None"
桔硬,g
苯甲酸钠,g
天茄,g
铁粉,"钱半,分,钱"
蓖麻粉,升
杜仲炭,斤
新绛,钱
食糖,斤
细辛,"g,克,None,公斤,钱,份,两,分,两5钱,钱5分,两半"
磁石,"g,两,None"
化橘红,"g,两,None"
山楂炭,两
炒玄胡,g
良姜,"两,克,钱,None"
牛膝,"两,克,分,g,None"
广姜黄,钱
大小蓟,克
三仙饮,钱
制天虫,g
日泻出粪水取起,None
小块,None
藕节,"g,-30克"
干葛锉细,None
兔耳风,g
冬虫夏草,g
蓬莪茂,克
广藿香油,ml
石菖蒲,"g,两,None,分,钱,钱5分"
任从自食,None
头发,两2钱
漂白术,None
鲜桑枝,尺
姜粉,g
芡实,"钱,g"
橘红,"克,两5钱,g,钱,None,两,钱7分,分"
生黄耆,"两,克,斤"
升麻,"克,None,两,分"
直僵蚕,钱
滑石,"钱,None,克,g,两,分"
枳实,"克,两,None,g,分,钱"
米,"None,合"
青头雄鸭,只
结实人参,两
亲贝,g
以麻油,斤
桑叶,"g,克,钱,两,None"
青风藤,g
蒜秸,g
研烂,斤
蛇蜕皮,克
沉香粉,g
炙紫苑,g
女贞子,"斤,g,克"
红枣皮,两半
瞿麦穗,两
榜嘎,g
黑芝麻,None
慎勿烘炒,None
怀生地黄,斤
研细末,None
炙地龙,g
生蛤壳,g
羊肉,克
煨白果,粒
炙苏子,g
炮姜炭,g
檀香,"g,两5钱,钱,None,两"
渴忒,两2钱
汤浸露,None
薏苡仁,"钱,None,克,两,g,两1分"
更煎,None
竹茹,"g,钱,两,握"
生葛根,None
炒橘核,g
鼠骨,分
瓜仁,钱
菊花炭,钱
炒仙鹤草,g
鲜生地,g
败龟版,两
同捣,None
石绿,两
石灰华,g
郁李根皮,两
百部根,"g,克"
麝香,"None,分,g,两,克,钱,钱半"
以和生姜滓,None
儿茶散,份
炉甘石,"分,两"
翔羊粉,g
秤,分
赤白芍,g
珍珠,"g,分,克"
银朱,两
紫苑,g
雷公藤,g
鲜藕汁,两
使君子肉,两5钱
细茶,两
广藿香,两
雪花膏,g
白茅根,"钱,克,g,-30克,升,None"
玉竹,"g,石,分,两,克"
秦皮,"g,克,两"
上桂心,分
灸杷叶,g
蜜,"合,升,斤"
朱砂,"两,克,g,钱,分,分5厘,None,钱5分"
紫菀茸,"克,None"
熟军,"钱,克,g"
禹余粮,"分,两"
苍耳茎叶,两
半夏,"克,两,None,钱,g,分,～9克,千克,钱半,两2钱,个"
治中汤加丁香,None
山豆根,"g,钱"
台乌药,g
浸蒸晒干,None
焙白前,g
郁李仁,"两,分"
用梨汁浸拌,None
以生姜汁炒地黄滓,None
黑丑,"两,g"
真香梗芋艿,斤
川升麻,"None,分,两"
马鞭草,g
黑矾,"两,g,钱"
先用枳壳,两
安息香,"两,g"
硼酸粉,g
新会红,g
好沉香,两
豮猪肝,具
钟乳石,g
煨石膏,两
石燕,两
续断,"g,两,分,克,None,斤"
生诃子,g
鹿衔草,"两,g"
醋玄胡,g
炒黄芩,g
用生姜捣成饼,None
大梨,只
干草,g
僵蚕,"两,g,None,克,钱,分"
芥穗,"两,g,None,千克"
铅霜,"两,分"
老生姜,斤
丁香枝杖十,两
生栀子,两
干薯蓣,分
艾炭,两
覆盆子,"g,分"
炙麻茸,g
川雄黄,两
椒巴豆,方
五灵脂,"g,None,克,钱,两"
犀角末,分
威灵仙,"两,g,None,克"
党参芦头,克
钩藤,"钱,g,None,两1分,克"
瓦楞子,g
苍术,"克,两,g,钱,分,两2钱,None,两半,钱半"
炒葶苈子,g
猪脱氧胆酸,None
地骨皮,"两,None,钱,克,g"
片姜黄,"钱,g"
花椒,"公斤,g,克,两,None,粒"
鸡内金,"g,钱"
卜子,钱
木猪苓,"两,分"
栀子仁,"两,None,克,分"
白豆,两
桔梗流浸膏,ml
竹叶,"克,g,None,斗,片"
醋炙玄胡,g
先煮,None
芋梗,g
古文钱,克
三奇神曲,钱
蜈蚣,"条,g,钱"
川厚朴,钱
用姜汁,None
粉甘草,"钱半,两,克"
白芷,"两,g,两半,分,克,钱,None,斤,两5钱"
生地,"None,钱,两,克,g,分,升,千克,斤"
炙乌梅,g
生姜汁煮透,两
红娘子,"g,个"
牛蒂子,g
萆?,g
蛇床仁,两
款冬花,"两,克,g,两5钱,kg,钱,None,分,铢"
商陆,克
雷公藤浸膏片,g
紫草茸,克
丹皮,"两,钱,g,None,克,分,两5钱,斤"
大蒜头,g
丹参,"克,g,钱,两,None,分,钱5分"
盖,克
胡椒,"g,两,None,克"
旱莲草,"钱,g"
黄苍,g
漂冬丹,钱
梨肉,g
茄茸,具
猫儿毛,None
制甘石坯子,克
解石斛,钱
墨,两
云茯苓,"两,钱"
明沙参,g
金银花,"g,两,克,None,钱5分"
蒲黄,"两,克,g,None,钱"
知母,"克,钱,None,两,分,kg,g,两半,升"
母鸡,只
蒲公英,"两,克,g"
半夏曲,"两,克,钱"
轻粉,"g,钱半,克,钱,两"
橘核,"g,两,None,克,钱"
广三七,克
黄处芪,g
蜜涂,None
千年健,g
谷芽,"两,钱,g"
侧柏叶,"g,两,None"
茜草,"克,g,钱半,None"
蜗牛,个
全蝉蜕,克
姜糖,g
羚羊粉,"None,钱2分,两,g,克,分,钱"
苍耳子,"g,两"
竹茹粉,克
蒺藜,"克,g,两,分,None"
诃黎勒皮,"分,两半,两"
川乌,"两,钱,克,g,钱半,None"
杏仁香精,ml
经霜桑叶,克
蕤仁,"分5厘,钱半"
蓖麻子,两
猫爪草,g
鹿角胶,"分,两,g"
羊骨,分
三蛇胆,g
熟附,None
沉香,"None,钱,分,g,克,两,钱5分"
好龙骨,钱
熟苍术,None
血竭,"g,钱"
黄精,"g,克"
金果榄,"g,钱,None"
藕根,两
卷柏,"两,两半"
好墨,两
核桃油,g
朱砂面,钱
计,两4钱
蕤仁粉,克
龟肉,None
真冰片,钱
白芍,"两半,g,None,钱,克,两,斤,分,钱5分,两5钱"
地黄汁,"升,合"
桑螵蛸,None
大青盐,"钱,枚,两,克"
兔毫笔头,个
地肤子,"g,分,两"
面,匙
韭菜子,"克,g"
石膏,"g,两,钱,分,克,None,两半"
炙枳实,g
栀子,"两,克,g,None,钱,钱半,分"
次换水,None
木防己,g
鸡血藤,"g,克"
干姜,"g,None,两,克,片,分,两半,钱,合,斤,铢,钱半"
生紫菀,"两,g"
泡参,g
鸡肝,个
白菊花,克
桑白皮,"两,克,钱,g,None,钱7分,分"
羊胆汁,毫升
蛇蜕皮灰,两
乌梅,"两,克,斤,g,钱,双,方,枚"
加入飞黄丹,斤半
衣中白鱼,枚
郁金,"两,钱,g,分,None,克,石"
芫花,"合,分,两"
小胡麻,"分,g"
生麻黄,g
过罗,None
全瓜篓,g
次醋浸,None
陈醋,"g,ml"
锁阳,斤
光泽泻,两半
使君子,"钱,枚,个"
土白芷,两
狸骨,分
沙苑子,克
天竺子,g
代赭石,"克,g,None"
鹿茸,"两,g"
黄百部,g
北沙参,"g,两,克,钱,None"
去苗,None
川贝,"分,钱,g,两,克,None,-10g,斤8两,石"
北五味子,"None,克,g"
虎骨,"钱5分,分,两"
黑铅,钱
牛黄,"g,克,None,分,两,钱"
核桃,两
威吴仙,g
次盐水浸,None
金礞石,两
本荆草,g
白英,g
杜耳风,两
兰香根,两
金樱子,g
白豆蔻曲,钱
山楂,"g,克,两,钱,None"
鲜牡荆根,g
制僵蚕,g
穿山甲骨,两
麦糵,分
白芜荑,克
不以多少,None
石枣,克
白萝卜汁,g
夜合枝,None
一半熟,None
白芍山萸,克
广皮红,克
炒防风,g
荜茇,"g,两,克"
荆芥尾,钱
以酒浸七日了,None
洗去涎,None
加白硼砂,钱
芝硝,g
橄榄,g
芎?,"两,分,None"
菟丝子,"克,g,两,分,斤"
清酒,斗
苦楝皮,钱
羊胆干膏,g
白糖,"None,两,两半,撮"
生白米,升
怀牛膝,"g,钱,两"
生鸡内金,"克,g"
紫菀,"分,两半,两,钱,克,两5钱,kg,None,g,公斤,千克"
炙鳖甲,g
土贝母,None
砂锅煅,None
厚朴,"分,None,克,g,两,钱,斤,两半"
制没药,"斤,g"
白明矾,钱
朴消,"None,分,钱"
制全蝎,g
薄荷根,两
米汤,克
瓜苡仁,g
羚羊角屑,"分,两,克"
火麻仁,"g,分"
唐松草,g
花生仁,份
桔梗?,g
吴茱萸,"克,两,None,g,分,斤"
炒子芩,g
大麦糵,钱半
大仙人柴,克
马钱子,个
阳起石,两
菊花,"克,两,g,石,钱,None"
单糖,g
生姜汁炙,两
生米壳,斤8两
防风,"两,克,g,两半,None,钱,分,两5钱,斤,钱5分"
罂粟,"分,两3钱,克,g,钱,两"
筋并子,None
天香炉,g
儿茶,"钱,克,g"
楮白皮,两半
炙兜铃,g
柴胡,"None,～9克,两,克,g,钱,两2钱,分,两半,钱5分"
大椒,克
马蹄金,g
川牛膝,"克,两5钱,钱,两"
炙僵蚕,"g,份"
苏枋木,克
狗脊,"None,分,g,两,两半,钱"
去翅足,None
余,两
先煎,None
红糖白糖,None
大腹皮,"钱,g,克,None,两"
以瓦盖定,None
马蹄,None
蛇衔草,两
微火炙,克
海桐皮,"None,两,钱"
覆花,"两,g"
生甘蜡,g
板蓝根,"g,克,-30克"
藿香,"g,两,克,分,None,钱,斤"
生甘草,"克,g,钱,份"
粳米,"克,g,-60g,None,合,两"
葎草,g
淫丰藿,g
草蔻,"分,两,g,枚"
白杏仁,g
乌麻仁,两
地龙粉,g
佛手,g
山奈子,克
焦槟榔,克
火硝,克
石决明,克
代蛤散,g
炒杜仲,g
穿山甲,"g,两,钱,None,克,片"
红山栀,个
麻苓,g
罂粟壳,"钱,kg,g,None,克"
熟干地黄,"克,两半,两"
蛤蚧粉,g
荠芥,g
炒决明子,-15g
若有风,分
用灰火,None
土茯苓,"g,克"
真珍珠,钱
皮中子灰,两
氯化铵,None
明雄黄,钱
紫箢,g
赤苓,"None,两,克,分,g,钱"
生硼砂,两
黑枣,g
红大戟,"None,g"
待,None
以醋,升
白干姜,克
杀风桔,g
只取半夏,None
羊胫炭,None
礞石,钱
尼泊金,分
马勃,"g,克"
再熬至滴水成珠,None
木贼,"钱,None,两,g"
肥猪肉,g
向日葵白茎,尺
麻子仁,合
禽胆粉,g
雄雀儿粪,两
蜴蜥,克
苍耳头,g
犬骨,分
白薇,"两,斤,钱"
胡桃仁,"份,两"
真阿胶,克
炙款冬花,g
刺力,g
[方源]古方,None
大胡麻,两
川楝肉,钱
蟾酥,"钱5分,分,g,钱"
紫莞,g
其次亦得,None
柴胡梢,分
肥生姜,斤
白牵牛,None
炒地龙,g
牛子,g
木瓜,"克,两,钱,None,g"
藁木,g
樗白皮,两
黄药子,两
竹沥半合,None
三七面,g
鲮鲤甲,两
人工牛黄,"g,None"
凤尾草,g
以半称炭火烧坑通赤,None
大甘草,钱5分
冬瓜子,"两,g"
葱汁,碗
炒黄盐,克
净金灯,斤
头白面,两
红藤,石
焙蜂房,g
青黛,"g,钱,两,克,石,分,钱半,None,两2钱"
梨皮,"克,g"
牡蛎,"None,g,两,-25克,克,分,钱"
白果,"钱,份,g,None"
地扁竹,两
薄荷脑,"钱,分5厘,g,分,None"
鹤虱,克
拌橘皮,None
万年灰,两
猪骨,分
白信石,分
生熟地,两
泽兰叶,两
柏仁霜,两
照前蒸晒,None
丁香皮,两
三七,"克,g"
白前,"g,钱,克,千克"
荆齐穗,钱
杏仁霜,"两,None"
川黄柏,"钱半,钱,两"
桑枝,"克,g,None"
豆蔻,"g,None,两"
竹刀切片,None
辣桂,None
橙皮糖,g
柳树上木耳,两
槐角,"分,g,两"
海藻,"g,克"
礜石,两
乌鱼骨,None
炙鸡内金,g
远志流浸膏,ml
微火炒出烟,克
石蚕,两
生干蟾,None
生艾叶,"g,None"
海艾,两
炒蕲艾,钱
草决明,"g,分,克,两"
大南星,两
用水照前煎浸蒸晒,None
析冥子,分
地鳖虫,g
黑老虎,g
用竹沥浸拌,None
每个切,片
灯心草,"厘,把,None,钱"
白纳八,两
夏枯草,"g,两"
葶苈子,"克,g,钱,两,分,None"
江茶,钱
生杵,None
制松香,斤
照前拌酒,None
母丁香,"两半,分,两,个"
雄蚕蛾,两
莲须,两
王不留行,"g,钱,两"
猪芩,g
如此三度,克
金钱草,g
藿叶,钱
拣净,None
古墨,克
茜草炭,克
合欢花,克
浙贝,"g,kg,两,钱,克,None"
白丁香,"分5厘,克,粒,None,钱"
益母膏,斤
蜜半合,None
野水红花子,克
四叶参,g
石韦,"两,克"
槐枝,None
麸炒黄,克
猪牙皂角,"公斤,克"
巴霜,钱
硼砂,"分,None,钱,克,g"
豆粉,克
鱼腹草,g
橘络,"钱,g"
黄柏,"None,两,g,分,克,钱,斤"
半枝莲,g
去豆澄清,None
琥珀块,g
石龙芮,分
百草霜,None
麻黄根,"两半,克,两"
败鼓皮,分
双仁,"None,克"
桔便,g
秋梨,两
细切,None
川贝末,g
浙母,g
广木香,"两5钱,None,克,钱,g,斤"
鹰条,钱2分
五爪橘红,两
尖双仁,"None,分"
白荸根,g
五加皮,"钱,g,分"
饴糖,"钱,斤"
藕汁或萝卜汁磨京墨,None
矮茶风,斤
蒜,克
象皮,"钱,分"
生姜汁,"升,g,合,两,滴,None"
广枣,g
独沽,两
枸杞子,"g,钱,克,分,两,None"
共研为细粉,None
麻黄,"克,两,g,kg,None,千克,两3钱,钱,～5克,分,份,两1分"
生海石,g
牛胆,枚
山药,"两,钱,分,克,g,None,石,铢,钱5分"
蛇床子,"g,克,两,分,None"
冬花蕊,分
天竺黄,"g,克,两,钱"
车前草,g
梨膏,两
桑椹子,克
红豆蔻,"克,分"
入砂锅内,None
紫苏叶油,ml
以苎麻线缚定,克
凌霄花,"两,分,None"
天将壳,g
豆砂,钱
