鸡子,枚
雄黄,"两,钱,分"
山楂肉,"两5钱,克,g"
桃花,分
炒熟,粒
石膏,"两,克,None,钱,分,g"
风化朴消,克
甘遂,克
春砂仁,两5钱
大枣,"枚,g,None"
真茅山苍术,克
酒黄连,两
鸡炙内金,g
新砖末,None
二味同厚朴一处,None
川茴香,克
一肉蔻,克
炒黄芪,g
伏龙肝,"份,钱"
枯矾,"g,合,克"
大黄,"g,克,None,两,分,钱"
姜连,钱半
玄参,"两,None,g,克,钱"
川朴消,两
制大黄,g
百头翁,g
山楂炭,"钱,g"
铁粉,两1分
生地榆,g
实竹叶,两
四吴茱萸,克
细辛,"克,g,None,两,钱"
醋栗壳,g
圆白半夏,克
盛上项药在内,None
扁豆花,"g,克"
北参,分
荷花瓣,朵
牛膝,"g,None,两,克,钱"
竹沥,升
同入慢火灰中煨令面熟,克
茯苓,"克,None,g,两,钱,钱半,两2钱,石,分,两半,钱5分"
莲米,g
茜草,g
桑寄生,"两半,g,克"
零陵香,钱
百合,g
煅瓦楞,克
木灵芝,None
真琥珀,分
老葱,节
罂粟过,／2份
虎杖,g
石菖蒲,"g,分,两"
白头翁,"g,克"
控干,None
淡干姜,g
芡实,"两5钱,克,g"
橘红,"两,克,g,斤,钱5分"
升麻,"克,None,两半"
滑石,"两,钱,克,g"
枳实,"两,g"
米,None
樟树子,g
黑矾,"两,钱"
土贝母,g
樟脑,克
生苍术,g
干蟾,两
黑山栀,g
碳酸氢钠,None
桑叶,None
蒸九次,克
禹余粮石,None
人中白,"g,克"
白术,"克,g,钱,两,None,份,重,～6克,钱2分,两半,分,斤,两2钱,钱半"
杭粉,克
苣胜子,两
川芎,"钱,克,g,None,两半,两,钱5分,分"
煨木香,"克,g"
乌头,None
结茯苓,g
制山甲,g
怀生地黄,斤
青州枣,克
槟榔,"两,g,None,克"
炒白芍陈皮,g
木瓜,"两3钱,g,克"
漏芦,两
炮姜炭,g
檀香,"两3钱,g,克,两"
桑根白皮,两
薏苡仁,"两,克,None,g,钱"
干山药,"克,两"
大五倍子,个
韭菜子,两
仙茅,"g,None"
霍香,g
楂曲,g
龟板,"两,g"
金星凤尾草,两5钱
蚕砂,g
云母石,钱
姜厚朴,g
天雄,"两,克"
人乳浸透,克
青竹茹,钱
使君子肉,g
麝香,"钱,厘,None,字,分,克,两,g"
蝉蜕,"个,None,g"
延有索,g
珍珠,"None,两,钱"
银朱,钱
鹿角霜,g
自然铜,None
牛子,克
桑寄,g
雷公藤,g
苏子,"两,None,g"
香橼,g
鸡血藤,g
百部,"g,None"
广藿香,"两,g,克"
白茅根,"g,两,握"
玉竹,"g,分,克"
秦皮,g
败酱草,g
水飞,克
小青皮,克
朱砂,"两,钱,克,两1分,None,g,分"
禹余粮,"g,钱"
狗肾,None
海马,"None,对"
半夏,"两,克,g,钱,None,两2钱"
安乐,g
赤芍,"克,g,None,分,两"
刺蓟根,两
郁李仁,g
狐肝半具,None
鸦胆子,粒
黑丑,"None,两"
红糖,"克,g"
熟附,g
川升麻,"两,分,None"
艾叶,"g,分,None,两"
芒消,克
苍白术,克
白羊子肝,具
钟乳石,"克,None,两"
白鲜皮,g
连翘,"g,None,克,钱"
前胡,"克,g,None,两"
石燕,对
续断,"None,分,g,钱"
鹿衔草,g
鲜苍耳,g
莪术,"两,钱,g,分,克"
槐花,g
炒黄芩,g
炙鳖甲,g
僵蚕,"两,g"
香薷,"两,g,克,钱"
芥穗,"g,钱5分"
鳖甲,"两,克"
以酒,升
生栀子,g
广郁金,克
真藿香,克
茯苓皮,g
薅田藨,None
小川连,克
白薇,"克,两"
生薏苡仁,g
马齿菀,g
五灵脂,"两,g"
汤泡,None
威灵仙,g
熟地,"克,None,钱,g,两"
瓜壳,g
磁石末,None
钩藤,"g,石"
枳壳,"两,g,None,分,克,两2钱"
酸枣仁,"g,两"
去四味,克
建曲,g
地骨皮,"两,钱,g,None"
花椒,"克,g,None"
金莲花,None
鸡内金,"g,None,两,个"
川白姜,"克,两半"
肉蔻面煨,g
公丁香,"钱,两3钱,克,None,g,份,两,分"
小麦,斤
澄清,None
麦粉,g
获苓,克
天南星,"钱,两"
煮水干为度,None
赤石脂,"克,g,None,分,两"
荠苨,分
禾香,g
栀壳,g
龙胆草,"None,g,两"
川厚朴,"克,None"
合欢花,克
粉甘草,钱
白芷,"两,g,克,钱,None"
麦夫炒山药,g
鹿茸,"None,两"
磁石,钱
降香,两
山萸肉,"钱,克,g,None,两"
白扁豆,"g,两,钱,克,None"
蚕沙,两
太子参,g
款冬花,"两,分,g,None"
蛤蟆灰,钱半
绿豆衣,两
丹皮,"两,克,g,None,钱,钱5分"
甘松,"两,钱半,钱"
郁金,"两,g,克"
盖,克
胡椒,"None,／2份,g"
旱莲草,g
白龙骨,两
佩兰,克
罂粟壳,"None,克,g,两半"
仙鹤草,g
麦糵,两
归梢,克
炒广皮,克
紫草,"克,钱"
龙骨,"克,None,两"
石决明,两
细墨,锭
白花蛇舌草,g
煨豆蔻,g
金银花,"g,两,克,None"
穿山甲,"克,g,两"
蒲黄,"g,两,None"
知母,"两,钱,None,分,g"
蒲公英,g
人参,"克,两,钱,g,None,～6克,分,钱半"
川藿香,g
净火消,钱
轻粉,"钱,克,两"
橘核,g
糯米粉,克
榴嫩叶芽,g
神曲,"克,None,两,g"
地愉,两
准药,g
