鸡子,枚
雄黄,"钱,两,g,克,石,分,None"
山楂肉,克
用甘草,两
生百部,g
炒补骨脂,钱
蔓荆,g
马蔺花,None
一名继骨肉,None
麋茸,两
盐汤浸,None
大枣,"枚,g,个,斤"
糖粉,g
白夕利,g
头陈,g
银柴胡,g
紫花地丁,g
枯矾,"两2钱,两,g,克,分,None"
大黄,"g,两,铢,钱半,克,钱,分"
生地黄汁,合
冬瓜皮干品,g
斑螫,g
玄参,"克,g,None,钱"
豨签草,g
刘寄奴,g
铁粉,"分,两"
生地榆,g
舌床子,g
甘遂,"克,g,两,分"
细辛,"克,g,两6铢,钱,分,两"
磁石,"g,两"
白薢皮,g
良姜,g
牛膝,"两,g,None,两半"
竹沥,盏
茯苓,"克,g,两6铢,None,钱,分,两,两3钱,钱半,两半"
茜草,"g,克"
桑寄生,g
冰棚散,g
泥封固,None
百合,g
牙消,两
木灵芝,g
冬虫夏草,g
乌龙尾,None
虎杖,g
石菖蒲,"克,None,g,节,两"
马鞭草,斤
追地风,两
用水三斗,两
丹雄鸡头,个
芡实,"None,克,g"
橘红,"克,g"
生黄耆,克
升麻,"分,克,None,两"
滑石,"两,g,钱,None"
枳实,"克,钱,两,两5钱"
1000,None
莲子粉,None
黑矾,g
狼毒,"两5钱,g"
元冬,g
樟脑,"g,克"
干蟾,枚
山植肉,克
老葱头,个
桑叶,g
牛蒡自,g
麦芽,"g,克"
人中白,g
白术,"克,g,两,None,钱,分"
蛇蜕皮,None
生白矾,分
寒食面些少,None
董柏,g
女贞子,"None,g"
千里光,g
乌头,升
半边莲,g
倾入碗内,None
乌,g
白皮,g
木瓜,"g,None,分"
石楠叶,两
律草,g
檀香,"g,None"
桑根白皮,"两,分"
薏苡仁,"g,两,克,分,None"
白信石,"g,克,分"
牛李仁,两
荆齐穗,两
甘油,g
煮至一斗,两
白及末,克
仙茅,g
炉甘石粉,g
梓朴,斤
蚕砂,重
云母石,None
天雄,"两,克"
当归,"两,克,g,钱,None,两半,分"
枸杞子,"两6铢,钱,两,克,g"
南木香,"钱,g"
瓜翠,None
炉甘石,g
为末,None
寒水石些少,None
故纸,None
珍珠,"分,克"
鹿角霜,两
紫苑,g
自然铜,"None,两"
天花粉,"None,两,钱"
防葵,两
地黄,"None,g"
苏子,g
百部,"两,g,克"
伏龙肝,两
次硝酸铋,g
白茅根,"g,升,克,None"
玉竹,"g,分,两"
宣黄连,钱
秦皮,g
败酱草,"钱,g"
生硫黄,None
蜜,"合,None"
童子小便,合
朱砂,"g,克,分,钱,两半,两"
紫菀茸,分
密佗僧,钱
半夏,"g,None,克,两,两半,钱半,钱,分"
治中汤加丁香,None
煮干为末,None
雄雀儿,枚
郁李仁,"两,分"
置器中露,None
上四味,两
黑丑,"两,None,g,分"
川当归,两
川升麻,"克,两"
艾叶,"克,g,None,两,钱"
芒消,"两,g"
辛夷包煎,g
昆布,g
白鲜皮,"两,克,g,钱,None"
连翘,"克,g,钱,None,钱半,分"
干面粉,g
前胡,"g,None,两,分,两半"
山慈菇,g
续断,"钱,两,g"
莪术,"g,两"
槐花,"克,g"
珍珠母,g
白头翁,"两,g"
初胎粪,钱
僵蚕,"克,钱,g,None,两"
香薷,g
芥穗,"克,钱,g,两,None"
鳖甲,"分,两,g"
以酒,升
生栀子,g
炙草.,g
牛胆星,两
覆盆子,"克,g"
骨碎补,两
人参末,两5钱
川雄黄,两
去毛,None
五灵脂,"两,钱,g"
威灵仙,"两,克,钱,g"
熟地,"克,g,钱,两,None"
虻虫,两
再熬取,升
钩藤,"两,g"
酸枣仁,"g,两,钱,分,None,克"
生山栀,"枚,钱"
凡士林,g
地骨皮,"克,g,两3钱,None"
盐,分
花椒,"钱,克,g,两,粒,合,None"
鸡内金,"克,g"
烟膏,g
卜子,两
公丁香,"g,枚,钱,个,分"
苦地丁,"g,两"
小麦,合
麦冬取汁,升
竹叶,"g,None,两,片,两半"
生藕汁,"盏,合"
赤石脂,"分,克,None"
川附子,钱
龙胆草,g
芸桔梗,分
白芷,"克,两,g,钱,None"
生鸡子,枚
通草,"g,克"
黄蓍,两半
生章陆根,斤
山萸肉,"g,克,两"
白扁豆,None
栀子仁,"个,分"
款冬花,"g,两"
紫草茸,None
丹皮,"两,克,钱,None,g,两5钱"
丹参,"g,克,钱,None"
白蜂蜜,g
胡椒,"g,粒"
食醋,g
斑猫炙枯,个
罂粟壳,两
玄明粉,"g,钱"
血余炭,g
紫草,"两,g,None,克"
桔矾,g
南沙参,g
白花蛇舌草,"g,克"
大风子仁,"钱,g"
金银花,"克,钱,None,g"
寮刀竹,g
瓜蒌仁,g
蒲黄,g
沙苑子,"g,克"
蒲公英,g
人参,"None,两,分,g,钱,克,两6钱半"
生川乌,克
大菖蒲,g
生鲫鱼,尾
轻粉,"g,克,分,钱"
川文蛤,克
稀莶草,g
生地黄根,斤
乌梢蛇,"None,克,g"
蕲蛇,"两,g,None"
千年健,两
蒺藜秧,两
侧柏叶,"两,g,克,钱"
谷芽,g
龙葵,g
同煮焙干,None
新水浸,None
钟乳粉,两
紫草根,钱
羚羊粉,分
瓦松,"克,g"
苍耳子,"两,g,克,分"
蒺藜,"两,克,钱,g,双,分,None"
诃黎勒皮,两
益元散,钱
蓝叶,分
蕤仁,两6铢
豆腐老浆水,ml
蓖麻子,两
黄酒,ml
煨老姜,钱
炙黄芪,"克,g"
海浮石,g
鲜薄荷全草,斤
茅山苍术,斤
沉香,"两,钱,克"
枇杷叶,"克,张"
分作,份
缩砂壳,克
苦参,"两,克,g,钱,None,分"
生菖蒲根,斤
蛇麻子,g
血竭,"g,克,分"
菝葜,None
黄精,g
墨旱莲,两
天仙藤,两
大风子,"克,g"
白芍,"g,克,None,两,钱半,钱,分,两半"
时,None
桑螵蛸,"g,两"
大青盐,两
鱼腥草,"g,克"
大天雄,两
地肤子,"g,两,克,None"
忍冬藤,g
竹茹,g
石膏,"None,g,两,克,钱"
栀子,"两,克,g,钱,None"
鸡血藤,"g,克"
干姜,"片,g,None,两,分,钱,斤"
薄荷脑,"克,钱,g"
红砒石,g
柏苓儿,个
陈皮,"钱,克,g,None,两,分"
桑白皮,"克,g,两,两半,钱,分,None"
麦芍,g
皂角,"克,g,None,两,钱"
乌梅,"两5钱,两,g,None"
枳壳,"克,钱,g,None,两,分"
阿胶,"钱,g,两"
川加末,两5钱
生乌头,斤
干木瓜,两
郁金,"g,两,None"
芫花,"g,两,钱"
土螫子,g
清油,g
铁落花,g
使君子,克
酒洗,None
肿节风,g
以后于乳钵内并酒,None
挑入鸡子黄内,None
何首乌,"两,克,g,None"
桅子,g
白国樟,g
地黄汁半合,None
蜂蜡,"～125克,None"
代赭石,g
鹿茸,"两,对"
火麻仁,"g,两,分"
北沙参,"克,g,两半"
川贝,"分,两,克,g"
淡豆豉,"g,合,升"
金蝎,g
飞来鹤,g
牛黄,"两,分,钱,None"
藜芦,"两,分"
锉半寸长,None
醋淬,None
大茴香,"g,两"
硇砂,"克,两"
大青叶,"None,g,克"
慢火煮干,None
儿茶,钱
炙兜铃,g
山楂,"g,克"
白风仙花,克
熟附块,钱
红大戟,钱
羊桃根,克
土茯苓,"g,None"
上肉桂,-3两
农吉利,g
天麻,"两,g,None,两半"
冰醋酸,ml
水红花,斤
先,两
青皮,"两,None,钱,分"
鲜笋尖头,两
桑杜,g
红藤,"钱,g"
蒸馏水,"g,ml"
虎胫骨,两
荜茇,"g,钱5分"
蛰虫,g
藓皮,None
甘青青蓝,g
猪肝,g
南星末,两
飞过辰砂,钱5分
大附子,两
王不留行,克
芎?,两
菟丝子,"g,合,两,两半"
焰消,"克,分"
百草霜,None
槐枝,钱
溪黄草,g
蜂蜜,"g,盏,升,None"
水蛭,两
荆芥,"两,g,克,钱,两半"
尖双仁,None
紫菀,"分,两,两半,None,克"
桂元肉,g
樟丹,"g,克,None"
麻黄,"克,钱,g,两,分,None"
厚朴,"钱,克,两半,g,钱半,None,两,分,斤"
生糯米,合
凡士林粉,g
制没药,g
浮小麦,g
朴消,分
蜈蚣,"条,g"
刮去皴皮,None
薤白,None
羚羊角屑,"分,两"
瓜蒌,"两,石,g"
白矾,"克,g,钱,匙,分,None"
蛇衣,克
红粉,g
红糖,None
吴白芷,两
吴茱萸,"g,钱,两,克,分"
白菊花,None
木香,"g,None,两,合,两半,分,克"
生姜汁半合,None
桃红,g
小蓟,克
石斛,两
阳起石,"两,克"
滤去滓,两
青礞石末,钱
白盐,两
防风,"两,克,g,钱,None,分,两半"
藿香叶,"g,钱"
玉京,钱
罂粟,个
鸡蛋,个
炙微黄,None
生榧子肉,g
防己,"分,g,None,两"
研如泥,None
制半夏,"两,钱"
锉如指面大,斤
北五味子,"两,分,g"
海狗鞭,两
合欢皮,g
柴胡,"两,g,克,分,两3钱,None,钱"
川牛膝,"两,g,钱"
时久,None
乙醇,"%1000毫升,ml"
毕澄茄,"分,钱"
狗脊,"两,两半"
煮取,毫升
新鲜猪胆,g
更入水,碗
夜交藤,g
白果汁,盏
常山,两
大腹皮,"分,None,g,钱"
空青,两
五灵脂膏,g
海桐皮,"克,g,两,两半"
萝卜,升
扁蓄,g
炒苍术,g
板蓝根,"g,克"
藿香,"克,g,None"
煨蛇床子,g
生甘草,"g,克,钱,两"
粳米,"升,None,合"
草蔻,"枚,两,分"
芦荟,"g,分,克"
白芥子,"g,克"
佛手,g
元胡,"g,两,钱"
入南星末调,None
火硝,g
砂仁,"None,g,两半,分,钱5分,个"
大枫子肉,克
核桃仁,两
后,两
党参,g
榆白皮,"升,两"
熟干地黄,两
榴皮,g
淫羊藿,g
硫黄,"g,钱,克,斤,两,None"
雷丸,"g,钱"
鬼箭羽,"克,两"
白石脂,两
苏梗,"分,g"
益智仁,"None,两"
白槟榔,两半
木鳖子,"g,两"
硼酸,g
丝瓜络,g
赤苓,"克,分,两"
件同拌,None
兔肝,具
蛇订子,g
枫子肉,"克,枚"
夏枯草,"克,g,钱"
生姜汁,盏
干姜皮,"钱,克"
酒炒黄芩,g
黄戌茎并肾,对
木贼,"g,None"
绿萼梅,g
桂枝,"两,克,g,None,分"
土槿皮,"克,g"
小茴香,"g,分,两,钱"
蛤蚧,对
制厚朴,g
芦巴子,两
蒴翟,克
槟榔,"克,两,g,分,钱,None"
生山楂,g
大胡麻,"两,克,g"
生赤芍,g
白牵牛,两
赤芍,"克,钱,None,g,两,两半,两5钱,分"
桑黄,两
烧酒,杯
龙齿,克
海风藤,g
旱莲草,g
山栀子,"g,钱,石"
焦大黄,g
红花,"两,克,g,None,钱"
赤勺,g
野菊花,"g,None"
刺蓟汁,合
苦竹叶,分
桂圆肉,"克,g"
姜黄,"克,g"
白蓟皮,g
石南,克
密陀僧,g
海金砂,"g,None"
川芎?,钱
泽漆茎,两
大桉叶,g
青黛,"g,钱"
鲜清筠叶,g
干生地,钱
白果,g
川椒红,两
瞿麦,"分,两,g"
白凤仙花,g
干漆,"两,钱"
鹤虱,g
防风如克,None
平通,g
乌药,"None,两,g"
生白术,钱
狗胆,枚
省头草,g
獭肝,分
牡蛎粉,分
地榆,"g,两"
砂糖,两
鬼臼,两
三七,g
桑上寄生,两
干山药,克
白前,分
土大黄,克
和匀成饼,None
川木通,"g,分,两,钱半"
桑枝,升
四君子加酸枣仁,None
土木香,g
独活,"克,g,两,None,分,钱,两半"
生黄芪,None
水银,"克,两"
皂角刺,"钱,g"
生枸杞根,斤
萝卜汁,盏
青蒿,分
草决明,"分,g"
甘石粉,钱
炼取,斤半
龙骨,"克,g,钱,None,两"
冰片,"钱,克,g,分,None"
制远志末,两5钱
灯心草,"g,根"
21,None
脲素,g
掠去沫,None
葶苈子,"分,克,g,None,两1分"
马兜铃,分
赤马通汁,合
母丁香,克
白芨,"克,g"
茯苓皮,"克,g"
川乌头,两
酒精,None
入前汁中,None
羊胆,g
虱,g
金钱草,g
天南星,"g,两,克"
硫磺,g
青木香,g
生地,"克,g,钱,双,None,升,两6铢,斤,两"
白马茎,两
白丁香,"个,None"
山萸,两
乌稍蛇,g
琥珀,"钱5分,钱,两"
煎令熟,None
蟾酥如大豆许,None
荆防,g
氧化锌粉,g
菊花,"克,g,None,双,两"
猪牙皂角,"钱,分"
淡竹叶,"克,钱半,片"
川羌活,None
糯米,克
甘草,"g,克,钱,钱5分,None,两,分,两半,根,寸"
硼砂,"g,分"
小雌鸡,None
薄荷油,None
茵陈蒿,"钱,g,克,None"
甘蔗汁,盏
米泔,None
制乳没,g
豉半合,None
黄柏,"两,None,钱,克,g,分"
半枝莲,克
钩藤皮,分
半夏曲,两
苦楝皮,g
胆南星,g
生草乌,克
板兰根,g
芜荑仁,分
神曲,"分,克,钱"
僵蛋,g
知母,"两,g,分,两半,钱,克"
白附子,"两,克,g"
半地骨牛皮,g
五加皮,"克,两,g"
梨汁,盏
置坑中,None
泽兰,"钱,两"
焦山栀,g
象皮,克
酒浸,None
蜈蚣末,克
牛蒡根,g
白部,g
千金子,克
芒硝,"克,g"
蒸百部,g
小胡麻,两
苍耳草,g
麝香,"None,两,分,钱,克"
水杨酸,g
五谷虫,克
草乌,"两,克,钱5分,None"
