雄黄,"克,g,钱,两,分,None,钱5分,千克,钱半"
山楂肉,两
杜仲炭,"g,两"
鸡子,"个,枚"
水牛角粉,g
捻子,None
牛子,钱
蔓荆,"分,g"
黑贯众,g
附子&lt;炮裂,克
雪梨汁,个
饭耆,两
头发,None
白姜,钱
大枣,"枚,None,g,斤,两,分,个"
枣儿槟榔,g
人乳粉,两
海沉香,克
炒大黄,g
象皮粉,g
研末,None
山慈茹,g
银柴胡,"None,克"
兜铃,两半
大黄,"钱,kg,两半,铢,克,两,None,g,石,分,～30克"
山慈姑,"g,两"
桑叶皮,钱
生贯众,g
玄参,"两半,g,两,克,钱,分"
川朴消,两
刘寄奴,"钱,克"
山楂炭,"钱,g"
铁粉,"分,两"
生地榆,"kg,克,g"
皂角仁,克
细辛,"None,g,克,两,分,两半,钱"
磁石,"g,克,None,两"
化橘红,g
胵,None
良姜,"两,钱"
牛膝,"钱,克,g,None,分,两,两半"
大小蓟,"千克,两"
榧子肉,g
桑寄生,"克,钱,g,两"
陈石灰,g
脑荷,None
熟黄耆,钱5分
藕节,"-30克,克,g"
真琥珀,钱
冬虫夏草,"g,石"
石菖蒲,"g,克,None,节,钱,钱5分,两"
岗梅根,g
控干,两
鲜桑枝,尺
芡实,"钱,g,两"
橘红,"钱,两,克,None"
生黄耆,"克,钱,钱5分"
升麻,"None,两,克,钱,g,分"
滑石,"克,分,g,两,None,钱半,两半"
枳实,"克,g,两,钱2分,None"
米,合
荠菜,"克,g"
草决明,"克,g"
梗米,g
桑叶,"克,两,g"
盐黑为度,None
黄芩素,g
蛤蚧,克
煎取,升
蛇蜕皮,尺
生白矾,两
血涂炭,g
女贞子,"克,g,两"
瞿麦穗,两
榜嘎,g
当归两,None
乌贼,克
浮萍草,None
水灯草,g
荏子,升
檀香,"None,克,g"
薏苡仁,"两,g,None,千克,钱,石"
雄雀粪,粒
浸于凉水内,None
地鳖虫,"g,克"
陈香蒿,克
竹茹,"千克,克,g,None,枚"
磺石,克
熟地末,两
松花粉,克
水圹叶,None
制杜仲,钱5分
炒生地,g
鲜生地,"斤,g,克"
黑祈艾,g
菟丝子,"钱,克,g,石,两,None"
石绿,None
石灰华,g
红木香,g
石上菖蒲,两
鱼醒草,g
同研细为末,None
炉甘石,"g,钱,两"
为末,"None,克"
石龙芮,"两,None"
西红花,两
故纸,两
珍珠,"None,克,g,钱,分,两"
银朱,"g,钱"
紫苑,g
入药,两
鸡苏,两
川断肉,g
乱发,"None,两"
麦门冬末,两
鲜鸭梨汁,None
煅乌贼骨,克
白糯米,千克
白茅根,"-30克,g,两,克,None,升,两半,斤,握"
玉竹,"两,g,克,None"
秦皮,"g,克,两"
夏枯草,"两,None,g,克"
酒生地,克
田三七末,"克,g"
蜜,两
兑服生三七末,克
朱砂,"g,克,钱,字,两,分,None,钱5分"
紫菀茸,"两,克"
禹余粮,"None,两"
白茯苓皮,钱
半夏,"克,钱,g,石,两,None,个,分,两半,钱半"
赤芍,"克,None,g,千克,两,钱,分,两半,钱2分"
妇人裙裆末,钱
干芦根,g
郁李仁,"两,g,克,分"
玄精石,两
入滚汤,None
苏薄荷,片
要晒干,None
黑丑,"钱,两,克"
炒艾叶,g
大黄末,两
血条炭,对
瓜蒌仁,"None,g,钱"
炙升麻,g
川升麻,"两,分"
马鞭草,"g,克"
黑矾,"g,斤,None,钱"
安息香,"两,克"
熟白矾,两
豨莶草,None
钟乳石,克
黄牛髓,两
陈棕榈炭,g
山慈菇,g
石燕,两
续断,"钱,克,两,g,None"
鹿衔草,g
成紫金色,None
炒黄芩,"克,g"
僵蚕,"g,钱,None,钱5分,两,克"
芥穗,"斤,None,克,g,千克,分"
以酒,斤
生栀子,"斤4两,g"
连罐埋地下,尺
芜菁子,升
炙草.,g
覆盆子,"g,克,钱,两"
败棕,两
碾为细末,None
雄黑豆,粒
五灵脂,"g,两,None"
辣椒,粒
威灵仙,"g,两,None"
麻炭,g
钓藤,g
炒三仙,克
粉罩,g
钩藤,"g,None,两,分"
瓦楞子,g
胃舒平,片
凡士林,g
没食子,"枚,g,None"
乌精蛇,g
以上捣研为末,None
炙干,None
花椒,"合,粒,g,克,钱5分,两,钱,None,两半"
水牛角片,g
鸡内金,"克,g,石"
鼠头骨,None
金银箔,分
栀子仁,"两,None,枚,克"
雚芦,两
麦冬取汁,升
竹叶,"升,g,钱,None,片,握"
用黄酒,两
参三七末,g
蜈蚣,"条,g"
桕油烛,斤
青木香,"g,钱,克"
粉甘草,"两,克,钱"
紫根草,g
炒川芎,克
黄蓍,两
红娘子,只
犀角粉,g
相和,None
萆?,g
和下药,None
闹羊花,"两,克"
款冬花,"两,克,g,None"
商陆,两
味同入罐中,None
丹皮,"斤,千克,克,钱,g,None,两,升,分,两5钱,钱5分,两7钱"
郁金,"两,克,g,钱,None,个,分"
生地炭,"斤,g"
胡椒,"／2份,克"
旱莲草,"钱,克,g,斤"
月采枝茎叶,None
猪苓,"g,钱,两半,None,两,分"
去仁,None
青州白丸子,两
鲜荷叶,斤
墨,钱
金银花,"斤,克,钱,g,None,两"
蒲黄,"克,钱,None,g,两"
知母,"g,两,克,钱,None,两半,分"
六一散,g
蒲公英,"g,钱"
半夏曲,"None,钱,两"
轻粉,"分,克,钱,两,g,钱匕"
橘核,g
广三七,克
绿茶,g
神曲,"None,两,克,两半,g"
龙胆肉,克
侧柏叶,"斤,克,钱,两半,None,两,g"
丝棉炭,g
炙枇杷叶,g
五月皮,g
鲜鸡蛋,g
红信石,钱
羚羊粉,"克,两,钱,None"
黑荆芥,"克,g"
苍耳子,"克,g,斤"
白蛇,钱
古铜钱,"钱,文"
诃黎勒皮,"分,两"
川乌,"钱,None,克"
蕤仁,两
用盐汤浸青橘皮一宿,None
蓖麻子,"粒,两"
鹿角胶,"克,g,两,升"
小川芎,g
广香,g
沉香,"g,None,钱,克,两,分"
泥封固,None
杜胆星,钱
杜牛膝,两
血竭,"两,None,克,钱,g,分"
黄精,g
生芪,g
卷柏,克
生干地黄,"克,两"
朱砂面,克
天仙藤,None
白芍,"千克,两半,钱半,克,两,None,g,分,钱5分,钱,钱2分"
桑螵蛸,两
大青盐,"分,两"
地肤子,"克,g"
鸡骨节,None
真桐油,两
白梅花,g
石膏,"克,两,两5钱,None,g,钱,分,两半"
栀子,"千克,克,g,两,钱,None,石,钱5分,分"
鸡血藤,"克,g"
干姜,"克,钱,斤,None,～9克,g,片,两,斤半,分,钱半"
九菖蒲,两
青葙子,两
泡参,钱
盐黄柏,两
黄芍,g
何首乌,"克,g,两,分"
桑白皮,"克,g,None,钱,两"
马齿菀,g
乌梅,"枚,两,克,g,石,个,None,钱"
雄鸡脑,分
红龙须,g
烊化代赭石,g
块云苓,两
丹参,"钱,None,克,g,石,两,分,钱5分"
阴干,None
芫花,"两,None"
生麻黄,g
牛,None
地栗粉,钱5分
莼菜,两
甘草,"斤,千克,两,克,None,钱,钱5分,g,升,分,寸,石"
使君子,克
明参,g
天荞麦根,g
又以盐水浸,None
烊龟版胶,g
三仙,两
代赭石,"克,g,钱半"
乳鹿,None
鹿茸,"两,克,None,g,分"
嫩鹿茸,克
茜根炭,g
宽筋藤,两
北沙参,"两,克,g,None,钱"
生槐米,g
花生衣,克
出油尽,枚
北五味子,钱
入姜汁,两
江枣,g
黑铅,两
焦艾,"克,钱"
藜芦,"None,克"
核桃,个
蒲黄炒阿胶,g
玄胡素,克
金樱子,"g,克"
山楂,"克,g,两,None,斤"
栀仁,分
陈艾炭,g
川贝,"克,钱,两,g,钱半,None"
鲜苦楝根白皮,g
大腹皮,"g,两,钱,None"
茅根炭,g
建莲心,克
制僵蚕,g
鲜茅根,"g,克"
猴头菌培养物浸膏,None
薄荷钱半,None
不以多少,None
生大枣,g
黑干姜,g
提麦冬,钱
煅,None
使君子仁,两
真秋石,克
炙附子,g
黄柏,"钱,克,g,两,None"
去腐渣,None
红藤,g
石灰,两
牛黄,"分,None,钱,g,克"
黄牛乳,毫升
蛰虫,g
水鸡头,两
滇三七,g
却入在胆内,None
人指甲,None
日后取出,None
红升丹,g
茯,None
芎?,"两,分"
清酒,毫升
.黄芩,千克
槐枝,None
肥知母,g
青葱,None
双仁,"None,克"
尖双仁,"None,两"
紫菀,"两半,两,g,分,克"
象牙屑,两
次用厚黄柏蜜炙,两
厚朴,"克,g,None,两5钱,两,分,两半"
天门冬末,两
制没药,g
朴消,"两,钱,None"
忍冬,两
放冷,克
潞参,钱
火麻仁,"克,钱"
炒艾叶炭,克
陈早米,钱
九制炉甘石,g
用牛胆和作饼,克
吴茱萸,"None,g,克,分,合,两,钱"
木香,"g,None,两,钱5分,钱,分,克"
大麦糵,两
槐花子,分
生蒲花,g
阳起石,None
去须节,None
防风,"钱,None,克,g,斤,两半,两,两5钱,分,钱5分,钱2分"
厚桂,None
紫珠草,g
儿茶,"g,克,None"
生麦门冬,两
干柿,枚
柴胡,"分,克,钱,g,两,None,钱半,钱5分,斤,升"
生杜仲,钱
生槐花,g
狗脊,"两,g,分,钱"
川芍,两
先煎,None
酒红花,克
陆英,g
马蹄,枚
海桐皮,"两,分,钱"
同煮,两
淡豆豉,"升,g,合,分"
紫豆蔻,None
大黄芎藭,克
板蓝根,"g,两"
藿香,"克,g,分,None,两,钱"
生甘草,"克,钱,g,两,分,None"
粳米,"g,None,合"
葎草,g
炙首乌,g
狗颊车连齿骨,None
鱼胶,斤
鹿筋,两
佛手,g
不得用火焙,None
焙热,克
草灰,钱半
人乳,None
钓掉根,两
昼夜,None
罂粟壳,"两,两半,个,None"
熟干地黄,"两半,克,None,两"
白背木耳,斤
前仁,g
茜萆炭,g
白石脂,两
荆芥蕙,g
黄蚕茧,个
炒牛膝,克
五不留行,g
生甘蔗,g
红大戟,"None,两"
苏梗,g
生荸荠,g
三七粉,"克,g,None"
用米醋浸七日,None
羊胫炭,握
马勃,g
%象贝粉,g
地耳草,g
木贼,"g,克"
向日葵白茎,尺
麻子仁,升
好崖蜜,斤
白占,两
细生地,钱
荸荠粉,g
生蚕沙,两
白薇,"g,两"
胡桃仁,枚
龙骨飞丹,None
芦巴子,"两,两6钱"
真阿胶,"克,两"
土元,"g,钱"
刺力,g
生山楂,"g,克"
大胡麻,"克,升"
芒硝,"g,钱"
粉萆?,g
惹仁,两
鲜生地黄汁,升
木瓜,"g,钱,None"
法制半夏,钱
田三七粉,g
藁木,两
踯躅,两
樗白皮,克
车前草,"g,None"
黄药子,"g,克,两"
黄牛角腮,两
生代赭石,g
红花,"钱,g,克,None,升,分,两,石"
人工牛黄,g
再慢火熬至干燥,None
葱木,g
净乳香,克
蕤核仁,克
湿加,两
甘草稍,g
冬瓜皮,克
冬瓜子,g
制川朴,g
制商陆,克
炮姜炭,"钱,克,g"
煮至豆腐起蜂窝时取出,克
青黛,"None,g,钱,两,分"
寄生尾,None
牡蛎,"-25克,None,克,两,g,钱"
Ⅰ号方,g
鹤虱,"两,分"
蔗浆,None
榴果皮,g
生当归,g
芦根汁,None
草乌,"两,None"
八角莲,g
生熟地,两
泽兰叶,None
三七,"钱,克,None,两,g"
童便,g
荜茇,两
桑上寄生,两
生侧柏,g
白前,g
土大黄,g
炮附子,g
川黄柏,g
细切薄片,两
黄花,g
锻瓦楞子,g
槐角,"钱,克,g,斤,千克,两"
涂酥,None
海藻,"g,克"
尖槟榔,g
水银,"钱,两,两半,分"
