雄黄,"克,None,分,g,个,钱,两"
山楂肉,两
海藻,"g,克,两"
川鹤虱,分
炒熟,克
白蛇皮,None
醋炒香附,两
墨旱莲,g
雪梨汁,个
次日蒸透晒干,None
白姜,"钱,None"
大枣,"枚,个,None,g,克,升"
虎骨胫,两
生乳香,g
一方加朱砂,克
款花,"钱,克"
山慈茹,克
银柴胡,"None,g,两"
兜铃,"钱,克"
大黄,"None,克,～5g,g,两,钱,石,分,两半"
用白茯苓同入绢袋,None
玄参,"克,None,两,g,钱,两4钱,寸,两半,分"
盐泥固济,None
川朴消,"两,分"
刘寄奴,"两,g"
生石灰,g
山楂炭,g
铁粉,"两,分"
再用微火熬膏倾入瓷坛内,None
生地榆,g
地脚粉,g
蜜水拌透,克
拣人参,两半
小匙,None
细辛,"钱,两,克,g,升,两半,分,None"
磁石,"克,g,两,钱半"
扁豆花,g
生地炭,g
良姜,"克,钱"
牛膝,"克,两,None,条,g,钱半,两2钱,钱,两半"
广姜黄,g
桑寄生,"钱,g,两"
莪木,g
百芍,g
以上者,None
石菖蒲,"克,两,None,钱,g,节,两1分,分"
搓去黑皮,None
漂白术,两
年取出,None
淡干姜,g
芡实,"钱,克,None,升"
橘红,"两,克,g,None"
升麻,"分,克,钱,两,None,g,两1分"
芸香,两
滑石,"斤,克,g,两,None,钱,分"
枳实,"克,两,None,g,分"
米,None
荠菜,克
干蟾,"分,枚"
黑山栀,"两,None,g"
瓦盆盖,None
桑叶,"None,钱,g,片"
青风藤,克
桑螵蛸,"克,g,两,枚"
黄连备,None
蛇蜕皮,"分,两"
胡萝卜,g
血涂炭,g
女贞子,"钱,克,g"
蒸一日取出,None
炒麦草,g
麦黑冬,两
瞿麦穗,"斤,两"
健曲,g
怀生地黄,"None,克"
好酒,None
取起冷定,None
上桂心,钱
驴护干,两
炮姜炭,"钱,g"
檀香,"钱,两,g"
薏苡仁,"None,钱,克,两,g,分,升"
羽,None
甘油,g
水红花子,g
花生油,g
竹茹,"克,g,钱,两"
大黑豆,升
炒橘核,g
次皂汁,None
用竹沥浸拌,None
杭川芎,克
全牛膝,g
如大拇指,None
鲜生地,"克,g"
败龟版,"两,None"
真蚌粉,分
犀角尖,克
薄荷素油,None
生大黄粉,g
银花露,毫升
青竹茹,钱
枸杞子,"两,None,斤,克,钱,两5钱,两半,g,两2钱"
清水洗净,克
炉甘石,"克,None,钱,g"
走翅足,None
故纸,g
真金汁,毫升
银朱,"None,钱"
紫苑,g
去豆不用,None
雷公藤,g
活乌鸦翎,寸2分
漏篮子,两
细茶,两
每料只用制炉石,钱
煅乌贼骨,克
鲜,None
白茅根,"克,两,g,两半,分,钱"
玉竹,"g,两,克"
煅硼砂,g
秦皮,"两,g,None,克,钱半"
掠去沫,两
水飞,None
酒生地,"g,克"
芜花,两
蜜,斤
朱砂,"两,克,g,None,分,钱,钱半"
熟军,g
蔷薇根皮,两
甜瓜蒂,枚
半夏,"None,钱,～5g,克,两,钱3分,升,g,分,枚,钱5分,钱半"
浸蒸晒干,None
腊月粉南星,None
鲜羊肝,g
郁李仁,"两,g,两半"
用梨汁浸拌,None
隔,None
刮去粗皮,None
芩,g
黑丑,"g,两,None,斤,两半,克,分"
白何首乌,两
青鱼胆,"只,个"
瓜蒌仁,"两,克,g"
川升麻,"克,两"
马鞭草,g
黑矾,"钱,两"
先用枳壳,两
制茅术,g
钟乳石,"钱半,钱,两"
白菊花,g
净钩藤,钱
b,None
石燕,None
续断,"钱5分,两,钱,g,None,两半,克"
紫巴戟,克
鹿衔草,g
用好酒浸一日,克
炒荔枝核,g
麻油,"斤,两"
犀角汁,"杯,毫升"
炙鳖甲,g
僵蚕,"克,g,None,分,两,钱,条"
醋炒地榆,g
芥穗,"两4钱,克,g,None,分,两,钱半"
醋炒蒲黄,两
%麝香,g
细柏末,钱
生栀子,"克,两4钱,None,g,-4钱"
净肉桂,克
覆盆子,"None,g,两5钱,两,克"
小川连,"克,分"
蚕沙,克
白酒,ml
土膏,两
五灵脂,"两,g,None,分,钱"
去滓,None
大梅片,钱
杜藿香,钱
威灵仙,"g,两,克,钱"
磨细末,None
钓藤,g
制白附子,g
拌胡桃肉蒸,None
钩藤,"克,g,石"
瓦楞子,g
黄柏皮,"斤,None"
杜白芷,钱
凡士林,g
没食子,"两,个"
地骨皮,"None,钱,两,克,g,两5钱,两1分"
花椒,"None,两,克,g,钱"
鸡内金,g
炒车前,钱半
.阿胶,g
栀子仁,"两,None,～5克,枚,分"
醋酸,None
搅匀,None
皂角仁,"克,None"
榆皮,两
天南星,"None,克,两,钱,g"
煮水干为度,None
井水石,钱
荠苨,克
茜草炭,克
南瓜藤,g
蜈蚣,"条,g,钱"
川厚朴,两
生山楂肉,g
用姜汁,None
粉甘草,两
白芷,"钱,两,None,克,g,分,钱半,钱5分,块"
黑元参,克
地锦草,g
白茯神,"钱半,两,克"
甘草节,"克,钱,分"
夏估草,g
羊靥,枚
闹羊花,两
鹰爪黄连,茎
款冬花,"钱,两,g,升,None"
黑豆,"g,合"
泽泻钱半,None
紫草茸,None
丹皮,"两,克,钱5分,钱,None,g,升,-5钱"
白冰糖,两
丹参,"克,两,g,分,钱"
胡椒,"g,钱,两"
旱莲草,"两,克,g,None"
白葛粉,两
茄茸,具
小赤豆,钱
与豆同炒,None
龙骨,"两,克,钱,g,分,None"
金银花,"None,克,两,两3钱,g,分,钱"
蒲黄,"钱,克,g,两,None,分"
蒲公英,"g,钱,石"
半夏曲,"两,克,钱半,None"
烟胶,克
滑石用青色者佳,None
四制,None
轻粉,"两,None,克,钱,分,g,钱半"
橘核,"g,钱"
炒稻芽,两
神曲,"两,克,分,None,g,两半,钱"
