六方藤,g
白圣,克
雄黄,"分,钱,两,g,克,钱3分,分4厘,None,钱5分,钱半,钱6分,铢"
山楂肉,"两,钱,None,两5钱,分,克"
蕺莱,克
木鳖仁,"千克,None,克,两,钱"
白及片,千克
三梅片,None
水牛角粉,g
即以好硫黄,两
制白附子,g
漆花,克
附子&lt;炮裂,克
两头尖,"两5钱,两,克,钱,g,粒"
候稍干,None
平姜,None
白粱米,合
头发,"钱,两,分,克"
毫,None
木耳灰,两
大枣,"None,枚,克,个,g,只,分,钱,千克,两"
香油半盏,None
制元胡,g
人乳粉,"两,克"
炒大黄,g
生乳香,"g,份,克"
人乳拌蒸,None
蜀漆,"分,两,铢"
鸣蝉,枚
去外鳞,None
用,None
路路草,g
附子大者,枚
凤眼草,"两,钱"
南川芎,钱
北柴胡或狭叶柴胡的挥发油,g
大黄,"g,两,钱,钱5分,分,克,斤,-15克,-24g,None,份,-20克,石,两半,钱半,两1分,斤半"
似锦,两
捻子,None
原麝香,分
乌鱼骨,"两,克,钱"
去核,None
生贯众,g
没药末,克
青,条
醋玄胡,g
作饼子,None
刘寄奴,"钱,克,两,g,None,两半,份"
柏油,克
山楂炭,g
铁粉,"两,克,钱6分,分,两半,两1分,钱"
蔻米,克
五指毛桃,g
生地榆,g
小枳实,克
冬葵根,两
细辛,"两,两5钱,克,-6克,None,g,分,钱,斤,份,两6铢,钱半,两半,-12克,两1分,钱5分,铢"
钱许,None
以伏龙肝为末,None
商陆,"g,钱,克"
蜀漆叶,两
牛膝,"g,两5钱,两,None,克,钱,分,两半,斤,份,两6钱,条,石,千克,钱半,两1分"
芹菜,克
炙香附子,g
？骨草,g
大草乌,两
白莲,g
二蚕沙,两
制天虫,g
葵花心,g
却入锅中,None
炒川楝子,克
制军炭,g
豫吞,握1茎
炭火上炙干,None
藕节,-30克
亦如是法,None
真琥珀,钱
木zh0草,g
炒皂刺,"克,钱,g"
蓬莪茂,"克,两"
绿青,分
饭耆,两
石菖蒲,"分,两,克,钱,None,g,斤,厘,钱5分,两半,节,合"
干桃叶,两
白丑头末,两
追地风,g
柳条,None
牛旁子,克
人乳汁,None
乱发如鸡子大,None
羊角灰,克
爁熟,None
橘红,"钱,分,至5钱,g,两,None,钱半,克,两5钱,钱5分"
生黄耆,"斤,g,钱,两,克,None,钱5分"
升麻,"两,钱半,克,钱,None,g,分,两半,铢,两1分,寸"
茶苓,g
直僵蚕,两
滑石,"克,g,钱,None,石,两,两半,钱半,-3两"
西珀,钱
枳实,"钱,两,克,g,分,None,石,铢,两半,斤,枚"
米,None
1000,None
须生熟得中,None
亲贝,g
鸡蛋白,个
元冬,g
酒蒸地黄,两
淡附子,g
中指节大,None
干蟾,"克,个,分,枚"
丹胡,g
干丝瓜络,钱
蝮蛇,分
生姜 大枣 老葱白,片
生五灵脂,g
瓦上实土,None
煎令黄赤色,None
空破石,g
块根糙苏,g
生地竹叶,None
炙紫苑,g
隔纸炒令油出,None
节菖蒲,钱
川莲仁,None
炙苦杏仁,g
初以文火,None
干枸杞白皮,克
瞿麦穗,"g,克,两,两半"
野驼脂,两
余甘子,g
以布拭去土净,None
香白栀,钱
怀生地黄,"两,钱"
切薄片,None
好酒,"升,ml"
青州枣,个
当归两,None
西枸杞子,斤
煨白果,粒
母姜,斤
羊髓,升
用盏盛,None
西大黄,两
炮姜炭,"g,克,钱"
塞水石,g
或加人中黄,None
另磨细末,两
半生锉,两
牛李仁,两
炒莲房,g
茅香,克
b炙草,g
二十,两
介子,g
干羌活,g
生葛根,"g,None,分"
海马子,枚
条岑,钱5分
用净中拭干,None
胃炎,g
陈仓米,"g,撮,钱,None"
香砂六君丸,None
小者,"枚,个"
入犍猪肚内,None
方,None
全牛膝,g
仍以原腐掩孔,None
筛去毛,两
败龟版,"两,克,None"
三茯苓,g
矾宁,g
重杵,None
一方有蜗牛微炒,分
炙五味子,g
百部根,"g,斤,None"
枸杞子,"克,None,斤,钱,两,g,两半,石,钱半,分,千克,钱5分,两5钱,升"
见穿,g
炉甘石,"钱,g,石,两,克"
盐水煮毕取出,None
生熟地榆,None
败船茹,两
石龙芮,"两,两半"
真钟乳粉,两
西红花,"份,g"
建莲,两6钱
生龙牡,g
银朱,"克,钱,两"
川断肉,两
雷公藤,g
漏篮子,两
用红花,钱
以皮纸五重,None
火炙,None
广藿香,"两,g,None,钱"
钱半,None
煅乌贼骨,g
用竹刀刮去黑皮,None
红胡,钱5分
玉竹,"两,斤,钱,克,g,None,两半,分,钱5分"
真田七,g
秦皮,"两,g,克,分"
黄芪多糖,g
小青皮,"g,克"
燥令碎,两
川茅术,g
信石,"两,钱,g"
白合,g
几茶,g
慢火煎,None
肉豆蔻仁,两
熟军,"钱,克,g"
元武版,克
牛膝杜仲,g
骨碎,g
用生姜自然汁浸,None
真会白,两
同甘草末水润拌蒸,None
