大甘草,钱
雄黄,"分,克,None,g,两,钱"
葱管涎淹,None
以巴豆,-4粒
鲜半边莲,g
樟木,"None,g"
参三七粉,g
不拘几个,None
甘遂,"克,两,g"
并以生姜汁和作饼子,None
苏叶,"钱,g,两,钱半"
用上半截,None
巴豆炭,g
弓弦灰,两
白姜,None
阴干收用,None
大枣,"克,枚,g,个,None,升"
盐水浸,"钱,None"
麦糵,两
小川连,钱
炒大黄,g
车前子,"g,None,两,克,钱,钱半,铢,两半"
蜀漆,None
鲜芦根,g
生天雄,斤
鼠,枚
常山,两
全华草,g
银柴胡,钱
炒黄芪,升
紫花地丁,"克,g"
枯矾,"g,两,克"
大黄,"两2钱,两,None,克,钱,g,分,份,两半"
生耆,钱
生地黄汁,升
山慈姑,g
文火煮烂,None
穿破子,g
捞来收坛内,None
蛇床人,分
遍去滑,两
玄参,"g,None,两,两4钱,克,分,钱"
川朴消,两
刘寄奴,"钱,g,份,克"
制大黄,g
干土牛膝根,g
挪却鸡子大,None
铁粉,"克,钱"
黄狗肾粉,g
地榆提取物,g
蝎蛸,分
左山寒水石,两
细辛,"两,None,分,克,g,钱半,钱"
磁石,"g,克"
马缰灰,两
川乌头,"两,分,克"
商陆,克
山羊角,g
良姜,"两5钱,None,分,克,两"
蒸之,钱
牛膝,"钱,g,两,石,None,克,两1分"
仙灵牌,None
玄精石,两
茯苓,"None,两,克,g,分,钱半,钱,两半,两5钱"
出火毒后,None
茜草,g
白粳米半合,None
炙紫菀,g
桑寄生,"None,两,g"
炒羌活,克
去尾,None
急用则烂研,None
零陵香,分
乙醇,ml
牙消,钱
蔻米,分
广狗鞭,具
山芝麻根,g
炒皂刺,g
鲜猪胆汁,毫升
苏枋木,两
虎杖,"None,g,份"
石菖蒲,"两,None,克,g,钱5分,分,斤,钱"
马鞭草,g
泔浸,两2钱
搅匀成膏,None
加破开槟榔,None
南白芍,钱
芡实,"g,钱半"
橘红,"克,g,钱,两,分,钱5分,石,None"
生黄耆,"克,g"
升麻,"两,克,None,g,分,钱"
姜汁厚朴,克
大附子尖不可长半寸,None
炼至滴水成珠,None
陈葫芦,"g,个"
枳实,"g,钱,两,克"
米,None
去皴皮,克
川归,分
黑矾,"斤,两"
须在,None
土贝母,"两,克"
藏红花,钱
干蟾,个
黑山栀,"克,g"
桑叶,"None,两,g"
刺力,g
红板归,g
青风藤,g
麦芽,"两,g,None,分"
人中白,分
白术,"克,两,钱,None,分,g,重,钱半,两半"
蛇蜕皮,"钱,两"
大青盐,"两,克"
胆矾,钱
川芎,"g,两,克,两4钱,钱,None,分,钱半"
女贞子,"g,两,None"
火硝,克
乌头,"两,克"
半边莲,g
苍耳子,"None,克,g"
瞿麦穗,"克,两"
牧童,g
头尖,g
黑芝麻,"升,克"
生乳香,g
黑楂肉,两
四物汤,"两,钱"
兰香菜,两
槟榔,"克,两,g,钱,枚,个,分,两1分,None"
同半夏煮,None
木瓜,"克,钱,g,None,两"
干蟾头,枚
梵天花根,g
白术瓢肉,钱8分
炮姜炭,钱
檀香,"克,g,钱半"
桑根白皮,"克,两半,两,两3分"
伏翼粪,两
薏苡仁,"克,钱,g,None,两半,两,升"
白信石,"g,None"
干山药,两
入水中,None
甘油,g
钟乳石,"铢,钱"
浸熬,None
竹茹,"g,钱,握,克"
败龟,两
葡萄糖粉,克
虢丹,两
炒苍耳,g
蜣蜋,分
壳并向里实如粟零壳及枝叶,None
龟板,"None,克,g"
蟾蜍,枚
柳枝半握,None
穿壁风,None
蚕砂,"None,g,两"
云母石,两半
天雄,"两,铢"
制马钱子,None
黄芦根,g
生远志肉,两
当归,"两2钱,g,斤,两,None,克,钱,两4钱,钱5分,分,钱半,两半,石"
白芷陈皮,g
枸杞子,"None,两,g,克,钱,两5钱"
南木香,"克,钱,两"
将巴豆肉乳钵内烂研成膏,None
儿茶散,份
炉甘石,"None,钱,两"
蜜水润,None
石龙芮,分
蝉蜕,"-9克,None,g,两,个,克"
紫河车,枚
故纸,两
白花败酱草,g
珍珠,"分,None,g,钱,克"
银朱,"钱,克"
鹿角霜,"g,钱"
自然铜,"g,斤,两,钱,克,None"
鸡苏,分
川断肉,两
小粉,两
苏子,"克,g,两,钱,钱5分"
香橼,g
白槟榔,"枚,两"
鸡血藤,"两,None,g,石"
当门麝香,钱
百部,"g,两"
伏龙肝,两
白茯,"克,None"
马钱子粉,g
白茅根,"克,握,g,None,两"
玉竹,"None,g"
