鸡子,枚
雄黄,"两,钱,分,g,钱半"
山楂肉,"钱,两,钱5分,克,两5钱,g,None"
用甘草,两
半夏僸,两
山茶,g
鸡头肉,两
煨乌梅,g
甘遂,两
苏叶,"两,g,克,None"
春砂仁,"两5钱,g"
煮取肉汁,盏
捏成小饼,None
次日蒸透晒干,None
姜夏,钱
鲜橘皮,～15克
大枣,"枚,g,个,None"
碳酸氢钠,None
丝饼,钱
鸡子黄,枚
炮干姜,克
苏叶子,钱
宛,克
胶珠,钱
楂曲,g
桑螵蛸,克
川茴香,钱
？,两
以盆盖,None
凤眼草,两
伏龙肝,"份,钱,两"
胡麻十,两
大黄,"斤,两,钱,g,分,None,克,钱5分,钱半"
生耆,两
生地黄汁,升
生百部,两
明参,g
瓦楞子灰,钱
去核,克
生贯众,g
猪胆粉,g
姜连,钱
玄参,"石,g,克,两,份,钱"
晒九次,克
刘寄奴,g
山楂炭,g
铁粉,两
寒水石,None
去心膜,None
浸透,None
山檀,克
细辛,"两半,两,g,克,分,None,铢"
浓汁煎,碗
上好银朱,克
磁石,"克,g,分"
海粉,None
商陆,"克,两"
良姜,"两,两7钱,克,g,分,钱"
食蛆,None
以高米醋,斤半
川牛膝,"None,克,g"
瓜蒌霜,None
革草,g
茯苓,"两,g,克,分,钱,None,两5钱,千克,两半"
茜草,g
桑寄生,"g,两,克"
苡仁米,g
百合,"两,g,None,克,枚"
牙消,None
搅匀封口,None
真琥珀,克
野葛,升
罂粟过,／2份
蓬莪茂,千克
三角将军,个
米粉,"克,None"
檀香木,两
石菖蒲,"两,None,g,节,克,钱半,钱"
以泥塞窍子令密,None
以黑为度,None
拭干,None
刺蓟,两
红硬降真香,分
白姜,两3钱
淡干姜,钱
芡实,"两,两5钱,克,None,钱"
橘红,"钱,分,两,克,None,g"
生黄耆,克
升麻,"None,g,两,分,克,钱"
逢术,两
次净酒浸,None
滑石,"两,钱,g,克,None"
枳实,"两,钱,g,克,None,分,斤,枚"
白糖,"None,克"
川归,分
江枳实,g
狼毒,铢
以来,None
生苍术,石
干蟾,"两,钱"
甘草如病人中指长,None
桑叶,g
杜蟾酥钱半,None
先用枳壳,两
穿山甲粉,g
蒸九次,克
饭锅上蒸,克
人中白,"钱,g"
白术,"两,None,两1分,两半,分,钱,克,钱5分,g,石,份,铢"
用炭火,斤
炒知母,g
炙紫苑,g
川芎,"两,克,钱,分,None,g"
女贞子,g
火硝,"两,None"
煨木香,钱
以灶心土炒,None
榜嘎,g
红娘子,枚
零散香,g
调人水内,克
槟榔,"两,g,～10克,钱,两半,克,None,个,分,斤,千克,钱半,枚"
木瓜,"两,g,None,钱,克,钱3分"
待稍冷,None
浮萍草,两
羊髓,升
又次消水,None
檀香,"两,钱,g"
桑根白皮,"两,分"
甘皮,两
薏苡仁,"两,克,g,None,两1分,钱"
干山药,"两,克,钱"
交加,两
桑枝,g
