雄黄,"g,克,钱,两,None,两5钱,钱7分,分,钱半,钱5分,两半"
生使,枚
水牛角粉,"克,g"
洗竹叶,g
草密,g
两头尖,"钱,克,None,两"
平姜,None
头发,"两,None,把"
大枣,"枚,克,None,个,两,g,斤,两半,分"
猪肺,具
香油半盏,None
以炭火烧,None
蜀漆,"两,克"
生百部草,g
银耳,g
路路草,g
大黄,"克,g,None,两,钱,两5钱,-5g,～5g,斤,分,千克,～20克,-15克,钱半,-20克,～30克,-10克,份,石,两半,钱5分,两1钱,铢,两6钱,-3钱,合"
定风草,克
生贯众,g
川蜈蚣,条
青,g
白蔹末,克
山桂,None
荷花地丁,g
山楂炭,"钱,g,两"
研如膏,None
煮水尽为度,None
生地榆,"g,克"
拣人参,两
扁豆壳,钱
商陆,"g,两,克,分"
生牛黄,钱
蛇含石,"g,None,钱,两,克"
瓜蒌霜,"克,None"
白莲,g
生硇砂,钱
制天虫,g
扑硝,g
炒川楝子,g
炒硼砂,钱5分
藕节,"克,g"
炒皂刺,"克,钱,g"
石菖蒲,"克,分,None,节,g,升,两,钱,钱5分,两半"
虎睛仁,对
益母草末,两
黑牛角,g
乱发如鸡子大,None
橘红,"钱,克,g,分,两,None,钱5分,石,两3钱,两半,钱半"
生麦门冬汁,合
又煅又冷定冷定,None
一藿香,None
结实人参,两
草决明,"钱,两,None,g,克,千克,两半,合,分,两4钱"
以器皿合在净地上,None
淅贝,g
水飞辰砂,分
黄连备,None
炙紫苑,g
霜苍术,g
紫金藤十,两
乌梅丸,克
羚角粉,g
野驼脂,分
瞿麦穗,"克,g,两半,两"
川菖蒲,g
五谷虫炭,克
火煅红,None
好酒,"升,斤"
青州枣,"枚,个"
乌贼,克
金樱根,"None,g"
羊髓,"克,两,铢"
玉米仁,g
炮姜炭,"g,钱,克"
甘皮,"铢,分"
防,两
防风梢,克
通圣散,None
如桑根色为度,None
大风肉,"两,钱"
针者,None
苏叶l,g
去裙膜,None
兰花竹叶,g
吴萸子,g
共为细粉对入,克
败龟版,"两,个"
鲜盘龙参,g
青竹茹,"克,两,g"
乌骨白丝毛鸡,只
儿茶散,份
炉甘石,"g,克,None,钱,两"
翔羊粉,g
石龙芮,"克,两,分,None"
西红花,"两,g"
建莲,克
半夏酌量,None
柘木炭,None
