雄黄,"钱,克,g,两"
山楂肉,"分,钱"
片松香,千克
百蒺藜,g
加木瓜,None
生黄芪,g
甘遂,"None,两"
雪梨汁,个
大枣,"枚,g,个"
青箱子,g
蔓京,g
酒芍,None
将铜绿研细,None
蛔虫,条
银柴胡,"None,钱,克,两"
鸭趾草,g
紫花地丁,"克,None"
枯矾,"None,g,克"
大黄,"g,两,克,钱,None,石,钱半,kg,分,份,斤,千克,两半"
生耆,g
生地黄汁,"合,升"
米醋蘸炙令脆,None
盆消,克
蛤,石
玄参,"None,克,g,两半,钱"
川朴消,"克,两"
研极细,None
刘寄奴,两
制大黄,克
霜桑叶,"钱,克"
醋煅牡蛎,g
蔻米,克
生地榆,kg
皂角仁,None
细辛,"两,克,g,分,钱半,钱"
磁石,g
商陆,g
良姜,"g,两,分"
香圆皮钱半,None
牛膝,"克,钱,g,两,None,钱半"
条黄芩,克
刀豆,None
地龙干,克
陈香橼皮,克
茯苓,"None,克,钱,g,两,分,两半,份"
莲米,g
茜草,"克,g,两"
炙紫菀,g
桑寄生,"g,两"
百芍,g
先下苍术炒熟,碗
青蒿,g
当归身,两
诃梨勒,枚
姜枣,None
鼠尾草,斤
虎杖,g
石菖蒲,"g,克,两"
白头翁,g
钓藤皮,钱
食盐炒,两
漂白术,两
潼木通,g
芡实,g
橘红,"g,钱"
生黄耆,克
升麻,"None,克,钱,分,两,两半"
滑石,"g,钱,两,None,克"
枳实,"克,g,None,两,两半,千克,钱"
去皴皮,None
荠菜,钱
黑矾,两
生姜汁浸,None
黑山栀,g
桑叶,"克,g"
青风藤,两
桑螵蛸,"g,两"
马蹄金,g
白术,"-8克,克,两,钱,g,斤,None,钱半,分"
尖生,None
藕粉,斤
川芎,"克,钱,None,g,分,两,两5钱,钱半,两半"
女贞子,"克,g"
千里光,g
半边莲,"None,g"
黑脂麻,"克,斤"
陈石韦,钱5分
刺力,g
独蒜,None
木瓜,"g,None,两"
藕汁,升
檀香,"None,两,钱"
肺痈草,g
白善土,两
薏苡仁,"g,None,两,钱"
干山药,两
荆齐穗,两
桑枝,g
陈香蒿,克
竹茹,"克,g"
味同捣取汁,None
鳞,None
炒青蒿,两
龟板,"g,两"
蟾蜍,"个,两"
连翘,"分,None,克,钱半,g,钱,升,两"
鲜生地,g
天雄,两
当归,"克,None,两,钱,g,分,钱半,-3钱,两半"
百部根,"两,g"
枸杞子,"克,None,g,两,钱,斤"
炉甘石,钱
蝉蜕,"克,g,None,两"
紫河车,"g,具"
赤白芍,g
珍珠,"钱,两"
土瓜根,"两,克"
鹿角霜,g
自然铜,"分,两"
天花粉,"克,钱半,g,两,None,钱"
防葵,分
地黄,g
雷公藤,g
苏子,"克,g,两,钱"
鸡血藤,g
百部,"g,两"
广藿香,g
钱半,None
秔米,合
玉竹,g
宣黄连,两
秦皮,"两,g,克"
败酱草,g
细芽茶,钱
羚羊角粉,g
纸裹煨,None
蜜,两
朱砂,"钱,克,分,两,g,钱半,钱5分"
紫菀茸,克
银石器中熬去半,None
熟军,"两6钱,g"
半夏,"克,g,分,两,份,None,两半,钱"
山慈姑,g
煨令赤色,None
红牛膝,克
生明乳香,克
砂盆中慢火熬成膏,None
又用陈皮,两
芩,g
黑丑,"克,两,千克,钱"
无名异,两
切作片子,"None,碗"
烂研,None
川升麻,两
马鞭草,"斤,分"
芒消,"g,克,两"
用蜜水拌蒸,None
昆布,g
白鲜皮,"g,两"
炮山甲粉,克
焦山栀子,g
前胡,"克,g,两,分"
山慈菇,克
续断,"g,两,None,钱半"
欢皮,g
当归头,分
莪术,"克,g,钱"
槐花,g
生珍珠母,克
蛤壳,"g,None"
麻油,毫升
炙鳖甲,g
当是,g
僵蚕,"克,None,g,两,分"
粘黄米,斤
屋梁上尘,None
芥穗,"分,克,两,两半"
大栀子,克
又用川楝子净肉,两
生栀子,"钱,g"
细辛l.,克
炙草.,g
马屎,钱
芫花,"两,None"
当归钱半,None
骨碎补,两
白薇,双
柳叶,g
鳖甲,"钱,两,克"
鲜鱼腥草,克
降香,"g,两"
味同白研,None
威灵仙,"g,两,克,分"
熟地,"None,g,钱,两"
生明矾,两
瓜壳,g
金磁石,g
大豆卷,g
钩藤,"克,-30克,g,石"
麻子,两
酸枣仁,"克,g,None,两,钱"
生山栀,g
建曲,g
炙令黄,None
地骨皮,"None,克,g,两,分,两5钱,钱"
盐,两
花椒,"None,g,分,克"
鸡内金,"g,具"
曾青,两
卜子,钱
大力,g
广郁金,"g,钱"
苦地丁,"g,克"
栀子仁,"两,克"
诃子,"g,钱,两,分,个,两半"
乳没,g
再用醋煮,None
赤石脂,"分,两,克,两半"
百药煎,"钱,克"
蜈蚣,"g,条,None"
川厚朴,两
合欢花,None
白芷,"None,克,g,分,两,两半"
鹿茸,"两,钱"
白茯神,两
山萸肉,"g,钱,两,石,分"
白扁豆,"克,g,None,钱,两"
滤出,None
茯苓片,克
款冬花,g
和蜜,None
天葵子,克
紫草茸,None
丹皮,"克,钱,g,None,分,两"
甘松,"None,两,钱"
郁金,"g,钱,克"
炙黄芪,g
旱莲草,g
用真乌豆,份
熔干,两
佩兰,g
去皱,None
硝石,g
茯芩,钱
生粳米,克
玄明粉,"钱,份"
山桅,g
紫草,"g,两"
每以甘石煅过,钱
龙骨,"g,两,分,钱,克,None"
石决明,"千克,None,g"
白花蛇舌草,g
明沙参,g
金银花,"g,钱半,克,分,钱,两,None"
何首乌藤,g
穿山甲,"g,克,None,两,钱"
蒲黄,"g,两,克"
知母,"克,g,None,钱,分,两半,两,两5钱"
蒲公英,"g,克"
人参,"钱,分,两,克,None,g,两5钱,两半"
半夏曲,"两,克"
轻粉,"钱,克,分,两"
橘核,g
上药用酽醋,升
再用盐末,克
酒知母,克
乌梢蛇,"g,钱半,两,克"
蕲蛇,"两,g,钱"
千年健,两
用童便浸一伏时,None
侧柏叶,钱
炙枇杷叶,g
蜗牛,个
玉米须,克
钟乳粉,两
炒芩,None
羚羊粉,"克,两,g,钱,分,钱5分"
黑荆芥,克
苍耳子,g
陈枳壳,钱5分
旋覆花,"克,None,两"
六月雪,g
蒺藜,"克,None,两,g"
诃黎勒皮,两
川浙贝,g
蕤仁,"None,克"
羊胫骨灰,钱
蓖麻子,"克,粒,两"
香油,斤
鹿角胶,两
虻虫,"分,个,枚"
火燃急以盆盖,None
广香,g
海浮石,g
炙甲片,g
生犀角,"两半,钱"
去石,分
沉香,"两,钱,克,None,g,分,份"
地盘茶,g
皂荚水泡半日,None
苦参,"g,None,斤,克,两"
炒黄芩,"克,g"
血竭,"克,两,g,钱,钱5分"
黄精,"克,g"
熟甘草,克
真川椒,两
金箔,斤
朵揉牙,两2钱
鲤鱼,斤
油归,None
白芍,"克,两,钱,g,分,None,两5钱,两半"
时,两
麦芽,"两,克,g,分,None,钱"
大青盐,"两,钱,两半"
家菊花,None
地肤子,g
忍冬藤,g
