鸡子,枚
雄黄,"钱,克,g,两,铢,None,分"
山楂肉,钱
桃花,两
独活,"两,克,None,钱,g,分"
或威参,两
不令研细,None
柴胡l,g
醋柴胡炙,g
头发,钱
大枣,"克,枚,g,None,个"
制元胡,g
巴豆,"克,字,粒,钱,分,两"
炒灵脂,g
生乳香,g
蜀漆,铢
羊腰子,对
卷柏,g
研末,克
款花,None
川茴香,克
银柴胡,"克,g,None"
用火再熬作稠膏子为度,None
伏龙肝,"两,None,升"
枯矾,"g,两2钱,钱"
大黄,"两,克,g,分,钱,None,两半,两6铢"
生耆,钱
生地黄汁,升
山慈姑,g
摊在碗上,None
马齿苋末,两
虎头骨,两
没药末,克
玄参,"克,g,钱,两"
加知母,None
醋玄胡,g
刘寄奴,"克,g"
白鸡冠花,两
铁粉,"两,分"
九一丹,g
蚬壳,两
蜈蚣粉,g
甘遂,"两,None"
皂角仁,None
细辛,"None,克,分,g,两,铢,两半,钱"
净杭萸肉,克
商陆,分
取出用之,None
良姜,"克,None"
%地榆,g
牛膝,"钱,两,克,None,g,两6铢"
生没药,g
川牛膝,"None,g"
制甘草,钱
酒制大黄,g
茯苓,"两,克,g,钱,None,铢,钱半,分"
茜草,"两,g"
腊梅,g
桑寄生,"克,None,g,两"
青蒿,"g,两"
零陵香,分
当归身,"None,钱,g"
川升麻,两
生黑白丑,g
蓬莪茂,克
山棱,克
虎杖,g
石菖蒲,"节,g,分,钱,两,None,克,斤"
碎如豆粒,None
搓去黑皮,None
上同锉细,None
控干,None
鲜桑枝,g
威吴仙,g
芡实,"两,克,g"
生灵脂,两
生黄耆,g
加柏子仁,None
甘枸杞果,克
滑石,"克,g,两,None,两半"
枳实,"克,g,两,钱,分"
白糖,g
没药面,钱
黑矾,None
狼毒,g
樟脑,"克,g,分,钱"
鲜牛蒡草,g
桑叶,"g,克"
乱发,枚
以净为妙,None
青风藤,g
麦芽,"钱,g,None,两,钱7分,克"
乌头尖,个
白术,"两,钱,克,None,g,分,钱半,两18铢,铢"
炒甲珠,g
炙紫苑,克
川芎,"两,None,钱,克,g,石,~45石,钱半"
无油锅内炒,None
女贞子,"克,g"
火硝,"两,克"
生牛蒡,None
乌头,"枚,两,铢"
瞿麦穗,两
鹿角片,g
红娘子,g
五谷虫炭,克
怀生地黄,"斤,克"
生犀尖,钱
槟榔,"钱半,钱,枚,两,克,g,两半"
木瓜,"两,钱,None,g"
枣许,None
炮姜炭,g
檀香,"两,g"
陈艾叶,g
薏苡仁,"克,None,g"
白信石,两
防风梢,钱
白矾,"两,克,钱"
桑枝,"g,None"
毛科青,g
地鳖虫,g
四圣汤,None
新鲜鸡蛋清,个
炙黄耆,None
又不可太过则须色绿,None
仙茅,g
人参随便,钱
生炙,分
鳖甲胶,两
龟板,"克,g"
蟾蜍,两
云母石,None
败龟版,None
天雄,"两,克,分"
制马钱子,g
石上菖蒲,None
当归,"克,两,None,钱,g,石,分,两半"
使君子肉,钱
麝香,"两,克,钱,分,g,None,字,钱5分"
南木香,"钱,两,钱半,None"
白枯矾,钱4分
山慈菇,g
蝉蜕,"克,g,两,分,None"
同生姜捣如泥堆,两
故纸,"两,克"
生甘草梢,钱
珍珠,"分,两"
以慢火熬约至,None
鹿角霜,两
萸黄,两
自然铜,"克,None,钱"
海桐皮,"g,分,钱,两"
地黄,g
苏子,"钱,g"
香橼,"克,g"
川五倍,None
荆三棱,"克,两"
当门麝香,钱
百部,"g,克"
捣烂为饼,克
紫花地丁,"g,克"
细卒,g
生葱头,根
白茅根,"两半,g,克"
玉竹,"g,分,克"
去枝,克
秦皮,g
生杭芍,钱
败酱草,g
水飞,克
生桑皮,钱
灸甘草,g
用屋瓦盛,None
山术,None
朱砂,"分,铢,钱,两,g,None,克"
蛎枣,枚
别捣,分
半夏,"None,两,g,克,钱,分"
连皮苓,g
山豆根,"None,g,钱"
台乌药,g
胡燕巢土,两
刘奇奴,两
南粳米,克
郁李仁,两
南瓜子,g
白炉甘石,克
白药子,分
青箱子,g
生槐花,g
芩,钱
黑丑,g
无名异,"g,None"
淀粉,kg
炙马钱子,g
炙升麻,g
绛通草,钱
桃仁,"两,克,个,钱,None,g,石"
芒消,两
爆勿焦,None
辛夷仁,两
蔻壳,g
钟乳石,两
昆布,"g,分,克"
白鲜皮,"g,None,两"
连翘,"g,两,None,钱,克"
天麻,"克,g,None,两"
先赤烟起,None
续断,"克,两,钱,两半,None,g"
牡荆子,克
鹿衔草,g
桑白皮酊,ml
莪术,"钱,两,克,None,g"
苏合香,"克,g"
槐花,"g,两,钱,None"
甜梨汁,毫升
蛤壳,两
麻油,"斤半,升"
僵蚕,"克,g,钱5分,两,None"
儿茶,钱
拌浸一宿,None
香薷,"g,None"
芥穗,"克,两,两半"
炒丹皮,g
鳖甲,"None,两"
制大黄,g
苎麻根,g
真没药,None
覆盆子,None
多饮者加,None
粳米,"克,～100克,g"
山药l,g
核桃肉,个
过一宿,None
炭乌贼骨,g
雄黑豆,斤
降香,"g,克"
真桑螵蛸,两
威灵仙,"None,g,钱"
熟地,"钱,克,两,g,两5钱,None"
瓜壳,g
虻虫,"g,枚"
钩藤,"克,g,两,None"
瓦楞子,None
酸枣仁,"两,克,g,分"
五灵脂,"None,克,g"
没食子,"两,None"
建曲,g
薏苡,钱半
地骨皮,"None,克,g,两,分,钱"
新水半碗,None
片姜黄,"None,两"
花椒,"两,克,None,g,钱,铢,斤"
鲤鱼鳞,两半
鸡内金,"两,钱"
陈绍酒,瓢
公丁香,"钱,两,克,g,钱半"
干地龙,g
茯芩,g
栀子仁,"两,分,钱"
次生地,钱
蒿本,g
真降香,两
糯米,粒
即软如泥,None
天南星,"克,g,钱,两,分,钱半"
鱼草,g
赤石脂,"钱,克,钱4分,分,两"
芋梗,g
参三七末,g
蜈蚣,"条,g"
川厚朴,分
白芷,"两,None,克,g,钱,分,斤"
姜,None
炒川芎,g
通草,"克,g,两"
笔管草,None
伸盘草,g
山萸肉,"g,两半,克,两,None,分"
白扁豆,"钱,None,克"
醉鱼草根,g
赤足蜈蚣,条
黄灵药,克
款冬花,"g,None,分,钱,克"
化橘红,g
次入樟冰,None
天葵子,g
白丁香,None
丹皮,"钱,克,g,None,两"
甘松,"g,两,克"
丹参,"None,克,g,石,两,钱"
大扁蓄,两
红鸡冠花,两
如此者七次,None
炒山栀,克
胡椒,"钱,克,两,分,None"
旱莲草,g
白黄连,两
夏一日,克
皂角针,斤
海金砂,两
硝石,g
仙鹤草,g
玄明粉,钱
炒八角,克
紫梢花,"钱,克"
砒黄脚,两
紫草,"升,克"
白垩,两半
全瓜萎,g
石决明,None
新鲜土豆,克
白花蛇舌草,g
次黑烟起,None
金银花,"克,g,None,钱"
瓜蒌仁,分
蒲黄,"None,克,g,两"
知母,"g,克,分,None,两,钱,钱半"
肉桂,"克,两,钱,钱半,None,g,钱5分,分,两半,铢,两6铢"
蒲公英,"g,钱"
人参,"两,钱,克,g,None,分,铢"
半夏曲,"两,克"
鹅儿不食草,None
轻粉,"克,g,钱,字,None,分"
橘核,"克,两,g"
黄处芪,g
乌梢蛇,"两,克,g,None"
蕲蛇,g
千年健,g
野党参,两
侧柏叶,"g,克"
瓦器不住手搅炒,两
待热气将息,None
钟乳粉,克
鲜柳枝,g
炙全蝎,g
