雄黄,"克,g,None,钱,钱5分,两,分"
用甘草,两
水牛角粉,g
洗竹叶,g
甘遂,None
童木通,g
雪梨汁,个
怀熟地,None
大劈砂,两4钱
次日蒸透晒干,None
250,None
大枣,"枚,g,个"
煎浓汁,碗
宿透,None
制半夏,g
生牛乳,钱
故棕榈,两
银柴胡,"钱,None"
甜苁蓉,g
桔梗蒡,g
枯矾,"克,g"
北柴胡或狭叶柴胡的挥发油,g
大黄,"两,None,g,两8钱,钱,克,分,份"
将全鼠包完,None
生地黄汁,毫升
白芥子,g
鲜生姜,None
盆消,两
梨清膏,g
玄参,"两,钱,克,None,g,分"
川朴消,分
刘寄奴,"None,g,两"
制大黄,g
铁粉,"两,克"
净知母,克
浸透,None
实竹叶,两
拔过松香,钱
细辛,"钱半,None,克,g,分,两,钱"
浓汁煎,碗
去滓入下项,None
磁石,斤
野麻根,None
良姜,"两,g,克"
牛膝,"克,石,g,None,两,分,份"
麻黄附子细辛汤加干姜,None
茯苓,"两,克,分,None,～9克,g,钱,钱5分,两5钱"
茜草,g
生犀屑,分
王瓜,克
零陵香,两
木耳,克
诃梨勒,克
柳书枝,g
虎杖,g
石菖蒲,"两,g,钱,克"
枣子,None
芡实,克
橘红,"g,两,None,克,钱"
生黄耆,"克,钱"
升麻,"克,分,None,两"
芸香,钱
滑石,"两,g,克,斤,None"
麦冬汁,None
枳实,"克,分,g,两,None"
白糖,"两,g"
酒栀子,None
漏芦,"None,两"
生苍术,石
淋取汁,None
香油半盏,None
梗米,g
桑叶,"克,g"
虎骨头,分
染纸两张,None
汤浸,None
白术,"两,分,克,None,g,钱,钱半,钱5分,两2钱半,两5钱"
别用好黄连,两
节菖蒲,钱7分
川芎,"两,None,克,石,g,分,钱,钱半,份,钱5分"
女贞子,"克,g"
乌头,两
鹿角片,g
一方有枯矾,钱
槟榔,"钱,分,两,None,g,克"
粉萆?,g
木瓜,"克,None,g"
藕汁,"None,升"
赤勺药,g
郁仁,两
檀香,"两,钱,None,g"
桑根白皮,两
防,两
烧令面热,None
鲜苇根汁,None
桑枝,"寸,g"
钟乳石,None
去砂,None
硇砂,"g,钱"
韭菜子,g
苦参粉,克
龟板,"g,两"
蟾蜍,g
松花粉,两
黑糖,g
金星凤尾草,两5钱
荸荠汁,None
云母石,钱
薄荷素油,None
黑芝麻梗,g
银花露,毫升
当归,"None,钱半,钱,钱7分,两,克,g,石,分,钱5分,升,钱2分,份"
麝香,"钱,克,分,两,字,None,g"
炭火烧红,None
醋制生川乌,g
长大色白,None
西红花,份
密蒙花,None
珍珠,"钱,分"
土瓜根,克
鹿角霜,"钱,None"
自然铜,份
炒薏米,g
海桐皮,两
四物汤加阿胶,None
地黄,"None,g,斤,两"
雷公藤,g
苏子,"g,None"
荆三棱,两
神曲末,None
百部,"钱,g,两"
细茶,两
广藿香,"None,g"
白茅根,"升,克,g"
玉竹,"克,石,g,None,分"
败酱草,g
略去白,None
朱砂,"钱,两,钱7分,份"
鹿角尖,两
通草,None
龟板胶,g
只将余药切作薄片,None
水飞净,None
半夏,"钱,克,两,升,g,None,石"
浸蒸晒干,None
李根白皮,两
蛤壳,"钱,g,克"
制全蝎,g
制白附子,g
用梨汁浸拌,None
酌加冰,None
黑丑,"两,钱"
余存留锅中,None
留袋上,None
川升麻,"两,分"
艾叶,None
煨天麻,克
大麦蘖面,克
芒消,克
先用枳壳,两
白前,克
面粉,克
糖精,g
沙苑子,克
昆布,"克,g"
白鲜皮,"分,g,钱5分"
连翘,"两,克,g,石,None,钱"
