雄黄,"钱,克,字,分"
山楂肉,"None,两"
独活,"两,钱,克,None,g,钱半"
却用竹篦或金银蓖不住搅,None
于银锅中慢火熬成膏,None
炭火煅过,None
众,g
生芪,g
同研成膏,None
以水,"升,碗"
麋茸,两
两头缚定,None
再入银铛中,None
薤白,"茎,g"
大枣,"斤,枚,g,None,个"
白附,两
人乳粉,克
鹿尾,g
生枳壳,克
蜀漆,分
羊腰子,"个,对"
甜苁蓉,g
茶叶末,None
兜铃,None
枯矾,"None,分,g"
大黄,"两,g,分,None,钱,斤,钱半"
黄蚁,g
去核,两
东流水洗,两
沙苑子,"两,克,g"
玄参,"g,两,钱"
枣针,两
刘寄奴,"两,None"
制大黄,g
霜桑叶,克
铁粉,两
贯众炭,g
鲜竹茹,克
酥炙,克
甘遂,None
细辛,"两,钱,分,克,石,None,g,钱半"
磁石,"None,g,两"
盛上项药在内,None
药罂添水煮,None
新发,None
牛膝,"两,钱,两2钱,None,g,克,两半,分,钱半"
竹沥,升
刷去角外黑垢,None
茯苓,"两,钱,两2钱,斤,g,两半,克,None,分,钱5分"
炙蜂房,g
去筋丝,None
小红枣,斤
桑寄生,"克,g,钱"
黑芝麻膏,克
天仙子,g
枣猬皮,克
百合,"两,克"
竹刀切开,None
柳书枝,g
冬虫夏草,g
取汁浸,None
虎杖,g
石菖蒲,"两,钱半,节,钱,g,合,分,克"
白头翁,g
乌赋骨,克
控干,None
浆水,升
淡干姜,克
芡实,"两,克,g"
桑椹膏,克
橘红,"钱,g"
生黄耆,"克,两"
升麻,"两,克,g,None"
辽,味5钱
滑石,"两,g,None"
枳实,"两,None,g,斤"
米,None
生清油,None
生姜黄,g
草决明,"g,克"
狼毒,两5钱
樟脑,None
枸妃子,g
桑叶,g
乱发,两
麦芽,"g,分,斤,钱"
汤浸,None
白术,"两,钱,两2钱,钱5分,克,None,g,钱半,两半,斤"
蛇蜕皮,分
乳汁炒,两
苣胜子,"两,None,克"
节菖蒲,"钱,两"
川芎,"两,钱,g,两半,克,None,分,钱半"
女贞子,"两,g,克,None,钱"
水貂鞭胶,g
去梗,两5钱
乌头,克
鹿角片,g
黑芝麻,两
淫羊藿叶,g
火煅红,None
地肤子,g
入诸药中,None
槟榔,"两,克,g,分,枚,斤,None"
木瓜,"两,g,枚"
金樱肉,g
漏芦,两
羊髓,"两,克"
盐水洗过,两
杭菊花,g
檀香,"分,两,两半"
桑根白皮,"两半,分"
薏苡仁,"两,分,g,克,钱半,钱"
防风梢,分
精羊肉,克
干山药,"两,两5钱"
桑枝,"None,厘"
用酒浸,None
羊脊髓,两
去砂,None
当归尾,"g,两"
重汤煮,None
冰片,"分,克,g,钱半,钱,字"
炙黄耆,克
芜荑,"克,分"
白鲜皮,两
代赭石,"g,两"
龟板,"两,钱,克,g"
焦栀,克
荔枝肉,千克
云母石,"None,克"
夏月加川黄柏,两
天雄,"两,对,分,克"
茄皮,None
黑芝麻梗,g
研细如粉,None
石上菖蒲,None
当归,"两,钱,两6钱,克,g,两5钱,分,None,千克,钱5分,钱半,～15克,斤"
百部根,两
枸杞子,"两,钱,两2钱,斤,克,g,钱5分,分,None"
南木香,两
胡桃肉,"斤,个,两,None,g"
为末,克
石龙芮,"分,克"
蝉蜕,"克,g,钱半"
紫河车,"克,具,None,g"
故纸,"克,两"
珍珠,钱
鹿角霜,"两,斤,钱,克,g"
紫苑,"两,g"
全栝楼,g
天花粉,"克,两半"
地黄,"None,克,g"
毛燕,钱
文火熬成膏,None
上片,分
貂鞭,g
真山药,两
百部,"两,g"
白茯,钱
鲜垂盆草,g
为本,None
白茅根,克
玉竹,"两,钱"
秦皮,g
败酱草,g
水飞,两
羚羊角粉,g
山术,None
朱砂,"g,分,两,钱,克,None,钱半"
麋角,None
川楝肉,钱
