雄黄,"g,钱,克,两,None,分,铢,钱半"
山楂肉,"钱,克,两,None"
以滚汤泡净,None
生玳瑁屑,两
毂树皮,ml
制白附子,g
白朴消,两
两头尖,"两5钱,两,钱,g,克"
头发,"把,钱,握"
大枣,"枚,g,None,两,个,克,斤"
猪肺,具
丝饼,钱
人乳粉,克
生乳香,g
蜀漆,"铢,两,分"
老川椒,两
款冬蕊,两
用,两
银耳,g
凤眼草,两
大黄,"g,两,钱,分,克,None,钱5分,千克,两半,升,-5g,斤,～30克,钱半,-20克,合,份"
定风草,克
离根香,None
强的松,g
蛇床人,分
炒熟去盐留茴香入药,None
煅青礞石,克
紫巴戟,两
川朴消,"两半,分,两"
枣针,两
刘寄奴,"钱,克,g,两,斤,两半"
山楂炭,"钱,两,g"
铁粉,"两,None"
荷叶蒂,None
火煨焦,两
关夏,g
生地榆,g
地脚粉,g
柽柳,g
拣人参,两半
细辛,"两,g,两5钱,None,克,钱,-6克,分,钱5分,升,两半,铢,石,斤,钱半"
制乌头,None
商陆,"克,g,分,两"
扁豆花,g
白薢皮,g
桑寄虫,g
牛膝,"克,两5钱,None,钱,两,分,g,两半,斤,斤6两,斤8两,两2钱,-3钱"
小盏,None
？骨草,g
黄芩浸膏液,ml
白莲,g
用银罐,个
炒硼砂,钱5分
川草乌,None
甘草煎浓汁浸,None
去喙不用,None
木zh0草,g
三角将军,个
石菖蒲,"两,克,None,斤,分,g,两半,节,钱,钱5分"
甲醛,ml
川黄芩,g
控干,None
漂白术,None
乱发如鸡子大,None
水苦参,g
橘红,"分,两,克,None,g,钱,两半,钱半"
生黄耆,"g,斤8两,克,钱,钱5分,斤"
升麻,"分,克,两,None,钱,g,钱5分,两半"
不限多少,None
白虎汤加柴胡,None
直僵蚕,"两,个"
滑石,"两,克,None,钱,g,两半,钱半,分"
枳实,"两,克,g,分,钱,None,枚,斤"
米,"合,None"
酒栀子,None
元冬,g
干蟾,"枚,两"
梗米,g
于加减复脉汤内去麻仁,None
冷开水,None
川楝实,两
用醋淬,None
蛤蚧,"对,g,分"
炙甘草L,克
鸡炙内金,g
苏木汤,None
不见铁器捣碎,None
松柏,两
瞿麦穗,两
飞腰黄,"克,两7钱"
黑芝麻,"升,合,两"
味用好醋浸,None
怀生地黄,"两,斤"
研细末,"None,两"
好酒,合
青州枣,斤
沙苑疾藜,None
