雄黄,"钱,分,两,钱半,g"
山楂肉,两
海藻,g
土粉沙参,两
罗参,"两,克"
甘遂,"两,None"
春砂仁,g
雀儿,只
头发,None
白姜,两
大枣,"枚,None,克,g,个"
马兜铃子,两
姜汁淹,两
朱麦名,g
好京墨,两
鲜芦根,"g,None"
炒干,None
用,两
巴豆二十,枚
白瓷屑,None
紫花地丁,None
枯矾,"g,None"
切片子,None
大黄,"g,两,钱,斤,克,None,分,两半,两1分"
生地黄汁,升
人乳浸,None
盆消,"None,两"
沙苑子,两
玄参,"钱,两,克,g,石,None,分"
生杏仁,两
刘寄奴,g
来年经霜为妙,None
砂锅煮裂,None
蔻米,分
生地榆,两
牛膝酒洗同入砂锅木甑,None
金樱子,g
细辛,"g,None,两,分,钱,钱5分"
去肚腹,None
磁石,"两,钱,None,克,g,斤"
酸石榴皮,克
盛上项药在内,None
天南垦,钱
良姜,"两,克"
牛膝,"两,克,钱,None,两半,斤,g,分,石"
竹沥,"瓢,碗"
茯苓,"两,钱,-5斤,分,克,斤,None,两半,g,铢,千克,钱半,石"
莲米,两
茜草,"g,两"
桑寄生,"g,两"
仙鹤草,升
玄且,g
食盐,None
百合,"克,g,None,两"
木灵芝,"克,g"
真琥珀,"两,克"
却用酒,升
灸白附子,g
络石叶,分
米粉,None
毕澄茄,"g,两"
虎杖,g
石菖蒲,"g,两,钱,克,分,两1分,节,斤,钱5分"
白头翁,g
涂酥,两
降香片,g
控干,None
芡实,"克,两,g"
橘红,"钱,克,g"
生黄耆,钱
升麻,"None,分,两,g,克"
滑石,"分,钱,克,钱半,None,g,两"
陈葫芦,g
枳实,"两,克,g,None,分,钱"
米,None
酒煮烂,两
童木通,g
狼毒,两
土贝母,两
漏芦,两
黑山栀,钱半
拌骨脂,None
用好酒,None
薏芪,g
小枳实,钱半
桑螵蛸,"两1分,克,两"
蛤蚧,对
白术,"钱,两,斗,克,g,～9克,分,两半,None,千克"
蛇蜕皮,寸
复以葱,None
苣胜子,"两,斤,克"
胡萝卜,g
先将猪肚净洗,None
槲叶,斤
川芎,"两,分,None,克,g,石,钱半,钱,钱5分"
女贞子,"两,g"
火硝,两
乌头,"两,分"
作,片
黑芝麻,斤
怀生地黄,"两,斤"
诃藜勒,两
猪腰,克
木香,"两,克,钱,分,None,g"
槟榔,"两,钱,克,分,g,两半,None,个"
木瓜,"两,克,g,枚"
藕汁,杯
宽,None
浮萍草,两
在坑内烧红,None
炒黄色,克
檀香,"两,克,g"
大腹皮,g
南参,克
薏苡仁,"克,g,两,钱半"
干山药,"钱,两,克"
木条,g
桑枝,g
炼熟蜂蜜,g
钟乳石,分
硇砂,None
竹茹,"None,克,钱,g,斤"
切片同拌,None
仙茅,"两,g"
虢丹,钱
白鲜皮,两
龟板,"克,g,两"
连翘,"g,钱,None,分,石,克,两"
入犍猪肚内,None
生萝卜,None
鲜生地,克
天雄,"两,枚,None,克"
冬青,两
穿破石,g
当归,"钱,两,g,分,两3分,None,两半,克,石,铢,钱半,斤"
百部根,两
麝香,"分,克,两,钱,None,铢"
南木香,"None,两,钱"
用童便浸炒,两
研为细末,None
为末,"None,克"
白蜡弹子大,None
蝉蜕,"克,g,个,None,两,份"
紫河车,g
珍珠,"钱,克,g"
土瓜根,两
取出焙干,None
海桐皮,"钱,铢"
防葵,"两,分"
地黄,"g,两"
雷公藤,g
苏子,"None,两,克,g,钱"
和肉末,克
白槟榔,两
用人乳拌,None
百部,"分,克,g"
白茅根,"两,None,g"
玉竹,g
秦皮,"g,两"
大当归一支黄酒,g
掠去沫,两半
小青皮,钱半
干人乳,None
酒生地,g
蜜,"升,两,合"
朱砂,"钱5分,两,克,钱,分,None,g,合"
阴地蕨,g
李根,铢
狼铢,铢
川楝肉,两
龟板胶,g
禹余粮,两
生怀山药,克
佰子仁,钱
有烟尘出者,None
半夏,"钱,克,None,两,g,铢,钱半,分"
郁金子,钱
台乌药,g
黑豆一蒸一易,None
郁李仁,"g,两"
玄精石,两
苏薄荷,钱半
大猪肚,个
黑丑,"克,两,钱"
一半为衣,None
白何首乌,两
化橘红,钱
家韭子,None
川升麻,"两,分"
桃仁,"None,克,两,个,g,粒,千克,两半,两2钱"
大麦粉,两
芒消,"钱,两"
磁珠丸,g
马蔺子,两
枣子,克
炙半夏,g
昆布,g
陈皮,"两,钱,None,克,分,g,钱半,升,钱5分"
左旋延胡索乙素,g
椒□两,None
前胡,"分,None,两,g,钱,克"
续断,"两,克,g,分,钱,钱5分"
又酒浸七日,None
莪术,"g,两,None,钱半,克,分"
槐花,None
生珍珠母,克
上多盖黑豆蒸之,None
炙鳖甲,g
僵蚕,"钱,克,g,分,两,份,None"
香薷,钱
芥穗,"克,钱,None,两"
川附片,两
海风藻,g
深红琥珀,两
生栀子,None
姜汁制,两
糖,None
广郁金,g
用花椒炒,两
用无灰酒蒸,None
骨碎补,None
鳖甲,"两,g,克,分,钱2分"
猪胆膏,None
铁粉,"钱,两"
五灵脂,"g,两5钱,两"
地偷,None
去矾,克
白砂糖,克
生爪龙,g
熟地,"两,钱,两半,克,None,-9克,g,～15克,钱半,钱5分"
瓜壳,g
水银沙子,克
大豆卷,升
钩藤,"g,-30克,钱"
瓦楞子,g
酸枣仁,"钱,两,g,分,克,None"
湿者汁,合
姜皮,"克,g"
和药末为丸,克
建曲,"g,两"
板蓝根,"g,克"
黑皮三叶青,g
地骨皮,"斗,两,分,两5钱,钱,g,None,克"
盐,"升,None"
片姜黄,两
花椒,"合,斤,钱,两,钱5分,g,粒,分,克"
鸡内金,"g,两"
金牙,斤
川白姜,None
搜下项药,None
尖净,两
苦地丁,g
小麦,"升,～15克,克,g"
珠茯神,g
葫荽子,两
天南星,"斤,克,None,两,铢,钱半"
赤石脂,"两,None"
乌犀角,"克,～24克"
放在火上烧,None
竹沥一小碗,None
去嘴,克
香鼓,克
蜈蚣,"条,克,枚,g"
川厚朴,"None,g"
晒九露,None
生川乌,两
洗去浮皮,两
合研令匀,None
白芷,"两,克,g,None,铢,分,钱,钱半"
须要坚实者,None
如数完,None
鹿茸,"None,分,两半,两,克,钱"
黄蓍,两
白茯神,"两,克"
山萸肉,"两,斤,克,g"
加虻虫,钱
白扁豆,"两,克,钱,钱半"
炒山桅,g
款冬花,"两,克,g,None"
鬼箭羽,"g,两"
络石藤,g
酒浸软,None
丹皮,"钱,克,两,g,None,钱5分"
甘松,"g,两"
丹参,"g,两,钱,分,克,两1分,None"
加至,钱半
生锦纹,钱
胡椒,克
旱莲草,"两,g"
海蛤粉,g
猪苓,"g,None,钱5分,分"
鲜生姜,片
萆解,None
细研,None
绿梅花,g
玄明粉,g
入银石器内水熬烂,None
紫梢花,两
蛜,个
紫草,"g,None"
龙骨,"两,钱半,分,克,None,g,钱"
蜗牛壳,钱
石决明,"两,None"
白花蛇舌草,g
金银花,"g,两,None,克,钱"
酒连,分
蒲黄,"None,分,两半,克,g,两"
生鳖甲,两
蒲公英,"g,钱"
人参,"两5钱,克,钱,两,分,None,两半,两1分,斤,g,～6克,升,钱5分"
半夏曲,"两6钱,克"
轻粉,"钱,g,钱半,钱5分,None"
橘核,g
雄鼠粪,枚
诃黎勒皮,"两,分,两半"
杵碎,None
醋柴胡,克
人中黄,克
川楝子肉,两
刷洗净,None
用炭,斤
生姜煎汤浸一日夜透,克
侧柏叶,"两,None,钱,g"
赤何首乌,"两,None"
炙枇杷叶,g
地龙,"g,两"
威灵仙,"g,两半,钱"
按实,None
荆芥,"None,克,g,钱"
香菇,g
绵黄耆,两
炒牛蒡子,克
羚羊粉,"分,钱,None,两"
苍耳子,"升,g,分,None"
旋覆花,"分,两"
败棕榈,None
蒺藜,"g,两,千克,None,～15克"
莽草,两
肉桂,"钱,两6钱,两,分,克,None,两1分,g,铢,两半"
益元散,克
乘热捶碎,两
甘草水浸,克
绿青,分
鹿角胶,"两,None,g,钱"
虻虫,None
炒盐,两半
炙黄芪,"克,g"
鲜鸡血,碗
海浮石,两
日极黑,两
生犀角,两
沉香,"两,克,钱,分"
枇杷叶,"None,g"
紫参,分
慢火煮,None
海螵,钱
苦参,"g,None,两,分"
炮甲,"g,钱"
锁阳,"两,克"
血竭,"钱,g"
菝葜,g
川当归,"两,克"
黄精,"两,克,g"
漉出黄连,None
墨旱莲,"克,g"
鹰不扑,g
卷柏,g
金果榄,分
好墨,挺
大豆,g
好酒煮熟,两
茯苓皮,g
制麻黄,钱
大风子,g
白芍,"g,分,钱,两,None,克,钱半"
度换水,None
麦芽,"g,None,两,克"
大青盐,"分,两,钱,两半,克"
捣不成丸,克
地肤子,"分,g"
面,"None,两"
谷精草,两
韭菜子,"两,克,g"
石膏,"克,g,分,两,两半,～240克,钱,None,斤"
釜煮之,None
陈酒糟,-3两
栀子,"g,克,两,合,分,None,钱"
桑寄,钱
鸡血藤,"None,g"
干姜,"两,None,克,钱,～9克,片,g,分,铢,两半,斤"
黑牵牛子,两
赤芍,"克,两,None,g,钱,分"
面粉,克
白菊花,g
葱芦,钱
桑白皮,"克,g,分,钱"
铅霜,克
皂角,"克,None,两,钱,片"
乌梅,"两,枚,克,g,None,钱"
枳壳,"两,克,分,None,g,钱,斤,钱5分"
换香树果荚,g
生黄芩,钱
阿胶,"克,两,g,None,钱"
雚芦,分
干木瓜,两
官硼,钱
用生姜汁并酒合和,克
甘草节,g
灯心缠缚,None
桂枝钱半,None
郁金,"None,克,g,两,钱"
墨,两
芫花,两
颗块大朱砂,两
煅紫贝齿,g
牛,None
山药粉,克
生黄氏,g
研末冲生姜,片
香油,None
鲜红花,分
瓦上焙干,None
炒面,斤
欢皮,g
巴霜,钱
另研,None
煨甘遂,分
新升麻,钱5分
何首乌,"两,斤,克,g,钱"
红阿胶,两
随汤煮干,克
代赭石,"钱,None,g"
入砂锅,None
嫩鹿茸,两
疥蛤蟆,枚
铺锅内,None
北沙参,"钱5分,None,g,分,钱,克"
乌喙,分
川贝,"钱,两,None,分,两半,克,g"
淡豆豉,"克,g,钱,合"
虎骨,"铢,克,两"
铺作数层,None
藜芦,两
铁落花,两
醋淬,None
大茴香,"两,克"
栀子仁,"两,克"
五倍子,钱
大青叶,克
大蒜,团
儿茶,"钱5分,g"
赤地利,两
山楂,"g,两,None"
栀仁,克
葫叶,两
北五味子,"两,钱,克"
味共研匀,None
入先洗猪肚内,None
淫羊藿,"钱,g"
土茯苓,g
麦糵,两
酥炙,None
安神膏,g
农吉利,g
天麻,"钱,克,g,两,None,分"
真银箔,片
生白芍,g
茱萸,None
使君子仁,钱半
荆皮,两
青皮,"钱,克,g,两,钱半,None,分"
龙实,钱
屯,None
以纸裹,None
冰糖,None
