雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
山楂肉,"克,两,钱4分,g,None,钱"
杜仲炭,"两,钱,克"
于银锅中慢火熬成膏,None
山茶,g
马蔺根,"两,分"
黑贯众,g
醋炒柴胡,g
乘热略杵碎,克
两头尖,"粒,两,两半"
用浆水,升
白粱米,合
头发,None
芙蓉叶花,两
大枣,"克,个,g,枚,None,kg,斤,两,分"
猪肺,"具,克"
丹胡,g
人乳粉,克
炒大黄,钱
生乳香,g
蜀漆,"克,两"
盐绿,分
凤眼草,"两,钱"
大黄,"钱,两,分,克,升,None,g,石,斤,两半,千克,钱半"
少顷即趁热扯拔,None
大珍珠,钱
生贯众,g
没药末,钱
干地皮,g
纹银末,分
川朴消,"两,克"
刘寄奴,"g,None,两"
山楂炭,"g,钱"
砂锅煮裂,None
白萝卜汁,g
五指毛桃,g
生地榆,"克,g"
川芎炭,钱
牛膝酒洗同入砂锅木甑,None
蔓荆,g
细辛,"两,克,两半,分,g,None,份,钱,石,钱半,两1分,斤"
商陆,"g,钱"
扁豆花,g
青梁米,合
牛膝,"g,两,克,两半,None,钱,分,斤,两6钱,石,份,两5钱,升,两3钱,钱2分"
微火炒出烟,克
制甘草,钱
去脚,None
？骨草,g
榧子肉,"None,g"
白莲,g
禹馀粮,两
制天虫,g
鲜建兰叶,两
藕节,g
包煨,None
真琥珀,克
蓬莪茂,"None,克"
枸橘李,g
石菖蒲,"钱,分,两,克,None,节,两1分,g,钱5分,两半"
风,根
冷定难以扯拔,None
番硇砂,钱
核心,钱
路口通,g
控干,None
独治,g
乱发如鸡子大,None
橘红,"g,两,分,两6钱,钱,克,None,钱半,钱2分,石,两5钱,两半"
生黄耆,"克,两,g,钱5分,钱,～15克"
升麻,"克,None,g,两,分,钱,两1分,钱半,两半,钱5分"
茶苓,g
直僵蚕,克
水煮软,None
枳实,"两,个,克,None,g,枚,分,钱,钱半"
米,None
1000,None
生芦根,None
元冬,g
淡附子,钱
活脚鱼,斤
梗米,g
好麝香,钱
水飞辰砂,分
蛤蚧,"克,对,g"
炒归身,g
乳汁炒,两
生炒白术,g
酽醋,升
枯龟壳半枚,两
炒黑色,两6钱
瞿麦穗,"两半,两"
川菖蒲,g
白醋,g
黑芝麻,"两,撮,g"
青黛粉,g
仓米,升
怀生地黄,"斤,两"
切薄片,None
好酒,升
入诸药中,None
麻黄酌量,None
西枸杞子,斤
三角枫,斤
金樱根,g
羊髓,"克,两"
净金灯,斤
炮姜炭,"钱,g,克"
甘草浸膏,g
麻鞋,None
甘皮,克
小甘草,None
桃胶,钱
同信砒,None
二十,"两,斤"
泽泻钱半,None
降真末,钱
炒续断,g
苦参粉,克
大蜻蜓,克
苏叶l,g
名烂石草,None
入犍猪肚内,None
方,None
全牛膝,g
黑祈艾,g
净洗焙干,None
重杵,None
加贝母,None
苯甲醇,ml
炙五味子,g
百部根,"寸,g"
枸杞子,"g,两,克,钱5分,钱,～9克,升,None,斤,分,两半,石,～30克,两1分,两4钱"
见穿,g
炉甘石,"g,钱,两"
盐水煮毕取出,None
红鱼眼,g
石龙芮,两
西红花,"g,None"
建莲,"斤,两6钱"
于银石器内悬,None
味于银锅中以慢,None
半夏酌量,None
生蜂蜜,g
雷公藤,g
鲜藕汁,两
上片,克
苦味重者是真,None
用人乳拌,None
广藿香,"钱,g"
藿香,"钱,克,两,g,None,分,两半"
钱半,None
花蕊石,"钱,克"
醋炒米壳,g
玉竹,"g,克,～15克,两,石,None,钱,分,两半,钱半"
打穿,g
秦皮,"克,g,两,None,分"
夏枯草,"克,g,两,None,钱"
密将药于别室中修合,None
随巴下槟榔,None
段月石,g
白合,g
白萝卜,斤
肉豆蔻仁,"两,斤"
熟军,"两,g"
桂府滑石,两
蛎枣,枚
苍耳茎叶,两
候干,None
北黄芪,g
仁米,g
元桂,"钱,钱半"
干芦根,g
猪脊髓,"条,None"
南瓜子,g
光明砂,"两,克"
玄精石,钱
日足,None
真铅粉,两
苏薄荷,"钱,None"
炒艾叶,g
炒熟地,钱
蓖麻,两半
炙升麻,"钱,克,g"
川升麻,"克,两,分,两半"
炙蜈蚣,g
木兰皮,"克,两"
余滓更入法酒,升
好沉香,克
以长流水约两碗,None
钟乳石,"两,钱,None,两半,分,g"
粉沙参,g
无皮是伪者,None
陈棕榈炭,g
菥蓂子,两1分
山慈菇,g
石燕,"None,两,对,克"
产妇油发,克
杏枝,寸
鹿衔草,"克,g"
淮熟地,两
潞州人参,克
制苍术,"分,None"
干枣肉,两
用生姜捣成饼,None
干草,g
生米仁,"斤,g"
娄芍,g
炒楂肉,克
吊于风处阴干,None
芥穗,"两,钱,克,g,None,分"
炒丹皮,g
老生姜,片
收放湿纸上,None
生石灰,g
芜菁子,升
尖净,两
肉微黑,None
次入巴,None
蚕沙,g
臭樗根皮,两
再用酒,毫升
雄黑豆,两
炒茜草,g
知柏,g
大梅片,"分,钱"
川楝子肉,"钱,两"
汤泡,None
威灵仙,"两,钱,克,g,None,分,钱5分"
麻炭,g
钓藤,钱
水银沙子,"克,钱半"
钩藤,"g,石,分,克,钱,两,None,两5分"
瓦楞子,"g,None"
黄柏皮,"钱,None"
羊屎,枚
没食子,"个,两,钱"
对酒,None
桃皮,两
以上捣研为末,None
棵乳汁,None
甘草半之,None
花椒,"两,分,g,克,粒,合,两半,钱,None"
生黄芩,"None,g,钱5分"
郁京,g
鸡内金,"克,g,石,两,具,张"
曾青,"两,分"
川白姜,"分,克"
葡萄糖,None
如无黑豆,None
藿香I0川椒,g
搅匀,None
黄芩末,钱
监鼻,None
胆子矾,钱
用黄酒,两
硫磺,g
川附子,"两半,个,两,钱"
西河柳,None
瓦龙子,两
炙芪,g
以米醋,碗
白芷,"克,分,None,两,钱,g,片,两半,两1分,两2钱"
西翠衣,g
茯苓块,克
炒川芎,"克,g"
黑元参,～30克
天仙子,"两,g"
黄蓍,"两,两1分,钱,两半"
朱寸冬,两
犀角粉,"g,钱"
交趾桂,两
埋于地坑内,None
蛇床仁,两
闹羊花,"两,g"
款冬花,"两,克,g,None,分,钱,个"
用铜刀切片,None
同附子入青盐,两
丹皮,"钱,两,克,g,两5钱,None,分,铢,两半"
大蒜头,g
螺壳大扁者,None
肿节风片,g
红鸡冠花,两
炙微黄焦,None
草糖浆,ml
姜远志,None
无灰酒,斗
太阴玄精,两
白蔻壳,None
大麦门冬,两
朱黄芪,g
鳗鱼骨,分
俱用焙干,None
淮中膝,g
紫梢花,"两,克,钱"
墨,两
川桂皮,钱
净洗,None
择取叶,None
母鸡,只
白附子末,两
蒲公英,"g,～30克,克,升,两,石,钱,None"
干薄荷,两
轻粉,"钱,两,克,g,分,None,分5厘,钱半,钱匕"
橘核,"g,克,钱"
广三七,克
朱砂&0u0t;克,None
蚺蛇胆,钱
煅龙骨粉,g
炙甘草黄芪,g
杵碎,None
作二边膜心,None
侧柏叶,"克,两,g,两5钱,None,钱"
乌鸦,只
锉末,None
紫稍花,钱
鲜鸡蛋,个
川蜀椒,g
无参,g
红信石,"钱,g"
杜牛膝,"克,两"
羚羊粉,"g,克,None,两,钱,分,两5钱"
苍耳子,"克,升,钱,g,两,None"
入后药,None
剥皮切薄片,None
诃黎勒皮,"分,None,两,克"
益元散,"钱,g"
柳杖子急搅,None
蕤仁,"克,分,两,分5厘"
陈石灰,g
或人乳,None
木,g
鹿角胶,"g,两,斤,克,钱,斤半,分"
慢火煎令鱼目沸,None
滑涎,None
三蛇胆,g
甜石莲子,g
银柴,钱
香木缘,g
蛇蜕灰,两
烊阿胶,g
牛乳拌蒸,克
约重,斤
分作,份
去芯莲子,克
欢皮,g
炙党参,g
锉片,"None,钱"
墨旱莲,"g,斤"
艾叶炭,"两,g"
六君子汤加炮干姜,None
卷柏,"分,克,g,两,None"
好墨,两
地骨白皮,None
桔硬,g
盐炒黄柏,g
艾把,两
紫驴护干,两
白芍,"None,g,两,钱,克,两5钱,分,两6钱,kg,钱5分,石,钱2分,两半,钱半,两1分,两2钱"
山中黄土,斤
桑螵蛸,"两,g,克,枚,钱半,None,分,-7枚"
川通草,克
炒砂仁,g
熟酸枣仁,石
焦蜜,g
肿节风,片
炒去丝,两
川斑蝥,个
炙枳实,g
釜煮之,None
栀子,"钱,两,g,克,None,斤,分,粒,钱半,枚,个"
乱发,"两,块,克,钱,分"
当归I0五味子,g
干姜,"钱,两半,两,克,None,斤,分,片,g,～9克,～6克,块,钱半,斤4两,铢,升,钱3分,斤半"
泡参,"钱,克,g"
葛根l,g
九香虫,"g,对"
硼酸,g
何首乌,"g,克,None,两,钱,～30克,斤,分,石"
大风子肉,两
玉支,None
老柏白皮,两
神僸,"两,None"
不限多少,None
盆复之,None
茅柏根,g
用浓皂角水漫一宿,克
鸡骨草,g
鸭嘴胆矾,None
萝布麻叶,克
维生素B,g
900,None
纳醋中,None
紫菀酌量,None
白艾叶,克
勿与知之,None
山药粉,None
焦山楂,"None,g"
地栗粉,"两,克"
TO,None
牛薏子,升
京三桂,克
锁阳,"g,两,钱,None,克"
独脚莲,None
牵牛头末,"钱,两"
使君子,"两,克,g,None,钱,个,分"
臭樗皮,两
胡椒桂,两
明参,g
曲头棘针,"两,枚"
藏青果,None
鹿茸,"g,None,付,两,钱,克,个,两5钱,对,两半,钱5分,两1分,分"
嫩鹿茸,两
黄百部,g
熟附,"None,g"
用厚纸,None
川贝,"克,两,钱,两2钱,g,None,分,斤8两,钱半,斤,石"
北五味子,"钱,None,两,g,钱半,克"
烧爆裂散,None
黑牛角,g
真松萝,钱
黑铅,"克,None,斤,钱"
结砂子,两
料酒葱姜,None
驴耳塞,两
核桃,"两,None,个"
荆芥根,None
蒲黄炒阿胶,g
黑芥穗,"克,g"
肉元参,g
生白药,g
北箭耆,钱
金樱子,"-30g,g,克,None,两,钱,石,个"
去翅足,None
黑蒲黄,g
马先蒿不计多少,None
一半去油,两
