雄黄,"克,两,分,钱,None"
山楂肉,两
桃花,两
独活,"克,两,g,None,分,钱"
水牛角粉,g
作饼子,两
甘遂,"克,两"
制军炭,g
墨旱莲,"g,None"
小米,克
薤白,g
大枣,"两,g,枚,None"
制肉果,个
酒黄连,克
荸荠,两
煮毕取出,None
生乳香,g
以滚童便淋汁,碗
生麦门冬,两半
饴糖,g
菔子,分
研末,None
刮去粗皮,None
次入补骨脂末,None
银柴胡,"g,钱"
甜苁蓉,g
去醋,None
紫花地丁,克
枯矾,"g,None,两"
一百二十,两
大黄,"g,两,分,None,钱,克"
/,None
夜明沙,两
山慈姑,"g,钱5分"
人乳浸,钱5分
海参,钱5分
鲜生姜,g
鸡子清,枚
沙苑子,"两,钱,克,g"
玄参,"g,钱,克,两"
紫巴戟,两
桐油,None
刘寄奴,g
制大黄,克
霜桑叶,克
铁粉,钱
真龙骨,None
石斛,"两半,两,分,克,g"
炒党参,克
生地榆,g
皂角刺,g
煅西月石,两
细辛,"两,分,钱半,克,g,钱,None"
磁石,"克,两,钱"
制乌头,None
生地炭,g
良姜,"两,None"
绿豆,"None,粒"
牛膝,"None,分,钱半,g,克,两半,两"
生没药,g
竹沥,斗4升
酒延胡,g
趁润炒令黄,None
羊踯躅,克
茯苓,"两,克,斤,None,两5钱,钱,g,合,分,钱半,两半,钱7分"
用牡丹皮,"两,克"
水通,两
桑寄生,"两,克,g,None,钱"
川朴消,两
或用鸡血藤,两
皂龟子,g
天仙子,分
生艾叶,盏
盐枸杞,g
牙消,钱
煅瓦楞,g
沙砾,g
广藿香,钱
木zh0草,g
亦须带软搜,None
冬虫夏草,"g,克,钱"
参苏饮加五味子,None
生姜引,None
虎杖,g
石菖蒲,"节,克,None,g,钱,分,两"
白头翁,g
入川黄连,克
芡实,"钱,克,g"
桑椹膏,克
橘红,"克,两,钱"
生黄耆,"克,两"
升麻,"克,两,分,None,钱"
桃枝,尺
加桑椹汁,斤
滑石,"两,g,克,钱"
陈葫芦,g
枳实,"克,g,枚,两,片"
六君加柴胡,None
白大豆,g
红灯芯,g
樟脑,"g,分,钱"
蒲种壳,两
旧琉璃烧存性,None
细黄芩,克
桑叶,"g,None,克"
乱发,"两,None"
焦山栀,g
秦？,g
青风藤,g
桑螵蛸,"钱,枚,克,g"
代代花,两
椒目,"克,两"
白术,"克,钱,两,g,升,None,两1分,钱5分,钱半,分,两半"
蛇蜕皮,条
苣胜子,克
川芎,"克,g,两,None,钱,钱半,分"
女贞子,"g,克,None"
腊日猪脾脂,None
粉口儿茶,克
桑椹清膏,g
半边莲,g
蓝叶,两
鹿角片,g
黑芝麻,"克,石"
代赭石,"克,g,两,钱"
切薄片,None
炙草.,g
炒茺蔚子,克
刺力,"g,None"
猪膀胱,g
乌蔹莓,克
木瓜,"克,g,枚,钱,两"
石楠叶,"克,两"
白芨,g
老母鸡,只
辛荑,g
令极熟,None
檀香,"两,g"
同州蒺藜,钱
桑根白皮,"分,两"
薏苡仁,"两,克,g,石,钱,斤"
同炒后,None
精羊肉,克
干山药,"克,两半"
东楂,钱
桑枝,"克,g,两,尺"
田螺壳,钱
宫桂,两
硇砂,"克,两"
竹茹,"g,克,None,两"
苦楝根白皮,两
炙黄耆,克
枇杷叶,"两,～15克"
煎取,升
猪悬蹄甲,两
鹿胎膏,g
北黄耆,g
芜荑,"两,分,g"
入硇砂,钱
龟板,"克,g,两"
去盐不用,None
蚕砂,斗
鲜生地,克
天雄,"两,钱"
制马钱子,g
熟狗脊,g
当归,"克,钱,None,两,g,～9克,两半,分,两6钱"
使君子肉,钱
麝香,"克,g,钱,分,两半,None,两,两2钱,字"
南木香,两
胡桃肉,"g,克"
为末,"斤,None,钱"
化虫丸,帖
吴,None
蟾酥,"两5钱,字,钱"
石龙芮,分
蝉蜕,"两,克,g,个,钱,钱7分"
紫河车,"石,g"
蝙蝠,None
鹿角粉,g
宜州木瓜,克
鹿角霜,"克,g"
紫苑,g
自然铜,g
天花粉,"克,g,两,None"
川断肉,g
雷公藤,g
苏子,"克,两,g"
香橼,g
鸡血藤,"克,钱,None,g"
百部,g
兜铃,两
白茯,两5钱
夭冬,克
白糯米,斤
白茅根,g
玉竹,"两,钱,克,g,两半"
秦皮,"g,两半,None"
鹿衔草,g
水飞,"None,钱"
乌鸡,只
羚羊角粉,g
制军,两
蜜,合
黄瓜蒌,个
朱砂,"分,两,钱,钱5分,None,钱匕"
麋角,克
素油,None
肉豆蔻仁,克
熟军,g
龟板胶,克
禹余粮,克
生怀山药,克
爵床,g
锁阳,"两,克,g"
槐花,"None,两"
半夏,"钱,克,g,None,两,升,分,钱半"
茅山苍术,None
大梅冰,g
仁米,g
剥皮,None
生龟板,g
青箱子,钱7分
北粳米,克
酒天冬,克
芩,g
黑丑,"钱,两,两半,g,None"
只用附子,None
炙马钱子,克
瓜蒌仁,"两,钱5分"
炙升麻,"g,钱"
川升麻,"分,两"
艾叶,"None,克"
曲,分
栗子黄,两
同茴香炒至黄色,None
板蓝根,"g,克"
芒消,两
安息香,钱半
制茅术,钱
熟苍术,克
豨莶草,"g,克"
于臼中急捣为末,None
钟乳石,"None,两5钱"
昆布,"g,两"
白鲜皮,"g,两"
连翘,"克,g,None,钱,两半"
天麻,"两,克,None,钱,g,两半"
垂盆草,g
续断,"两,钱,克,g,None"
牡荆子,"两,合"
用酥拌和,None
莪术,"g,钱半,两,None,克,分"
苏合香,毫升
海马,g
别研如酪,None
蛤壳,"g,分"
大川附子,毫升
不住手搅,None
又用法酒,升
炙鳖甲,g
精猪肉,g
僵蚕,"克,g,钱,分,两"
香薷,"g,None"
芥穗,"斤,两,两半,钱,None,g"
制半夏,克
锉如鸡头大,None
鳖甲,"克,钱,g,两半,两,枚"
以酒,升
生栀子,g
同何首乌蒸,None
芜菁子,合
苎麻根,g
艾炭,g
红粉,g
茯苓皮,"None,钱"
于银石器中熬,None
粳米,克
白薇,"两,g"
路路通,g
白僵蚕末,钱
又破作,片
荜茇,"None,两"
黄连汁,None
五灵脂,"g,两,None,钱"
山药肉,g
八制香附,两
生神曲,None
落得打,g
威灵仙,"克,g,两,None"
熟地,"克,两,g,钱,None,斤,～15克,～9克,分"
以酒半盏,None
草蔻,"两,分,None"
钩藤,g
放上蒸,None
酸枣仁,"克,g,钱,两,None"
竹刀切片,斤
淡豆豉,"g,两,克"
建曲,"g,钱"
炙令黄,None
所贵滋润,None
地骨皮,"None,克,斤,g,分,钱,两"
密蒙花,两
片姜黄,钱
花椒,"克,分,两,g"
郁京,g
鸡内金,"g,两,钱"
广郁金,g
葡萄糖,None
苦地丁,g
栀子仁,分
豮猪胆汁,钱
犀牛角屑,两
淫羊霍,g
煅铅粉,分
心白者用,None
赤石脂,"克,g,分,钱,两,None"
活大虾蟆,只
蛇莓,g
赤白,斤
榧子,"石,g"
土荆芥,g
龙胆草,"克,g,钱,分"
川厚朴,g
苦瓠子,两半
白芷,"克,None,g,两,钱"
入铜锅内,None
好香附子,斤
鹿茸,"两,克,None,g,分"
鸡血藤膏,"None,钱"
片黄芩,钱
用水煮,None
降香,None
金樱子肉,g
车前子,"两,g,分,斤,钱半,钱,克,None"
白扁豆,"g,克,钱"
蚕沙,g
蛇床仁,两
闹羊花,两
芡粉汁,None
木蝴蝶,g
虎骨头,分
覆盒子,g
紫草茸,克
丹皮,"克,两,None,g,钱,两7钱,钱5分"
内苁蓉,g
丹参,"g,克,None,石,钱,钱5分,两,斤"
生姜片,克
用粳米铺底,None
旱莲草,"g,克,None,钱"
茜草l,g
棕桐炭,g
梨肉,g
佩兰,g
蘡薁根,两
木瓜干,"None,克"
仙鹤草,"克,g"
玄明粉,"两,克"
使君肉,粒
紫梢花,克
蜘蛛,None
血余炭,"钱5分,个"
紫草,"克,g,两"
龙骨,"两,g,克"
蜗牛壳,分
焦栀,None
白花蛇舌草,"g,克"
金银花,"克,g,钱,None"
曝,None
扁豆子,g
白石英,"g,两"
蒲黄,"None,g,两,分"
松叶,g
蒲公英,"g,克,None"
人参,"克,两,钱,g,None,分"
生川乌,g
轻粉,"钱,None,分"
橘核,"g,None"
京赤芍,钱
稀莶草,g
檀香末,钱
乌梢蛇,"g,钱,两"
蕲蛇,条
千年健,g
用好酒浸过一指许,None
侧柏叶,"g,两"
茜草,"g,钱半"
络石藤,"合,g"
入沙盆研如泥,None
荆芥,"None,克,g,两,钱,钱5分,钱7分"
用荔枝肉,"两,克"
捻,None
绵黄耆,"None,两"
白蔹蜂房,分
清阿胶,两
羚羊粉,"两,钱,克"
