生姜汁和作饼子,两
雄黄,"钱,克,两,分,钱匕,None,g,钱半"
山楂肉,"两,钱"
独活,"两,钱,g,克,None,分,铢,两5钱"
水牛角粉,g
钩藤钩钱半,None
山萸药,g
醋炒柴胡,g
以水,"碗,石5斗"
仙灵草,g
银杏叶,g
白姜,"两,None"
大枣,"个,g,枚,None"
.芍药,克
盐水浸,None
采花叶子,斤
淡香豉,克
炒大黄,g
生乳香,g
平胃散每加硇砂,None
不紫即是远志,None
好官桂心末,两
研末,None
肥皂角为末水浸,分
常山,"两,钱"
银柴胡,g
大艾叶,两
大柞木枝,None
伏龙肝,"两,克,枚"
禹馀粮石,斤
大黄,"两,g,钱,None,克,分,钱半,-10克,两半,千克,斤"
山慈姑,g
光明砂,两
虎头骨,两
速尿,mg
玄参,"克,两,g,钱,None,分,两半,钱5分"
紫巴戟,两
川朴消,分
枣针,两
刘寄奴,"两,g,钱"
碾为细末,None
铁粉,"两,钱,分"
寒水石,"两,克,钱,钱半"
生地榆,g
皂角刺,"g,克,钱,None"
甘遂,"两,None"
蜜水拌透,克
拣人参,克
细辛,"两,克,钱半,None,g,钱5分,分,钱,铢"
磁石,"None,两,克,g,钱,斤"
角刺,钱
炒焦甘草,克
扁豆花,g
生地炭,g
良姜,"两,钱"
牛膝,"两,g,克,None,两半,钱,斤,升,钱半,分"
微火炒出烟,克
桂元,两
榧子肉,g
山茵陈,None
桑寄生,"克,两半,g,两,钱,None,双,钱半"
陈石灰,None
酒干再添,None
黄牛角,两
生水蛭粉,g
零陵香,"两,None"
不用枣,None
黑牵牛子,克
冬虫夏草,g
蓬莪茂,千克
桑鸡,两
芫花,"两,分"
蒸十次,克
盐补骨脂,g
柴丹参,g
芡实,"克,两,钱,枚,None,g,石"
橘红,"钱,g,None,两5钱,克"
生黄耆,"g,克,钱"
升麻,"克,g,None,两,钱半,分,两半,钱"
藁本头,两
上人参,克
滑石,"克,g,分,两,钱,None"
枳实,"克,g,两,None,钱,两半,分,升"
米,None
金刚莲,g
绵附,个
白干葛,两
涂脊骨上,None
微赤,None
生姜汁浸,"分,None"
干蟾,两
真茅山苍术,克
桑叶,"钱,g,克,片"
去麸皮,None
青风藤,g
玉屑,两
炒甲珠,g
生炒白术,g
胡萝卜,g
节菖蒲,两
紫金藤十,两
女贞子,"None,两,g,克,钱"
细研如糊,None
真锦灰,两
红枣皮,两半
用酒于瓦器内煮至如地黄色为度,None
瞿麦穗,None
制山甲,克
黑芝麻,"两,钱"
劳叶,g
怀生地黄,"两,克,None,钱"
猪腰,"具,对"
黄雌鸡骨,具
生蛤壳,g
乌蔹莓,g
大石蟹,个
浮萍草,"克,钱"
瓦上出油,None
酒制,份
杭菊花,g
生贯,None
薏苡仁,"克,两,None,钱,g,升,合,分,斤"
可添至三秤得济,None
精羊肉,"克,None"
醋淬二至七次,克
入水中,None
甘油,毫升
茜草炭,g
盐炒大茴,g
竹茹,"g,克,钱"
生山甲,"两,片"
大黑豆,升
炒续断,g
旋入硫黄,None
花鹿肾,具
味用面裹同入慢灰煨,None
干姜粉,g
熏草,铢
石膏,"两,g,克,钱,None,两4钱,分,钱5分,铢,两半"
松花粉,克
制杜仲,钱5分
炒生地,g
云母石,两
败龟版,两
川茴香,两
老鹳草,g
石首鱼脑骨,克
使君子肉,"g,两"
麝香,"钱,克,分,None,g,两,厘,字"
见穿,g
春夏,None
炭火烧红,None
为末,"克,None"
灯心草,"钱,两,尺,把,分"
甜苁蓉,g
石龙芮,"克,None"
栀子,"钱,两,g,升,None,石,钱5分,克,分"
取起晒干,None
赤白芍,g
珍珠,"钱,克,两,分,None"
银朱,钱
醇酒,"ml,升"
鸡苏,钱
漳丹,两8钱
川断肉,g
雷公藤,g
炒车前,钱
香橼,g
乱发,"分,None"
麦门冬末,两
粉牡丹皮,g
白茯,"两,克,None"
白茅根,"None,g,克,两,分"
玉竹,"两,g,克,分,两半"
打穿,g
秦皮,"g,钱,两"
生地末,两
水飞,两
小青皮,g
蜜,"斤,分"
兑服生三七末,克
白合,g
朱砂,"g,两,钱5分,斤,克,None,分,钱,两1分,钱匕"
地鳖虫I,g
素油,None
鹿茸l,克
生黑附子,克
谷精子,钱
炒润,None
青荷梗,厘
鲜生姜,g
半夏,"两,钱,钱5分,克,g,升,None,钱半,分,两半"
米醋蘸炙令脆,None
禹余粮,"克,两"
北黄芪,g
台乌药,克
栀子炒黑,两
鲜竹茹,钱
郁李仁,"g,两,钱半,分,None"
南瓜子,g
细辛五味子,g
用青盐酒炒干,None
砂盆中慢火熬成膏,None
干薄荷叶,两
红椒皮,None
苏薄荷,"钱,克"
黑丑,"克,None,千克,g,两半,钱,两"
再煮,None
血条炭,对
留袋上,None
威喜丸,g
同煮水尽为度,两
水浸洗过,克
用竹刀刮去黑皮及两面浮沫令净,None
曲,斤
黑矾,"克,两"
鹰条,两
安息香,"两半,两"
木兰皮,两
鹿蹄,只
好沉香,克
钟乳石,两
蛇肉,钱
水窟雄黄,斤
山慈菇,"None,钱半,g"
石燕,"个,克,钱,枚,g"
续断,"两,克,g,两半,钱,None,双,钱5分,分"
和瓤并烧灰,None
鹿衔草,g
铁液粉,钱
以虚实斟酌,None
醋玄胡,g
炒黄芩,钱
犀角汁,毫升
炙鳖甲,g
僵蚕,"克,g,两,分,None,钱"
蜜制蜂房,g
蛇蜕皮灰,分
