醋炒香附,克
山楂肉,"钱4分,None,两8钱,钱"
杜仲炭,"两,钱,克"
以盐泥固济,None
去湿药膏,两
上除乌鸦外,None
马蔺根,两
如墨样,None
瓜子仁,合
榧子肉,g
水飞朱砂,克
头发,握
芙蓉叶花,两
大枣,"None,两,个,枚,克,kg,g,只"
人乳粉,克
生乳香,g
蜀漆,克
银耳,g
大黄,"钱,两,克,斤,None,g,两半,分,升"
离根香,None
去核,"两,枚"
地椒,两
没药末,"钱,克"
青,g
紫巴戟,两
醋玄胡,g
刘寄奴,"克,g,None"
铁粉,两
生地榆,g
鲜苦瓜,g
拣人参,"两半,克"
又浸又焙,None
细辛,"两,克,钱,分,g,石,None,合,两半,钱半,钱5分,公斤"
黑贯众,g
醋栗壳,g
商陆,None
白薢皮,g
新发,None
牛膝,"g,克,两,钱,None,分,斤,两半"
剂后,None
瓜蒌霜,钱
两头尖,两
熟酸枣仁,石
维生素AD,滴
石菖蒲,"钱,分,None,克,两,斤,g,节,钱5分,两半"
追地风,g
路口通,g
汤匙,None
乱发如鸡子大,None
橘红,"g,钱半,钱,两6钱,分,两,None,克,石,至5钱"
生黄耆,"克,两,g,钱5分"
升麻,"克,None,钱,g,两,钱半,分,两半"
茶苓,g
直僵蚕,克
滑石,"两,None,g,分,钱,克,分7厘,份,两半,铢"
枳实,"两,None,克,g,分,两半,钱,枚,钱2分"
生男女者妇人头发,握
臭樗皮,两
酒栀子,None
炒破故纸,两
酒蒸地黄,两
用新油单盖,None
干蟾,分
薄陈皮,两
过,None
同用新汲水浸,None
杨白皮,两
炙甘草L,克
炒归身,g
生炒白术,g
节菖蒲,钱
酽醋,升
瞿麦穗,"g,两"
野驼脂,两
怀生地黄,"两,斤,两5钱"
好酒,None
黄雌鸡骨,具
入药臼,None
炮姜炭,"钱,克,g"
防,两
炒莲房,g
足并肠,None
生葛根,克
辛痍,g
款花,None
败龟版,"克,两,None"
四物汤加香附,None
鱼醒草,g
枸杞子,"g,两,克,钱,None,斤,两半,分,石"
清水洗净,克
炉甘石,两
入瓦罐内,None
真钟乳粉,两
西红花,g
巴豆肉,"两,钱"
银朱,"None,钱,分"
鲜藕汁,克
用红花,钱
宿砂,钱
兜铃,两
细卒,g
钱半,None
姜汁炒地黄滓,None
玉竹,"g,两,钱,克,None,分,两半"
香附灰,钱
秦皮,"克,g,None"
白姜蚕,分
小青皮,g
密将药于别室中修合,None
净石,钱
贡胶,钱
肉豆蔻仁,分
列当,克
川浙,g
山慈姑,"g,None"
干芦根,g
童子发,克
日足,None
取出研细,None
炒艾叶,g
干膝,钱
羌独活,两
炙升麻,g
川升麻,"克,两,分,钱,None"
苍白术,None
小药,两
好沉香,克
和皮大腹子,分
钟乳石,"分,None"
菥蓂子,两
b,None
石燕,"对,枚"
深,None
当门麝香,钱
鹿衔草,"两,g"
用好酒浸一日,克
炒荔枝核,g
以虚实斟酌,None
川朴消,两半
制苍术,"克,g,钱"
麻油,"毫升,克,斤半,斤,两"
干蔓菁花,分
干草,两
醋炒地榆,g
芥穗,"钱,两,克,千克,None,g,分,钱半"
大黑枣,个
煎取汁,毫升
生石灰,g
煎汁,碗
蚕沙,克
臭樗根皮,两
川雄黄,两
皂角,"克,g,锭,个,None,钱,分,寸,斤,两,挺"
余滓更入酒,升
知柏,g
大梅片,g
川楝子肉,两
威灵仙,"两,千克,克,g,None,钱,钱半,斤"
榼藤子,两
粉罩,g
钩藤,"g,None,钱,石,克,两,分"
&lt;取仁,None
一字,"两,None"
没食子,"两,枚,钱"
对酒,None
桃皮,钱
入在乌鸦腹内,None
制蒺藜,None
花椒,"分,两,None,克,g,钱半,粒,合,钱,两半,公斤"
郁京,g
去裙襕,两
川白姜,两
醉芩,None
硫黄粉,两
搅匀,None
千斤拔,None
乌犀角,"钱,克"
荠苨,两
或云砂锅随水煮干,None
茜草炭,g
川附子,两
入白面,两
紫根草,g
%乙醇,None
炒川芎,g
天仙子,"g,两,None,升"
罐内,None
交趾桂,钱
闹羊花,"两,克"
款冬花,"g,钱,克,分,两,None"
味同入罐中,None
丹皮,"钱,两,克,g,钱5分,None,钱半,分,斤"
侧柏叶,"克,g,两,None,斤"
苏木粉,份
红鸡冠花,两6钱
炙微黄焦,None
胡椒,"两,g,粒,分,个,None,钱"
白蔻壳,None
满,None
同橘皮炒至巴豆焦色,None
紫梢花,"两,两2钱,钱"
青布,寸
炒藕节,g
蒲公英,"g,克,None,两,石,钱"
四制,None
轻粉,"g,钱,分,None,份,克,两,钱半"
橘核,"g,钱,None"
炒稻芽,两
蚺蛇胆,分
采花叶子,斤
青蒿倍之,None
柳枝皮,两
乌鸦,"只,两"
锉末,None
无花果,g
大药,两
羚羊粉,"两,克,None,分,钱半,g,钱5分"
苍耳子,"g,None,两"
入后药,None
桔便,g
诃黎勒皮,"两,分,克,两半"
煅针砂,g
掺入,None
蕤仁,"克,None,分,两"
鹿角胶,"g,两,斤,克,None,钱"
三蛇胆,g
干挦其毛,两
生犀角,None
连皮子瓤,None
后下玄参,g
佛手花,g
炙党参,g
锉片,None
莪茂,克
金果榄,克
细川连,g
墨旱莲,"克,None,g"
艾叶炭,"两,g"
瓜子,合
卷柏,"分,两"
用火再熬作稠膏子为度,None
好墨,两
金匮肾气丸,None
天仙藤,None
白芍,"g,两,克,两5钱,钱,None,分,钱2分,斤,两6钱,kg,两3钱,两半,石,钱5分,钱半,两1分"
桑螵蛸,"两,克,g,枚,None"
川通草,None
真琥珀,"钱,None,克"
焦蜜,g
蕲艾叶,"两,钱,g"
木香末,"钱,两"
以纸沮干,None
栀子,"钱,克,None,g,两,分,钱5分"
建菖蒲,钱
紫宛,g
干姜,"两,克,钱5分,None,片,钱,g,分,～9克,斤,千克,两半,块,钱2分,钱半,两5钱,～6克,石"
泡参,"钱,g"
同和为饼子,None
白菊花,g
神僸,钱半
蛇蜕皮灰,分
先成大豆子块,None
茅柏根,g
和药末为丸,克
荆穗,钱
以糯米喂,两
随汤煮干,克
900,None
鲜生姜,g
鼠,只
勿与知之,None
焦山楂,"g,两"
蒸烂取出,克
锁阳,"g,克,两,钱半,None"
同煮何首乌干,None
使君子,"两,两半,克,钱,枚,个,None,g"
明参,g
泄泻未止者,None
天竺子,g
酒生地黄,"克,g"
葱白半握,None
焦桅皮,g
水梨汁,杯
嫩鹿茸,两
宽筋藤,g
熟附,None
川贝,"两,g,钱,克,两2钱,None,分,钱2分"
北五味子,"克,分,两,g,钱半,粒,None"
金蝎,g
黄柏树皮,None
牛黄,"钱半,克,钱,分,g,None,钱5分,字,两,两1分"
燕窠土,g
真酥油,克
核桃,两
层层放实,None
蒲黄炒阿胶,g
煅赤皂矾,g
金樱子,"两,-30g,None,g,斤,克"
川芎钱半,None
石上磨净,克
炒酸枣仁,"g,克"
生甘石,g
白芜荑,"克,两"
生大枣,g
石枣,克
乳香倍入,None
水红花,g
柳絮,两
制骨碎补,g
炙附子,g
饭上蒸晒,None
红藤,"g,None"
溺垢,克
葛叶,两
米,合
红升丹,克
以新砖压之,None
芎?,"斤,两,两半,分,None"
黄艽,g
焰消,"克,铢"
勿使干涸,None
白糖,"None,g"
白矾灰,"分,两"
紫菀,"None,g,分,两,克,公斤"
开验,None
大飞扬,g
真川连,钱
制没药,"g,份,两"
谷芽,"两,克,g"
烧生姜,None
酒炒菟丝子,克
即出,None
用腊月黄牛胆酿,None
吴茱萸,"g,克,两,钱,两7钱,千克,None,钱半,分,两8钱"
上轻粉,g
紫金,g
真羚羊角,None
酒常山,g
生姜汁炙,两
油当归,钱
防风,"g,克,两,分,钱,None,千克,两7钱半,钱5分,斤,两半,钱半,两5钱,双"
罂粟,"两,None"
煮令水尽,None
人粪灰,分
棘蒺藜,g
大联珠,g
肥地黄,斤
辰茯神,克
洋铁叶子根,g
红三七,g
先天青龙散去薄荷,None
先煎,None
大腹皮,"钱,两4钱,g,两,None,分,钱5分,枚,克"
炒甲珠,g
史君子肉,两
生茜根,g
菇荑,钱
炒苍术,"None,g"
花生红皮,g
或以童便浸过,克
水润一宿,None
功劳叶,g
粳米,"两,g,克,钱,～150克,合,升"
草蔻,"None,钱,克,两,g,分,枚"
榧子,"石,钱"
杜衡,分
佛手,g
酒炒杜仲,克
穿山甲片,g
生石决明,g
先将大黄末以好米醋,-4碗
