醋炒香附,两
山楂肉,"两,两5钱,克"
杜仲炭,"两,g,钱,两5钱,克"
水牛角粉,g
白蔹皮,None
山萸药,g
榧子肉,None
棘针,枚
头发,None
大枣,"枚,克,None,g,个,两,分"
人乳粉,"克,两4钱"
炒大黄,"钱,g"
生乳香,g
蜀漆,两1分
镑为屑,克
用,钱
鲜盘龙参,g
桔梗蒡,g
大黄,"两,～9克,None,克,-10克,g,分,钱,铢,两半,钱半,份,石,斤"
乌鱼骨,两
去核,None
生贯众,g
地椒,两
豨签,钱
晒九次,克
川朴消,两
刘寄奴,"g,克,钱,None"
挪却鸡子大,None
铁粉,"两,钱,分,两1分"
捻成薄饼子,None
生地榆,"克,g"
蔓荆,g
细辛,"钱,分,克,两,钱5分,g,None,石,两半,钱半,两6钱"
商陆,"g,两"
盛竹器,None
白薢皮,g
牛膝,"两,克,g,钱,两2钱,两半,分,两3钱,石,None,斤,钱5分"
小盏,None
两头尖,两
藕节,"克,g"
羯羊胆,具
蓬莪茂,克
石菖蒲,"两,None,克,两半,分,钱,g,节,钱5分,厘"
控干,None
橘红,"两,钱,None,克,g,分,钱5分"
生黄耆,"g,～15克,克,钱"
升麻,"克,None,两,g,钱,分"
茶苓,g
银羊藿,g
滑石,"克,None,g,钱,两,石,分,份,钱半"
枳实,"克,g,两,None,钱5分,两半,钱半,枚,分,钱"
米,"None,克,合"
1000,None
结实人参,两
元冬,g
干蟾,个
旧琉璃烧存性,None
梗米,g
过,None
饭锅上蒸,克
蛤蚧,"对,g"
枸杞子汤浸,None
炙紫苑,g
于水盆内搅,None
羚角粉,g
真锦灰,两
米醋浸一宿取出,克
瞿麦穗,"两半,两"
黑芝麻,"克,石,斗2升"
封瓶口,None
怀生地黄,"两5钱,两,克,钱"
及盖而止,None
炮姜炭,"钱,g,None,分"
摊令气歇,None
栝蒌皮,g
拣取白仁,两
刳中使净,None
去砂,None
生葛根,g
上者,None
旱莲,"g,克"
败龟版,"两,None,克"
直候不耗,克
倾出,None
银花露,毫升
炙五味子,g
百部根,"寸,g,两"
枸杞子,"两,克,钱,None,斤,g,两5钱,两半,升"
？,g
炉甘石,"g,两,钱,克"
艾煎丸,None
石龙芮,"两,分"
鹭鹚花,None
西红花,g
于银石器内悬,None
宜州木瓜,克
川断肉,g
鲜藕汁,克
以铅罐封固,None
使君子肉,"钱,两,None,钱5分"
U草,None
入红砒黄豆大,粒
广藿香,"两,None"
钱半,None
青蛤壳,g
秦皮,"两,g,克"
上桂心,g
小青皮,g
苦药子,分
白合,g
熟军,g
蔷薇根皮,两
淡附片,g
取出焙燥,None
另用下项药,克
元桂,钱
干芦根,g
鲜羊肝,"g,千克"
制穿山甲,g
苏薄荷,钱
炒熟地,克
川升麻,"克,两,None,分,钱,两半,钱半"
制石斛,g
炙蜈蚣,g
好沉香,两
钟乳石,"钱,g,两半,None,两,铢"
山慈菇,g
石燕,"钱,克"
黄誊,克
鹿衔草,g
温水洗,None
炒黄芩,g
麦芍,g
与厚朴,None
芥穗,"两,g,钱,None,分,克,钱半"
醋炒蒲黄,两
炒丹皮,"克,g"
人指甲炭,g
斑螫,两
出火气,None
氯化钠,石
臭樗根皮,分
土槐树根皮,g
捣溶,None
僵蛹,克
知柏,g
川楝子肉,"钱,克"
杜藿香,两
威灵仙,"克,g,两,-90克,None,两半"
麻炭,g
钩藤,"None,克,g,两,石,分,两8钱"
瓦楞子,g
乌嘴白雄鸭,只
&lt;取仁,None
一字,None
没食子,"两,对,钱"
芙蓉叶,两
对酒,None
片姜黄,两
花椒,"None,分,两,g,两1分,钱,粒,克,升"
鸡内金,"枚,g,克,石,两,钱"
川白姜,两
江子仁,None
蚕茧,"个,g"
麦冬取汁,升
广百部,钱
荠苨,"克,分,两"
川附子,两
提白蜡,钱5分
蝉农,克
以米醋,"碗,None"
白芷,"两,g,克,斤,None,分,钱,钱5分,两5钱,份"
黑元参,"～30克,钱"
天仙子,"两,斤"
黄蓍,两
大枳壳,克
以秆绳通身包缚,None
闹羊花,None
款冬花,"两,克,g,None,分,钱"
炒焦甘草,钱
丹皮,"g,两,克,None,钱半,钱5分,两5钱,钱,～9克,寸,石,分"
生川柏,分
胡椒,"g,分,两,克,None,粒,钱"
炒帜壳,钱5分
铁华粉,两
梨肉,g
萆麻仁,粒
刺蒺力,g
四物汤,两
淮中膝,g
紫梢花,两
解石斛,钱
火中煨令纸焦,千克
否则用桂枝心,None
炒藕节,g
不住火蒸一伏时,克
松叶,斤
蒲公英,"g,～30克,克,None,两,-15克"
轻粉,"两,钱匕,分,钱,克,g"
橘核,g
广三七,克
圆皂角仁,两5钱
蚺蛇胆,两
青蒿倍之,None
侧柏叶,"两,None,克,g,斤"
无参,g
无花果,g
羚羊粉,"克,两5钱,g,None,钱,两半,两,分,钱5分"
苍耳子,"克,g,升,钱5分,两"
江湖大乌龟,个
诃黎勒皮,"枚,两,两半,钱,克,分"
益元散,克
炒知母,克
