雄黄,"g,克,钱,分,钱5分,None,两5钱,两,分4厘,钱半,两半,铢"
山楂肉,"钱,克,两,None,g"
木鳖仁,两
以盐泥固济,None
去湿药膏,两
痢特灵,g
不令研细,None
附子&lt;炮裂,克
白粱米,合
毫,None
臭牡丹,"克,g"
人乳粉,分
小红鼠,分
炒大黄,g
生乳香,"两2钱,g"
蜀漆,"两,铢"
调搅,None
用纸包扎,None
桔梗蒡,g
水牛角粉,"克,g"
大黄,"克,两,钱,None,～5g,g,-15克,-10克,石,两半,分,钱半,斤,钱5分,份"
切作块子,None
干金鳖,g
去核,枚
生贯众,g
小药,两
川蜈蚣,条
青,g
紫巴戟,两
川朴消,"千克,两"
以此,None
刘寄奴,"克,g,份,两,None,钱"
荷花地丁,g
分两处,None
铁粉,"钱,两,克"
蔻米,分
生地榆,g
地脚粉,g
蔓荆,"g,None"
令作珠子,None
细辛,"两,None,克,钱,g,分,两半,钱半,两1分,铢,钱5分"
商陆,"g,None"
以麻油拌和滋润为度,None
取白茅锉令齐整,None
牛膝,"None,g,克,钱,条,分,两,两1分,两半,两6钱,两5钱"
炒土元,g
制甘草,钱
禹馀粮,两
制天虫,g
鲜建兰叶,两
炒川楝子,g
百芍,g
黄牛角,两
藕节,g
真琥珀,分
炒皂刺,"克,钱,g"
石菖蒲,"None,克,两,分,g,节,钱,寸,合,钱半"
芍药甘草,克
川黄芩,g
核心,钱
牛旁子,"g,两"
漂白术,None
乱发如鸡子大,None
微炒香,None
水苦参,g
橘红,"两,克,g,钱,千克,分,None,钱半"
生黄耆,"钱,～15克,两"
升麻,"分,克,None,钱,两,g,两半,钱半,钱5分"
直僵蚕,克
滑石,"克,两,g,None,钱,份,分,两半,石,钱5分"
枳实,"None,克,两,g,分,钱,两半,两5分"
米,"None,合"
草决明,"克,g,None,两,分"
复蒸,None
碗浸,None
干蟾,"个,枚"
梗米,g
好麝香,钱
香连丸加诃子,None
过,None
炙甘草L,克
苦甜杏仁,g
新出窑石灰,None
粉口儿茶,克
味并火煅,None
瞿麦穗,"两半,两"
川菖蒲,g
余甘子,g
红糖炙麻黄,g
怀生地黄,"两,克"
好酒,ml
粉萆?,g
赤豆卷,克
乌贼,两
金樱根,None
笼糠火煨,None
用盏盛,None
玉米仁,g
炮姜炭,g
防风梢,"克,分"
精羊肉,克
入水中,None
次用杜仲酒炒去丝,两
羊脊髓,两
夏枯草花,斤
生葛根,g
锉成片,None
苦参粉,分
黄环,两
条岑,钱5分
炒干,"两,两半"
兰花竹叶,g
用,None
共为细粉对入,克
又入黄丹,钱
败龟版,"两,None,克"
闭口,None
青竹茹,"克,两"
百部根,g
枸杞子,"None,克,g,石,钱,两"
见穿,g
再加白蜜,克
炉甘石,"两,None,g,斤,钱"
蒸热,None
水洗净,None
石龙芮,"分,克"
马蹄金,g
西红花,g
银朱,"克,钱,两"
川断肉,两
雷公藤,g
鲜藕汁,两
漏篮子,两半
南苍术,两
兜铃,"None,两"
钱半,None
次硝酸铋,g
玉竹,"钱,克,～15克,石,g,两,两半,None"
煅硼砂,"克,g"
秦皮,"g,克,钱,两,None"
大黄面,克
小青皮,钱
大红椒,两
段月石,g
香薷扁豆,钱
肉豆蔻仁,克
野艾,g
鲜竹叶,"克,None,片"
公分地龙,g
陈萝卜缨,g
牡丹花瓣,g
生甘草黄,钱
干芦根,g
南瓜子,g
木,g
玄精石,两
入滚汤,None
苏薄荷,"钱,None,克"
大黄末,"克,钱"
炙升麻,g
川升麻,"两,克,分"
黄柏粉,g
青天葵,g
生栀仁,"克,钱,～12克,g"
酱油,None
黄乳香,两
辛夷仁,两
豨莶草,"两5钱,g,克,None"
九制熟地,两
糖精,g
钟乳石,"克,None,两"
翡翠贻贝,克
味入药瓶内,None
山慈菇,"克,两,g"
冰香,克
阴地蚯蚓粪,None
鹿衔草,"克,g"
醋玄胡,g
制苍术,"g,两"
糖,None
白木通,钱
在内,None
娄芍,g
芥穗,"克,None,钱,两,g,两2钱,分,斤"
炒丹皮,"g,克"
莲须,"克,两"
白背叶根,g
白鸡冠花,g
水飞黄丹,钱
鸭?草,g
煎汁,None
广湘黄,g
蚕沙,g
雄黑豆,"两6钱,斤"
突厥子两半,None
池矾,分
赤柽,两
大梅片,克
川楝子肉,两
威灵仙,"g,两,None,克,钱,两半,两5钱,分"
钓藤,g
廉珠,分
钩藤,"克,g,分,钱,钱5分,石,两"
瓦楞子,"克,g,两,None"
黄柏皮,两
乌嘴白雄鸭,只
硫酸黄连素,g
凡士林,"两,g,克"
没食子,"None,两"
猪脱氧胆酸,None
阴行草,g
桃皮,两
赤痢生,None
片姜黄,None
花椒,"两,克,钱,粒,g,None,两半,两5钱,分,两1分,合,枚,铢"
菝契,g
鸡内金,"克,钱,g,None,分,两"
曾青,两
绛真香,None
如无黑豆,None
广金钱草,g
生银,两
搅匀,None
千斤拔,"g,None"
生藕汁,两
乌犀角,～24克
荠苨,两
西赤芍,g
香鼓,克
南瓜藤,g
鲜活水芦根,g
淬至水尽,None
以竹刀切作片子,枚
四物汤加防风,None
川楝炭,g
白芷,"两,克,分,g,None,钱,两5钱,钱3分,文,两半,钱半,斤,钱5分"
黑元参,"～30克,g"
天仙子,"g,分"
黄蓍,"两,None"
犀角粉,g
仍入煎汁内,None
泡桐叶,g
夏估草,g
闹羊花,"两,克"
款冬花,"钱,分,两,铢,g,None"
提,None
生大黄后下,g
大力王,g
丹皮,"g,None,两,钱,克,-5钱,升,双,寸,石,钱5分,两1分,分,两半"
大蒜头,"石,两"
锡恡脂,两
胡椒,"钱,粒,两,分,个,None,克"
慢火内炙令香,克
红盐,分
花皆用,None
和为饼子,None
吴茱萸根皮,分
蜀大黄,两
满,None
归梢,克
紫梢花,克
桔矾,g
守候逐件烟尽,None
红壳鸡蛋,个
煨豆蔻,g
无患子果,None
蒲公英,"g,钱,克,两,～30克,None,～60克,-15克,握,-45克,升"
糖栝楼,g
轻粉,"两,分,钱,钱5分,克,g,None,字,钱半,钱匕,贴"
橘核,"g,克"
盆上芫茜,g
广三七,g
炙蜈蚣半条钩藤,g
侧柏叶,"克,g,None,分"
锅内旋添汤,None
或海金草,g
鲜鸡蛋,个
维生素k,None
无花果,g
倍子,钱
粗者捞起再煅再淬,None
收胶,None
入后药,斤
坐拿草,两
诃黎勒皮,"两,分,两半,钱,克"
陈豉,粒
干百合,克
炒知母,"g,克"
丝擘,None
或人乳,None
取净汁,None
鹿角胶,"钱,两,g,克,斤,None,分"
炙马前,g
甜石莲子,g
银柴,钱
刘寄奴草,两
枳实钱半,None
雌色白,None
蛇蜕灰,两
生犀角,"两,克"
净花,"None,g"
鲜薄荷叶,片
杜胆星,钱
片子姜黄,克
