倾去巴豆不用,None
鸡子,枚
雄黄,"钱,g,克,None,钱半,两"
批杷叶,g
陈粳米,撮
杜仲炭,"g,克"
鲜石胡荽,None
制白附子,g
醋炒柴胡,g
两头尖,两
山楂肉,克
草霜,分
制桑皮,钱
再入银铛中,None
大枣,"克,g,None,枚,个"
鲜品,g
味同于釜水,石
黄明滴乳香,两
香皂,个
银柴胡,g
焙蜈蚣,g
石韦,克
枯矾,"g,克,钱"
大黄,"斤,钱,g,两,克,None,分"
生耆,两
生地黄汁,升
山慈姑,g
白龙须,-20克
炒二丑,斤
玄参,"两,g,克,None,钱"
洋金条,g
醋玄胡,g
刘寄奴,"g,两"
霜桑叶,克
铁粉,钱半
研如膏,None
左山寒水石,两
细辛,"钱5分,克,两,g,None,分"
磁石,"g,千克,None,两"
地龙l,g
化橘红,钱
炒玄胡,g
良姜,"g,克,两,None"
牛膝,"g,None,两半,两,钱半,钱,克,分"
刷去角外黑垢,None
地龙干,g
茯苓,"None,克,g,钱,两,分,钱半,两半"
慢火熬成霜,None
茜草,"g,克"
腊梅,g
炙紫菀,g
桑寄生,"None,g,两"
用桑柴火煮,None
天仙子,分
黑大枣,枚
辰州朱砂,g
百合,"g,分,钱"
摊于地上出毒,None
用黑豆盖覆,None
冬虫夏草,g
三角将军,个
虎杖,g
石菖蒲,"克,g,钱,None"
马鞭草,g
芡实,"g,两"
橘红,"克,None,g,两半"
生黄耆,"g,克"
升麻,"g,克,None,钱,分,两"
佩兰草,钱
直僵蚕,克
滑石,"g,千克,None,克,分"
枳实,"g,石,两,钱,分,两半,斤"
芒消,两
樟脑,钱
桑叶,g
制大戟白芥子,g
桑螵蛸,分
不用黑豆,None
安息香,"两,分"
白术,"-8克,None,两,克,g,石,分,两半,钱半,钱,钱2分"
蛇蜕皮,条
黑柴胡,g
川芎,"None,克,两,g,钱,钱5分,升,分"
女贞子,"g,克"
火硝,g
乌头,枚
作,片
一罂鹿角,None
黑脂麻,克
黑芝麻,石
好酒,斗
炙地龙,g
兰香菜,两
刺力,g
木瓜,"None,g,钱"
浮萍草,钱
暮夜,None
炙苏子,g
炮姜炭,g
檀香,g
制草,两
90,None
白信石,"克,g"
内去血穰,斤
干山药,两
桑枝,g
陈酒糟,-3两
竹茹,"克,g,分"
猪悬蹄甲,两
胆蓝星,g
龟板,"g,克"
热水及,-4斗
鲜生地,"克,g"
天雄,"克,两"
制马钱子,钱
当归,"None,g,克,两5钱,两,钱,分,～9克,钱5分"
枸杞子,"克,g,两半"
生杭勺,g
为末,两
灯心草,g
蝉蜕,"g,克,个,枚,两,None,分"
紫河车,"克,g,两"
故纸,克
珍珠,"分,钱"
取出焙干,None
自然铜,"g,None"
真蒲黄,两
猪靥,枚
地黄,"斤,None"
用乌药,None
苏子,g
香橼,g
鸡血藤,"None,g"
百部,"g,None"
白茅根,两
玉竹,"分,钱"
秦皮,g
败酱草,g
羚羊角粉,"克,g"
蜜,合
段月石,g
净细辛,克
朱砂,"克,钱,g,None,两,钱半,分"
麋角,斤
黄金,"千克,None"
熟军,两
狗肾,具
爵床,g
天门冬去心,两
煮干为末,None
生龟板,"克,g"
制全蝎,g
角蒿,两半
制全竭,g
水煮令芽出,None
黑丑,"钱,None,两"
无名异,None
麦门冬去心,两
川升麻,"两,分"
鳖甲生地黄当归白芍川芎,None
黑矾,两
外去粗皮,None
炙蜈蚣,g
长流水浸,None
韭菜叶,None
昆布,"克,钱半"
白鲜皮,"g,克"
连翘,"g,钱,None,克,分"
生紫苑,g
前胡,"g,分,两,钱"
续断,"g,克,钱,两"
牡荆子,分
鹿衔草,g
当归头,钱
莪术,"g,克,两,None,钱,斤"
槐花,"g,None"
川朴消,两
蛤壳,两
白头翁,"两,g"
银杏叶干品,g
僵蚕,"个,两,None,钱,克,g,分"
香薷,钱
芥穗,"克,两"
铅霜,分
鳖甲,"克,g,两,分,None,两半"
即以药罂中热汤添之,None
苎麻根,g
人乳拌匀,None
牛胆星,g
覆盆子,g
将巴豆同炒少时,None
螟蚣僵蚕,None
降香,g
白石英,两
白苏子,g
全瓜萎,g
上安桂,g
入鹿角,None
威灵仙,"两,g,克"
熟地,"两,克,g,钱,None,钱5分,～15克,分"
乌梅,"g,两半,钱,None"
钓藤,克
虻虫,两
钩藤,"钱,None,g,克,石,两"
飞罗面,钱
芦荟,"钱,钱2分"
火炭母,g
醋丝瓜络,g
破去内白膜,两
地骨皮,"g,None,分,两,钱"
盐,"None,两"
花椒,"g,两,钱,克,斤,粒,None"
鸡内金,"g,克,两"
卜子,两
广郁金,g
干地龙,g
栀子仁,两
蒿本,g
炒黑姜炭,分
天南星,"g,两,克,None,个,钱"
将药水以生绢净滤过,None
以角酥软嚼碎为度,None
水耗即添热汤,None
蜈蚣,"None,克,条,g"
制虎骨,两5钱
粉甘草,两
白芷,"g,None,钱,克,钱半"
去外鳞,None
鹿茸,"克,两,钱"
钩藤根,克
山萸肉,"克,g,升,钱,两"
犀角粉,钱
白扁豆,"None,钱,两,g"
令稀稠得所,None
茯苓片,克
羊靥,枚
闹羊花,克
款冬花,"g,分,两"
炙令黄,None
商陆,g
丹皮,"克,g,分,None,钱,两"
甘松,"g,None"
丹参,"g,克,分,两,钱,None"
用菠薐汁和作饼,None
蒲公草,两半
药罂添水煮,None
胡椒,粒
生于术,克
枳刺,克
鲜侧柏叶,None
刺蒺力,g
硝石,"g,千克,None"
乌蛇蜕,条
仙鹤草,g
芡实肉红者,两
紫草,"None,g"
龙骨,"g,钱,两"
石决明,"g,None"
白花蛇舌草,g
金银花,"g,钱,None,克"
北梗,None
青黛末,钱
白泡参,g
赤脚螟蚣半条,克
蒲黄,"g,克,None"
生鳖甲,g
蒲公英,"g,克"
人参,"克,None,两,钱,g,两半,钱半,分"
生川乌,g
鲜苋菜,两
轻粉,"分,钱,两,克"
橘核,钱
又谓之乌龙尾,两
乌梢蛇,"两,g,斤"
神曲,"钱,g"
人中黄,"两,g"
炒黄连,g
炙蜈蚣半条钩藤,g
大倍子,个
落得打,g
独活l,g
炙枇杷叶,g
地龙,"钱,g,None,克"
蜗牛,两
玉米须,g
钟乳粉,两
血苗灰,两
炙全蝎,g
羚羊粉,"None,g,克,分"
苍耳子,"克,两半,两"
旋覆花,"g,方,钱,两"
以净布滤去滓,None
瓜壳,g
蒺藜,"克,None,g,两,分"
诃黎勒皮,两
川乌,g
荆三棱,两
哈士蟆,钱
蕤仁,"两,分"
蓖麻子,两
猫爪草,g
鹿角胶,"g,钱"
炙黄芪,"克,g"
海浮石,g
沉香,"两,g,克,None,分,钱"
枇杷叶,"g,两"
苦参,"g,两,克,-15克,None"
炒黄芩,g
血竭,"钱,g"
黄精,g
酸枣仁,"None,克,g,钱,两"
零陵香,分
甲香,两
茯苓皮,g
鲤鱼,头
大风子,个
白花蛇肉,斤
没食子,枚
白芍,"None,g,克,双,钱,分,两,钱5分"
麦芽,"g,钱"
川药,g
地肤子,"两,分"
面,None
炒川栋子,g
马宝,g
石膏,"钱,克,g,千克,None,分"
栀子,"g,分,None,克,钱"
使君子肉,"克,钱5分"
干姜,"克,g,片,两,～100克,钱,None,升,两1分"
生黑大豆,g
青葙子,"两,分"
赤芍,"两,克,石,g,None,钱"
雄蚕蛾,枚
猪牙皂角,钱
面粉,克
佩兰根,g
没药,"g,钱,两,None"
麻油,g
生米仁,g
天台乌,克
皂角,"g,None,两,克,钱半"
用桑白皮,两
枳壳,"克,g,两,个,钱,None"
生黄芩,钱
阿胶,"克,g,钱,两"
劈成薄片,None
维生素B,g
郁金,"克,g,钱"
小胡麻,"g,两,分"
生麻黄,"克,g"
铜绿,"钱,分,克"
松子仁,分
香油,ml
清油,斤
炒地榆,g
使君子,"None,两"
牛筋草,g
倒挂者亦得,None
木鳖子,"g,两"
黄土内罨两宿,None
何首乌,"g,两,克,None"
桅子,g
炒蒲黄,克
天竺子,g
蜂蜡,"两半,两"
代赭石,g
罂干桑柴慢火煮,None
熟矾,分
每角,斤
北沙参,"g,钱半"
炒香附,g
川贝,"克,g,None,重,钱,分,两"
公丁香,"两,g,克,None,个,分"
得去毛,None
牛黄,"钱5分,分,g,克,两"
海藻,克
一罂药物,None
硇砂,"g,克,两"
石茱萸,分
大青叶,"g,两半"
生白药,g
川芎l,g
儿茶,"钱,g"
炙山甲,g
山楂,"g,None"
土马鬃,两半
角罂添汤煮,None
炷香毕,None
淡豆豉,合
制僵蚕,g
淫羊藿,"g,克"
土茯苓,g
切不可入冷水在角罂中,None
莲米,g
天麻,"两,None,钱半,钱,g,克,分"
荔枝核,个
生代赭石,g
青皮,"两,分,克,None,两半,钱半,钱,g"
石灰,None
候两复时,None
焦艾,克
荜茇,"g,None"
活甲鱼,两
胡桃,个
槲寄生,g
倒扣草,g
人指甲,g
王不留行,g
芎?,"两,分,钱"
肥枣,两
槐枝,g
溪黄草,g
金箔,"张,片"
蜂蜜,g
水蛭,g
荆芥,"两,克,g,None,钱"
白矾灰,钱
尖双仁,"None,两"
紫菀,"g,两"
樟丹,None
真血竭,钱
绿豆粉,钱
厚朴,"g,两,钱,两半,分,None,两1分"
制没药,"两,g"
甘草粉,g
朴消,两
红枣肉,枚
龙胆草,"None,克,g,两"
桕油烛,两
薤白,"两,茎"
冬瓜皮,g
芦根,g
肚脏全体不遗,None
白矾,"克,None,分,两,两半,钱"
马鸣退,两
红粉,钱
双钩藤,克
云茯苓,"钱,克"
吴茱萸,"g,None,两,分"
炒杭芍,两
炒子芩,g
藁本,"g,None,两,分"
半夏曲,None
小蓟,克
石斛,"g,钱,两"
蕲蛇,两
宰过,None
京墨,两
