雄黄,"钱,钱7分,g,钱5分,分,两,克"
山楂肉,None
%熟大黄,g
洗竹叶,g
东向侧柏叶,None
蔓荆,g
黄色海金沙,克
两头尖,两
研令如膏,None
山柰,g
姜夏,g
大枣,"克,枚,g,个,None"
鲜半边莲,g
南星半夏,None
古字钱,-7文
制半夏,"钱,两"
樗白皮,钱
卷柏,"None,克,分"
全蝎十,个
银柴胡,"克,两2钱"
芩,g
紫花地丁,"None,g"
枯矾,"钱4分,g,克,None,钱,两"
不灰木,钱
大黄,"两,克,None,钱,g,分,两半,铢,斤,～30克"
生地黄汁,合
甘,None
飞龙丹,钱
盆消,克
煨生姜,None
沙苑子,两
玄参,"钱,克,None,两,g,两6钱,分,双"
盐泥固济,克
川朴消,"两,斤"
合欢皮,None
酒精,ml
制大黄,g
霜桑叶,"克,None"
铁粉,两
蚌粉,两
蝎蛸,钱半
以后于乳钵内并酒,None
甘遂,分
皂角仁,克
细辛,"两,克,分,钱,g,None,铢,两半"
磁石,克
乌蛇皮,None
化橘红,g
扁豆花,g
白葵花,钱
汤泡滤过,两
牛膝,"g,None,分,克,条"
天灵盖,分
川牛膝,"g,克,钱,两"
茯苓,"None,克,分,两,g,钱,两半,钱半,钱5分"
炙枇杷叶,g
京牛黄,分
小红枣,两
桑寄生,"钱5分,None,克"
韭菜根,g
黄牛角,两
白芽根,g
零陵香,钱
牛蒡草,两
入罐子内,None
鲜菖蒲,None
当归须,None
大风子,两
米粉,两
炙干草,g
虎杖,"g,克"
石菖蒲,"两,g,None,钱,分,克,两半"
白头翁,分
酒蜡,克
乌芋,克
琥珀末,石
漂白术,None
白姜,钱
芡实,"None,个,钱"
橘红,"None,g,克,钱"
生黄耆,钱
升麻,"克,None,钱,g,两,分,钱5分"
桃枝,握
天仙子,枚
直僵蚕,钱
滑石,"两,克,g,None,两半,钱,斤"
大归身,两
枳实,"两,g,分,克,钱"
兰枣,None
桑椹子,斤
川归,None
童木通,None
棉花核,克
浮萍草,"钱,g,克"
商陆根汁,毫升
淋取汁,两
黑山栀,"钱,g"
遽麦,两
桑叶,"g,钱,克,两,None,片"
桑螵蛸,"两,枚,克,分,None"
蛤蚧,对
人中白,"分,钱"
滤干,None
乌梅半个,None
荷叶蒂,None
苣胜子,None
炙紫苑,g
明乳香,钱
川芎,"None,两,克,钱,g,分,钱半,两半,两1钱,两5钱"
女贞子,"g,克"
火硝,"两,克"
煨木香,克
乌头,"None,两,两1分,克"
黑芝麻,两
五加皮,"分,两半"
槟榔,"钱5分,两,g,克,个,None,钱,分,斤"
木瓜,"两,g,克,两半,None,钱,枚,钱5分,斤"
晒干切片,钱5分
杭菊花,g
檀香,"两,g,克,铢,钱"
桑根白皮,"分,两"
甘皮,铢
薏苡仁,"克,两,g,分,None,钱"
白信石,"升,分"
光杏仁炙僵蚕,g
干山药,两
桑枝,"g,钱"
虎骨,两
露筋草,None
韭菜子,两
生葛根,钱
仙茅,"克,g"
O升麻,g
龟板,"克,g,两"
蟾蜍,"钱,个,枚"
金星凤尾草,克
解去线,None
嫩桑枝,克
鲜生地,克
天雄,"两,分"
制马钱子,g
昌蒲,g
熟牛蒡,克
当归,"两,None,钱,钱5分,～15克,克,g,～9克,两2钱,分,铢,两5钱"
百部根,None
麝香,"分,g,钱,None,两,克,字"
南木香,"分,None"
冬虫夏草,"克,g"
炉甘石,g
为末,None
山慈菇,钱
石龙芮,分
蝉蜕,"克,g,钱半,钱,None,两,枚,个"
紫河车,"克,g,具"
神曲半块,None
珍珠,钱
银朱,钱
净蝉衣,"克,None,g"
大槟榔,个
海桐皮,克
地黄,"g,None,两"
粳米半杯,None
苏子,"两,None,g,克,钱"
香橼,克
鸡血藤,"g,克,石"
百部,"千克,g,克"
伏龙肝,"两,分"
土牛膝根,钱
白茅根,"克,g,两"
玉竹,克
秦皮,g
石榴花,两
夏枯草,"克,g,钱"
羚羊角粉,钱
鲜白茅根,g
蜜,"两,匙,克"
炙微赤,分
朱砂,"钱7分,g,克,钱5分,两,钱,None,两半,分,钱半"
葵百部,g
京玄参,克
煎掠去沫,两
紫苏花,None
禹余粮,"两,克"
鲜淡竹叶,片
爵床,g
苦竹叶白茅根,克
半夏,"克,钱半,None,两,g,钱4分,钱,分,斤"
候干,克
生鳖肉,斤
山豆根,"g,克"
台乌药,g
云芝,g
晚蚕沙,两
鲜竹茹,克
郁李仁,"g,分,两,克"
铁华粉,钱
玄精石,"None,钱"
苏薄荷,"None,克"
鸦胆子,"g,克"
黑丑,"两,克"
切作片子,None
蜣螂,两
羌独活,克
炙升麻,钱
川升麻,"两,克"
桃仁,"钱半,两,None,g,钱,至5钱,枚"
青天葵,g
芒消,"克,钱,两,两半"
苍白术,克
安息香,"分,两"
马齿览,g
马蔺子,两
%蝉蜕,g
母丁香,枚
蔻壳,g
钟乳石,"g,分"
白鲜皮,"g,两"
连翘,"两,克,None,g,钱,分,石"
僵蚕,"克,钱,条,g,分,两,枚,None,钱半"
前胡,"None,g,千克,两,克,分"
山萸肉,"g,分,两半,两,钱"
鹿角,钱
续断,"钱5分,g,两半,钱,两"
穿山甲,"克,None,g,钱,片,两"
莪术,"g,钱,两半,两,至5钱"
槐花,"None,克"
蛤壳,"克,g"
莲子,"None,钱半,克,g,两,钱"
炙鳖甲,g
青连翘,None
香薷,"两,克,g,斤"
芥穗,"克,千克,钱,None,g,两,钱5分,斤"
靳蛇,g
鳖甲,"两,g"
生栀子,两
炒吴茱萸,g
广郁金,"钱,g"
覆盆子,"两半,两2钱,克,两,g"
猪胆汁粉,克
炙麻茸,g
核桃肉,克
大茶子,颗
白术,"钱,两,分,None,～9克,克,g,两半,钱半,斤"
猢狲头骨,分
东山楂,None
降香,"两,钱"
白石英,两
白砂糖,None
杜藿香,"克,两"
威灵仙,"g,两半,两"
熟地,"钱,～21克,g,None,两,克,斤"
生明矾,钱
瓜壳,g
活芦根,克
虻虫,"枚,g"
钩藤,"g,钱,克"
枳壳,"钱5分,None,g,克,钱半,两,钱,两5钱,分,斤"
酸枣仁,"钱,g,两,克,分"
五灵脂,"两,g,两半,None,克"
没食子,分
建曲,"g,克,斤"
东引桃枝,None
炙令黄,None
朝脑,钱5分
地骨皮,"g,None,钱,分,克,两"
盐,克
花椒,"g,两,分,克,钱"
鸡内金,"两,具"
以黄丹,钱
公丁香,"钱,分,克,两,g"
硫黄粉,两
苦地丁,"克,g"
栀子仁,"两,克"
好面,斤
竹叶,"None,钱,克,片,g,升"
樟丹,"None,两,分,钱"
赤石脂,"g,分,钱,None,两,克"
蔓陀罗花,枚
槐米,克
蜈蚣,"条,g,钱"
川厚朴,g
合欢花,克
%黑丑,g
粉甘草,"g,None,钱"
白芷,"克,两,钱,g,None,钱4分,分,斤"
大虫魄,两
鲜芦荟,g
通草,"g,None,克"
竹叶柴胡,None
兰,分
红娘子,个
广红皮,克
楮纸,张
白扁豆,"两,克,g,钱半,None,钱"
入坩锅内,克
%栝蒌仁,g
闹羊花,分
鹰爪黄连,钱
味一处炒,None
商陆,"克,两"
天葵子,"克,g"
白丁香,"钱,两"
丹皮,"克,g,钱,两1分,分,两"
甘松,两
白梓皮,g
%山栀子,g
槐条,None
生葛根汁,合
用上好醋浸七天,None
开麻,g
胡椒,"克,分,None,g"
旱莲草,"g,克"
良姜,"钱,两,None"
黑栀仁,分
鲜生姜,"钱,克,None"
桑叶汁,None
佩兰,g
穿心莲粉,克
罂粟壳,两
二冬,克
八珍汤,钱
骨碎补,"两,克,两半"
蛜,枚
紫草,"None,g,克"
白芷生石膏,g
蜗牛壳,两
石决明,"克,两,g"
白花蛇舌草,g
明沙参,g
金银花,"克,钱,g,None,两,石"
淡附,g
蒲黄,"g,两,克,None"
知母,"钱,克,None,g,升,分,两"
蒲公英,"克,g,None,石"
人参,"None,克,分,钱,～15克,两,～9克,g,两1分,钱半,铢,两半"
生川乌,g
槐胶,None
鲜地龙,条
轻粉,"钱,分,None,克,g"
橘核,g
丁头代赭石,克
稀莶草,g
诃黎勒皮,两
乌梢蛇,"两,g,克"
蕲蛇,"钱,两,条,克"
人中黄,"克,g"
