雄黄,"两,片,g,钱半"
山楂肉,"钱4分,None,钱,克"
杜仲炭,"钱,斤,两"
再将香附合,None
甘遂,两
春砂仁,两
怀熟地,"None,两"
桃树枝,g
生巴仁,两
陈橘红,钱
盐汤浸,"两,分,克"
大枣,"kg,枚,None,g,个"
炒大黄,g
嫩黄耆,"两,克"
用绍酒,两
老酒煮一时,克
菊花炭,两
益母膏,"None,两,斤"
银柴胡,"两,g,None"
大艾叶,两
凤眼草,两
老鹳草,g
枯矾,斤
香附,"g,两,克,钱,份,None,斤,两6钱,kg,分,千克"
大黄,"两,克,g,None,分,斤"
生地黄汁,"升,None,合"
山慈姑,g
生于术,钱
沙苑子,"两2钱,克"
玄参,"两,分,克,None,g,钱5分"
风仙花全草,株
川朴消,两
去浮甲,None
刘寄奴,"None,g"
白鸡冠花,"两6钱,两"
只用净末,两
蝎蛸,钱半
生地榆,g
无孔者,None
蔓荆,None
榉树皮,两
细辛,"钱,两8钱,钱5分,斤,两,克,None,g,两半,分,份"
石膏,"两,None,g,克,钱"
入砂锅内煮干为度,"克,None"
化橘红,g
余滓用水泡三至五日,None
良姜,"两,g"
牛膝,"g,两,两2钱,None,钱,克,份"
竹沥,升
生阿胶,"斤,钱,克"
茯苓,"g,两,钱,None,两2钱,克,两4钱,斤,分,千克,两半,钱半"
茜草,g
桑寄生,"g,两"
陈石灰,g
萆薢,两
生艾叶,g
九菖蒲,两
穿山龙,g
牛胆,分
桃南瓜,None
真川芎,两
毕澄茄,两
虎杖,g
芫花,"克,两,分"
马鞭草,g
桃,斤
益母草末,两
去滓成胶,None
芡实,"两,g,克"
橘红,"g,两,钱,两6钱,克"
生黄耆,"钱5分,斤,克"
升麻,"两,克,钱,None,分"
滑石,"克,g,两,分"
枳实,"两,g,克,枚,钱"
芒消,两
桃枝,斤
黑山栀,两
桑叶,"克,g"
酒炒白芍,"克,钱5分"
桑螵蛸,"两,g,分"
砂炒马钱子,g
白术,"g,两,钱,None,钱4分,斤,克,两5钱,千克,分,钱半,两半"
川通草,克
节菖蒲,钱
川芎,"g,两,克,钱,分,None,两5钱,两4钱,斤,kg"
女贞子,"钱,两,g"
千里光,None
煨木香,g
乌头,"两,斤"
用河水,升
于砂锅内,克
先煎,None
七十,两
身杆,g
甘草五,两
钱氏异功散,两
槟榔,"两,克,None,g,钱,钱半,千克,分,枚"
酒醋,升
木瓜,"None,两,克,g"
浮萍草,g
赤勺药,g
三梅片,None
炮姜炭,钱
檀香,"斤,g,钱"
桑根白皮,分
薏苡仁,"钱,g,克,None"
夜明沙,None
干山药,"克,两"
桑枝,"斤,g,钱"
用童便浸,克
花生油,None
炙黄耆,两
芜荑,"None,钱"
龟板,"g,两"
去心膜并油,None
日中晒干,"克,None"
青毛鹿茸,两
败龟版,两
天雄,"分,克"
