雄黄,"钱,克,分,两"
天麻,"钱,克,g,分,两"
海藻,"克,g,两"
水牛角粉,g
生百部,g
以此,None
风化朴消,钱半
蔓荆,"两,g"
汤浸,None
大枣,"g,枚,None"
余个,None
颧嘴川乌,只
大海片,分
黄豆,克
有白芷,None
？,g
虎杖根,g
紫花地丁,g
枯矾,"钱,g,None"
大黄,"g,None,克,千克,两,钱,分"
木,钱5分
去核,两
速尿,mg
为粉,None
沙苑子,"两,g"
玄参,"g,两,两半,钱,None,克"
醋玄胡,g
翻白草,None
刘寄奴,克
制大黄,"克,g"
栝楼实,None
生地榆,g
甘遂,克
细辛,"g,钱,两,克,None"
磁石,克
商陆,g
白薢皮,g
良姜,两
牛膝,"g,石,None,钱5分,两,分"
附子尖,个
明矾末,g
茯苓,"克,千克,None,g,钱,两,分,钱5分,钱半"
茜草,g
京牛黄,分
桑寄生,"g,两"
川草,g
天仙子,两
藕节,两
当归身,"两,克"
聚乙烯醇,g
冬虫夏草,g
毕澄茄,分
虎杖,"克,g"
石菖蒲,"克,g,两,钱,节"
再加滑石粉同炒,钱
琥珀末,"g,克,钱"
芡实,"g,克"
橘红,"g,None"
生黄耆,钱
升麻,"None,两,钱"
川大金钱草,g
滑石,"g,斤,克,千克,两,钱,None,石"
枳实,"None,克,g,两,分"
荠菜,g
黑矾,g
土贝母,克
樟脑,"g,钱"
遽麦,两
桑叶,g
涂酥炙令焦黄,None
桑螵蛸,"g,分"
乌头尖,个
马蹄金,g
白术,"克,None,g,钱,分,两,两半"
莳萝子,分
炒甲珠,g
苣胜子,两
川芎,"g,钱,None,克,两,两半,分"
女贞子,g
火硝,"g,两,克"
鸡子黄,枚
碎如骰子块大小,None
瞿麦穗,"克,g,两"
新水飞过,两
雀粪,分
红景天,g
怀生地黄,两
大川乌,只
槟榔,"g,克,两,枚,钱,分,个"
独蒜,None
木瓜,g
石楠叶,克
浮萍草,两
檀香,g
桑根白皮,"两,握"
薏苡仁,"g,克,None,两5钱,钱"
白信石,两
干山药,克
甘油,ml
鞭打绣球,None
车前叶,握
竹茹,g
败龟,分
鲜毛莨,g
干藕片,g
醋柴胡,克
龟板,两
蟾蜍,两
蚕砂,"克,g,None"
硫黄末,克
石绿,克
青竹茹,"两,克"
桃油,ml
枸杞子,"石,g,None,两,克"
南木香,钱
胡桃肉,g
为末,None
鸡金,g
石燕,"双,g"
珍珠,"分,钱,克"
土瓜根,两
鹿角霜,g
自然铜,两
真蒲黄,克
海桐皮,两
地黄,g
苏子,"两,g"
栝萎根,g
肉天麻,两
乱发,分
百部,"g,None"
伏龙肝,克
瓜蒌实,g
白茅根,"克,g,石,None,两半,分"
玉竹,"两,克"
宣黄连,两
秦皮,"克,g"
败酱草,"None,克,g"
小青皮,g
蜜,两
炙微赤,分
