雄黄,"两,克,None,g,份,两1分,钱,分,钱5分,两半,钱半"
山楂肉,"克,两,钱"
海藻,"重,g,钱,克,两"
生绿矾,g
制白附子,g
马蔺花,两
两头尖,"两,克,g,钱"
黄桂,钱半
去浮沉,None
银杏叶,g
大枣,"枚,g,None,克,只,个,两"
制元胡,g
雄猪大肠,厘
炒大黄,g
茨菰有毛包裹结瓣,None
生乳香,g
功劳木,None
好官桂心末,两
拌晒,钱
蔓莉子,g
银柴胡,"g,钱半,None,钱"
焙蜈蚣,g
伏龙肝,"两,g,升"
抚芎一百,两
大黄,"分,g,克,斤,两,钱5分,钱,两4钱,None,两半,钱半,-20克"
棕皮,两
山慈姑,g
离根香,None
血蝎梢,克
去核,两
匙,None
为粉,None
川蜈蚣,条
玄参,"克,g,钱,两,钱5分,None,石,分"
醋玄胡,g
刘寄奴,"克,g,钱"
荷花地丁,g
山楂炭,g
刃克,None
可用野台参,克
生地榆,"g,两"
皂角刺,"g,克,两,None"
甘遂,"钱5分,g,两"
虎骨粉,g
细辛,"克,g,钱,分,两半,钱5分,两,None,钱半"
羌,None
磁石,"g,克,None,两,分"
化橘红,g
两面龟,None
良姜,"钱,两,个,克,分,g,钱5分"
牛膝,"g,None,两,克,钱,石,钱半,分"
黄芩提取物,g
制甘草,钱
大草乌,个
白莲,g
山茵陈,两
制天虫,g
桑寄生,"克,g,None,钱,分,两,两半"
或用鸡血藤,两
黄牛角,两
川草乌,None
藕节,g
当归末,None
真珠美,None
榼藤子仁,g
筛去灰,None
乱发如鸡子大,None
用盐水浸炒,两
石菖蒲,"两,None,斤,钱,克,g,分,两1分,节"
焦黄芩,g
生地汁半合,None
追地风,g
控干,None
姜夏,g
淡干姜,"克,g,钱"
芡实,"g,克,两,钱,两半"
药珠,分
橘红,"g,钱,克,两,分,None,钱半"
生黄耆,"钱,g,斤8两,克"
升麻,"钱,两,克,g,分,None,两半"
茶苓,g
直僵蚕,克
滑石,"克,g,两,分,None,钱,两2钱"
陈葫芦,g
枳实,"None,克,钱,g,两,分,枚"
米,"None,合"
臭樗皮,两
白大豆,g
活牛蒡,斤
干蟾,"个,枚"
黑山栀,"g,克"
薄陈皮,克
梗米,g
桑叶,"g,钱,两"
中心剜小孔,None
青风藤,"克,g"
