浮小麦,g
雄黄,"g,None,钱,分,克,方"
山楂肉,"None,两"
以滚汤泡净,None
用甘草,两
鲜石胡荽,None
鲜水辣蓼,g
生绿矾,g
甘遂,"g,钱,克"
豆许,None
春砂仁,g
桑寄生,g
弓弦灰,两
头发,None
白姜,"None,两"
黄连,"g,克,钱,None,两,斤8两,钱5分,分,钱半"
大枣,"g,个,枚,克,None,两,斤"
丝饼,钱
炒带壳高粱,g
炒大黄,g
白芜荑,"分,克"
清麻油,两
卷柏,两
川茴香,两
银柴胡,克
焙蜈蚣,g
煨令熟,两
枯矾,分
藿芦,两
大黄,"分,两,钱,克,g,None,钱5分"
炙藕节,g
猪胆汁半合,None
去核,钱
浸良久,None
沙苑子,克
前胡,"None,克,g,石,两,钱"
制大黄,g
霜桑叶,g
只用净末,两
大川椒,分
铅粉,"两,钱,分"
雄黄精,g
蔓荆,g
细辛,"钱5分,分,None,克,两,g,钱,钱半"
磁石,"分,g,None,两"
兔脑,个
化橘红,"钱,g,克"
生地炭,"g,斤"
良姜,"None,两,克,g,两7钱,钱"
牛膝,"两,g,None,克,分,石"
竹沥,"g,钱"
生阿胶,斤
瓜蒌霜,克
茯苓,"钱,两,g,None,克,分,石,两半,两5钱"
其雌者小,None
去嘴,None
茜草,"None,g"
炙紫菀,"克,g"
黑大豆汤浸,None
怀生地,两
天仙子,"分,None"
百合,"钱,枚,None,g,克,分"
银箔,片
川升麻,"两,钱,克,分,None"
蛇含石,None
虎杖,"钱,g"
石菖蒲,"两,g,克"
灯上燎作声为度,None
白头翁,"两,g"
狗脊,两
琥珀末,克
控干,None
漂白术,g
姜夏,g
淡干姜,克
芡实,两
橘红,"钱半,克,千克,两,g,None,分,钱"
升麻,"分,两,None,两1分,钱,克"
仙人枯骨,两
直僵蚕,"两,克"
滑石,"钱,克,g,升,两"
月上已日取,None
枳实,"克,分,两,枚,g,None,钱"
米,None
玛垴,克
深色鼓子花,斤
土贝母,None
樟脑,"克,分,钱,斤"
蒲种壳,两
桑叶,"克,None,g,钱"
醋制代赭石,g
乱发,"两,None"
黄油,None
制大戟白芥子,g
麦芽,"None,克,两,g,分,钱,斤半"
蛤蚧,"克,对"
白术,"钱,两半,克,两,g,分,None,钱5分"
蛇蜕皮,分
荷叶蒂,个
沉香粉,g
川芎,"两,钱,None,克,g,钱5分"
羊胆汁半合,None
女贞子,g
好豉,两
煨木香,g
乌头,两
半边莲,g
米泔浸,None
瞿麦穗,"两,克"
净竹茹,g
川鸡头,两
研细末,None
地肤子,g
槟榔,"分,钱5分,两,None,颗,枚,克,钱,钱半,g,两半"
木瓜,"钱,g,克,分,枚,两,None"
用麸皮揩去油,None
蜀漆,两
炙苏子,g
檀香,"克,g,钱,两,None"
桑根白皮,"两半,两"
薏苡仁,"g,两,克,分,钱,None"
桑枝,g
钟乳石,None
韭菜子,"两,两半"
白鲜皮,"g,None"
龟板,"g,分,克,斤"
屈头鸡,g
淮枣,None
羊肾脂半合许,None
炮裂,两
茄皮,None
炒延胡索,g
青竹茹,克
百部根,g
麝香,"钱,g,克,分,None"
南木香,"两,钱"
胡桃肉,g
不出油,None
桑枝灰,升
石龙芮,两
土炒白术,g
紫河车,"kg,具"
巴豆肉,钱
珍珠,"g,克,分,钱"
银朱,g
紫苑,g
自然铜,两
天花粉,"None,克,g,分,两"
防葵,分
地黄,g
雷公藤,g
苏子,"钱,g,千克,分,克,None"
香橼,g
鸡血藤,g
百部,"两,g,None,石"
细茶,钱
瓜蒌实,克
净全蝎,None
白茅根,"克,g,两"
玉竹,两
黑木耳,两
秦皮,"g,两,分"
云木香,g
夏枯草,"克,g"
灸杷叶,g
羚羊角粉,"g,钱"
葶苈子,"钱,g,分,克,None,两"
蜜,杯
用屋瓦盛,None
白合,g
朱砂,"克,g,两,分,钱"
功劳叶,克
鹿茸l,克
三下小等木鳖,None
禹余粮,"两,分"
生怀山药,钱
川五灵脂,两
入糯米同一处匀炒,None
半夏,"钱,g,None,克,升,两,个,分,钱5分,石,～9克,枚"
以水飞,两
山豆根,钱半
淬,None
茱萸,分
李根白皮,g
鲜生地汁,克
淬七返,None
黑丑,"两,两半,g,钱,None,克"
蜜枇叶,g
切作片子,None
家韭子,克
桃花,克
艾叶,"g,分,None"
舶茴香,两
黑矾,"钱,两,斤"
苍白术,None
安息香,两
川连面,g
槐枝,"合,两"
马勃,钱
牛酥,毫升
枣子,钱
蔻壳,"None,g"
炒菜菔子,g
昆布,两
松节,g
连翘,"g,None,钱,克,钱半,两半,分,两"
僵蚕,"g,钱,克,两,None"
玄参,"克,g,分,两,钱,两6钱"
山慈菇,g
石燕,"对,钱"
续断,"g,None,两,钱,钱5分"
好厚朴,两
莪术,"分,两,None,g,克,钱,两2钱"
苏合香,g
海马,对
蛤壳,"两,g"
炒黄芩,"g,克"
生紫苑,g
锉细,两
香薷,g
芥穗,"g,两,斤,克,分"
井泉石,None
鳖甲,"两,分,两半,克,g"
生草乌,g
龙涎香,钱
生栀子,"斤4两,两"
厚附片,克
苎麻根,g
广郁金,g
皂子,枚
芫花,"两,克"
茯苓皮,"g,钱"
柳酸,g
白薇,"两,钱5分"
川乌头,"枚,两"
麻梗灰,升
去毛,None
降香,"None,g,钱,两"
白石英,"两,钱"
雅胆子,g
威灵仙,"g,两,None"
熟地,"钱,克,～9克,None,g,分,两,钱5分"
白梅肉,钱
瓜壳,g
制白附子,g
钩藤,"克,g,石,两,分"
瓦楞子,"g,克"
酸枣仁,"None,克,钱,g,两,钱5分"
炒葶苈子,g
没食子,两
建曲,g
白姜蚕,条
朝脑,钱
枯萝卜,两
地骨皮,"克,g,分,两,None,两2钱"
枉苏子,g
干蝎梢,分
花椒,"粒,合,克,两,g,None,斤,钱,分"
浸一二宿,克
鸡内金,g
制朴,克
川白姜,分
鲜翻白草,g
公丁香,"分,克,两,None,枚,钱,粒,g,两5钱"
干地龙,"g,克"
红泽兰,克
小麦,两
蒿本,g
天南星,"克,None,g,两"
赤石脂,"g,两,None,分"
茜草炭,g
川附子,两
与郁李仁研如泥,None
川厚朴,"钱,克"
合欢花,克
用姜汁,盏
粉甘草,"克,g,钱,两半"
于瓷盒内烧,None
白芷,"分,斤,g,None,克,两,钱"
通草,"克,两,g"
黄蘖,两
雁棱菜,None
山萸肉,"g,两,分,克,两5钱,钱"
川劳,克
白扁豆,"g,None"
白蔹,"分,None"
太子参,"克,g"
干蓝,两
款冬花,"钱,两,分,g,None"
商陆,g
女者色赤勿用,None
络石藤,分
白滑石,分
丹皮,"g,克,钱,两5钱,None,分,两"
甘松,"两,钱,克,None"
丹参,"None,克,两,g,钱"
番泻叶,g
炒桑皮,钱
胡椒,"钱,两,克,None"
旱莲草,g
炒黑,None
新蒲黄,两
鲜侧柏叶,None
佩兰,g
分冷焠,None
熬滚沸,None
罂粟壳,None
仙鹤草,"克,g"
玄明粉,"钱,克,g"
却用慢火炒令牵牛子熟,None
覆盆子,两
甘李根皮,钱5分
云香,None
以好醋淬之,None
五灵脂,"g,分,两"
广角,g
白花蛇舌草,"克,g"
金银花,"g,两,None,克,石"
瓣,None
大鳗鲡,条
穿山甲,"钱,片"
蒲黄,"g,None,钱,克,两"
瓜竭,克
白木,两
生鳖甲,个
蒲公英,"g,None"
人参,"两,两半,钱,g,克,None,分,钱半,钱5分"
半夏曲,"两,克,钱"
轻粉,"g,钱5分,分,钱"
橘核,None
广三七,钱
生磁石,克
乌梢蛇,"g,两"
蕲蛇,"条,None,克"
人中黄,钱
蒴藋叶,两
炙桑白皮,g
毛橘红,钱
侧柏叶,克
干乌脑脂,None
甘草白芷,两
龙葵,g
同煮焙干,None
荆芥,"g,两,克,None"
钟乳粉,两
紫草根,克
陈皮末,g
乌贼鱼骨,None
松墨,None
羚羊粉,"None,两半,分"
生明矾,None
拣选大中小三等,None
苍耳子,"g,克"
旋覆花,"克,g,None,两,分"
败棕榈,None
预知子,克
蒺藜,"克,g,两,None"
诃黎勒皮,"克,分"
川乌,"克,两,分,钱,g"
蓝叶,克
麻油,两
蕤仁,"两,两半,分"
甘李根白皮,升
加白矾,钱
黄酒,g
三蛇胆,g
鸡爪三棱,两
炙黄芪,克
双仁,"克,None"
灵甘草,g
海浮石,"克,None,g"
生犀角,钱
沉香,"两,克,钱,g,分,两半,None"
王不留行籽,g
麻子,升
苦参,"克,g,把,None"
铁落花,克
炸枯,None
血竭,"g,None,克"
黄精,g
金果榄,分
墨旱莲,g
同朴煮,None
甘菊花,两
不用甘草,None
亦如是法,None
人指甲,g
桑奇生,两
趾,None
鲜麦冬汁,克
白芍,"两,分,钱,克,None,g,两半,石,两1分"
草龙胆,"克,两,分"
桑螵蛸,"两半,两"
大青盐,两
以檀香煎汤候冷洗,None
生干地黄末,克
夜明砂,两
以打碎黄色为度,None
焦苡仁,g
石膏,"钱,克,两,g,两半,分,把,None"
雌,None
生栗子,分
以乳钵细杵罗过,None
栀子,"克,g,钱,钱半,钱5分,两,None"
天然麝香,g
川木香,g
荆三棱,两
干姜,"None,g,钱,克,升,两,片,分,斤,钱2分,两半,两7钱"
九菖蒲,两
赤芍,"None,g,两,钱5分,克,分,钱"
泡参,g
猪牙皂角,克
马蔺根,分
陈皮,"分,钱,钱5分,None,两,克,g,钱半,～9克,两半,斤"
没药,"g,钱,两,克,None"
桑白皮,"钱,None,两,克,g,分,钱5分"
炒车前,钱
加生地同煮,None
甘遂末,g
文火化开,None
皂角,"g,钱"
乌梅,"分,克,g,枚,None,两,个"
枳壳,"钱5分,两1分,None,两,钱,分,克,g"
雄黄末,钱匕
生黄芩,钱
阿胶,"两,克,钱,g,None"
干木瓜,两
寒水石,两
郁金,"克,g,钱,None"
青夏,g
小胡麻,"克,两"
浙苓皮,克
生麻黄,g
六一散,"g,None"
铜绿,"钱,两,None"
全瓜篓,g
焦山楂,克
老生姜头,g
如黑色则过于火候,None
西麻黄,两
苦羊藤根粉,g
刺五加,g
佛手花,克
枳亮,分
樟脑粉,g
使君子,"两,分"
煨甘遂,g
筛净,盏
炒牛膝,克
何首乌,"克,g,两"
桅子,g
次下中等木鳖,None
天竺子,g
蜂蜡,"两,钱,克,两半"
代赭石,"克,g,钱,枚,None,石,两"
炒远志,克
鲜茭白根,两
鹿茸,"None,两,钱,分,克"
白砂糖,斤
大个,None
北沙参,"克,None,g"
沉香曲,"克,g"
淡豆豉,"千克,两,None,g"
天灵盖,具
茶叶,克
虎骨,"钱,两,克"
杵头糠,克
藜芦,"两,钱"
猪胰,两
海藻,两
炮附片,g
