白矾,"None,两,钱,分,半两"
桑椹,克
松节,"None,钱5分"
葱白,"茎,克"
皂角荚,两
紫石英,"半两,两"
炮甲,克
独活,"钱,克,g,两,None,分"
全蜈蚣,g
牡蛎,"克,半两"
腊月猪肪,升
牛黄,"None,克,分,半两,钱"
干蟾,克
粉草,"None,钱"
珍珠,"None,克"
公英,克
葶苈,分
楂肉,None
制半夏,"克,两"
细辛,"克,None,两,半两,两半,钱,分,铢"
豆蔻,"钱,枚,分"
没药,"None,g,克,钱"
就入：轻粉,钱
秋葵子,钱
钩藤,克
酒地,两
麦蘖,克
薏苡仁,"克,两1分"
破故纸,"两半,两"
横经席,None
肉苁蓉,"两,克,两半,半两,None"
菝葜,克
半夏,"分,None,克,两,钱,半两,铢,升"
鸡舌香,枚
犀角,"克,半两"
白茅根,分
瓜蒌根,克
于术,两5钱
杭芍,两
草决明子,二两
干姜1字,None
胆星,"克,分,两1钱"
人中白,克
生地黄,"None,克,升"
无名异,None
黄蜀葵花,"枚,None"
蓬术,"None,克,两"
海金砂,克
雄精,"克,钱5分"
白杨皮,握
滑石,"克,两,None"
夏枯草,"克,g,None"
党参,"克,None,两,g"
铜绿,"克,钱"
75%酒精,两
白蔹,"半两,分"
酒丹参,克
防风,"克,None,钱,钱5分,两,半两,两半,斤"
木鳖子,None
阿胶,"分,钱,克,两,None"
石菖蒲,"克,两"
车前子,"克,None,两"
川楝,"克,g,两半"
皂角刺,"克,g,两"
丁香皮,一两半
乳香,"None,g,克,钱"
龙脑,半钱
松香,克
乌药,"克,g,钱,两5钱,None,两"
仙灵脾,克
吴茱萸,"克,g,半两,分,两,None"
北柴胡,None
益母草,"两,None,克,钱"
海藻,克
桂,"克,半两,两,分,两半"
青竹茹,两
皂荚,分
玄参,"克,None,钱,两"
茯苓皮,克
黑附子,两
茴香子,两
海桐皮,None
食盐,钱半
斑蝥,"两,钱"
萝卜子,"克,None"
轻粉,"钱,克,分,两"
天竺黄,钱
两头尖,克
艾叶,"g,两,半两,None"
鸱鸮,个
淮山,钱
南硼砂,钱
双花,克
田七,克
红藤根,克
西黄,克
蜈蚣,"克,条,g"
泽兰,"None,钱,克,g"
制狗脊,None
芡实,None
猪牙皂,None
玉竹,克
山茱萸,"克,两"
酒归尾,钱
瓦楞子,None
藿香,"克,一两半,钱,None,半斤,两"
儿茶,"克,钱"
猪脂,两
清风藤,克
红藤,"克,None"
王不留行,"克,g"
郁李仁,分
麦门冬,"克,None,两,半两"
青橘皮,"两,分"
马鞭草,钱
丁香,"None,克,半两,个,分,钱"
秋石,半两
黄连,"None,克,两,半斤,钱,半两,分"
麦糵,两
灵磁石,钱
川连,克
儿茶面,钱
全瓜蒌,克
茯苓块,克
巴豆,"个,枚,两"
汤瓶内硷,克
制南星,克
藁本,"两,半两"
积实,分
干姜,"分,克,二两,半两,两,钱,None"
茶末,克
孩儿参,克
穿壁风,None
薄陈皮,两
降真香,克
羊耳菊,None
朱砂,"钱,分,克,g"
赤土,两半
桃花蕊,钱
茯神,"克,None,钱,分"
蜣螂,分
何首乌,"钱,两"
藿香叶,"两,分"
黄蜡,"克,半两,两"
麦冬,克
川芎,"g,克,None,钱,两,二两,分,四两,钱半"
苦参,"克,半两,两,两半"
蚤休,克
蔻米,分
芍药,"分,两,None,克,半两,铢"
姜黄,克
交趾桂,钱
矾石,两
桂枝,"分,克,None,g,钱5分"
益母膏,克
冬虫草,钱
法夏,钱
生鳖甲,克
葶苈子,两
栀子仁,两
姜,两
山芋,两
轻扮,克
青葙子,None
