樟脑,"g,None"
颠茄流浸膏,"None,g"
元胡,克
蛇退,钱
丁香,"两5钱,g,None,克,一两半,半两"
郁李仁,克
白及,"两5钱,两"
滑石,"g,克,两,None"
威灵仙,"两5钱,两,克,二两"
防己,"钱,半两"
川羌,钱
鸡血藤,克
川断,"None,分,克"
续断,"两5钱,两,g,钱,None,分,克"
紫菀,两
杜仲,"g,克,钱,两半"
红藤,克
生白芍,克
归身,"钱,克"
地鳖虫,克
肉豆蔻,"两,枚"
草决明,"None,钱"
猪油,斤
柳枝,钱
干姜,"二两,半两,两,分"
远志,"克,钱,两"
枯矾,"克,None"
砒霜,克
琥珀,克
陀僧,克
天冬,钱
蛇床子,g
川楝,"二两,克,两半"
延胡索,"克,两"
青葙子,None
夜明砂,None
肉苁蓉,"克,两,两半,半两"
阿魏,克
大风子,两5钱
萹蓄,"None,克"
金箔,片
椒,两
银花,克
僵蚕,"两5钱,克,钱"
苦丁茶,克
木贼草,钱5分
朴消,"钱,克"
芙蓉叶,两
赤土,两半
黄占,两
大黄,"两,g,克,钱,None"
秦艽,"两5钱,克"
白鲜皮,两5钱
虎胫骨,两
黄米,钱5分
牛膝,"两5钱,钱,g,克,None,两"
蓖麻子,两5钱
沉香,"克,两半,两,半两"
茴香,"g,二两,克,一两半,两"
烧酒,半斤
黄柏,"两,钱,克,None"
木鳖子,个
乌梅肉,两
片松香,千克
贯众,"克,None"
紫丁皮,两5钱
茄子根,g
赤芍,"两5钱,两,g,钱,None,克"
三棱,"两,None"
蒲黄,"两,克"
川白姜,半两
厚朴,"g,None,克,两,钱"
白粟米,克
雄黄,"钱,克,半两,None"
紫荆藤,克
五加皮,"两5钱,分,克,两"
蓬莪茂,克
冰片,"g,None,克"
肉桂,"克,两5钱,g,一两半"
苍术,"两5钱,g,克,两,钱,斤,None"
地枫皮,g
荷叶,张
虎骨,g
闹羊花,克
芦根,分
轻扮,克
麦冬,None
生耆,钱
桃枝,钱
槟榔,"None,分,两"
芍药,"克,钱,十两,两,分,半两,None"
恶实根,g
牙皂,"两5钱,None"
砂仁,"克,钱"
石韦,g
蜂房,两5钱
马前子,钱
槐角,克
巴豆,"个,枚"
牵牛子,"二两,克"
胆矾,"克,None"
缩砂,两
角刺,克
地骨皮,"克,两"
草果,None
黄耆,"两,半两"
加皮,钱
柴胡,"克,None,两,钱,钱5分"
旋覆花,半两
苦参,两5钱
龟甲,g
紫参,克
黄米饭,克
云苓,钱
柏子仁,分
蜈蚣,"条,钱"
鸡舌香,枚
朱砂,"克,钱"
油松节,g
黑芝麻,克
黄连,"克,g,钱,None,两"
麦门冬,"克,None,两"
丝瓜子,克
龙胆草,"None,二两"
鳖甲,"两5钱,两"
硼砂,None
当归,"g,克,None,分,两,钱,八两"
臭椿白皮,两
石膏,"克,None,两"
白芜荑仁,None
葛根,None
石碱,None
细木通,克
败龟,g
苏木,"两5钱,g,钱,分,None"
无名异,克
天麻,"两,g,克"
草豆蔻,两
千年健,g
圆肉,两
寸冬,钱
赤小豆,两
熟地,"g,克,钱"
韭子,两
神曲,"克,None"
珍珠,克
草乌,"两5钱,克,g,两,半两"
五灵脂,"两,g,半两,克"
穿山甲,"克,两2钱,两"
枳壳,"两5钱,g,克,None,两"
荜澄茄,半两
马牙消,两
猪牙皂角,"None,克"
于术,两5钱
蕤仁,克
黑木耳,g
藁本,"两5钱,克"
白茅根,克
麦门,两
薏仁,克
梅冰,克
鸡脚风叶,None
榆枝,钱
茶末,克
檀香,两5钱
黄丹,克
芸香浸膏,g
豉,"合,半合"
干胭脂,"克,None"
小茴,分
党参,两
桂,"半两,两"
灯心,None
莱菔,两5钱
川乌,"克,g,None,两,半两"
百草霜,两
自然铜,"两,克,g"
莪术,"两,None"
山楂,"克,钱"
禹余粮,克
归尾,"两5钱,两,钱,None,克"
银,None
蒲公英,克
青风藤,g
蓬莪术,"两,半两"
茯苓,"g,克,两,钱,分,None,钱5分"
紫荆皮,"两5钱,None"
茺蔚子,None
西黄,克
乌蛇,g
石决明,None
白花蛇,g
虾蟆,None
没药,"克,g,两,钱,分,None"
血竭,"钱,两,克"
香豉,升
槐枝,钱
经霜丝瓜,钱
恶实,分
薄荷,"克,None,钱,g"
大麻仁,g
山查,两
红藤根,克
条芩,钱半
人参,"克,钱,分,None,两,半两"
食盐,"两,钱半"
槐角子,克
蜗牛,个
蚕茧,个
水杨酸甲酯,"None,g"
人角茴,分
露蜂房,两
竹茹,"None,两"
姜汁150毫升,None
白芍,"g,分,克,钱"
老蜘蛛,个
皂荚,分
蒙花,None
接骨草,克
葳蕤仁,钱
酒,ml
宫桂,None
盐酸苯海拉明,None
白芥子,克
葱白,"茎,克"
门冬,None
白矾灰,分
葱头,个
蓝实,克
鸱鸮,个
川归,钱
地龙,"克,条"
男发,克
山甲,克
归梢,克
赤苓,钱
茯苓皮,克
玄参,"两5钱,克,g,None,钱,两"
寒水石,"两,克"
细辛,"克,两5钱,g,None,两,半两"
蓖麻仁,粒
