黄狗头,两
鹤虱,"g,克"
牛奶,克
虎肚,具
黄皮树叶,g
积壳等份,None
昆布,"None,两"
贯众,None
随风子,克
螺儿清,None
绿豆粉,两
淀粉,分
王不留行,"克,None"
茵芋叶,一两
枇杷叶50,斤
香橼,克
鸡血藤,"克,g,None"
清炙草,克
山檀,克
桂圆肉,"两,克"
飞廉草,克
白石脂,"半两,两"
蒴藋根,斤
山萸,"钱,克,斤,两,None"
黑脂麻,两
元胡,"克,钱,两"
炒广皮,克
山豆根,"分,钱"
萆解,克
天仙藤,克
蝉蜕,"克,None,钱,半两,分,个,两"
樗根白皮,克
六一散,"克,g,钱"
栀仁,钱
白龙脑,分
寄生,"克,两,g,半两"
蔓荆子,"g,克,None,钱,分"
南芡实,两
姜夏,钱
柿霜,两
槐枝,半斤
黄耆,"半两,None,两,克,钱,g,半钱,斤,分,两半,钱半"
甘皮,半两
胡桃,None
干胭脂,None
公丁,两
红曲,克
苦楝根白皮,None
鱼腥草,克
薏仁,"克,钱,None,合,两,g,两5钱,两1分,分"
京楂核,钱
肉豆蔻,"枚,g,个,两,两半,克,半两,钱,None,钱半,一两"
姜黄,"两,克,None"
母鸡,只
黄精,"两,克,g"
石燕,"对,两"
人参减半,None
防已,"两,钱"
于术,"钱,两,两5钱,克"
紫河车,"具,两,None"
荆三棱,"两,分,半两"
麦糵,"两,半两,分"
雷丸,"g,两,克"
黑木耳,克
葳蕤,None
豆蔻,"钱,两6钱,克,两,None"
薏米仁,两
竹叶数片,None
哺退鸡蛋,个
秦胶,半两
西瓜皮,克
干木爪,两
红豆蔻,"克,两"
贝母,"钱,克,两5钱,两,分,None,半两"
苦楝根皮,g
细辛,"克,两,None,半两,两半,钱,分,铢"
京墨,半两
朱粉,半分
炉甘石,"钱,g"
香橼皮,克
北梗,克
拣桂,克
宣连,两
轻粉,"两,克,分,钱,半钱,None"
蓖麻子1000颗,None
黄药,"半两,两"
麦芽粉,两
肉果,克
蝉退,"钱,None"
冬瓜汁,合
雄雀粪,半两
大麻子,升
高良姜,"两,g,克,钱,半两,分"
制草,钱
生耆,钱
青葙子,None
老米,克
故纸,"两,两半"
紫菀,"两,克"
焦楂,两
使君子,"粒,两,None,克,钱,个"
龙骨5厘,分
白果,粒
猪肚,枚
桂心,"克,钱,None,两,两半,半两,分,半钱,一两"
蜗牛,个
艾碳,钱
黑芥穗,克
灵脂,两
仙灵脾,"钱,g,克,一两,两"
香薷,"None,克"
丹皮,"克,None,钱,两,g,分,钱5分,半两"
雄精,"克,钱5分,分"
白梅花,两
瓦楞子,g
椿皮,千克
6克,雄猪左悬蹄甲
金沸草,None
草豆仁,钱
雄黄,"两,克,半两,None,分,钱,钱半"
木鳖子,"g,两4钱,None"
青粱米,合
正广皮,克
辣椒,克
菔子,两
香青蒿,g
干柿不拘多少,None
青皮,"None,两,分,克,钱,两5钱,一两,钱半,半两"
桑树枝,钱
党参,"g,克,两,None,两1钱,钱"
辰砂1.5,None
酒地,两
全蝎,"枚,两,条,None,钱,个,半两,分,钱5分"
红皮,"克,分"
天门冬,"两5钱,克,两,分,None,两半"
鸡腿胫,克
川归,"分,钱"
冬瓜仁,两
片脑,钱
盐花,两
蒜白,斤
芎藭,"克,两,两半,半两,铢"
生料平胃散,None
柏子仁,"钱,斤,克,g,分,两,半两,两2钱,铢"
梅冰,克
乌贼鱼骨,"两半,两"
夏,钱
冰片,"钱,None,克,分,g"
羚角片,克
晚蚕砂,克
姜滓,None
车前叶,握
鸡汤,None
乳香,"None,半两,两,克,钱,三钱,钱5分"
陈皮,"两,None,克,铢,钱5分,钱,分,半斤,两5钱,g,斤,钱半,两7钱,四两,两半,半两,枚"
虎杖,克
芫荽,克
栗子肉,克
红土,钱
福橘,两
扁豆,"两,g,None,克,斤,两1钱,钱,两5钱"
五爪龙,克
威灵仙,"两,克"
面粉,克
1两半,"白术,黑附子"
神曲3块,None
土鳖,钱
猪油,克
蛋白干,两3钱
狼毒,"分,None"
姜,"None,两,片"
维生素D<[2]>,None
干漆,"克,两,钱,None,分"
4味入猪胆汁和膏,None
乌梅,"个,枚,克,两,None"
樗皮炭,None
双花炭,克
莪术,"两,None,克,钱,半两,钱半"
碱花,g
附片,"g,克"
斑蝥,"两,钱"
佛手,"钱,克"
青橘,半两
不拘多少,None
