生耆,钱
元参,克
生军,两
桂心,"半两,克,两,两半,None,分"
宣泽泻,钱
菊花,"克,钱,None,二两"
六一散,"克,钱,g"
自然铜,两
鲜竹笋,个
蜀漆,两
沙参,"克,两"
夏枯草,"两,克,None,钱"
矾石,两
莱菔,两
鹿茸,"两,两半"
五物香薷饮加木瓜,None
千里光,克
赤芍,"g,None,克,钱,两,钱5分"
山奈,钱
女贞子,None
干蝎,"分,半两"
川连,"分,克"
于葛,None
莲子,g
猪脊骨,克
螵蛸,"两,克,None,分"
萆,克
汤瓶内硷,克
虎胫骨,两
猪胆,个
盐,斤
胆南星,"分,两1钱"
南硼砂,钱
黄芪,"克,g"
椿根白皮,克
茜根,克
辰砂,"克,分,钱,两,半两"
木香,"分,两5钱,钱,两,克,None,g,一两,半两"
莲肉,"两,分,斤,None"
降香,"克,分"
丁香,"钱,克,一两半,半两,个,粒,分"
羚羊角,"None,g,两,分,半两"
蒲黄,"克,None,钱,两,半两,钱5分"
羊桃,斤
食盐,"None,钱半"
新鲜荷叶,张
麻黄,"两,g,克,半两,钱5分,钱,None,分"
当归,"克,两,g,None,八两,钱,分,半两,钱半"
仙灵脾,g
马勃,克
鲜菠萝汁,克
铜绿,"克,钱"
肉桂,"克,两,分,g,一两半,钱"
白胶香,两
白豆蔻,"钱,半两,枚,分"
钩藤,None
鸡内金,"克,g,钱"
龙胆草,"None,克,钱,二两"
冬瓜汁,合
香豉,升
赤石脂,"克,两半,两,None"
八物汤加阿胶,None
硇砂,"钱,两"
天南星,"克,钱,两"
龟版,克
浆水脚,分
黑铅,分
积雪草,None
干蟾,克
蝉蜕,"None,钱,半两,克,分"
吴萸,"None,两,分"
滑石,"克,None,g,千克,两,钱"
天冬,钱
三奈,两
淀粉,None
香独活,克
栝楼,克
海金砂,克
苏叶,克
麝香1字,None
芫花,两
白芍,"两,g,克,分,钱5分,钱,钱半,斤"
麦门,两
0,克
零陵香,半两
楮实,分
海风藤,g
金汁30毫升,None
潞参,钱半
芎藭,"克,两,两半,半两,铢"
玄参,"克,None,钱,两"
半夏,"克,两,钱,g,分,None,半两,铢,升,个"
白薇,两
竺黄,两
地黄,"g,None,克,一两半,两,升,半两,铢,斤,钱5分,钱"
丹参1字,None
望月砂,钱
桃花蕊,钱
大石蟹,个
蔻米,分
积实,分
金樱子,None
军姜,钱
苦楝皮,克
干蟾酥,克
地丁,"克,两"
黑芝麻,克
归身,"两,克,钱半,分"
干胭脂,None
青蒿脑4.,克
黄丹,"克,两"
茺蔚子,None
荆三棱,半两
独活,"克,g,两,None,分,半两,钱"
仙鹤草,克
海藻,"克,钱"
紫菀,两
猪苓,"克,None,钱,千克,两,钱5分,分,g"
川山甲,钱5分
陈小麦,None
灶心土,钱
熟地,"克,钱,两,None"
白信,钱
枇杷叶,"None,克"
白茅根,"克,分"
藁本,"两,半两,分"
茴香,"克,一两半,两,钱"
轻粉,"克,分,钱,两,半钱"
昆布,"None,克"
地榆,"克,两"
