葫芦巴,钱
谷精,钱4分
葱,None
杜仲,"两,半两,两半,钱,分,二两"
川山甲,"钱,两,钱5分"
鹿角,半斤
生磁石,千克
河南真绿豆粉,两
秋蜜,升
川椒,"两,半斤,None,半两,分,粒,克"
于术,两5钱
螺儿清,None
猪胆,个
石龙芮,"分,两"
天麻,"None,两,克,半两"
枳壳3.,克
楮实子,"两,g"
甘菊新鲜嫩芽或幼苗,克
白糖,None
巴戟减半,None
砂锅,两
人角茴,分
鹿茄茸,两
炼成白石英,两
升麻,"半两,克,None,两,斤,分,两半"
楮实,"升,两,分"
桃仁,"升,两,斤,钱,两5钱,分,半两"
羊子肝,克
黄芪,"g,克"
金果榄,克
石莲肉,"两,二两"
石决明,"三两,两,克,钱,g,千克,两5钱,半两,None,具"
乌贼骨,半两
石南,半两
马齿实,升
石麻,两
胆南星,"分,两1钱"
补骨先生,钱
川芎,"三两,两,四两,g,钱4分,None,钱,两5钱,克,两3钱,千克,二两,分,钱半,半两"
蜀漆,两
生乌犀,克
紫石英,"半两,两,克"
春蜜,升
辛夷花,g
龙骨,"两,钱,None,半两,铢"
蛤扮,None
旋覆花,"两,半两,两5钱,分,铢"
生地,"两,钱4分,克,斤,g,钱,分,None"
海上主人,钱
龙胆,g
苍耳,"半斤,两半,半两"
蜜糖,斤
黑芝麻,"克,升"
苎麻根,两
败龟板,"None,两"
锁阳,两
蛤粉,"二两,两"
拣参,两
梅片,"两,钱3分"
狗脊,"半两,None,两"
麦冬,"两,两5钱,克,g,钱"
猪苦胆,个
熟地,"两,None,两5钱,克,斤,钱,g"
乌犀角,钱
川巴戟,两
直防风,克
乌牛胆,None
焦三仙,钱
薏仁,"两,两1分,分"
劈天龙,钱
男发,克
杏仁1斗,None
飞生月石,钱
鱼鳔,钱
生栀,克
黄芩,"钱4分,分,None,两,g,千克,克,二两,钱,半两"
炒谷芽,克
皂荚,分
斑蝥,"两,钱"
蔓菁子,"合,斤"
白硼砂,钱
刘寄奴,钱
马料豆,两
萤火虫,"合,分"
木贼草,"两,None,千克,克,钱5分,钱"
山萸,"两,斤,钱,None"
羌活,"三两,两,None,钱4分,半两,克,钱,分,半斤,斤"
白亮鱼胶,两
珍珠,"克,分,None,钱5分,两2钱"
1.5克,黄连
绿豆粉,两
糯米,"克,半合"
西瓜霜,g
芜菁子,升
绿茶,克
川百药煎,两半
许,两
牛角,分
7叶,克
白矾灰,"分,钱"
薤白,握
海藻,钱
熊胆,"克,钱,钱5分,分,None,两7钱"
羊桃,斤
白粉霜,两
角针,两
陈石灰,分
木脂珠,升
鸡蛋,个
辰砂1.5,None
菝葜,克
和皮大腹子,分
僵蚕,"克,钱,两"
红藤根,克
罗卜子,两
腊米,升
良姜,"None,克"
羊石,对
竹沥,"升,钱"
梅花蕊,钱
钟乳粉不拘多少,None
大青,两
枯白矾,两
零陵香,"两,半两"
白芜荑仁,None
藤黄,克
淡竹叶数叶,None
银,None
夜明沙,两
降香末,钱
蛇蜕,"一两,两,g,钱5分,克,钱"
杭青皮,钱
猪筒骨,枚
车前子叶,斤
白蒺藜,"半斤,两,合,g,钱4分,分,钱半,半两,None,钱,克,升,两3钱,千克,斤,两半"
芸香末,钱
肉豆蔻,"半两,两,枚,钱,个"
猪油,克
蕤仁霜,分
铅白霜,分
牛膝许,两
黄耆,"两,None,半两,斤,钱,克,半钱,分"
芡实,"两,None"
益智仁,"两,半两"
蓝子,"合,分"
大麻子1斗,None
蒲黄,"二两,两,None,克,钱,半两,钱5分,合"
香附,"None,两,g,四两,钱,克"
红花,"克,两,钱,分,两5钱,g"
甘遂,分
续断,"两,None,分,g,克,半两"
枫子仁,斤
龙脑,"钱,克,半钱,None"
诃黎勒皮,"分,两,半两"
蓖麻子,"两,粒"
干漆,"两,克,钱"
蜡,两
硼砂,"钱,None,两,两8钱,克,分"
蓬术,"两,钱,两半"
荜茇,"None,分,克"
玉丝皮,钱
核桃仁,个
蓝实,克
铁精,克
射干,两
仙菁玄实子,升
犀角,"分,钱,克,半两"
川皮硝,两
九阳公,钱
砂仁,"钱,枚,两,分"
白茅根,"分,两"
轻粉,"克,分,钱,两,半钱"
夜明砂,"两,g,千克,None,半两"
丹砂,"克,半两,分,两"
牛膝,"两,斤,克,六两,None,钱,半斤,两半,分,千克,g,半两"
萸肉,"克,钱5分"
猪脂,两
旋复花,None
车前,"钱4分,两"
草决,"钱4分,两"
京三棱,"两,半两"
杜仲炭,两5钱
大胡麻,斤
沉香,"两,钱,None,半两,分,两半"
天仙子,分
朝云兽,对
苏木,"克,钱,分,两"
花粉,"斤,g,克,分,None,钱"
天龙,"钱,条"
盆消,克
南硼砂,钱
巴戟天,"半两,两,None,两半"
望月砂,"None,两,钱"
香墨1寸,None
朱砂,"两,None,钱,半两,克,g"
干蟾酥,克
多年燕子窝,None
蝉退,"两,钱"
龟版,两
水蛭,半两
麻黄,"None,两,克,钱5分,半两,钱,分"
川柏,钱
水银豌豆大,None
腻粉,"分,半两,钱"
菊,None
皂角30梃,None
云母粉,"两,两半"
草果仁,半两
甘石粉,两
艾烟熏,None
以虚实斟酌,None
人参,"两,None,钱,两5钱,分,二两,克,千克,g,半两,铢,斤"
益母草,"钱,两,克"
蜗牛,个
桂,"两,半两,分,两半,钱"
灵磁石,钱
白杨皮,握
白瓜子,升
莪术,"None,半两,钱"
泽兰,钱
元胡,钱
丁皮,"None,半两"
鳖甲,"两,None,两半,半两,分"
荜澄茄,"半两,分,两"
麻油,"克,半斤"
虎胫骨,"两,None,钱"
不拘多少,None
五灵脂,钱
枳实,"半两,钱5分,None,钱,两"
萆薢,"两,半两"
头发,钱5分
剪草,两半
地黄汁1中盏,None
朱砂面,钱
人中白,克
雄黄,"None,克,半两,分,钱,两"
丝瓜子,克
黑参,"None,克"
阳起石,分
葱子,两
桑叶,"两,None,斤,钱,克,分"
芦根,分
松香,"钱,克"
菖蒲,"半两,None,两,钱,斤,两半,分"
石斛,"两,分,两半,克,千克,g"
白及,"半两,分"
草龙胆,半两
酒芩,钱
蝉壳,克
白矾,"两,一两,None,钱,分,半两"
乌稍蛇,None
羊肝,具
石决,钱4分
粳米1撮,None
花椒,"两,g"
莲肉,"两,钱,分,斤,None,克"
地肤子,"合,分,两,None,钱半"
菊花瓣,克
哺退鸡蛋,个
赤小豆,"半两,合"
乌鱼骨,钱
寿春紫,钱
郁李仁,"分,两半,半两"
云苓,"克,钱"
片脑,"None,钱半,钱5分,克,分"
十,"三两,二两,四两"
常山,"两,半两"
地龙,"两,None,半两,钱,g"
枳壳12,千克
枣仁,"枚,克,两,半两,None,钱半,分,g,个,两半,钱"
牡蛎,"两,半斤,克,半两,钱"
干姜,"两,斤,半斤,二两,半两,分,克,钱,None"
4味入猪胆汁和膏,None
楝实,两
虎骨,两
猪牙皂角,"None,克,两"
豆蔻,两
信石,钱
皂矾,两
木通,"钱4分,克,二两,两,None,分,两半,钱"
牛蒡,"克,半两,None"
玉枝,钱
宣泽泻,钱
延胡索,"半两,两"
青皮,"钱,None,两,g,千克,克"
甜瓜子,半两
振山威,两5钱
川归,钱
蓖麻仁,粒
火麻子,半合
桑白皮,"斤,分,半两,两,None,两半,升"
黄丹,"克,两"
槐皮,克
麦糵,"两,半两"
生硇砂,钱
煅珊瑚,钱5分
白檀香,钱
苏梗,"分,钱"
乌梢蛇,"半两,两"
豉心,"半两,两"
紫河车,具
赤芍花粉,钱4分
鹿茸,"克,两,两半,具,分"
寒水石,"一两,两,克,钱"
黄蜀葵花,"枚,None"
黑脂麻,两
丝瓜络,克
川木通,钱
龙齿,分
豉,"合,半合,两"
白信,钱
硼酸,None
紫苏7叶,None
白术,"None,两,两2钱,钱,克,八两,分,半斤,钱半,半两,升,两半"
石胆,分
寄生,g
茯苓,"两,斤,四两,None,钱,半两,两5钱,分,g,克,千克,二两,一两,钱5分,钱半,两半,铢"
黑桑椹,None
臭椿白皮,两
光明朱砂,半两
酒醋,升
浮小麦,None
丹皮,"None,克,两,钱,g,钱5分,半两"
侧子,分
螵蛸,"克,两1分,半两,None,分,枚"
麋角,半斤
王孙草,钱
苦酒,升
金箔,"None,张,片"
新鲜胡萝卜,None
阿魏,"克,半两"
山芋,两
故铧铁,两
双花,克
茺蔚子,"合,两,分,g,千克,克,半两,钱,None"
