大青叶,"克,两2钱,g,两"
鲜仙人掌,g
豨莶草,两
蚌粉,两
胶,两
麦蘖,克
乳香,"克,两,g,None,钱,钱5分"
决明子,"克,g,两"
附子,"半两,两,两半,分,枚,None,钱"
鸭嘴花,g
泽兰叶,"两,克"
米壳,克
干葛,"克,分"
炮穿山甲,克
大葱,根
真西黄,克
生首乌,克
朴消霜,None
金钱风,克
紫梢花,钱
黄耆,"g,克,两,半两,None,钱,半钱,斤,分,两半"
4味入猪胆汁和膏,None
山芝麻,克
香油,克
山萸肉,"两,钱"
荆芥,"克,None,分,钱,g,两"
蔻米,分
肉豆蔻,"g,两,枚,钱,个,None"
煅硼砂,克
生栀子,"克,两"
防葵,两
罂粟壳,None
阳起石,"半两,两"
山芋,两
川芒消,两
金钗石斛,克
大豆1斗,None
陈小麦,None
甘枸杞子,斤
茯苓,"克,钱,分,两,钱5分,钱半,None,半两,g,铢,斤"
贯众,"两2钱,克"
龙胆,"g,两半"
以嫩桑枝或鲜芦根煮汤代水,None
升麻,"克,分,None,两,g,斤,两半,半两,钱"
银,None
榜嘎,g
甘杞子,克
皂荚,分
胡椒,"None,钱"
缩砂肉,两
鹿茸,"两,两半,克,分,钱5分"
鸡血藤,"克,g,None"
千里光,"g,克"
桂,"半两,两,分,两半,钱"
蓝叶,克
山豆根,"None,g,克"
灯心草,g
蝉退,"钱,None,个"
忍冬叶,克
元胡索,两
木香1块,None
茜草根,"克,钱"
瞿麦,"None,克,半两"
舶上茴香,两
羊毛脂,两
川楝白皮,克
紫苏子,两
猪牙皂角,"None,克,两"
白术,"克,g,None,八两,钱,分,两,半斤,钱半,半两,升,两半,一两"
无患子果,None
黑牵牛,"克,两"
茅山苍术,斤
天花粉,"None,克,g,两,钱"
法夏,"钱,两"
当归身,"钱,分,两"
黑荆芥,钱
侧柏叶,"克,分,两半"
琥珀末,克
白鲜皮,"钱,g,克,两,None,半两,两半"
黄柏半,None
双花,克
旋覆花,"g,半两,两5钱,分,铢"
硫酸黄连素,g
硝石,g
白芷,"None,克,两,g,钱,八两,钱5分,钱半,斤,升,分"
晕死鹅,个
大贝,None
百部,g
磁石,"g,两,分"
白凤仙花,g
条芩,钱半
乳香末,钱
许,两
白明矾,半两
百合,"分,钱,克,两半"
实黄芩,克
金银花提取物,g
草河车,"g,克"
巴豆,"个,枚,半两,粒"
黑芝麻,"克,升"
葛根,"克,None,g,半钱,两"
明乳香,克
牛蒡根,g
乳香粉,克
剪草,两半
火麻子,半合
木棉花,g
人角茴,分
白药,克
枯白矾,两
鲜沙参,None
白豆蔻,"钱,枚,分,两"
