马兜铃,克
黄耆,"克,g,两,半两,None,钱,半钱,斤"
红花,"克,None,g,两,钱,分"
紫苏,"克,两"
大戟,钱5分
葶苈,"两,None"
草乌,"g,None,克,两,钱"
姜,两
清风藤,克
水银,两
地黄,"克,g,一两半,None,两,升,半两,铢"
皂角刺,"克,两"
潞参,钱半
草河车,克
菟丝子,"克,斤8两,两,分,None,两半"
苍耳子,分
宽筋藤,g
硼砂,"None,克,分"
全瓜蒌,克
雷丸,克
鸡脚风叶,None
荜澄茄,"半两,两"
射干,"钱5分,两"
茺蔚子,"克,g,None"
二郎箭,克
鹞鸱头,枚
蔓荆子,"克,None,钱"
大腹皮,"克,两,分"
雄精,克
诃黎勒皮,"分,两,半两"
草决明,"None,钱"
紫菀花,g
乌梅肉,"两,半两"
款冬花,"克,半两"
莲肉,"分,斤"
梅冰,克
川山甲,钱5分
桂心,"克,两,两半,半两,None,分"
金樱子,"克,None"
西秦艽,克
羚角片,克
加皮,两
干姜,"克,两,二两,半两,分,钱,None"
蝉蜕,"钱5分,克,None,钱,半两,分"
摊碗内,None
葛根,"克,g,None,半钱"
白蜜,"None,升"
苏子,"钱,两"
艾烟熏,None
蓖麻仁,粒
金环蛇,kg
蔻米,分
皂角,钱5分
无食子,枚
故纸,斤8两
马前子,钱
防葵,两
草果仁,半两
炉甘石,g
夏枯草,"钱,克,None"
血竭,"钱,g"
冬瓜汁,合
萸肉,钱5分
珍珠,"g,克"
淮山,"克,钱"
黄芩,"克,两,None,分,钱,半两"
熟地,"克,g,两,斤8两,钱,None"
芎藭,"克,两,两半,半两,铢"
煨莪术,克
地丁,两
原蚕蛾,半两
板蓝根,克
盐花,两
酒军,克
茯神,"克,None,钱,两,分"
淡干姜,克
片子姜黄,克
鸡血藤,"克,两,g,None,kg"
丝瓜络,克
甘草,"克,None,g,两,钱,八两,分,半两,二两,两1分,两半,半钱,铢,斤"
白花蛇,"克,条,两"
蚯蚓,克
琥珀末,g
香豉,升
全蝎,"克,g,钱5分,None,条,钱"
铅粉,钱
螺儿粉,钱
葳蕤仁,钱
牛子,"克,钱"
女萎,两半
使君子肉,None
枳壳,"None,钱5分,g,克,两,片,半两,钱"
胡桃仁,两
乌蛇,"g,克,半两"
乌芋,g
慈竹1段,None
蒲黄,"g,克,None"
白芷,"克,g,钱,钱5分,两,None,八两,钱半,半两,斤"
良姜,"克,两,None"
荆芥,"克,g,两,None,钱"
犀角,"克,半两"
麝,None
豉,"合,半合"
丹参,"g,克,钱,分,两,半两"
大伸筋,克
山药,"克,两,八两,分,None"
玄参,"克,g,钱5分,两,None,钱"
云苓,钱
紫草根,钱5分
净蕲艾绵,两
地鳖虫,克
黑木耳,"g,克"
芎劳,克
水牛角浓缩粉,g
斑蝥,"两,钱"
降香末,钱
茶末,克
白酒,"ml,千克"
蕤仁,克
五倍子,"g,钱5分,两,None"
石,钱
水蛭,克
七叶莲,kg
栀子,"克,两,钱,None,枚"
黄连,"钱5分,克,两,g,None,钱,半斤,半两,分"
佛手,克
梗,千克
龙脑,半钱
杭芍,两
何首乌,"克,两,g,钱"
狗脊,"克,None,半两,两"
宫桂,None
檀香末,钱
决明子,"克,二两,两"
丹皮,"None,克,钱,钱5分,两"
人角茴,分
薯蓣,两
轻粉,"g,克,分,钱"
白薇,两
天冬,钱
钻地风,kg
赤小豆,"两,None,克"
麦门,两
芸香末,钱
芎?,"None,半两"
通草,"克,钱"
寄生,"g,None"
白鲜皮,"g,两,半两,两半"
天丁,克
破故纸,"两,克"
蝎梢,克
蜈蚣,"g,条,钱,克,None"
降香,"g,分"
夜交藤,克
砂锅,两
鳖甲,"克,两,None,两半,半两"
川归,钱
白前,两
蕲蛇肉,g
冬虫草,钱
白毛草,g
杭白芍,克
梅花蕊,钱
生白芍,斤8两
神曲,"克,None,两"
前胡,"克,两,半两,None,分,斤"
鹿含草,克
珍珠母,g
珊瑚,g
贝齿,两
蝉退,钱
生黄耆,斤8两
黄芪,"克,g"
煅瓦楞,克
豉心,半两
麒麟竭,两
信石,钱
白豆蔻,"钱,半两,枚,分"
白蒺藜,"g,两,克,None,斤,分,两半,钱半"
川白姜,半两
两头尖,克
蜗牛,个
麦糵,两
米醋,千克
老蜘蛛,个
大麻子,钱5分
升麻,"两,克,None,斤,分,两半,半两"
路路通,"None,克"
伸筋草,"克,None,g,钱5分"
荔枝核,克
香附,"None,钱,克,两,g,四两"
麝香,"克,g,半分,None,分,钱,半钱,半两"
青蒿,钱
老葱胡,个
上元桂,分
沙糖,钱
归尾,"克,None,钱"
无名异,None
知柏,g
落得打,None
淡竹叶,升
河车,具
钩藤,"g,克,None"
栝楼,克
白芜荑仁,None
络石藤,"克,g"
羊桃,斤
黄狗头骨,两
归身,"克,钱半"
樟丹,克
没药,"None,g,钱,克,两"
地鳖,克
犀角汁20毫升,None
石决明,"克,None,具"
黄精,克
葱白,"茎,克"
眼镜蛇,kg
脑石,g
生赤芍,克
金箔,片
茜根,克
浮萍,克
车前子,"两,None,克"
艾叶,"克,g,两,半两"
申姜,"钱5分,克"
石莲子,两
白凤仙花,g
鸡血藤膏,钱
大豆,"g,None"
三七,"钱,克,g"
山查,两
蚕茧,个
紫草,"克,两"
郁李仁,分
玫瑰花,克
高良姜,"钱,两,半两"
朱砂,"g,克,钱"
海风藤,"两,克,g"
胡椒,None
滑石,"克,两,None"
制虎骨,斤12两
夜明砂,None
苏梗,"钱,分"
紫河车,具
猬皮,"克,个"
山萸,"克,两,None"
藤黄,克
蛇床子,g
苍耳,两半
谷精草,None
红藤根,克
天南星,"克,钱5分,两,None,钱"
止痉散,克
黑豆,None
地榆,"钱,两"
苏木子,g
丝瓜子,克
蜂房,克
条芩,钱半
台乌,半斤
代赭石,克
胆矾,"克,None,分"
葫芦,g
生地,"克,g,None,钱5分,两,钱"
龟版,"斤8两,两"
蓬莪术,"两,半两"
苦楝根白皮,None
刘寄奴,"克,g,钱"
乌麻根,g
昆布,钱
乌梢蛇,"克,kg,条"
豆蔻,g
山甲,"g,钱5分,克"
皂荚,分
蛇退,钱5分
独活,"克,None,g,钱5分,两,斤8两,分"
麻黄,"克,None,两,钱5分,g,半两,钱"
土鳖虫,"克,g"
益智仁,半两
樗根白皮,克
羚羊角,"克,None,两,分"
柏子仁,"分,两,半两,g"
茱萸,"克,g,半两,分,两,None"
藿香,"g,一两半,钱,None,两,分,半斤"
积实,分
樟脑,"钱,克"
山栀,"克,None"
小茴,分
薏米仁,克
玄胡,克
三棱,"钱,克,None,两"
4味入猪胆汁和膏,None
干姜1字,None
炒九香虫,克
茵陈,"两,钱"
远志,"g,两,斤8两,克,钱,分"
竹茹,"None,两"
香油,两
沙参,"克,两"
炒芥穗,克
打箭菊,g
金银花藤,"克,g"
梅片,克
三白草,g
生木瓜,克
矾石,"克,两"
陈皮,"None,g,克,两,钱,四两,分,两半,半两,枚,铢"
蜀漆,两
粉霜,"克,钱"
6克,雄猪左悬蹄甲
石南藤,kg
银花,克
路通,克
鸱鸮,个
猪牙皂角,"None,克,两"
青连翘,克
胆南星,"克,分,两1钱"
猪苓,两
官桂,"钱5分,克,两"
粳米,"克,半合"
蓖麻子,两
蒴藋根,斤
酒,ml
禹粮土,g
蛇蜕,"钱5分,克"
于葛,None
贝母,"两,克,钱,半两"
明矾,g
生姜,"克,两,None,g,片,铢"
橘络,"钱,克"
活,None
于术,"克,两5钱"
百草霜,两
黑芝麻,克
藁本,"克,两,半两"
益母草,"克,钱"
川羌,钱
凝水石,两
银环蛇,kg
松节,"None,钱5分,克"
天麻,"克,两,None,g,半两"
恶实,分
巴霜,None
子芩,半两
党参,"克,g,两"
元胡,克
郁金,"克,g,钱,枚"
女贞子,"克,None"
酒归尾,钱
小木通,克
草龙胆,半两
槐花,g
茴香,"克,g,一两半,两,钱"
薄荷,"两,克,None,钱,分"
黄药子,"克,半两"
松香,克
花粉,"g,克,分"
圆肉,两
青葙子,None
砂仁,"克,钱,枚"
韭子,两
臭梧桐,g
巴豆,"钱5分,个,枚,两"
五灵脂,"None,g,克"
泽泻,"两,克,g,钱,分"
辰砂,"克,分,钱"
草豆蔻,"g,两,枚"
厚朴,"钱,克,两,None,半两,分"
金铃子,克
丁香,"None,g,一两半,半两,个,粒,分,钱"
当归,"克,None,g,钱,两,钱5分,斤8两,八两,分,半两,钱半"
酒炒破故纸,克
忍冬藤,g
丹参1字,None
五加皮,"g,None,两,半两"
柿霜饼,克
川附片,两
食盐,"两,钱半"
炮山甲粉,克
石燕,两
海桐皮,"None,克"
蜜黄耆,克
肉苁蓉,"克,两,两半,半两,None"
白鱼鲄,g
蕲蛇,kg
杏仁,"枚,g,两,克,钱,None,分"
知母,"克,g,两,斤8两,分,半两,钱"
苍术,"克,两,None,g,钱,斤"
赤石脂,"两半,克,两,None"
漏芦蒿,斤
犀角片,克
漏芦,"克,钱"
天龙,钱
肉桂,"None,克,两,g,一两半"
紫石英,"半两,两"
白药子,克
细辛,"克,g,钱,钱5分,两,None,半两,两半,分,铢"
南硼砂,钱
薤白,g
乌药,"克,两,None,钱,g"
艾,分
杜仲炭,斤8两
木瓜,"克,None,斤,两,g"
芫花,"钱,两"
青金石,g
虎胫骨,"克,两"
甘菊,"半两,钱"
片姜黄,"g,None,钱"
赤苓,钱
人中白,克
天门冬,两
延胡索,"克,两"
瞿麦,"克,半两"
金钱白花蛇,g
木香,"g,克,钱,分,一两,None,半两,两"
椒,"两,分"
40g,红曲
轻扮,克
零陵香,半两
白茄根,None
马钱子,钱
晚蚕沙,克
经霜丝瓜,钱
柴胡,"克,两,None,钱,钱5分,分,两半"
荜茇,"None,分"
干苏叶,两
炙刺猬皮,克
粉草,"None,钱"
橘核,克
猪胆,个
萝卜子,None
皂刺,"g,克"
活血止痛散1／4瓶,None
75度纯粮酒,升
威灵仙,"克,g,两,None"
老君髯,克
防风,"克,g,两,None,钱,钱5分,斤8两,半两,两半,斤"
云南白药1瓶,None
安息香,两
螵蛸,"None,分"
石斛,"克,两"
生耆,"g,钱"
百合,"分,钱,克,两半"
苦楝皮,克
贯众,None
菝葜,克
桑白皮,"两,分,半两"
阿魏,"克,半两"
枣仁,"枚,None,g,克,斤,两,钱半,分,个"
桂枝,"克,g,两,None,钱5分,分"
枯矾,"克,g,None"
豨草,kg
椒红,None
桑叶,"钱,分"
五月红,g
枸杞,"克,斤,两,分,钱半"
油桂,克
羊肾,具
五味子,"克,None,两,分,两半,半两,g"
5条,穿山甲
螺儿清,None
茺蔚,斤
尖,两头
吴萸,克
卷柏,克
白茅根,分
豹骨,g
枫香脂,克
油松节,g
楮实,分
侧柏叶,分
淡竹沥60毫升,None
诃黎勒,两
骨碎补,"钱,g,克,None,两"
白糖,None
王不留行,"克,g"
半夏,"克,g,两,None,分,半两,钱,铢,升"
鸡舌香,枚
木鳖子,"None,钱5分,克"
黑附子,"克,枚,钱,两,g,半两,分,两半"
车前叶,握
葵子,两
檀香,g
牵牛,钱5分
龟甲,g
新鲜大力子根,克
茯苓,"克,g,斤8两,两,钱,分,None,钱5分,半两,钱半,两半,铢"
白信,钱
蓬术,两
川椒,"None,分,粒,克"
黄明胶,"克,片"
煨三棱,克
干蝎,"分,半两"
茜草,"g,钱,克"
铅白霜,分
硇砂,钱
军姜,钱
槐皮,克
葱白3寸,None
寒水石,"两,克"
布渣叶,克
巴戟天,"克,半两,两"
苎麻根,两
地肤子,钱半
川楝,"克,两半"
