羊耳菊,None
蚕砂,None
秦胶,半两
山奈,钱
麻油,"ml,两,斤,六两,克,半斤"
葱白,"None,半斤,克,茎,握"
连翘,"克,两2钱,g,None,钱,两,两4钱,钱半,千克,分,两半"
黄丹,"钱,两,克,g,千克,半两,None"
巨胜子,两
北豆根,g
谷精草,"None,克"
好肉桂,钱
带皮苓,钱
朱砂,"克,钱,g,分,半两,份,半钱,两,钱半"
潮脑,钱
乌药,"两5钱,克,None,两,两半"
龙骨,"克,两,None,半两,铢,钱"
桔梗,"克,g,钱,两4钱,两,None,千克,半两,铢,分,斤,两半"
白玄明粉,钱
瓜制枪消,"钱,两2钱"
姜,"None,片,两"
鲜败酱草,斤
皂角末,None
液状石腊,ml
木蜡,None
诃黎勒皮,"分,两,半两"
于葛,None
白胶香,"两,钱"
栀仁,钱
蓖麻子仁,"粒,克"
阿胶,"g,克,钱,两,分,None"
艾叶,"两,g,半两,None"
龙脑,"分,None,半钱,钱"
参,半两
鼠粘子,"克,None"
元胡,"钱,两"
买麻藤,None
山芋,两
可铁刺,钱
侧柏叶,"分,两半"
明雄,钱
大蚯蚓,条
知母,"g,None,克,分,半两,钱,两5钱,两,两半"
制萸肉,克
上元桂,分
蜜,半两
大梅片,"分,钱5分,克"
牡丹,"克,两,None"
檀香,"钱,两半"
缩砂仁,"两,半两,克"
故纸,"两,两半"
腊月猪肪,升
粳米1撮,None
茶油清,斤
泽兰,"克,钱,None"
草果仁,"克,半两,斤"
山药,"两,克,g,八两,分,None"
红藤根,克
真熊胆,钱
肉豆蔻,"两,枚,钱,个,None"
无患子果,None
决明子,"两,None,克,二两"
珊瑚,克
寒水石,"克,七两,两,钱"
花粉,"钱,None,g,两,克,两4钱,钱5分,分"
升麻0.,g
猪脂,两
元明粉,"g,None"
葡萄糖粉,克
酸石榴,个
明雄精,钱
川紫荆皮,克
丁皮,"None,半两"
银屑,克
禹余粮,"克,半两,两"
鱼鳔,"钱,两"
零香,一两
米仁,钱
梅片5厘,None
桃花蕊,钱
紫苏7叶,None
散血草,克
莱菔,克
常山,"两,半两"
铁精,克
玄胡索,"两,两5钱"
僵蛹,克
地黄汁1中盏,None
糖粉,两4钱
大腹子,"两,克"
萆薢,"两,半两,钱,一两"
甘石,两
新鲜胡萝卜,None
蟾酥,"克,g,半钱,钱,None"
通草,"克,分,钱5分,钱"
麻黄根,两半
干蜗牛,克
蒲公英,"斤,两,克,g,None"
干菜子,两半
海浮石,None
莲子芯,克
谷精珠,两
大豆1斗,None
韭子,两
军姜,钱
泽泻,"克,g,两,None,五钱,半两,钱,分"
芦根,分
大青,两
蚯蚓,克
胆矾,"克,g,钱,None,分"
真韭子,两
缩砂,"两,半两,枚"
祛湿药膏,两
叶子雌黄,半两
罗卜子,两
山豆根,"None,g,克"
左蟠龙,钱
生耆,钱
青粱米,合
石榴皮,两
苏叶,"两,钱,两5钱"
威灵仙,"克,g,钱,两"
贝齿,两
酒地,两
草果,"克,None,钱,个,两"
马前子,"份,克"
虎肚,具
木鳖子肉,克
土鳖虫,"斤,g,两,钱,份,个,克,None"
18厘米,None
用香油炸枯去滓滤净,None
黑附子,"两,克,g,个,半两,分,钱,两半,枚,None"
旋覆花,"半两,两5钱,分,铢"
豉,"合,半合,两"
白及,"钱,两,None,克,g,半两,分"
透骨草,"斤,None,克"
楮桃仁,克
百合,"分,钱,克,两半"
朱砂根,None
黄牛角,两
6次,None
紫菀,"分,克,两"
赤小豆1钟,None
乳香,"克,钱,g,两,份,两5钱,None,两2钱,钱5分"
北刘寄奴,g
枣仁,"钱,枚,克,None,两,钱半,分,g,个,两半"
郁李核仁,克
岗梅,克
春,钱
淮地,钱
椿根皮,钱半
紫苏,"两,克,g,钱,五钱"
款冬花,"克,半两,两"
蝼蛄虫,只
蛇床子,"g,两,钱5分"
藁本,"两,半两,分,钱,None,两半"
葱白1虎口,None
荠苨,两
柴胡,"克,g,None,两,钱,钱5分,分,两半,两5钱,半两"
山慈姑,g
杭菊,克
浮萍草,None
一点红,克
龙眼肉,钱
红粉,"钱,钱5分,g"
东丹,"斤,千克,克"
清油,"半斤,两"
薤白,握
红芽大戟,"两,一两"
川芎,"克,g,两,钱,两4钱,份,None,二两,分,四两,钱半,半两,两半"
钩藤,None
薯蓣,"两,克,分"
莲子心,克
桃仁,"两,g,钱,克,个,份,两5钱,None,分,半两"
旱莲草,g
蚕蜕,克
大归身,两
鸡骨香,斤
八物汤加阿胶,None
胖大海,None
侧柏,斤
葳蕤仁,钱
木香,"克,g,分,两,半钱,None,一两,半两,钱,两半,钱5分"
芸香,斤4两
汽油,两
煅蛤粉,两
苦梗,None
车前子,"合,克,g,None,两,钱"
荜澄茄,"半两,g,两"
贯众,None
茶叶末,None
元连,钱
益智,两
香墨,g
槲白皮,两
海带,"g,克"
九龙川,None
独活,"两,克,g,None,分,半两,钱"
龟甲,钱
芡实,None
角刺,克
茶叶,克
覆盆子,两
冰片面,钱
川木通,钱
王不留行,None
冬青油,两
赤石脂,"None,克,两半,两,g"
血竭5厘,分
金线重楼,None
辛夷,g
竹茹,"None,两"
芸香末,钱
鸱鸮,个
樗根白皮,克
白薇,"两,分"
虾蟆,None
甜瓜子,"g,钱"
两背针,kg
于术,两5钱
阿魏,"g,克,半两"
鲫鱼,"两,克"
西丹参,"None,克,钱5分"
北沙参,钱
胡桃仁,两
琐阳,钱
辣椒,克
石膏,"克,两,三两,两3钱,g,None,钱,分,两半"
猪牙皂,None
半枝莲,克
京三棱,"两,半两,分"
枳壳,"None,g,半斤,两,克,钱,片,半两,分,两半"
炙穿山甲,g
泽兰叶,"两,克,None"
浆水脚,分
马钱子,"两,斤,钱,克"
牛乳汁,斤
干葛,"分,None"
嫩杨柳枝,两
鸡膍胵黄皮,枚
苍术,"两,两2钱,g,两5钱,克,钱,斤,None,分,两半"
蜜糖,None
瓜蒂,枚
蟾头,个
紫草茸,克
红粉面,两
菊花,"克,两,None,两4钱,千克,二两,钱,g,两半"
蜂蜜,"g,斤"
矾石,"两,分"
鸭嘴壳,g
乌头,"枚,分"
鸡腿胫,克
槐角子,克
百草霜,"两,克"
剪草,两半
蜗牛,个
香薷,None
北芪,克
甘皮,半两
小蓟根,两
紫梢花,钱
枯龟壳,半枚
飞辰砂,克
人言,钱
苏枋木,两
鲜凤仙透骨草,g
葶苈,"克,半两,两,分,None,g"
陈葫芦,g
干蝎,"分,半两"
瓜蒌仁,克
猪油,克
朱砂面,克
石榴,两
土瓜根,"两,两半"
牛李子,两
粉草,"克,None,钱,半两"
川白姜,半两
乌梅肉,"两,半两,None"
蔓荆子,"None,克,钱,分"
匾蓄,克
冰片粉,g
马钱子霜,g
地丁,"克,两"
葵子,两
槐角,斤
甘杞子,克
白胡椒,克
蝮蛇,条
麻子仁,g
朴消,"None,克,两"
鸡血藤,"两,None"
木瓜,"克,钱,None,两半"
芥穗,两4钱
甘遂,"克,半两,两,分"
枯矾,"克,钱,g,分,两,None"
生川柏,克
乌蛇,"g,半两,两,条"
黄狗头骨,两
铅丹,"克,钱,分"
山萸,"克,两,None,钱"
如意金黄散,克
麒麟竭,"半两,两"
犀角片,克
濂珠,None
水银,两
天天果,g
白明矾,半两
太子参,g
蒙花,"None,克,钱,两半"
鲜金针菜根,克
白芜荑,None
氧化锌,两
紫河车,具
龙胆,两半
牙皂,"两,分半,克,None"
甘菊花,"克,None,分,两"
肿节风浸膏,None
发灰,"两5钱,None"
白牵牛,两
白垩,"克,铢"
黄芪,"克,g"
蓬莪术,"两,半两,克"
漏芦,钱
小茴,分
荆三棱,半两
川乌,"克,钱,半两,两,g,None"
琥珀,"克,分,钱,None,两,钱3分,两5钱"
槐米,钱
猪苓,"g,五钱,分,克,钱,None"
接骨木,g
宫桂,None
玉米须,克
大青叶,"克,钱"
紫葳,半两
人指甲,"分,钱,克"
玄明粉,"克,钱,g"
黑丑,"两,克,钱"
花乳石,克
飞生月石,钱
白面,两
珠粉,"克,钱5分"
鹞鸱头,枚
血竭,"克,钱,g,两,份,两5钱,半钱,None"
闹羊花,None
陈米醋,ml
鸡冠花,"半两,两"
代赭,分
急性子,钱
皂角刺,"g,克,钱,None,两"
金银花,"两2钱,两,克,None,钱,g"
飞朱砂,钱5分
续随子,"钱,一两"
50％食用乙醇,ml
饴糖,"斤,两"
延胡索,"g,克,两,半两"
甘草3寸半,None
就入：轻粉,钱
冬瓜子,克
冬瓜,克
黄药,半两
赤豆,两
子芩,半两
白术,"克,两,五钱,None,分,八两,钱,半斤,钱半,半两,升,两半,一两"
巴霜,"None,钱"
熟艾,两
大胡麻,斤
摊碗内,None
明矾,"分,g,两"
杉木节,g
胡连,两
炒白芍,克
辰砂,"克,分,钱,两,半两"
新针,个
和皮大腹子,分
川军,"钱,克,两"
丝瓜络,g
败龟板,两
西月石,"None,克"
黑木耳,克
枫子仁,斤
桃仁承气汤,None
北细辛,"两,分,克"
贝母,"钱,克,分,两,None,g,半握,半两"
干蟾皮不拘多少,None
杭芍,两
侧子,分
许,两
人中白,"分,克"
黑山栀,"克,g"
用纱布蘸透此液,None
石胆,分
金刚莲,g
漂青黛,克
香橼,g
地黄,"半斤,None,克,钱,g,半两,一两半,两,升,铢,斤,钱5分,分,两半"
熊胆,"克,分,None,钱,g"
雄狐胆,None
地榆,"两,半斤,克,钱"
甘草,"克,两,半两,钱,斤,一两,分,g,None,两8钱,钱半,一分,八两,二两,两1分,两半,半钱,铢,分半"
好麻,钱
猪胆,个
皂刺,"g,克,None"
地龙,"克,g,None"
乌贼鱼骨,"两半,两"
胶,两
辰砂1.5,None
蓖麻子1000颗,None
毛麝香,斤
川朴,g
恶实,"分,两"
艾,分
豆豉姜,None
男子乱发,None
条芩,钱半
生葱,半斤
鹿头肉,克
香加皮,None
红娘子,个
辅料,None
茯苓,"两,克,四两,None,半两,g,钱,分,五钱,钱5分,钱半,两半,铢,斤"
人角茴,分
色姜黄,钱
胡芦巴,两5钱
黄蘖,一两
蜀漆,"None,两"
草豆仁,钱
辛夷花,"克,g"
归尾,"斤,两,克,钱,None"
茜根,克
山栀,"个,None,克,两"
狗宝,钱5分
白蒺藜,"两,None,克,斤,分,两半,钱半,钱,半两"
麦门冬,"克,None,两,半两,两半"
水银豌豆大,None
巴戟天,"克,半两,两,两半"
羊胫骨灰,两
狗脊,"克,None,半两,两,钱"
积实,分
羚角片,克
虎杖,None
棉胭脂,张
马勃,"分,g,克"
章丹,两
玉竹,钱
茯神,"克,None,钱,两,分"
象皮,"克,两"
75%酒精,两
白樟柳根,克
射干,"克,None,两"
30克,麝香0
猪蹄,只
生玳瑁,None
三七,"斤,克,g,钱,两"
大豆,"g,克"
虢丹,两
陈皮,"克,两,None,钱,半两,g,四两,分,两半,枚,铢,斤"
冰片,"克,分,None,钱,g,份,两"
桂,"两,半两,分,两半,钱"
赤芍,"克,钱,斤,g,两2钱,两,None,钱5分,两半"
贴敷患处,None
天竺黄,"钱,两"
生发,钱半
干姜1字,None
鹿角霜,"克,钱"
漏芦蒿,斤
牵牛子,两
白蔹,"两2钱,钱,两,None,克,g,一分,半两,分"
定粉,"两,半两"
白附子,"g,克,两,半两,钱"
榆面,克
竹叶,"克,半两"
宣泽泻,钱
天门冬,"两,分,None,克,两半,两5钱"
乌龙尾,半两
炙山甲,None
官桂,"钱,半两,分,克,两"
大力子,克
獾油,"斤,两"
槐皮,克
地胆,分
杭青皮,钱
熟地,"克,None,钱,两,g"
螵蛸,"克,None,分,枚,半两,两"
何首乌,"克,两,钱"
紫背天葵子,克
荔枝核,"克,g"
钟乳,两
葫芦巴,五钱
女萎,两半
犀角屑,"半两,分,两"
云母粉,一两
浮小麦,None
辛荑花,克
诃子,"None,半两,两"
飞琥珀,分
石韦,"克,半两,两,None"
白花败酱草,g
羊肾,具
安息香,"两,半两,钱半"
活鲤鱼,条
牛角,分
杏仁,"g,两,克,None,枚,两5钱,钱,两半,分,一分,半两"
铜绿,"克,两,钱"
见血清,g
罂粟壳,None
骨碎补,"斤,g,钱,份,两,克,None"
犀黄,g
桂技,钱
南沙参,钱
月石,"None,g,克"
紫草,"克,两,钱"
三棱,"g,钱,克,两,None,两半"
圆肉,两
防已,"两,钱"
盐,"None,斤,钱"
松香,"两,克,g"
白芷,"克,钱,两,g,两2钱,半两,份,None,千克,八两,钱5分,钱半,斤,升,分,两半"
松萝,克
铅粉,"克,钱,两"
大麻仁,g
鸡内金,"g,分,None,钱"
金铃子,两
蝈蝈,个
白凤仙花,g
九里明,克
冬瓜皮,"g,克,钱"
黄连,"克,两,两2钱,钱,None,g,两7钱,半两,半斤,分,斤,钱半,两半"
腹皮,"钱,分"
干薯蓣,两
铅霜,两
以上8味药料,None
郁金,"克,两,半两,g,钱,枚,None"
菖蒲,"克,两,None,钱5分,钱,两半,分"
藿香,"钱半,克,一两,一两半,钱,None,两,分,半斤,半两,半钱"
黄药子,半两
或,克
羌活,"g,克,钱,None,两,半斤,斤,分,半两,两半"
盐花,两
川椒,"两,克,None,分,粒,两半"
凌霄花,两半
葱头,个
莪术,"克,g,两,None,半两,钱"
川山甲,"钱,克,钱5分,两"
赤土,"两半,None"
陈酒糟,两
葛根,"克,None,半钱,两,半两"
青果,g
片芩,克
龙骨5厘,分
黑牵牛头末,克
原蚕蛾,半两
巴豆,"钱,个,g,两,枚,半两,粒"
龙齿,分
天南星,"g,克,None,两,半两,钱"
灯心草,克
竹沥,"升,钱"
紫石英,"半两,两,克"
白茅根,"g,克,握,分,两"
红豆,"克,两"
升麻,"钱,半两,两,克,None,斤,分,两半"
乌鱼骨,钱
老式大泥冰,None
乌梅,"两,两5钱,克,个,None"
鳖甲,"两,None,两半,半两,分"
蒲黄,"两,分,克,None,钱,半两,钱5分,合"
李子树胶,钱
炙草,"两,分,克"
干蟾酥,克
香樟,None
川归,钱
乳香5厘,分
郁李仁,"克,两,分,两半,半两"
麦门,两
捆仙绳,None
甘松,"两,钱"
槐花,两
轻粉,"克,钱,两,g,钱5分,None,分,半钱"
生姜,"克,两,片,铢,半两,钱,分"
归身,"克,钱半,分"
白僵蚕,"克,两,枚,半两,钱"
男发,克
水牛角浓缩粉,g
蝉蜕,"克,钱,None,半两,分,个"
荆芥,"克,None,两,钱,g,两半"
槐枝,克
枳壳3.,克
白菊花,"两,None,克"
伏龙肝,两
三仙,g
炙僵蚕,克
阳起石,"半两,两"
淡豆豉,两
大黄,"克,两,斤,两2钱,None,g,钱,份,半两,千克,两半,分"
白矾灰,"分,钱"
千里马,只
黄芩,"克,斤,两2钱,None,两,g,钱5分,半斤,千克,分,钱,半两,两半"
白豆蔻,"钱,半两,枚,分,两"
牛胆,"钱,两"
败酱,克
公丁,两
西黄,克
乌梢蛇,两
建泽泻,钱
血琥珀,"钱,克"
紫参,分
煅自然铜,钱
砂仁,"克,枚,钱,两,分"
干蟾,个
藜芦,分
地鳖虫,克
阿飞勇,钱
天雄,"两,None"
川皮硝,两
李仁,两
女贞子,"g,None"
商陆根,"分,None"
珠子,分
山菊花,None
台乌,半斤
蝙蝠,None
穿山甲,"片,两2钱,两,克,g,钱"
小麦,"None,克,两"
荆齐,None
大蒜头,克
交趾桂,钱
乌蛇皮,None
苦瓜霜,g
广地龙,克
芙蓉叶,"两,克,g,钱,None,个"
芫花,"克,两,分"
生硼砂,钱
腰黄,克
地骨皮,"g,克,两,分,两5钱,None,半两,钱,两半"
麦芽,"克,None,两"
陈小粉,克
黄菊花,钱
黑芝麻,"克,升"
鲜仙人掌,g
紫金皮,"克,None"
荸荠粉,"克,两5钱"
狼毒,"None,分"
橙橘叶,克
马兜铃,克
石燕,两
生枳,克
土狗,枚
金果榄,两
归梢,克
减半,None
丝瓜子,克
山柰,钱
山楂,"克,钱,两"
赤箭,半两
花蕊石,两
灵磁石,钱
细盐,None
加皮,钱
关犀黄,钱
汤瓶内硷,克
犀角肩,两
独角莲,"g,None"
茵芋叶,一两
淡竹叶数叶,None
黑栀仁,分
乳没,克
石灰,None
抱鸡蛋壳,None
蓬术,"两,钱,两半"
苍耳草,两
青盐,"两,克,半两"
儿茶,"钱,分半,份,g,克,None"
丁香,"半两,钱,克,分,g,None,一两半,个,粒,两,钱半"
防风,"两,斤,g,钱,None,半两,克,半斤,千克,两半,分,一两,钱半"
乌豆,合
苍耳子,"g,None,克,分"
花椒,"两,克"
蕤仁霜,"克,分"
芎藭,"克,两,两半,半两,铢"
海马,对
冬虫草,钱
车前草,克
牛子,钱
瓜蒌,"枚,g,克,一两"
锡灰,钱
飞青黛,None
檀香末,钱
樟脑,"钱,两,g,克,None"
川萆解,克
山甲片,g
螺儿清,None
鹅不食草,"克,分,g"
活血止痛散1／4瓶,None
辣桂,分
茺蔚子,None
百部,"g,两半"
枯矾面,两
青皮,"None,两,g,克,钱,分"
川连,"g,克"
五加皮,"g,克,两,半两"
白花蛇,"两,半两"
自然铜,"斤,g,两,份,钱,克,None"
炒硼砂,钱5分
猪筒骨,枚
藤黄,克
红蓝花,"g,合"
砂锅,两
鬼箭羽,两
皂角,钱
腊米,升
香附,"两,克,g,None,四两,钱"
石,钱
苏木,"g,钱,kg,两,分"
萸肉,钱5分
磁石,"两,分"
菟丝子,"None,分,两半,两,克"
樟冰,克
黄油,None
零陵香,"分,半两"
黄明胶,片
瞿麦,"克,半两,None"
儿茶面,钱
草豆蔻,"两,枚,分"
火麻子,"半合,两半"
滑石,"四两,两,克,钱,None,半两"
黑铅,"分,克"
凡士林,两
天浆子,钱半
茯苓块,克
紫荆皮,"两,克,None"
川柏,钱
川羌,两
姜川朴,钱
草果子,分
薄荷,"克,g,斤,None,两4钱,握,钱,两,分,两半"
青葙子,"两,None"
苍耳苗,半两
苏梗,"分,钱"
益母草,"钱,两,克"
梅片,"两,钱3分,分"
炒僵蚕,克
木通,"钱,半斤,半两,None,钱半,g,克,分,两半,两"
望月砂,"None,钱"
桑树枝,钱
麝香1字,None
石莲肉,两
续断,"g,两,份,克,None,分,半两,钱,两半,一两"
猪蹄蜕,克
粳米,"克,合,None,半合"
莽草,"半两,两"
刺猬皮,"g,两"
焦山栀,两
柏子仁,"g,分,两,半两,克,两2钱,铢"
食盐,"两5钱,None,钱半"
头发,"钱,钱5分"
巴戟,克
小豆,分
菝葜,克
小胡麻,钱半
沉香,"克,两,半两,钱,g,两半,None"
牛蒡,"克,g,两,None,半两"
青黛面,两
蒴藋根,斤
上冰片,克
豆蔻,两
夏,钱
葫芦壳,克
枸杞,"None,两,分,钱半,斤,两半"
北防风,克
益智仁,半两
马牙消,两
蛇蜕皮,"钱,半两,分"
干姜,"两,None,克,两5钱,二两,半两,分,钱,铢,钱半"
黄米,钱5分
关木通,g
枇杷叶,"片,半两"
莲肉,"克,分,斤,None,两"
生鳖甲,枚
腻粉,"分,半两,钱"
清风藤,钱
虎骨随多少,None
珍珠,"钱,分,克,None,g"
白杨皮,握
枫香脂,g
鸡脚风叶,None
忍冬藤,斤
梅冰,克
苁蓉,"两,克,铢"
糯米,"克,粒,半合"
煨莪术,克
如意草,g
绿豆,"克,两,None"
野芋头,两
地肤子,"克,None,钱半,两"
刘寄奴,"钱,g,克"
将白蜡兑入溶化,None
红大戟,g
苏合香,g
犀黄丸,克
仙灵脾,"一两,两"
橘核,"克,g,两5钱"
炒甘松,克
京楂核,钱
酒炒破故纸,克
鹿茸,"两,两半,克,分,钱5分,钱半"
脑子,None
清酒,ml
晋矾,两
胡椒,"None,半两,g,两,钱"
干胭脂,None
皮硝粉,克
山查,两
垂柳枝,两
赤小豆,"克,半两,两,半合,None,合"
老葱,千克
猪牙皂角,"None,克,两"
猪牙皂荚,半两
黄柏,"克,两,斤,两2钱,None,钱,g,两4钱,千克,分,半两"
小黄米面,None
金脚信,半钱
丹参1字,None
秋石,半两
六一散,钱
雄精,"克,钱5分"
广皮,"None,钱"
白前,两
鹰不扑,None
天冬,"钱,钱5分"
松树节,钱
干蚵蚾,个
黑豆6颗,None
河车,具
延胡,两
艾烟熏,None
石决明,"克,两,钱,None,具"
灵脂,两
灯心,None
制茅术,钱
金樱子,None
草乌,"克,钱,两,None,g"
羖羊角,两半
蕲蛇,两
蜂蜡,两
石莲子,两
干苏叶,两
煅人中白,克
明矾丹参,None
木耳灰,两
臭椿白皮,两
外盖纱布,None
朱砂减半,None
浮石,克
薏仁,"克,钱,g,两1分,两,分"
炉甘石,"克,两,None,g"
吴萸,"None,克,分"
赤曲,钱
煅硼砂,克
蓝实,克
板蓝根,"克,两"
桃花瓣,克
不拘多少,None
包金土,两
橡胶,两
鲤鱼头,个
炙黄耆,克
西秦艽,克
晕死鹅,个
麻黄,"两,g,克,半两,钱5分,钱,None,分"
枪消,钱8分
徐长卿,None
炒绿矾,克
大茴,钱
虎骨,"两,一两,None"
萝卜子,"两,克,None,钱,分"
苦参,"两,钱,克,g,半两,两半,斤"
黑牵牛,"克,两"
江子霜,两
车前叶,握
没药,"克,钱,g,两,份,两半,两5钱,None,两2钱,半钱,半两"
白信,"g,钱"
升麻22.,克
当归,"克,两,g,两2钱,钱,None,两4钱,钱5分,钱半,半两,份,半斤,八两,分,一两,两半"
活蚯蚓数条,None
明阿胶,半两
胡麻,钱
缩砂肉,两
佩兰叶,两
天麻,"钱,克,两,半两,一两,两半"
广胶,两
香墨1寸,None
象牙,钱
玄胡,"两5钱,钱"
蓖麻子,"两,None,两2钱,粒"
柳白皮,半两
防葵,两
待温浓时再兑：冰片面,两
山慈菇,二两
芎?,"半两,钱,None,两,分,升"
三颗针,克
煅炉甘石,克
香豉,"升,合"
荷叶,合
棉花子,斤
银花,"g,两,克,None,两3钱"
青鱼胆,"分,只,None,克"
细辛,"两,分,None,克,半两,两半,钱,铢"
南硼砂,钱
白姜,半两
石苇,克
蛇蜕,"钱,克,钱5分"
淮山,钱
苦楝根白皮,None
丛枝蓼,g
