通草,"钱,克"
乌蛇,"两,半两"
粉霜,"克,钱"
芍药,"两,斤半,二两,克,分,钱,半斤,二斤半,十两,半两,None,两半,铢"
漏芦,钱
柳枝21厘米,None
金樱子,"g,None"
破故纸,"两,克,None,钱,半两,两半,g"
羊骨左右,克
葳蕤仁,钱
台乌,半斤
没药,"两,钱半,半两,钱,None,钱5分,克"
经霜丝瓜,钱
青蒿,"两,钱"
木香面,钱
菟丝子,"两,g,克,None,钱,两半,斤8两,分半,分"
淮山,钱
芡实米,None
高良姜,"半两,钱,两"
白矾灰,分
透骨草,两
远志,"g,两,None,钱,分,克,半两,斤8两,三两"
盐花,两
丁香,"两,None,钱,一两半,半两,个,粒,分"
苏木,"两,钱,分"
甘草,"None,斤,半两,两,克,g,一两,分,钱,五斤,八两,二两,两1分,两半,半钱,铢"
柴胡,"斤,两,十斤,None,钱,钱5分,分,两半"
曲,None
小雄鸡,只
茱萸,"g,两,钱,两半,None,分,克,半两"
天仙藤,"斤,十斤"
苍耳,两半
巴戟天,"g,两,克,None,半两"
鹿茸面,钱
前胡,"斤,十斤,半两,两,None,分"
楮实,"克,两,分"
金刚莲,g
硇砂,"半两,钱"
诃子,两
熟地,"g,两,钱,克,None,斤8两"
诃黎勒皮,"分,两,半两"
酒地,两
山查,两
贝齿,两
白蔻壳,None
伏火朱砂,两
砒霜,克
川椒,"g,两,钱,分,半两,克,一两,粒"
天台乌药,两
乌贼骨,"克,半两"
苦楝根白皮,None
肉苁蓉,"两,g,克,None,钱,两半,斤,半两"
黄精,"两,钱"
头发,钱5分
雷丸,克
谷精草,"两,克,None"
干姜1字,None
寒水石,"两,克"
川桂皮,钱
五灵脂,"两,两3分,半两,克"
红糖,两
马兜铃,克
茜根,克
缩砂,"两,半两"
4味入猪胆汁和膏,None
淫羊蕾,两
川柏皮,斤
摊碗内,None
军姜,钱
人角茴,分
槐角子,"g,克"
男子头发,克
生地,"两,钱,克,分"
桔梗,"斤,两,半两,十斤,None,克,铢"
苏子,"钱,两"
以上锉,None
草果,None
梅冰,克
葛根,"None,半钱"
猪油,克
