钩藤,g
浮石,None
紫石英,"半两,两"
苏子,"克,g,钱,None,两,升"
秋石,半两
赖氏红,钱
石,钱
菝葜,克
水银豌豆大,None
汤瓶内硷,克
蔓荆子,"None,克,钱"
火消,None
生玳瑁,None
梨皮,克
八物汤加阿胶,None
阿胶,"克,钱,两"
猬皮,"克,个"
铜绿,"克,钱"
黑豆6颗,None
料酒葱姜,None
木瓜,"None,钱"
麒麟竭,两
芍药,"克,None,十两,两,分,半两,钱,两半,铢,两5钱"
胡粉,钱
白葡萄干,g
桔梗,"克,None,两,g,分,kg,钱,钱半,ml,半两,铢"
雷丸,克
鹅不食草,g
铜青,半两
赤芍,"钱,None,两"
白花蛇,两
葵子,两
川柏,钱
鹿衔草,两
炙黄耆,克
明矾10公斤,None
条参,钱
穞豆皮,钱
桅子,g
豉,"合,半合"
川羌,两
干葛,"克,分"
珍珠,克
麻黄浸膏,None
甘草,"克,None,两,g,分,kg,千克,半两,钱半,钱,两7分,ml,八两,二两,两1分,两半,半钱,铢,斤"
生干蟾,None
防己,"克,半两,分"
加皮,钱
缩砂,"两,半两,枚"
破故纸,"斤,两"
食盐,钱半
红皮,"克,半两"
赤苓,钱
干日红,None
甘松,"两,钱"
豉心,半两
麦芽,"g,克,None,两"
辰砂1.5,None
草龙胆,半两
槐皮,克
升麻,"克,None,两,斤,分,两半,半两"
冬虫草,钱
条芩,钱半
葱白,"茎,克"
川连,克
枇杷叶不拘多少,None
艾,分
决明子,"克,二两,两"
白蒺藜,"克,None,斤,两,分,两半,钱半"
甘草7.5公斤,None
川芎,"克,钱,分,钱7分,二两,g,两,四两,None,钱半,半两"
石膏,"两,g,克,None"
黄连,"克,None,钱半,两,钱,半斤,半两,分"
轻粉,"克,分,钱,两"
新鲜萝卜约,克
砂锅,两
竹叶,克
松塔,两
花椒5公斤,None
云苓,"钱,克"
三棱,"None,两,钱"
苏木,"钱,分,两"
黑牵牛,"克,两"
皂角刺,两
黑铅,分
青皮,"None,克,两,钱"
缩砂仁,"两,半两"
蛇衔草,两
五味子,"克,斤,粒,g,两,None,钱,分,半两,两半"
穿心莲,"None,g"
高良姜,"钱,两,半两"
雄精,"克,钱5分"
食盐味精,None
山药,"钱,分,克,八两,None,两"
白矾灰,分
紫菀茸,克
良姜,None
北杏,个
乌药,"None,两"
苇根,克
小蓟,克
苯甲酸,钱8分
麦冬,"克,g,钱,None"
前胡,"克,kg,钱,g,None,半两,两,分,斤"
干生姜,"克,分"
益智仁,半两
巴豆,"克,个,枚,两"
槟榔,"分,None,两,个,钱,半两"
生姜,"片,None,克,两,铢"
安息香,两
胆矾,"克,None,分"
于葛,None
枇把叶,None
硇砂,钱
石韦,"半两,两"
露蜂房,两
麻黄4分,两3钱
新鲜白萝卜,克
千葛,克
细辛,"克,None,g,两,半两,两半,钱,分,铢"
元参,"克,两"
羌活,"半两,克,None,半斤,斤,分,两"
苯甲酸钠,g
淡竹叶,"张,升"
萝卜,克
红藤根,克
苦参,"g,半两,两,两半"
羊肾,具
野姜,g
白皮大萝卜,个
猪胆,个
苏叶,"克,None"
小胡麻,钱半
芦根,"克,分"
白及,"克,两,g,钱,半两,分"
鹞鸱头,枚
桃花蕊,钱
莪术,"None,半两,钱"
柏仁,克
黄明胶,片
砒霜,克
赤石脂,"两半,克,两,None"
羚羊角,"None,两,分,半两"
防葵,两
茺蔚,斤
牛酥400毫升,None
鼠粘子,克
寸冬,钱
旋覆花,"g,半两,两5钱,分,铢"
白信,钱
刘寄奴,钱
肉桂,"克,None,一两半,g"
腊米,升
晕死鹅,个
藤黄,克
使君子肉,None
沙棘膏,g
杭芍,两
橘饼,个
诃子,"g,两,克,个"
菖蒲,"两,钱,两半"
地黄,"g,半两,克,一两半,None,两,升,铢,斤"
元芩,None
黄狗头骨,两
黄药子,半两
米汤,克
黄蜡,"克,半两,两"
铅丹,钱
丹参1字,None
猪脂,两
枇杷叶,"None,两,g,kg,斤,克"
旋复花25公斤,None
檀香末,钱
金果榄,钱
南天烛子,克
何首乌,"两,钱"
天门冬,"None,克,g,两"
紫菀25公斤,None
栀子,"两,g,钱,None,枚"
蟾头,个
麦门,两
樗根白皮,克
紫檀香,g
苍耳,两半
北沙参,g
白萝卜汁,克
僵蚕,"两,g,克,钱"
石碱,None
灵磁石,钱
青蒿,钱
天冬,"None,克,钱5分,g,钱"
砂仁,"g,钱,枚"
芸香末,钱
梅花蕊,钱
槐角子,克
白芍,"g,钱,None,钱半,两,斤"
乌贼骨,半两
人工竺黄,None
香附,"None,g,四两,两,钱"
肉苁蓉,"两,两半,半两,None"
降香,分
竹沥,升
薏仁,"钱,克,两1分,两"
当归,"g,钱,两,钱半,None,克,八两,分,半两"
归尾,钱
密陀僧,None
丹砂,半两
大石蟹,个
黄豆,两
乌梅,"两,克"
小枳实,克
楮实,分
杜仲,"两,钱,两半,半两"
浆水脚,分
枳实,"克,None,半两,钱,两"
菊花30公斤,None
葛根,"g,克,None,半钱,两"
草果仁,半两
黄丹,克
天龙,"钱,条"
瓜蒌子,克
泽泻,"克,半两,钱,两,分"
石决明,"None,具"
灯心,None
皂荚,分
麦糵,两
滑石,"None,g,两"
厚朴,"None,克,两,钱,半两,分"
胡椒,None
熟军,钱
信石,钱
黄耆,"两,克,半两,None,钱,半钱,斤"
鸡蛋,个
降香末,钱
天南星,"一两,半两,None,g,克,钱,两"
草决明,"None,钱"
青葙子,None
诃黎勒皮,"分,两,半两"
白僵蚕,"枚,半两"
慈竹1段,None
玄胡,钱
甘皮,半两
铅白霜,分
南沙参,克
生耆,"两,钱"
潞参,钱半
漏芦蒿,斤
萝卜子,"None,两,钱"
木贼,"None,二两"
三七,克
银,None
米壳,"克,None"
灯心100厘米,None
牛子,钱
枯白矾,"半斤,两"
杏仁,"None,克,ml,个,g,kg,两,钱,两7分,升,份,分,枚"
金樱子,"g,None"
干百合,克
葳蕤仁,钱
麝香,"None,克,半分,分,钱,半钱,半两"
山查,两
柠檬酸5厘,钱7分
血竭,"钱,两"
香精,None
柏子仁,"分,两,半两,g"
山楂,"克,g,钱,两"
元胡,钱
丹参,"g,None,克,分,两,半两,钱"
神曲,"克,g,None,两,钱"
平地木,"None,克"
饴糖,"g,克"
三仙饮,钱
猪油,克
黑附子,"克,半两,两,分,钱,两半,枚"
鹿茸,"两,两半"
悬钩子茎,g
白蜜,"升,None"
淮山,钱
沙糖,钱
蜗牛,个
巴霜,"None,钱"
蜀漆,两
白蔹,"半两,分"
百合,"g,克,两,None,分,钱,两半"
干漆,"克,两,钱"
菊花,"两,克,None,二两,钱"
韭子,两
莲肉,"钱,分,斤,None,两"
干蟾酥,克
黄芩,"None,克,分,钱半,钱,g,两,半两"
绛真香,None
紫荆皮,None
老蜘蛛,个
茯神,"克,None,钱,两,分"
桑枝,钱
牛蒡,"g,None,克"
代赭石,g
芎?,"None,半两,两"
杜耳风,两
侧柏叶,分
铜钱草,两
川乌,"两,半两,钱"
禹余粮,"克,半两,两"
鸡脚风叶,None
琐阳,钱
猪脱氧胆酸,None
木藤蓼,g
恶实,分
军姜,钱
贝母,"None,克,g,两,ml,分,钱,半两"
零陵香,半两
羊胆干膏,g
青礞石,None
沙参,"None,克,g,两"
车前叶,握
白前,"钱,克,两"
山栀,None
麝香1字,None
瓜蒌皮,"None,g"
河车,具
青粱米,合
柿霜,两
半夏,"克,三两,两,None,g,半两,钱,分,铢,升"
皮硝,"None,两,半两"
人中白,克
猪牙皂角,"None,克,两"
川椒,"分,粒,克"
大腹皮,"两,分"
藁本,"两,半两,分"
白芷,"八两,钱5分,钱,克,钱半,None,两,半两,斤"
荜澄茄,"半两,两"
麻黄,"克,g,两,kg,None,千克,钱5分,半两,钱,分"
龙胆草,"None,二两"
紫苏,"克,None,g,两,钱7分"
贝齿,两
白附子,"克,两"
4味入猪胆汁和膏,None
款冬花,"克,g,None,钱,分,半两"
银花,两
檀香,g
艾烟熏,None
桃仁,"钱,两,两5钱"
茺蔚子,None
无食子,枚
女萎,两半
地龙,None
栝楼,"克,None"
4分,两3钱
乌蛇,半两
五加皮,"两,半两"
生犀以冷水浓磨汁200毫升,None
罂粟壳浸膏,None
葱头,个
螵蛸,"None,分"
洪连,g
夜合花,克
炙桑白皮,钱
皂角荚,两
藤子,个
五皮半,两
广皮红,克
白糖,"两,None"
郁金,"克,钱,枚"
枸杞,"两,分,钱半,斤"
开金锁,None
萆薢,"半两,两"
冰片,"钱,两,None,克,分"
甲片,钱
盐花,两
干姜1字,None
石胆,分
麦冬20公斤,None
6克,雄猪左悬蹄甲
菟丝子,"分,None,两半"
辰砂,"半两,克,分,钱,两"
玄参,"g,两,克,None,钱"
臭椿白皮,两
竹茹,"g,None,两"
陈皮流浸膏,ml
郁李仁,"两,分"
百草霜,两
石燕,两
蒌仁,"None,钱7分"
拣桂,"克,分"
黄芪,"克,g"
丁皮,"None,半两"
扁豆,钱
木香,"g,分,两,None,一两,半两,钱"
铅粉,"钱,两"
金箔,片
白豆蔻,"两,钱,半两,枚,分"
土藤蓼,g
香豉,"克,升"
拳参,g
生地,"克,钱,两,分"
五倍子12.5公斤,None
犀角片,克
罂粟壳,克
漏芦,钱
牛膝许,两
鱼腥草,"None,克"
海藻,钱
矮茶风,斤
蝉蜕,"None,钱,半两,克,分"
木贼草,"钱5分,克,钱"
干苏叶,两
连翘,"None,两,克,钱,分"
吴萸,分
石斛,"克,分,两"
穿山甲,"两2钱,两"
鲜百合,克
荜茇,"None,分"
蛤蚧,对
归身,"克,钱半,分"
罗汉果,只
白茅根,"克,分"
红花,"g,钱,分,两5钱"
白硼砂,钱
虾蟆,None
积实,分
螺儿清,None
地黄汁,升
琥珀,"克,两,钱,钱3分"
防已,两
虎杖,克
马兜铃,"半两,克"
知母,"None,克,g,分,半两,钱,两5钱"
姜,两
矾石,两
虎胫骨,两
干蝎,"分,半两"
白芜荑仁,None
猪肺,克
石莲子,两
墨旱莲,斤
蓖麻子1000颗,None
桂枝,"None,g,克,钱5分,分"
盐,斤
