石膏,"None,克,两,两5钱"
麝香,"克,半钱,分,g,None,半分,钱,半两"
独活,"克,两,None,分,半两,钱"
油头发灰,克
30克,麝香0
番泻叶,None
枣仁,"枚,个,None,克,两,钱半,分,g,两半,钱"
硼砂,"None,克,分"
汤瓶内硷,克
黄明胶,"克,片"
常山,"两,半两"
珍珠母,克
核桃仁,None
鲜荷叶,斤
北细辛,克
真胆矾不拘多少,None
葛叶,"两,None"
陈皮油,g
腊月猪板脂,斤
龟版,克
萝卜汁,升
茺蔚,斤
肉桂,"g,None,一两半,钱,克"
荆三棱,半两
泽泻,"None,克,钱,两,分"
艾,分
橘络,斤8两
川断,"钱,克"
龙骨,"克,None,钱,两,半分,半两,铢"
生绵纹,两
萆薢,"两,半两"
生栗子末,两
朴消,克
川白姜,半两
安息香,"两,半两"
穞豆皮,钱
干姜,"克,分,二两,半两,两,钱,None"
阿魏,"克,半两"
紫参,钱
胶,两
石燕,两
枯白矾,两
无名异,两
真阿胶,克
栀子,"千克,斤4两,克,两,g,None,钱,枚,半两"
朱砂,"g,克,钱"
槐花,"两,斤15两,克,None,钱,g,千克"
羌活,"None,半斤,斤,分,两,半两,克"
锡灰,钱
浮小麦,None
生乌豆,分
棕榈炭,"克,斤,两"
川柏,钱
螺儿清,None
漏芦蒿,斤
蜈蚣,条
白矾灰,分
全蝎,"条,None,钱,个,两"
天雄,两
木通,"斤,克,None,分,两半,钱,两"
苎麻叶,None
丹砂,"两,克"
菟丝子,"钱,分,None,两半,两,克"
1.8克,柏叶
琥珀屑,None
石莲子,两
熟地,"两,克,None,钱"
墨旱莲,g
生玳瑁,None
黑牵牛,两
侧伯叶,克
延胡索,"半两,克,两"
玄参,"两半,g,两,克,None,钱"
石碱,None
山栀炭,克
狗脊,"两,None,半两"
珍珠,"None,克"
罗卜子,两
鸡舌香,枚
莲肉,"分,斤,None,两"
1.5克,阿胶珠
牛子,钱
活鲤鱼,条
继木,克
鹅不食草,g
枳实,"克,None,半两,钱,两"
朱粉,半分
苦参,"克,半两,两,两半,斤"
萝卜,升
酒地,两
朱砂面,克
红藤根,克
川椒,"合,分,粒,克,两"
于葛,None
黑芝麻,"克,升"
地菘,两
梅冰,克
交趾桂,钱
好石灰,克
似锦,两
楮桃仁,克
何首乌,"克,两,钱"
火麻仁,克
甘松,"克,两,钱"
马兜铃,克
生山栀,g
蒲黄炭,克
腊月猪肪,升
蓖麻子,两
辰砂,"克,分,钱,两,半两"
小蓟,"克,g,None"
降香,"钱,None,两,分"
生苎麻根,克
生韭菜,None
生阿胶,斤
厚朴,"克,两,None,钱,半两,分"
炒蕲艾,钱
虎胫骨,两
远年石灰,克
龙胆草,"None,二两,钱"
藤黄,克
鸡腿胫,克
反鼻,None
冬葵子,克
鲜柿叶,克
生麦门冬,两
炙草,"克,两,分"
白占,两
生五倍子,两
胡桃仁,"枚,两"
干姜炭,"钱,克"
枯矾,"g,半分,克,None"
茶末,克
蚕豆花,斤
萝卜子,"None,两,钱"
猪牙皂荚,半两
桃枝,握
生柏叶,None
桅子仁,克
男发,克
冬瓜汁,合
桂枝,"克,钱5分,分"
蒌仁,克
胆矾,"克,None,分"
草果,None
胡麻仁,克
威灵仙,两
草果子,分
柳枝,握
降真香末,None
芡实,None
白术,"克,两,钱,None,八两,分,半斤,钱半,半两,升"
防己,"半两,克,分,两"
白药末,两
黑豆6颗,None
摊碗内,None
雪梨,只
去皮,克
牵牛子,两
高良姜,"g,钱,两,半两"
米仁,钱
鹞鸱头,枚
紫菀,"两半,两,克,钱"
藿香,"克,一两半,钱,None,两,分,半斤,半两"
黄连2,克
山芋,两
香墨,"千克,斤,g,两"
诃黎勒,"两,枚,半两"
白头翁,克
干柿,枚
天仙子,分
白蒺藜,"None,斤,两,分,两半,克,钱半"
僵蚕,"克,钱,两"
南硼砂,钱
甘菊,"半两,钱,两"
黑豆,半升
就入：轻粉,钱
血余炭,克
麝香1字,None
水银豌豆大,None
白芍,"克,两半,千克,两,None,g,钱半,钱,斤"
槐角,"钱,克,g,斤,千克"
于术,两5钱
决明子,"克,二两,两"
苦楝皮,克
麝香半字,None
赤石脂,"两,克,两半,None"
槟榔,"克,None,分,两,个,钱,半两,枚"
降香末,钱
柏子仁,"分,两,半两,g,克"
清油30毫升,None
大腹皮,"两,分,枚"
天竺黄,钱
蜗牛,个
铅白霜,分
皂角刺,两
巴霜,"None,钱"
矾石,两
枸杞,"克,两,分,钱半,斤"
晚蚕蛾,None
川羌,两
干漆,"克,两,钱"
地榆,"克,钱,斤4两,kg,g,半斤,None,千克,两"
苦楝根白皮,None
款冬花,"两,克,半两"
蓬莪术,"两,半两"
杜仲,"钱,两半,两,半两"
穿心莲,g
沙糖,钱
远志,"克,钱,两,分,g"
栝楼,克
柴胡,"分,克,None,两,钱,钱5分,两半,两5钱,半两"
地黄,"克,两半,g,升,两,None,一两半,半两,铢,斤,钱5分,钱,分"
水银,两
乌鱼骨,钱
三奈,两
象皮,"None,钱,克"
厚桂,None
麦糵,"两,半两"
马钱子,克
干芦根,g
葶苈,"两,None"
寸冬,两
不拘多少,None
韭子,两
大豆,克
莽草,半两
风化石灰末,升
石韦,"半两,两"
生草,克
马齿,两
无食子,枚
鸡脚风叶,None
人角茴,分
灶中黄土,"克,半斤"
甘皮,半两
白石英,两
白矾,"两,None,钱,分,半两"
桑枝,钱
草决明,"None,钱"
蕲蛇,两
骨皮,两
半两钱,文
嫩苎叶,两
巴豆,"两半,个,枚,两"
蛇蜕皮,分
石榴花,克
荷叶,"千克,g,两,None"
沉香,"克,两半,两,半两,钱"
宫桂,None
净蕲艾绵,两
赤土,两半
大豆1斗,None
钓掉根,两
五味子,"钱,None,两,分,两半,半两,g,克"
山查,两
山栀仁,钱5分
松香,"两,None,克"
皂荚,分
龙眼核,None
艾烟熏,None
大青,两
黄丹,"两半,g,半分,克,两"
蕤仁,"克,半两"
磁石,"两,分"
桂,"半两,两,分,两半"
漂冬丹,钱
盐花,两
麦冬,"钱,克"
棕榈皮,None
宣泽泻,钱
干蝎,"分,半两"
银花,克
地骨皮,"克,钱,两,分,两5钱,None,半两"
生白矾,两
食盐,钱半
漏芦,钱
皮硝,"两,None,半两,半斤"
黄药,半两
蝉衣,两
黄酒,ml
苎麻根,"克,两"
糯米,"克,半斤,半合"
双花炭,钱
麦门冬汁,升
知母,"g,两,半两,克,分,钱,两5钱"
党参,"克,两,g"
姜黄,None
炙黄耆,克
银末,None
子芩,半两
滑石,"克,半分,两,None"
妇人裙裆末,钱
牙皂,"None,两"
鸡内金,"克,钱"
芦茹,一份
加皮,钱
花生衣,克
熟五倍子,两
赤芍,"None,克,g,钱,两,钱5分"
白信,钱
夜明砂,None
石胆,分
生麦芽,克
箭根薯,g
焦山栀,g
苍耳,两半
铜绿,"克,钱"
海桐皮,两
旋覆苗,两
陈皮,"克,千克,斤,钱,两,四两,分,两半,半两,None,枚,铢"
生赭石,克
人中白,克
胡粉,"半两,钱"
白杨皮,握
川连,克
碧芦皮,两
萸肉,钱5分
天门冬,"两,None,克,分"
苦酒,升
葳蕤仁,钱
玄胡,钱
上元桂,分
犀角,"克,半两"
绛真香,None
车前子,"None,克,两,钱"
黄耆,"两,None,克,分,半两,钱,半钱,斤"
苍术,"克,钱,斤,None,两,分"
臭椿白皮,"克,两"
羊肾,具
蓖麻仁,粒
苏梗,"分,钱"
黑附子,"分,克,两,半两,钱,两半,枚"
清酒,ml
凝水石,两
白芜荑仁,None
旋覆根,"半两,None"
犀角粉,g
紫草,"克,两,钱"
蒙花,"None,克,钱"
蔓荆子,"None,克,钱,分"
生地1.25干克,None
荷叶炭,斤
韭,两
紫藤香,两
猪油,克
夏果,None
韭菜叶,None
白前,两
蓖麻子1000颗,None
鸱鸮,个
左蟠龙,钱
秦艽末,克
干浮萍,两
半夏,"两,克,钱,分,None,半两,g,铢,升,个"
百部,"g,两半"
禹余粮,"克,半两,两"
新葛叶,半两
4味入猪胆汁和膏,None
沙参,"克,两"
老松香不拘多少,None
刘寄奴,"None,钱"
梅花蕊,钱
蒴藋根,斤
乌梅,"克,枚,两"
红糖,None
丝瓜子,克
侧子,分
粉霜,"克,钱"
七叶一枝花,g
槐角子,克
辰砂1.5,None
风化石灰,两
乌梅肉,"两,半两"
藤苦参,g
多年老石灰,斤
柏叶,"克,None"
龙胆肉,克
蛇床子,两
青蒿苗,两
五倍子,"两,克,None"
豨莶草,两
归尾,"克,钱"
清酒200毫升,克
陈年石灰,两
细辛,"半两,None,两,两半,钱,分,铢"
黄狗头骨,两
鲜白荷花瓣,None
贝母,"钱,克,斤8两,两,g,半两"
生槐角,kg
芦根,分
水牛角,克
薄荷,"克,None,钱,两,分"
乌鲗骨,四份
麦芽,"克,None,两"
原蚕蛾,半两
血见愁,两
茵陈,钱
炒白芍,克
秦艽,"克,None,两,半两,钱,分"
桃花蕊,钱
2.4克,"黄柏,槐花"
葵子,两
铜青,半两
麻黄,"钱5分,半两,钱,两,克,None,分"
米,合
人指甲,None
赤苓,钱
螺儿粉,钱
良姜,"None,克"
黄芩,"克,钱,千克,斤,两,g,半斤,None,半两,分"
菖蒲,"钱,两,两半"
猪脂,两
胆南星,"分,两1钱"
冰片,"克,g,None,钱,分"
地黄苗,"两,None"
矿石灰,None
牛,None
通草,"克,钱"
青盐,半两
苍耳草,两
皂角荚,两
犀角屑,分
铅粉,"克,钱,两"
神曲,"克,None,两,钱"
石莲肉,两
黄芪,"克,g"
枫子仁,斤
檀香,None
没药,"None,两,半两,钱,半分,克,g"
蝉退,钱
雪梨汁,升
黛蛤散,"克,钱"
归身,"None,克,钱半,分"
芥穗,"斤,千克"
血竭,"两,None,克,钱,g"
葎草,g
金银花,"斤,钱,g"
米酒,ml
皂矾,None
茯神,"钱,克,None,两,分"
京赤芍,g
百草霜,"斤,克,两"
当归,"钱,克,None,两半,两,斤,g,半斤,半两,千克,八两,分,钱半"
杏仁,"克,钱,枚,两,None,分,半两"
紫矿,半两
紫苏7叶,None
大小蓟,"千克,两"
韭菜根与老鼠一般多,None
草豆仁,钱
贝齿,两
防已,两
益母苗不拘多少,None
京墨,克
堇泥,分
紫石英,"半两,两,克"
麒麟竭,两
夏枯草4,克
陈皮炒,克
大人参,两
元胡,"克,钱"
郁李仁,"分,两半,半两"
马牙消,两
夏枯草,"两,None,钱"
竹叶,升
苋菜,克
新鲜荷叶,张
藕节,"千克,g,两,克"
臭花娘根,None
谷精草,None
芸香末,钱
雌黄,克
天冬,钱
生犀以冷水浓磨汁200毫升,None
墨汁,None
茯苓,"两,钱,克,None,分,钱5分,半两,钱半,两半,g,铢"
鲜野苋草全草,克
黄牛乳200毫升,克
甲片,钱
官桂,"两,半两"
琐阳,钱
多年陈石灰,None
椒,"两,分,两半"
