利马锥,钱
藜芦,克
乌药,"None,两"
槐皮,克
贝母,"克,钱,半两"
牛蒡,"g,两,克,钱,None"
猪牙皂角,"钱,None,克,两"
葵子,两
斑蝥,"个,g,只,克,两,钱"
铜青,None
川乌,"两,克,半两,钱"
乌梢蛇,"克,kg"
将药放入,None
胡椒,None
苁蓉,两
陈皮,"克,钱,四两,分,两,两半,半两,None,枚,铢"
原蚕蛾,半两
乌梅肉,"克,两,半两"
熟硼砂,两
黄柏末,克
三棱,"None,两,钱"
台乌,半斤
柴胡,"两,克,None,钱,钱5分,分,两半"
银环蛇,kg
泽泻,"克,两,钱,分"
薄荷,"克,None,钱,两,钱半,g,分"
大青叶,"克,钱,None"
石楠叶,g
熊胆,"克,钱"
炙草,"两,分,克"
甘石粉,钱
槐枝,"钱,克"
百药煎,"克,两4钱"
磁石,"两,分"
牙皂,"None,两"
葳蕤仁,钱
使君子肉,None
止痒药膏,两
炸枯,None
血竭,钱
防葵,两
马齿苋,"两,克"
松叶,g
石南藤,kg
秦艽,"克,None,两,半两"
砒霜,克
苍耳草,g
麦芽,"克,None,两"
全蝎,"条,None,钱"
葛根,"None,半钱"
牛角,分
松香末,克
木通,"g,None,分,两半"
缩砂,"两,半两"
芥穗,克
青盐,半两
千年健,两
红粉,g
酒地,两
生姜,"片,两,铢"
赤土,两半
祛湿药膏,两
巴豆,"克,钱5分,钱半,个,枚,两"
黑豆馏油,g
明矾,"克,g"
沙参,"克,两"
小胡麻,"两,钱半"
罗卜子,两
白垩,铢
凡士林,"两,g,克"
枫子肉,"克,枚"
白风仙花,克
益智仁,半两
胆南星,"分,两1钱"
扁蓄,g
槐角子,克
露蜂房,两
川山甲,钱5分
山豆根,克
枯白矾,分
蒲公英,"两,克"
麻油,"斤,克,半斤"
白信,"g,克,钱"
糠焦油,g
好茶,克
木鳖肉,克
腻粉,分
松香,"g,克"
黄芪,"克,g"
升麻,"克,None,两,斤,分,两半,半两"
连翘,"克,两,None,钱"
白矾,"克,钱,None,两,分,半两"
