功效,top1,top2,top3,top4,top5
宣肺,0.5,0.4,0.6667,0.5714,0.5
和胃,0,0,0,0.2857,0.25
消食,0.5,0.8,1.0,0.8571,0.75
补肝,0.5,0.4,0.3333,0.5714,0.5
止咳,0.5,0.8,0.6667,0.5714,0.5
熄风,0.5,0.8,1.0,0.8571,0.75
疏肝,0.5,0.8,0.6667,0.5714,0.5
祛风,0.5,0.4,0.3333,0.5714,0.5
通络,0.5,0.4,0.3333,0.2857,0.25
止痒,0,0,0.3333,0.2857,0.25
行气,0.5,0.4,0.3333,0.5714,0.75
补阴,0.5,0.8,1.0,0.8571,0.75
安神,0.5,0.8,0.6667,0.5714,0.5
补肾,0.5,0.8,0.6667,0.5714,0.5
清热,0.5,0.8,0.6667,0.5714,0.5
杀虫,0.5,0.4,0.3333,0.2857,0.5
利湿,0.5,0.4,0.6667,0.5714,0.5
健脾,0.5,0.8,0.6667,0.5714,0.5
解毒,0.5,0.8,0.6667,0.5714,0.5
化痰,0.5,0.4,0.3333,0.2857,0.5
祛寒,0,0.4,0.3333,0.2857,0.25
解郁,0.5,0.8,1.0,0.8571,0.75
补心,0.5,0.8,1.0,0.8571,0.75
生津,0.5,0.8,1.0,0.8571,0.75
开窍,0.5,0.4,0.6667,0.8571,0.75
化湿,0.5,0.4,0.3333,0.2857,0.25
温中,0.5,0.4,0.6667,0.5714,0.5
祛痰,0.5,0.4,0.3333,0.2857,0.25
通淋,0.5,0.4,0.6667,0.5714,0.5
调经,0.5,0.8,0.6667,0.5714,0.5
凉血,0.5,0.8,0.6667,0.5714,0.5
散结,0.5,0.4,0.3333,0.5714,0.5
解表,0.5,0.4,0.3333,0.5714,0.75
补气,0,0.4,0.3333,0.5714,0.5
止泻,0.5,0.4,0.6667,0.5714,0.5
消肿,0.5,0.4,0.3333,0.2857,0.25
益精,0.5,0.4,0.3333,0.2857,0.5
平肝,0.5,0.8,0.6667,0.5714,0.5
止血,0.5,0.4,0.3333,0.5714,0.5
活血,0.5,0.4,0.3333,0.5714,0.5
化瘀,0,0.4,0.3333,0.2857,0.5
平喘,0.5,0.4,0.6667,0.5714,0.5
降气,0.5,0.4,0.3333,0.2857,0.25
解痉,0.6667,0.5,0.4,0.5714,0.5
明目,0.5,0.4,0.6667,0.8571,0.75
泻火,0.5,0.8,0.6667,0.8571,0.75
补血,0.5,0.8,0.6667,0.5714,0.5
温经,0.5,0.4,0.3333,0.2857,0.25
平均值,0.4514,0.5354,0.55,0.5476,0.5104
总体情况,0.5189600000000001
清肝,0.5,0.4,0.3333,0.2857,0.5
