药名,别名
阿胶,阿胶珠 驴皮胶 盆覆胶 覆盆胶 陈阿胶 蛤粉炒阿胶 东阿胶 付致胶
阿魏,阿虞 彩魏 哈菖呢 彩阿咪 阿为 薰集 炒阿魏 五彩荟 制阿魏 哈昔泥 魏去疾 臭阿魏
矮地茶,叶底红 平地木 雪里珠 地茶 石青子 矮脚茶 叶下红 紫金牛 老勿大 矮脚樟
艾叶,蕲艾 艾 灸草 艾蓬 草蓬 艾蒿 艾绒 冰台
安息香,辟邪 命门录事 安悉香
巴豆,巴米 日刚子 刚子 草兵 巴果 毒鱼子 巴菽 双眼龙 江子 川江子 巴豆霜 猛子仁 老阳子 巴仁
巴戟天,巴戟 三角藤 女木 戟天 巴棘 盐巴戟 鸡肠风 制巴戟 念珠巴戟 巴戟肉 鸡眼藤 巴吉
菝葜,金刚藤 铁刺苓 铁刷子 金刚骨 金刚刺 铁菱角 路边刷 菝葜根 金刚鞭
霸王鞭,冷水金丹 刺金刚 金刚杵 金刚纂
霸王七,万年粑 粑七 野凤仙花
白扁豆,膨皮豆 蛾眉豆 鹊豆 炒扁豆 南豆 眉豆 扁豆 沿篱豆 凉衍豆 生扁豆
白丁香,雀苏 雄雀矢 麻雀粪 麻雀屎
白豆蔻,白叩 紫蔻 圆豆蔻 白扣仁 蔻仁 原豆蔻 波扣 白豆叩 十开蔻 叩仁 多骨 白蔻仁 印尼白蔻 白豆扣 白蔻 东波蔻 紫油蔻
白矾,矾石 云母矾 石涅 生矾 柳絮矾 白君 矾精 明矾 涅石 理石 雪矾
白附子,独角莲 禹白附 牛奶白附 白波串 盐附子 鸡心白附 制白附
白果,银杏 公孙果 灵眼 炒白果 白果肉 白果仁
白花菜子,白花菜
白花蛇舌草,蛇总管 蛇舌癀 蛇针草 白花蛇草 蛇利草 蛇舌草
白芨,白根 紫兰 连及草 羊角七 白给 白及 雪如来
白降丹,白降 降丹
白胶香,枫脂 枫香脂 胶香 白胶
白芥子,胡芥 蜀芥 炒白芥 白芥 芥子 辣菜子
白蔹,崑崙 白草 猫儿卵 八卦牛 地棒槌
白茅根,地筋根 茅根 甜根草 毛根 茅草根 白茅 甜根
白前,嗽药 鹅管白前 石兰
