基本功效,包括功效
平喘,定喘 定喘嗽
散热,解热 宣发郁热
清热,除热 泻热 泄热
健胃,开胃
收敛,收敛 收湿
舒筋,舒筋活络 舒筋络
益精,补髓 益精血 益髓 填髓 填肾精 益精补髓 补精添髓 填精 生精 填精补髓
补气,益气
化饮,化水饮
利咽,利咽喉 开音 利咽开音
回阳,回阳救逆
消食,化食 消食滞 消食化滞 消食导滞 消滞 消食化积 消积滞 化滞 消积化滞
补阴,养阴 滋阴 滋养 养液 育阴 益阴
排脓,透脓 溃脓 除脓
化湿,芳香化浊 芳香化湿 去湿
养胃,清养胃阴 养胃阴 滋胃液 益胃
止血,摄血
补肝,养肝 益肝
化痰,化痰涎 开痰
泻火,降火 清火
疗疮,疗疮毒 敛疮
蚀疣,腐蚀赘疣
涤痰,逐痰 坠痰 祛顽痰 除痰
止渴,解渴
温经,通脉 通经脉 温通经脉 通血脉
解暑,消暑 清暑 祛暑
退虚热,清虚热 清虚火 除蒸 退热除蒸 清透虚热
逐水,泻水 攻逐水饮 泻水饮 泻水逐饮 泻下逐水
清肝,泻肝 清肝火 凉肝 泻肝胆火
消痈,散痈 消痈肿 散痈肿 溃痈 破痈 消散痈肿
解痉,镇痉 止痉 柔肝 缓肝
解表,发表 解肌 疏表
平肝,平肝潜阳 平抑肝阳
催乳,通乳 下乳
壮阳,益火助阳 补火助阳
涩肠,固肠 收涩
生肌,祛腐生肌 敛肌 祛腐 去腐蚀疮
通淋,导浊 化石通淋 下膀胱结石 排石
解酒,解酒毒
补阳,助阳 益阳
消积,破积 化积 去积 散积
止呕,止吐
止咳,止嗽 宁嗽
温肝,暖肝
解毒,化毒 消疮毒
强筋骨,健腰脚 续筋骨 暖腰膝 健筋骨 强腰脚 强壮筋骨 强壮 强筋健骨 健骨 壮筋骨
消肿,消肿毒 退肿
涩精,固肾 固精 固肾涩精 固气涩精
补肾,益肾
消痞,除胀 散痞 消胀 化痞 除痞
安神,安神益智 安心神 宁神益志
降压,降血压
杀虫,驱虫 除癣 驱蛔 灭虱
升阳,升提 升阳举陷 升发 举陷 升举阳气
利湿,渗湿利水 行水 利水渗湿 利水道 利水 渗湿 利湿去浊 行水湿 利水除湿
润肠,润燥软坚 滑肠
补心,宁心 养心
祛风,散风 疏风 去风 除风 搜风 追风
祛寒,逐寒 御寒气 除寒 散寒
健脾,补脾 益脾 醒脾 补中 和脾
疏肝,舒肝
退黄,退黄疸
化斑,消斑
宣肺,通肺
祛痰,消痰 豁痰 劫痰
退翳,消翳
燥湿,除湿 胜湿
消癥,化癥 破癥结
涌吐,催吐 吐风痰 涌吐风痰 催吐痰食 涌吐痰涎
活血,和血 行气血 行血 散血
拔毒,攻毒
补肺,补益肺 养肺 益肺
降气,降逆气 下气 降逆 重镇降逆 降逆下气
熄风,定风 息风
催生,下胎
补血,养血 益血脉 益血
温中,温胃 暖胃 暖脾胃 温脾 温脾暖胃
行气,利气 通气 调气 理气 行滞 顺气 宽胸 宽中 宽胸利膈 宽胸理气
破瘀,通瘀 逐瘀 破坚 破血
止痛,定痛 镇痛
攻下,泻下 通肠 导滞 荡积滞 泻下攻积 峻下冷积
开窍,开窍醒神 利窍 通窍 通窍开闭
托疮,托疮毒
温肾,暖肾 温肾阳 暖子宫
利尿,利小便 通小便
和胃,和中 调中
通络,通经络 通经活络 活络 和络 通经 利关节
敛肺,敛肺气
解郁,开郁 宣郁 散郁 舒郁 开郁结
化瘀,行瘀 祛瘀 散瘀 和瘀
清肺,泻肺
散结,治鸡眼 散瘿 消瘰疬 消瘿 散结聚
镇惊,镇心 定惊 止惊 定惊搐 重镇 定痫
